Label,Value,Area (micro m^2),Center_X,Center_Y,Center_Z
6400,0,33.3026,-21.1829,0.639103,7.7497
6272,0,13.6137,13.9626,62.3368,-7.53724
6432,0,38.587,-11.3226,-32.466,-3.81755
6240,0,42.3126,-4.62106,2.83453,8.24695
6368,0,34.3932,-30.0513,27.4871,1.42403
6416,0,40.0874,-18.864,27.7066,3.63314
6288,0,41.8242,-8.4888,7.92066,8.54454
6480,0,32.5781,7.61242,30.9471,0.481421
6352,0,30.1658,22.4118,-12.3758,-0.0684403
6448,0,56.7886,-13.6328,37.2332,-0.195588
6256,0,46.4776,-32.3048,-18.7643,0.0347751
6512,0,24.5426,24.8607,-25.6507,-6.42981
6384,0,48.8518,-26.6331,5.9528,6.1279
6408,0,55.6209,5.3501,26.5841,2.95104
6472,0,36.9027,18.0731,35.9874,-5.3108
6344,0,24.6143,-37.28,36.7731,-6.44847
6440,0,24.521,8.77718,33.279,-0.978107
6248,0,47.5136,-1.07885,-8.19621,6.77914
6504,0,0.733565,17.2433,60.25,-7.78326
6376,0,39.0943,3.07231,-16.3817,4.30119
6424,0,44.7692,7.4755,-18.0157,2.7566
6296,0,35.88,-5.19685,35.9015,0.205658
6232,0,30.7787,32.6634,12.302,-6.18165
6488,0,10.3555,20.4692,53.7119,-7.46437
6360,0,34.4893,31.9945,0.960733,-3.88578
6456,0,43.3819,-8.70599,-11.3451,6.70545
6328,0,19.8391,32.2684,-14.3669,-5.14488
6264,0,51.8274,2.67504,-31.1897,-4.18801
6520,0,45.6812,-38.8977,-30.4941,-7.23189
6404,0,37.0115,5.22588,8.23846,6.98967
6276,0,39.367,-17.6138,-19.0858,4.10936
6340,0,29.4483,-36.9956,-11.8573,0.145888
6436,0,22.0548,25.9394,-12.1528,-1.37339
6308,0,36.4608,-47.3333,-5.57585,-4.1357
6244,0,28.8686,-5.32099,43.7377,-3.43179
6500,0,7.97082,20.7696,-29.8143,-7.42265
6372,0,42.9365,-25.7622,-31.0384,-4.5914
6292,0,24.7297,-55.0592,-14.2582,-7.35282
6356,0,33.8575,1.3106,-24.4498,1.01983
6324,0,52.4267,-43.3542,13.3596,-1.76617
6260,0,47.793,-32.0927,30.7672,-0.654119
6388,0,38.977,-24.2241,44.1493,-5.64933
6412,0,52.4052,19.7003,8.71181,2.21129
6284,0,18.8756,27.9436,26.4811,-6.85761
6348,0,32.5668,32.5791,-9.38553,-4.52911
6444,0,41.9613,-10.9241,27.5509,4.19698
6252,2,45.6441,-36.259,0.28628,2.18674
6508,0,2.71039,35.6675,7.07618,-7.38403
6380,0,43.1287,-25.3442,-21.0837,1.67332
6428,0,31.576,-13.0991,18.2603,6.83451
6300,0,43.8514,-7.78395,53.714,-6.14604
6236,0,11.977,-48.584,19.3069,-7.05556
6492,0,5.49025,-45.3785,26.1684,-7.10041
6364,0,30.6886,0.322107,31.7122,1.61471
6332,0,51.7196,12.8957,23.8772,1.92043
6268,0,53.3933,24.2185,25.0601,-4.108
6524,0,4.92985,-57.039,-3.39519,-7.82042
6396,0,45.3214,-18.2959,-24.1998,1.60313
6402,0,28.2838,-21.0172,12.5628,7.00599
6274,0,42.5315,-19.2449,-6.34729,7.32057
6466,0,25.418,-47.5578,4.79333,-3.9168
6338,0,51.1438,-2.27276,9.38784,7.9118
6434,0,41.8809,-11.5084,-27.9801,-0.2403
6242,0,37.1349,-4.03508,19.4492,6.57115
6498,0,25.3363,21.5295,-25.66,-5.17051
6418,0,41.9604,20.0896,21.8439,-0.526641
6482,0,16.2801,1.61712,-34.3981,-6.86927
6354,0,50.797,-35.8065,21.8656,0.765464
6450,0,18.1754,-10.24,46.5223,-4.62788
6322,0,34.5301,-42.3319,-1.02684,-1.14278
6258,0,36.3741,24.9934,-6.49459,-0.188203
6514,0,6.80058,14.9522,-31.9753,-7.41517
6386,0,34.0389,-24.8517,23.979,3.93889
6410,0,50.3423,-15.5739,-13.0095,6.16078
6282,0,26.8841,-11.0529,2.22518,8.84668
6346,0,26.699,-1.62277,48.4695,-4.57812
6442,0,36.3809,-12.8382,9.42498,8.40946
6314,0,40.5026,-45.7252,-11.3187,-3.94413
6250,0,51.1245,-2.52125,-2.75195,7.65956
6506,0,32.8063,-8.8165,49.0857,-5.41128
6298,0,28.2059,-51.5551,7.7047,-6.70648
6234,0,25.717,-48.733,-18.1537,-5.75951
6490,0,16.5734,0.274927,64.6532,-7.51
6362,0,52.9544,-32.0503,15.6809,3.41171
6330,0,38.1062,-2.61252,-22.7415,2.52046
6266,0,36.4032,-27.0763,36.2694,-1.45343
6394,0,33.502,4.85381,-25.6741,-0.385409
6406,0,26.8396,-19.924,46.9656,-6.36849
6278,0,38.4073,8.53779,-9.84508,4.80819
6470,0,26.1275,-45.3572,-23.467,-6.14649
6342,0,25.7677,13.2843,48.0722,-5.26658
6310,0,38.2861,-47.9583,13.6984,-4.99376
6502,0,31.2162,21.0226,44.2048,-7.27201
6374,0,38.3228,-26.0733,-0.769228,6.37434
6422,0,32.0164,9.00107,-28.4341,-3.21032
6294,0,40.054,-52.6205,-8.46203,-6.22638
6358,0,33.047,-31.263,-26.6222,-3.43925
6454,0,30.2122,20.8108,-19.6867,-1.86581
6326,0,50.4476,13.8428,12.4586,4.17924
6262,0,36.0263,-28.9384,41.7168,-5.55578
6414,0,30.9345,-18.9844,22.0984,5.35305
6350,0,30.6162,-1.96132,57.3422,-5.48047
6446,0,28.8354,9.56012,51.3978,-4.77028
6318,0,40.0593,-45.5687,20.9291,-5.17971
6254,0,57.1469,-34.0622,35.063,-3.72375
6510,0,29.1095,31.6234,-19.8778,-6.60619
6382,0,25.0074,15.8513,44.5496,-5.85521
6430,0,41.7839,7.48899,13.1544,6.10373
6302,0,24.6234,-50.8396,-14.073,-5.88321
6238,0,50.3535,-4.46169,-28.5721,-1.10541
6494,0,31.0805,-54.012,-2.5265,-6.76088
6366,0,34.6664,-29.6018,22.0488,3.11098
6334,0,52.6252,-2.53702,-14.5097,5.47593
6270,0,28.2962,1.83878,40.6974,-2.90261
6526,0,26.4146,-31.5515,-33.6432,-7.20124
6398,0,29.4824,4.5312,-8.6962,5.98295
6401,0,36.3708,-19.8247,7.14393,7.80793
6273,0,44.038,-18.3586,-29.4211,-1.78834
6337,0,31.8559,-41.4262,31.0646,-6.3497
6433,0,46.3867,9.88058,19.1353,4.36004
6241,0,39.198,12.5474,-15.6906,2.15249
6417,0,34.3261,-18.0219,41.6786,-2.83611
6481,0,40.5914,-5.10347,-33.7146,-5.39484
6449,0,30.9983,-13.7011,43.5465,-3.49854
6321,0,25.7055,-41.3895,-17.2651,-3.23387
6257,2,39.0054,-31.5366,1.07427,4.43489
6513,0,44.471,15.0824,-29.3604,-5.43241
6385,0,34.8015,-25.9509,12.2202,5.88255
6473,0,28.9627,23.447,37.5884,-7.45673
6441,0,35.3384,9.13565,36.395,-2.60565
6313,0,20.2728,-44.6764,-17.3568,-4.35378
6249,0,46.5844,-40.8002,21.0191,-1.72984
6505,0,11.9979,-12.8182,54.0526,-7.556
6377,0,43.4305,16.861,31.7122,-3.17282
6425,0,41.6801,-16.0032,1.57219,8.57308
6297,0,13.6936,-52.9628,3.46833,-6.80343
6233,0,25.0061,-52.6459,-20.2584,-7.42114
6489,0,40.1795,0.206915,60.9523,-6.09774
6361,0,52.7895,-33.4735,8.36341,3.55125
6457,0,38.8428,10.5837,-23.3745,-0.380599
