Label, Parent Label
6208,5841
6080,5836
5920,5724
6048,5791
5984,5721
6112,5842
6160,5529
5968,5725
6192,5823
5936,5766
6064,5704
6000,5645
6128,5699
6024,5817
5960,5690
6168,5545
5912,5665
6040,5499
6200,5709
6008,5655
6136,5677
6148,5599
6020,5668
5956,5785
6084,5519
6180,5812
5924,5663
6052,5822
6116,5614
6164,5776
6036,5810
6100,5794
5940,5545
6004,5499
6132,5845
5900,5665
6092,5614
5932,5830
6060,5839
6172,5814
5916,5804
6044,5784
6108,5601
6204,5693
6076,5837
5884,5860
6146,5524
5954,5685
6082,5848
6178,5789
5922,5647
6050,5825
6114,5726
6162,5495
6034,5668
5938,5498
6130,5826
5898,5594
6218,5684
5962,5574
6090,5850
5914,5647
6042,5807
5978,5723
6202,5576
5946,5779
6074,5572
6010,5646
5882,5659
6138,5751
5894,5675
6086,5794
6182,5690
6118,5603
6166,5778
5910,5833
6102,5834
6198,5863
6070,5556
6006,5756
6134,5543
5902,5575
5966,5862
6190,5664
5934,5543
6062,5572
5998,5721
6174,5549
5918,5568
5982,5729
6206,5571
6014,5564
5886,5645
6145,5650
5889,5797
5953,5790
6081,5581
6177,5501
5921,5848
6049,5824
6033,5563
6097,5727
6193,5683
5937,5541
6001,5771
6153,5745
6217,5670
6089,5706
5929,5703
6057,5579
5993,5861
6121,5737
6201,5709
6073,5782
6009,5648
6137,5764
6021,5655
6085,5844
6053,5691
6165,5764
5909,5822
6037,5682
5973,5719
6005,5641
6157,5779
5901,5808
6029,5768
5997,5762
5869,5832
6125,5842
6173,5816
5981,5713
6109,5850
6077,5838
6013,5781
5885,5641
6147,5809
5891,5760
6019,5788
5923,5656
6051,5757
6115,5741
5907,5575
6035,5808
6099,5804
6195,5864
6003,5757
6131,5523
6155,5532
6027,5564
5963,5840
6187,5816
6059,5652
6123,5710
6171,5778
5915,5843
6107,5849
5947,5501
6075,5784
5883,5644
6139,5754
6023,5799
5959,5576
6055,5701
6167,5673
6039,5511
5975,5588
6103,5724
6135,5599
6159,5529
5903,5537
6095,5593
6175,5560
6047,5791
6079,5839
5887,5659
