Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
1792,30.9185,30.9185,8.70088,-25.2533,13.9649
1664,25.8066,25.8066,-28.9442,19.0573,7.09553
1920,27.8821,27.8821,19.0071,-41.156,4.35811
1728,36.0632,36.0632,-0.489637,-28.0769,13.8923
1984,34.6539,34.6539,41.2459,-36.8832,-5.78921
1696,21.8772,21.8772,-17.8722,40.0068,1.03008
1632,30.4162,30.4162,9.56015,-9.05611,15.643
1888,33.6299,33.6299,-32.0061,-12.7717,9.66312
1760,34.2672,34.2672,49.0462,16.5633,-3.07887
2016,28.6452,28.6452,25.9862,-43.2065,-0.373752
2064,45.3377,45.3377,28.1412,14.1055,9.39445
1808,24.7336,24.7336,35.6587,-32.2779,1.58292
1680,39.8116,39.8116,18.8711,22.399,9.97953
1936,35.7199,35.7199,-23.7938,19.4364,9.28823
1616,22.1731,22.1731,8.58254,-20.3142,15.1185
1872,28.222,28.222,13.5876,1.17671,14.8337
1584,30.3024,30.3024,2.41568,36.255,6.41286
1648,28.3216,28.3216,-35.8016,5.85774,7.6201
1904,25.0068,25.0068,15.7375,31.7913,7.3544
2032,29.904,29.904,-5.24194,-32.9131,11.5048
2056,44.2337,44.2337,-4.71509,28.9604,9.76957
1800,22.4521,22.4521,8.37349,10.2403,14.4195
1672,19.3814,19.3814,-24.6098,-38.458,2.27808
1928,34.0084,34.0084,-23.6072,-35.473,4.70491
1992,42.2183,42.2183,-13.4688,-26.6752,12.8783
2088,32.8825,32.8825,0.275276,-43.8814,5.60854
1832,27.8743,27.8743,-40.8468,16.9184,0.70614
1704,33.1911,33.1911,-13.4702,-41.4702,5.18979
1640,31.153,31.153,13.4374,-42.756,4.96803
1768,25.499,25.499,6.01975,12.9523,14.2675
2072,24.8142,24.8142,44.5421,26.7215,-3.42412
1816,38.4016,38.4016,51.4777,-22.9125,-5.05022
1688,27.7312,27.7312,-19.0538,24.6448,8.81901
1944,33.2454,33.2454,52.0248,-0.526174,-2.24435
1624,33.5754,33.5754,7.74684,46.3833,-1.78362
1880,53.7517,53.7517,38.3598,-22.898,4.18021
2008,31.7542,31.7542,-10.8365,-33.5557,10.4828
1848,30.8298,30.8298,-39.589,12.1136,3.30101
1976,34.194,34.194,-16.948,-6.17359,15.3594
1656,28.7149,28.7149,-30.3328,-3.0327,11.5038
1912,36.3436,36.3436,-27.7676,-18.7364,10.3365
1796,26.1521,26.1521,30.2457,6.34401,10.0321
1604,33.8401,33.8401,33.719,11.2996,7.65039
1860,34.5673,34.5673,-36.2636,-15.248,6.41096
2084,32.8099,32.8099,1.66284,-52.0596,0.53038
1700,22.1845,22.1845,23.7323,-30.9662,8.20142
1636,40.9393,40.9393,11.3466,40.7737,2.60044
1892,15.6601,15.6601,15.0313,-39.8807,6.51178
2068,49.292,49.292,28.1905,30.6803,3.97742
1812,27.3238,27.3238,0.749448,47.1206,-2.13282
1684,26.9951,26.9951,-20.9781,17.2972,11.0467
1940,33.9693,33.9693,40.8033,-16.4819,4.3015
1876,22.1349,22.1349,-33.9201,-7.21238,9.41938
1844,29.5184,29.5184,-38.3505,-19.1165,3.75027
1972,34.7945,34.7945,-17.3104,-29.4972,10.5462
2036,32.6004,32.6004,-5.51163,-6.67193,16.1922
2060,33.1313,33.1313,27.7769,2.42096,11.5127
1676,21.313,21.313,-22.5258,25.6558,7.03722
1932,31.7499,31.7499,-22.7749,-4.84055,14.2099
1740,33.7246,33.7246,1.45333,-14.2699,16.0011
1996,41.5109,41.5109,-12.8276,4.83405,14.9605
2092,27.1422,27.1422,-38.0821,20.7855,1.36731
1836,23.4515,23.4515,10.4292,6.39672,14.5532
1708,32.944,32.944,-10.5984,25.4401,10.4583
2076,39.4081,39.4081,-1.96257,21.4404,12.5939
1692,48.5471,48.5471,2.05827,-21.3477,15.379
1948,34.3084,34.3084,40.2177,3.49328,5.36475
1884,34.5789,34.5789,47.5714,-22.8491,-2.37681
2012,21.7099,21.7099,-11.5979,16.5632,13.2578
1596,19.2174,19.2174,6.89156,-42.7987,6.08914
1724,37.2265,37.2265,-4.72655,-22.2208,15.408
1980,30.9442,30.9442,-15.9416,22.0828,10.6846
1660,31.7206,31.7206,-28.4744,-34.9504,2.31818
1916,25.2154,25.2154,-26.6449,-3.7124,13.0819
1788,31.9528,31.9528,8.88531,-38.4473,8.41554
2044,29.8608,29.8608,49.3525,-7.73984,-0.661645
2050,30.7773,30.7773,-3.24177,-10.9303,16.2309
1666,33.1001,33.1001,16.4623,39.8544,2.41624
1730,22.3058,22.3058,27.3628,44.7867,-5.2644
1954,38.6133,38.6133,40.8041,14.2919,3.2422
1890,31.8314,31.8314,38.9186,-4.11007,6.47791
1762,31.908,31.908,32.6433,-7.99189,10.0891
2018,34.5945,34.5945,26.3709,-33.0906,6.08371
2066,41.0579,41.0579,29.278,20.6073,7.31949
1938,31.7212,31.7212,17.8987,13.2022,12.4679
1874,43.798,43.798,-33.2767,-23.9355,5.06719
1714,30.808,30.808,-8.72477,-24.3611,14.6206
1650,30.6836,30.6836,13.8814,48.2214,-4.43285
1778,38.4736,38.4736,2.26123,25.3962,11.2527
2034,38.3112,38.3112,25.2542,24.5871,7.52978
2058,35.6346,35.6346,27.1876,-4.24116,12.2636
1674,28.2678,28.2678,-22.8866,1.84054,13.7898
1930,33.7574,33.7574,-24.9098,-15.5571,12.4364
1994,35.5947,35.5947,44.3991,-26.3827,-1.36264
2090,31.2404,31.2404,-31.0025,23.1664,4.27194
1962,29.0475,29.0475,-20.819,33.4447,3.60504
1642,38.5264,38.5264,49.7577,11.388,-2.27437
1770,29.6901,29.6901,33.2411,2.92483,9.22469
2026,23.7468,23.7468,-9.9003,43.3154,0.373946
1818,41.7196,41.7196,-43.2844,-3.3515,2.31493
1690,24.12,24.12,21.0025,38.4707,2.21671
1946,44.0505,44.0505,-20.4586,7.28773,13.3648
1882,34.0193,34.0193,14.0783,45.0515,-1.43015
2010,45.8978,45.8978,-10.5607,-12.51,16.0012
1978,32.9589,32.9589,21.6813,46.3873,-4.72204
2054,28.6569,28.6569,28.1376,-15.1403,11.3338
1798,23.5493,23.5493,8.8379,1.90439,15.1181
1670,37.1479,37.1479,-26.4535,30.1011,2.9987
1926,34.0322,34.0322,53.0156,-14.2656,-3.67988
1862,22.7903,22.7903,13.511,-24.5156,13.3584
1990,41.7044,41.7044,23.0551,-39.8917,3.44323
2086,28.1531,28.1531,0.720802,-48.077,3.07644
1830,30.8877,30.8877,-41.2882,7.91802,3.04178
1702,38.4403,38.4403,41.9904,-10.6911,4.19198
1958,34.4604,34.4604,22.1812,-17.7982,12.8344
1766,29.2224,29.2224,32.5339,-3.3025,10.0691
2070,38.7485,38.7485,46.3557,22.0898,-2.94535
1686,35.6898,35.6898,-21.7736,-20.4036,12.4045
1942,27.9699,27.9699,-21.5552,-43.8456,0.343979
1622,25.5111,25.5111,8.58172,37.2663,5.44434
1878,27.8286,27.8286,-34.831,10.3789,7.08145
1750,25.6945,25.6945,7.34174,-45.7225,4.19083
1846,27.778,27.778,-38.2234,-0.863464,6.75138
1718,24.7996,24.7996,-8.69415,13.824,14.0922
1974,38.9204,38.9204,-15.6384,-19.0499,14.5622
2038,22.217,22.217,-6.39171,-1.24718,16.0035
2062,23.6023,23.6023,46.4871,5.81229,0.999454
1806,33.5142,33.5142,8.76708,33.2278,7.71096
1678,20.6074,20.6074,52.533,-6.44053,-2.51503
1934,36.8199,36.8199,-25.8189,11.3352,10.9085
1614,52.4635,52.4635,8.12714,-31.6671,11.54
1742,28.7025,28.7025,2.40201,-8.64109,15.9976
1998,30.6585,30.6585,43.7076,-19.7564,1.47252
1902,41.4354,41.4354,14.8014,8.39891,13.8009
1630,27.7866,27.7866,-42.6447,-17.6229,0.956713
1886,30.5495,30.5495,-32.3205,-30.8283,2.41173
2014,33.6797,33.6797,-9.41425,47.5348,-3.34849
1726,42.2332,42.2332,-5.09525,4.95276,15.4026
1982,39.8968,39.8968,-16.7819,31.2031,6.25237
2049,36.7211,36.7211,-4.32689,-16.1837,16.0512
1793,32.0716,32.0716,2.30509,39.9345,4.03354
1921,35.3046,35.3046,18.4224,-35.7195,7.63567
1729,38.1358,38.1358,44.6332,15.0106,0.545616
2081,27.8554,27.8554,31.1177,-40.5561,-1.40282
1953,35.6499,35.6499,-18.4733,-43.1471,2.31491
1633,32.7083,32.7083,11.5866,15.2834,13.2856
1889,21.6008,21.6008,17.0715,-46.7018,1.31745
1761,19.2038,19.2038,4.2909,-5.89823,15.7564
2017,37.7781,37.7781,-7.48735,-41.8103,6.19791
1937,25.1442,25.1442,-23.7471,27.8308,5.35472
1617,44.0167,44.0167,6.90299,-14.8989,15.7308
2001,24.295,24.295,-13.5359,44.3283,-1.10423
1841,35.1516,35.1516,9.97408,24.5141,10.834
1713,33.6265,33.6265,-10.9249,-45.74,2.88316
1969,25.0074,25.0074,-17.4489,-39.0905,5.47609
1649,22.4079,22.4079,-34.4028,15.3857,5.67786
2033,34.2355,34.2355,-6.59347,-29.1825,13.2327
2057,35.2986,35.2986,-3.14997,33.8356,7.59033
1801,29.5268,29.5268,-45.9061,3.17519,-0.710643
1673,35.7721,35.7721,17.2223,-15.0565,14.5135
1929,39.1221,39.1221,-24.2055,-26.3899,9.10449
1865,35.1892,35.1892,12.7277,-18.6735,14.8258
1993,27.0923,27.0923,-12.8294,-8.37259,15.9361
2089,45.9435,45.9435,0.767582,-34.4963,10.7535
1705,25.4085,25.4085,43.4129,-4.71581,3.57798
1961,26.4995,26.4995,39.0985,31.2173,-1.79585
1897,43.458,43.458,37.7016,10.9864,5.693
2073,27.4392,27.4392,-3.2297,9.55242,14.9489
1689,46.3504,46.3504,30.0885,35.7773,0.330626
1945,31.4982,31.4982,-21.8658,-10.3777,14.1662
1753,33.9669,33.9669,31.932,-26.7855,6.55303
2009,29.6627,29.6627,43.4491,0.816964,3.46218
1849,28.5858,28.5858,35.06,31.7524,0.30634
1977,37.3934,37.3934,20.814,43.0937,-1.42111
1657,20.9671,20.9671,-31.4833,30.2711,0.833797
1913,38.2479,38.2479,31.9339,26.1064,4.3746
2041,23.5276,23.5276,-4.70332,45.0773,-0.46947
2053,22.2802,22.2802,46.0727,-6.69048,1.63658
1669,17.1163,17.1163,-27.0815,22.5117,6.53996
1861,22.2629,22.2629,12.8455,-36.4565,8.80455
1989,28.8022,28.8022,42.7729,-31.5901,-2.80721
2085,31.5783,31.5783,31.1769,-35.7158,1.99828
1829,46.1516,46.1516,-41.6511,-12.5618,2.75626
1637,45.2314,45.2314,-37.5208,-7.81954,6.83142
1765,21.033,21.033,5.14915,4.81234,15.1306
2021,36.3388,36.3388,25.9507,-21.3289,10.8281
2069,25.0867,25.0867,2.21181,7.36515,15.1313
1685,24.4909,24.4909,-21.983,42.5759,-1.98331
1877,40.1877,40.1877,-33.5577,-0.273965,9.68105
1749,31.387,31.387,7.13719,-50.0767,1.48965
1845,33.394,33.394,36.6461,25.5938,2.25165
1717,45.1697,45.1697,-10.882,-1.67578,15.7871
1973,44.0348,44.0348,21.8394,33.1008,5.11309
