Label, Parent Label
3072,9905
3328,9988
3456,9875
3520,9659
3104,9883
3360,9765
3168,9750
3296,10002
3344,9737
3216,9820
3536,10043
3120,10100
3248,9827
3312,10049
3056,9920
3336,10021
3208,9846
3144,9972
3528,9675
3112,9859
3240,9810
3176,9642
3304,9891
3048,9782
3096,9983
3352,10032
3128,9905
3256,10023
3192,10057
3320,9900
3332,10084
3140,9955
3268,9726
3108,9678
3364,9687
3172,9984
3428,9709
3300,9950
3044,9959
3220,9827
3156,9675
3284,10031
3252,9794
3444,10005
3060,9759
3084,9855
3340,10086
3212,9693
3148,9956
3276,10049
3532,9922
3116,9691
3244,9851
3500,9987
3180,9641
3308,9905
3100,10057
3228,9760
3164,9699
3420,9894
3292,9813
3036,9958
3132,9893
3260,10098
3452,10014
3324,9869
3068,9986
3330,9982
3266,9879
3106,9912
3362,10073
3170,9971
3298,9919
3042,9953
3090,10090
3346,10051
3154,9907
3282,10055
3538,10060
3250,9958
3186,10109
3314,9918
3058,9782
3338,9711
3274,10003
3530,9895
3114,10089
3242,9953
3498,9957
3050,9978
3226,10009
3290,10028
3034,10019
3130,9905
3258,9715
3194,10086
3322,9733
3066,9762
3078,9663
3206,9809
3398,10010
3270,9999
3238,9660
3174,10075
3302,9883
3094,9846
3350,9985
3158,9741
3126,10019
3254,10021
3190,10092
3446,9733
3318,9893
3062,9922
3214,9818
3470,9726
3150,9786
3534,9937
3246,10095
3502,9824
3054,9700
3486,9874
3422,9808
3038,9810
3134,9918
3518,10010
3198,10027
3454,9988
3326,9643
3070,10008
3329,9911
3265,9687
3521,9781
3105,9912
3361,9693
3169,9955
3297,9876
3041,10111
3345,10109
3537,10060
3121,9935
3249,10045
3185,9732
3313,10110
3057,9743
3273,9984
3529,9908
3113,9641
3369,9999
3241,9795
3497,9957
3177,9797
3305,10025
3097,10001
3225,9875
3161,9811
3129,10073
3193,9859
3321,9921
3333,9642
3205,10088
3269,9740
3365,9934
3093,10100
3349,9935
3221,9972
3509,10115
3189,10101
3061,10087
3341,9919
3149,10054
3277,9820
3117,9871
3373,10005
3501,9824
3181,9760
3437,9781
3309,9723
3053,9691
3229,9798
3165,10040
3293,10008
3261,10029
3069,9985
3331,10011
3139,9969
3267,9764
3107,9913
3363,10089
3235,9872
3171,9788
3299,9784
3043,9793
3347,9786
3219,9869
3155,9730
3283,10042
3539,9808
3123,9987
3507,10114
3083,9740
3339,9952
3211,9816
3275,9851
3499,9987
3179,9973
3099,10054
3355,9936
3163,9753
3291,9670
3131,9670
3451,10045
3323,9932
3079,9712
3335,9947
3463,9855
3143,9699
3399,9872
3271,10002
3111,9894
3175,9754
3303,10084
3047,10098
3351,9874
3223,10007
3159,9908
3383,10118
3063,9969
3087,9713
3343,10094
3151,10024
3279,9938
3119,9949
3247,9855
3183,9643
3439,9934
3311,9788
3055,10071
3039,9650
3263,9925
3519,9659
3199,9755
3327,10014
3071,9709
