Label, Parent Label
544,319
608,182
480,73
592,3
720,240
560,94
776,236
584,339
712,415
744,334
488,337
600,348
472,73
568,135
632,359
516,78
580,335
708,413
660,302
596,11
692,94
500,45
780,204
652,112
684,99
620,106
492,229
732,236
636,361
514,221
770,277
482,153
786,63
658,42
466,95
562,62
626,149
778,4
650,407
554,409
490,128
602,215
570,319
506,106
774,407
710,112
614,336
486,429
534,233
790,259
598,27
470,348
758,86
654,398
718,229
606,182
734,33
478,323
510,249
513,398
769,296
545,62
529,204
657,260
593,135
561,95
625,147
521,396
665,415
601,339
729,413
697,42
709,128
549,78
485,157
597,337
693,4
629,11
717,409
685,103
621,364
797,277
477,336
611,346
483,9
595,335
467,149
523,279
779,86
587,364
555,233
747,62
603,215
731,296
571,323
635,45
519,103
775,221
615,361
487,334
791,259
471,429
631,27
759,63
503,99
655,147
591,3
559,33
687,396
623,9
751,302
495,346
799,279
607,249
735,260
575,240
511,359
