Label,Value,Area (micro m^2),Center_X,Center_Y,Center_Z
3584,0,39.4798,22.0438,23.8543,10.6789
3648,0,22.7001,-0.378707,-9.71172,17.3825
3392,0,31.4844,8.38331,22.4507,15.2676
3520,0,26.8626,-23.1999,-2.58086,15.9952
3616,0,28.769000000000002,-5.4526,-7.293080000000001,17.7253
3360,0,26.4217,26.3923,-15.6711,11.9013
3488,0,38.1297,16.3682,15.4826,16.0048
3424,0,49.5656,9.438080000000001,17.71,16.672
3552,0,35.5673,20.3663,1.59647,15.9717
3472,0,42.2665,-32.5089,5.735580000000001,11.9489
3536,0,56.715,-22.0594,10.3918,16.5196
3632,0,33.1143,-4.01514,-28.3087,13.0176
3312,0,46.6272,37.8816,9.263539999999999,5.94606
3336,0,48.567,20.4643,-20.7513,12.4214
3464,0,33.3952,-35.8015,-18.3771,6.76001
3656,1,33.6534,-0.29587600000000003,-42.4622,5.22075
3528,0,36.9792,4.49181,-45.0232,2.1412400000000003
3624,0,19.1653,34.4439,-16.9073,7.9218
3304,0,43.4402,-33.7473,-1.5593,10.5502
3608,0,38.3804,-9.0766,33.6404,10.051
3480,0,21.1161,36.7412,-7.80007,8.59642
3416,0,30.8692,35.4881,-31.4328,-0.523816
3544,0,49.9928,4.66162,-38.2666,7.4114
3448,0,41.6035,14.52,-32.8952,8.5999
3588,0,43.0669,-11.6866,2.34402,18.3026
3652,0,33.8537,-1.10175,33.9528,11.0419
3396,0,42.5883,31.9126,12.5518,9.35137
3620,0,34.2998,-6.881689999999999,12.0461,18.2445
3364,0,24.429000000000002,-6.31721,26.125,14.1238
3556,0,37.3702,21.3186,17.8397,13.628
3348,1,33.9698,-13.7767,29.1699,11.5027
3668,0,25.9823,-26.8823,-32.3767,8.23408
3284,0,26.8991,2.2085,2.08968,18.552
3636,0,31.7069,-3.8999,-0.225561,18.3173
3380,0,40.571,0.29079499999999997,11.0804,18.403
3316,0,31.5377,-28.4263,0.326847,14.2086
3596,0,29.0867,42.6708,-19.8785,2.08285
3660,1,29.3437,0.09994460000000001,30.2675,12.5319
3532,1,24.5596,-21.0815,-27.7456,11.4278
3628,0,24.3443,-3.41845,-48.4458,0.147676
3372,0,29.5026,-0.95268,-46.5756,1.7251299999999998
3500,0,32.8973,9.3485,-42.1033,3.6287599999999998
3436,0,40.1379,34.9715,15.8564,5.67128
3308,0,31.9579,16.3964,21.2444,14.1876
3564,0,34.955999999999996,-16.3538,-15.6111,15.5246
3356,0,30.2441,-8.69481,-47.8351,1.2637200000000002
3484,1,28.703000000000003,-31.069000000000003,-17.2412,9.96528
3420,0,38.6318,3.9389199999999995,-13.1658,16.7238
3292,0,30.5444,13.9729,-14.2452,15.8398
3548,1,27.0333,-19.1939,-31.3572,10.5176
3644,0,35.9555,32.5187,-5.07825,10.8714
3330,0,36.4304,-24.7752,-9.02834,14.3379
3650,0,44.5693,-2.15341,6.28835,18.5721
3394,0,33.5574,9.08076,26.258000000000003,13.6458
3522,0,38.4103,-24.9802,16.4165,14.4198
3362,0,34.0181,25.8798,13.5825,12.8241
3490,0,27.0656,16.4591,24.7594,12.7154
3554,0,37.6493,22.0142,10.8095,15.1672
3602,0,47.4501,44.3198,-14.4884,2.88049
3346,0,30.3968,-12.8108,-18.2277,15.5421
3410,0,38.7868,3.01871,-25.5684,13.8005
3282,0,31.8144,34.2544,-20.6259,6.680339999999999
3538,0,37.4267,21.3025,-38.8116,1.92137
3634,0,26.2627,-3.12705,-13.9171,17.0111
3378,0,30.4893,32.0828,2.18357,11.217
3338,0,41.1941,-18.1138,6.4867300000000006,17.6827
3658,0,37.2699,8.72734,-29.4924,11.6438
3498,1,28.0548,-29.0616,-13.9519,11.7464
