Label,Value,Area (micro m^2),Center_X,Center_Y,Center_Z
3200,30.9194,30.9194,-12.9762,-31.1174,7.60603
2944,25.0557,25.0557,32.8652,8.03523,7.812
3232,30.8839,30.8839,-9.36611,-18.5079,14.1019
2960,29.6075,29.6075,-2.37585,-11.9668,16.127
3152,38.7452,38.7452,-22.0467,17.8993,13.7723
3024,22.0605,22.0605,28.7976,-9.1581,9.91571
2992,29.7015,29.7015,-4.9427,-26.7022,11.07
3184,31.7793,31.7793,-17.5063,-25.9412,9.397
3208,34.751,34.751,-13.097,29.1963,13.3324
2952,28.0136,28.0136,6.30367,-26.218,10.964
3272,41.513,41.513,-2.42585,20.3098,16.8664
3176,29.4878,29.4878,20.1778,23.8954,10.577
3096,26.8076,26.8076,11.8435,12.6956,16.3835
2968,30.6482,30.6482,26.4391,-3.97596,11.8263
3160,41.1502,41.1502,6.17256,-20.3085,13.6207
3128,45.1296,45.1296,3.65607,-15.0088,15.387
3000,52.8787,52.8787,-2.05936,26.4019,15.2418
3192,29.0436,29.0436,-16.2274,23.4143,14.5835
2936,24.755,24.755,27.3797,16.0296,9.53942
3204,21.5474,21.5474,21.0458,-19.1728,10.6144
3012,22.3167,22.3167,2.57923,18.5446,16.9181
3108,23.0477,23.0477,-27.7613,5.02893,13.0022
3236,38.84,38.84,-8.1778,6.68285,17.773
2980,45.4285,45.4285,-10.3234,-0.592692,16.9775
3172,32.4633,32.4633,-18.788,5.19614,16.0047
3220,40.2254,40.2254,-11.6153,-25.5323,10.7653
3188,32.7393,32.7393,-15.7442,-6.57783,15.7085
2932,30.5687,30.5687,26.9019,11.2513,10.8627
2956,47.7693,47.7693,18.8886,13.2571,14.1531
3148,30.9758,30.9758,24.5386,-17.631,9.73108
3020,28.0658,28.0658,-4.40312,37.2839,9.90395
3116,44.0761,44.0761,34.1666,1.56084,7.45987
2988,31.2301,31.2301,6.55333,37.2495,8.85107
3180,43.7763,43.7763,28.0279,-27.4084,3.62504
2924,30.1226,30.1226,3.33232,-30.1552,9.08644
3052,33.4184,33.4184,30.606,21.5139,6.42713
3100,25.0629,25.0629,2.18485,4.28044,17.8455
3132,41.4762,41.4762,-23.5157,-14.3252,12.0889
3202,35.7116,35.7116,21.5475,-27.4697,6.29899
2946,51.035,51.035,15.3467,0.313131,16.0108
3138,30.2146,30.2146,15.6224,23.319,12.6037
3266,19.1521,19.1521,26.4614,20.1146,8.88718
3106,38.051,38.051,32.2751,-14.3244,6.85544
3170,29.177,29.177,-20.7847,-0.924981,15.1296
2898,42.8277,42.8277,8.75344,4.92522,17.3123
3122,31.5171,31.5171,15.647,-29.1722,7.20915
3250,36.2187,36.2187,23.0773,25.8982,8.74565
3210,39.6054,39.6054,21.0857,7.63857,14.1098
2890,21.0212,21.0212,28.5923,-15.473,8.52023
3274,30.4316,30.4316,6.80203,25.8999,14.1805
3242,29.1714,29.1714,-0.317512,32.8072,12.5021
2986,28.5277,28.5277,-5.59392,-22.4087,13.0693
2922,34.9492,34.9492,41.1938,7.68592,1.4107
3050,42.4848,42.4848,29.5519,-0.0222598,10.3211
3002,32.594,32.594,2.35299,8.58021,18.0061
3194,38.4142,38.4142,33.7123,11.1864,6.71323
3066,27.0601,27.0601,42.7233,0.428245,0.87561
3206,39.1341,39.1341,20.302,-13.5472,12.6635
2950,44.4747,44.4747,-23.1046,-21.8025,9.6899
3142,37.3051,37.3051,8.10318,-34.6614,5.37888
3270,49.5969,49.5969,-3.66911,13.5189,17.9249
3014,28.0595,28.0595,5.007,22.8293,15.5465
3238,31.6988,31.6988,-10.3275,34.44,11.2029
2982,27.7905,27.7905,-8.77802,30.0522,13.8204
2918,29.6551,29.6551,0.771414,-25.2587,11.9885
3046,41.3395,41.3395,10.7763,-24.9246,10.7923
3126,30.2235,30.2235,16.187,-20.5834,11.5947
3190,29.5852,29.5852,-16.2809,11.5211,16.5792
3062,22.4382,22.4382,11.8383,23.5233,13.7864
3086,37.6248,37.6248,13.0145,-17.6612,13.4923
2958,38.5983,38.5983,-3.68796,-16.8635,15.0492
3150,38.5686,38.5686,-21.1872,11.2689,15.1109
3118,25.1422,25.1422,-25.4089,13.115,13.1189
3182,38.3309,38.3309,35.6298,-7.47343,6.11583
3102,40.2299,40.2299,13.9689,32.3127,9.61555
3230,36.2381,36.2381,-7.77168,-30.8839,8.50924
3038,24.6912,24.6912,3.36467,36.377,9.94978
3134,42.4494,42.4494,15.8907,6.52212,15.8949
3006,30.4109,30.4109,2.67915,13.2106,17.7155
2942,28.015,28.015,-26.5381,-8.10395,12.7429
3201,19.2913,19.2913,22.4127,-31.2477,3.60666
2945,35.6791,35.6791,15.7886,-32.7581,4.84997
3265,42.2653,42.2653,-4.5898,-7.16096,16.6737
3233,27.4421,27.4421,-8.72056,-12.4427,15.7799
3169,33.6979,33.6979,-18.4788,-12.4397,14.0426
2913,45.3584,45.3584,12.625,17.8926,15.2095
3025,37.2955,37.2955,29.2804,-21.1051,6.20864
3249,27.7291,27.7291,37.9387,-0.861192,4.92796
3273,24.032,24.032,21.6299,19.8244,11.3031
