label, neighbor, wall area
2890,3024,2.15601
2890,3025,3.4377
2890,3106,7.57197
2890,3148,4.32483
2890,3179,3.93576
2891,2982,5.50886
2891,3000,5.23012
2891,3020,2.96323
2891,3238,2.35161
2891,3242,6.90938
2898,2946,3.62362
2898,2959,0.0532179
2898,2997,2.73774
2898,3002,3.17495
2898,3013,5.06707
2898,3019,7.53691
2898,3100,3.91993
2898,3134,3.45494
2901,2905,6.86557
2901,2988,3.53723
2901,3038,1.41847
2901,3063,5.06471
2901,3102,1.74246
2901,3274,2.95216
2905,2901,6.86557
2905,3000,3.04778
2905,3038,3.16462
2905,3242,5.05842
2905,3274,4.2583
2913,2956,4.71027
2913,3014,0.976382
2913,3062,5.20812
2913,3096,6.13342
2913,3138,3.72451
2913,3213,2.52726
2913,3227,6.06948
2917,2932,7.37736
2917,2944,5.28842
2917,2985,3.75676
2917,3050,5.99888
2917,3116,2.62201
2917,3210,5.27775
2918,2921,6.73354
2918,2924,3.35194
2918,2952,3.87698
2918,2986,0.804775
2918,2992,4.66451
2918,3157,2.71973
2918,3160,2.38933
2921,2918,6.73354
2921,2958,4.64176
2921,2986,4.41325
2921,3128,2.66489
2921,3160,3.97543
2922,2989,8.20957
2922,3066,1.44784
2922,3194,2.03379
2922,3253,4.56174
2924,2918,3.35194
2924,2952,5.06413
2924,3001,4.4178
2924,3142,1.75607
2924,3151,4.42699
2924,3157,5.38958
2932,2917,7.37736
2932,2936,4.17755
2932,2944,2.62325
2932,2956,3.23794
2932,3194,2.80997
2932,3210,1.83109
2932,3213,2.2948
2936,2932,4.17755
2936,3123,4.17606
2936,3194,2.4636
2936,3213,3.07382
2936,3266,5.73558
2936,3273,2.12536
2942,2943,5.14065
2942,3132,4.11919
2942,3147,5.87789
2943,2942,5.14065
2943,3108,3.8872
2943,3135,3.4448
2943,3147,2.92394
2943,3170,4.70391
2944,2917,5.28842
2944,2932,2.62325
2944,2989,1.47783
2944,3116,5.35692
2944,3194,9.97145
2945,3001,2.77602
2945,3122,10.0644
2945,3142,2.87597
2945,3201,3.11429
2945,3235,1.4282
2946,2898,3.62362
2946,2955,7.04114
2946,2985,4.55781
2946,3013,4.96819
2946,3091,2.86832
2946,3134,7.9715
2950,3132,4.33351
2950,3167,8.02557
2950,3184,3.2541
2952,2918,3.87698
2952,2924,5.06413
2952,3001,2.99104
2952,3046,7.40951
2952,3160,4.57312
2955,2946,7.04114
2955,2985,2.62674
2955,3091,5.76862
2955,3129,2.9956
2955,3207,8.48257
2956,2913,4.71027
2956,2932,3.23794
2956,3096,3.79993
2956,3134,3.18848
2956,3210,7.17671
2956,3213,10.4095
2958,2921,4.64176
2958,2960,7.71864
2958,2986,3.99964
2958,3128,3.82683
2958,3232,4.92968
2958,3233,2.80096
2959,2898,0.0532179
2959,2997,3.71697
2959,3011,4.46769
2959,3013,7.29061
2959,3085,5.64521
2959,3197,2.71316
2960,2958,7.71864
2960,3128,2.99482
2960,3197,4.84045
2960,3233,2.30104
2960,3265,7.35014
2965,3167,2.26897
2965,3169,5.77929
2965,3188,3.21668
2965,3203,2.97254
2965,3221,2.45781
2965,3232,2.43979
2965,3233,6.91902
2968,2985,5.04679
2968,3024,3.21175
2968,3035,1.91666
2968,3050,6.6516
2968,3179,2.92278
2968,3207,4.26981
2980,2995,3.14179
2980,3188,0.809413
2980,3189,6.02869
2980,3205,4.37398
2980,3221,6.49638
2980,3236,3.56271
2980,3265,1.49557
2980,3267,3.91818
2981,2982,2.92586
2981,3000,6.04467
2981,3191,2.96441
2981,3192,4.41662
2981,3208,3.97153
2981,3237,5.8815
2981,3272,4.23949
2982,2891,5.50886
2982,2981,2.92586
2982,3000,2.37647
2982,3208,7.4067
2982,3238,5.30772
2983,3025,4.69819
2983,3125,3.48067
2983,3148,4.56519
2983,3180,2.73588
2983,3202,8.15989
2983,3204,3.84522
2985,2917,3.75676
2985,2946,4.55781
2985,2955,2.62674
2985,2968,5.04679
2985,3050,4.49429
2985,3134,1.35238
2985,3207,2.17269
2985,3210,4.65371
2986,2918,0.804775
2986,2921,4.41325
2986,2958,3.99964
2986,2992,6.73904
2986,3220,3.25768
2986,3232,4.63117
