Label,Value,Area (micro m^2),Center_X,Center_Y,Center_Z
3200,1,30.9194,-12.9762,-31.1174,7.6060300000000005
2944,0,25.0557,32.8652,8.03523,7.812
3232,0,30.8839,-9.36611,-18.5079,14.1019
2960,0,29.6075,-2.37585,-11.9668,16.127
3152,1,38.7452,-22.0467,17.8993,13.7723
3024,0,22.0605,28.7976,-9.1581,9.91571
2992,0,29.7015,-4.9427,-26.7022,11.07
3184,1,31.7793,-17.5063,-25.9412,9.397
3208,1,34.751,-13.097000000000001,29.1963,13.3324
2952,0,28.0136,6.303669999999999,-26.218000000000004,10.964
3272,0,41.513000000000005,-2.42585,20.3098,16.8664
3176,0,29.4878,20.1778,23.8954,10.577
3096,0,26.8076,11.8435,12.6956,16.3835
2968,0,30.6482,26.4391,-3.9759599999999997,11.8263
3160,0,41.1502,6.17256,-20.3085,13.6207
3128,0,45.1296,3.6560699999999997,-15.0088,15.387
3000,0,52.8787,-2.05936,26.4019,15.2418
3192,0,29.0436,-16.2274,23.4143,14.5835
2936,0,24.755,27.3797,16.0296,9.53942
3204,0,21.5474,21.0458,-19.1728,10.6144
3012,0,22.3167,2.57923,18.5446,16.9181
3108,1,23.0477,-27.7613,5.02893,13.0022
3236,0,38.84,-8.1778,6.68285,17.773
2980,0,45.4285,-10.3234,-0.592692,16.9775
3172,0,32.4633,-18.788,5.19614,16.0047
3220,0,40.2254,-11.6153,-25.5323,10.7653
3188,0,32.7393,-15.7442,-6.5778300000000005,15.7085
2932,0,30.5687,26.9019,11.2513,10.8627
2956,0,47.7693,18.8886,13.2571,14.1531
3148,0,30.9758,24.5386,-17.631,9.73108
3020,1,28.0658,-4.4031199999999995,37.2839,9.90395
3116,0,44.0761,34.1666,1.56084,7.45987
2988,1,31.2301,6.55333,37.2495,8.85107
3180,1,43.7763,28.0279,-27.4084,3.6250400000000003
2924,0,30.1226,3.3323199999999997,-30.1552,9.08644
3052,1,33.4184,30.605999999999998,21.5139,6.42713
3100,0,25.0629,2.18485,4.2804400000000005,17.8455
3132,1,41.4762,-23.5157,-14.3252,12.0889
3202,0,35.7116,21.5475,-27.4697,6.29899
2946,0,51.035,15.3467,0.313131,16.0108
3138,0,30.2146,15.6224,23.319000000000003,12.6037
3266,0,19.1521,26.4614,20.1146,8.88718
3106,0,38.051,32.2751,-14.3244,6.85544
3170,0,29.177,-20.7847,-0.9249809999999999,15.1296
2898,0,42.8277,8.75344,4.9252199999999995,17.3123
3122,0,31.5171,15.647,-29.1722,7.20915
3250,1,36.2187,23.0773,25.8982,8.74565
3210,0,39.6054,21.0857,7.63857,14.1098
2890,0,21.0212,28.5923,-15.472999999999999,8.52023
3274,0,30.4316,6.80203,25.8999,14.1805
3242,0,29.1714,-0.317512,32.8072,12.5021
2986,0,28.5277,-5.59392,-22.4087,13.0693
2922,1,34.9492,41.1938,7.685919999999999,1.4107
3050,0,42.4848,29.5519,-0.0222598,10.3211
3002,0,32.594,2.35299,8.580210000000001,18.0061
3194,0,38.4142,33.7123,11.1864,6.71323
3066,1,27.0601,42.7233,0.428245,0.87561
3206,0,39.1341,20.302,-13.5472,12.6635
2950,1,44.4747,-23.1046,-21.8025,9.6899
3142,1,37.3051,8.10318,-34.6614,5.3788800000000005
3270,0,49.5969,-3.66911,13.5189,17.9249
3014,0,28.0595,5.007,22.8293,15.5465
3238,1,31.6988,-10.3275,34.44,11.2029
2982,0,27.7905,-8.77802,30.0522,13.8204
2918,0,29.6551,0.771414,-25.2587,11.9885
3046,0,41.3395,10.7763,-24.9246,10.7923
3126,0,30.2235,16.187,-20.5834,11.5947
3190,0,29.5852,-16.2809,11.5211,16.5792
3062,0,22.4382,11.8383,23.5233,13.7864
3086,0,37.6248,13.0145,-17.6612,13.4923
2958,0,38.5983,-3.68796,-16.8635,15.0492
3150,0,38.5686,-21.1872,11.2689,15.1109
3118,1,25.1422,-25.4089,13.115,13.1189
3182,0,38.3309,35.6298,-7.4734300000000005,6.11583
3102,1,40.2299,13.9689,32.3127,9.61555
3230,1,36.2381,-7.77168,-30.8839,8.50924
3038,1,24.6912,3.36467,36.376999999999995,9.94978
3134,0,42.4494,15.8907,6.52212,15.8949
3006,0,30.4109,2.67915,13.2106,17.7155
2942,1,28.015,-26.5381,-8.10395,12.7429
3201,0,19.2913,22.4127,-31.2477,3.6066599999999998
2945,1,35.6791,15.7886,-32.7581,4.84997
3265,0,42.2653,-4.5898,-7.16096,16.6737
3233,0,27.4421,-8.72056,-12.4427,15.7799
3169,0,33.6979,-18.4788,-12.4397,14.0426
2913,0,45.3584,12.625,17.8926,15.2095
3025,0,37.2955,29.2804,-21.1051,6.20864
3249,0,27.7291,37.9387,-0.861192,4.92796
3273,0,24.031999999999996,21.6299,19.8244,11.3031
2985,0,43.9705,23.0598,1.0636299999999999,13.5717
2921,0,24.129,-0.0679282,-21.0757,13.8044
2905,0,26.3293,4.01964,30.5529,12.9103
3129,0,26.2218,16.6191,-11.511,14.3609
3257,1,18.7884,37.1514,16.1969,3.4759599999999997
3001,0,27.8637,8.92267,-31.0119,7.718389999999999
3065,1,22.1107,10.9743,37.1698,8.18945
3205,0,39.5968,-13.6907,5.89363,17.0932
3013,0,24.908,9.43019,-1.29843,16.9531
3109,1,27.965999999999998,-28.3876,11.4393,11.8793
3237,0,35.8648,-9.646989999999999,17.2098,17.1738
2981,0,48.9294,-9.4598,23.1465,15.9762
3173,1,52.7816,-19.6779,25.533,12.5369
2917,0,45.0814,27.8327,6.22464,11.0122
3221,0,30.2853,-10.5031,-6.38585,16.441
2965,0,33.5508,-13.3301,-12.9192,15.0626
3157,0,24.7271,-1.59998,-30.2769,9.24007
2901,0,23.1382,7.7072,30.9533,11.9071
3125,0,29.4027,16.7453,-24.5369,9.53452
3253,1,30.3167,37.0375,12.9017,4.07469
2997,0,23.2432,2.50775,0.986194,17.5353
3189,0,24.9407,-16.3077,-0.752567,16.222
3085,0,29.5881,1.23143,-4.16636,17.0413
3213,0,32.7377,21.2626,16.5484,12.4244
3245,1,44.2208,37.3546,-12.3789,4.19919
2989,0,36.0203,38.8985,4.42061,3.84199
3053,0,38.3263,10.4913,-13.4978,15.1345
3197,0,32.076,3.2545900000000003,-9.50159,16.4359
3203,0,31.3193,-13.5798,-19.9371,12.7839
3267,0,26.0842,-3.33365,-1.7248900000000003,17.2072
3011,0,24.0352,8.751539999999999,-8.00735,16.3371
3235,1,38.1686,23.7767,-33.8005,1.13155
3091,0,33.1209,13.0079,-6.81809,15.9296
3123,0,23.8658,31.6091,16.9691,6.93377
2995,0,45.2775,-3.8193,4.52297,17.8252
2955,0,32.8566,18.0145,-4.97807,15.0162
3147,0,39.461999999999996,-21.5674,-6.73486,14.325
2891,0,27.3219,-4.415769999999999,31.6009,13.3703
3019,0,31.0705,9.091460000000001,10.4436,17.1393
3179,0,34.4463,25.4766,-10.8255,11.2033
3099,1,42.4949,34.0063,-21.7121,3.48032
3227,0,29.8889,6.73158,17.822,16.5066
3163,1,36.5449,40.9671,-4.776680000000001,2.51465
3035,0,26.6844,32.024,-6.14624,8.52535
