Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
7424,0,20.8489,-35.0696,25.2245,5.06392
7296,0,40.4894,-28.4716,-45.974,6.20393
7232,0,18.3848,7.0097,0.226713,13.9929
7488,0,26.7956,-50.648,26.1131,-0.669303
7360,0,34.8471,-33.5882,20.7958,5.9324
7200,0,38.1968,-44.0131,-20.5137,8.18823
7456,0,25.9795,11.5707,-14.404,13.4298
7328,0,31.717,-42.1384,21.5914,3.07284
7264,0,7.54268,42.951,31.8529,5.53199
7392,0,22.6057,19.7659,7.49853,12.6242
7440,0,29.2532,-11.0869,5.18927,12.976
7312,0,32.0675,-12.2233,-21.2231,11.2212
7248,0,43.2149,-18.0869,10.4613,11.4326
7504,0,17.7023,-33.1907,-21.1799,7.92085
7376,0,27.7958,-6.5947,22.7586,11.1858
7216,0,27.5548,-46.4023,25.3144,1.45792
7472,0,40.1563,14.5344,30.1165,9.90662
7344,0,26.4948,2.22446,-0.955636,14.017
7280,0,16.532,-31.1601,-14.7738,7.35527
7408,0,22.0631,-45.6069,10.0862,1.49274
7432,0,22.4281,-23.6946,-39.6193,6.14497
7304,0,27.7831,-19.223,-48.3501,1.39794
7240,0,44.4688,-0.585779,13.4263,12.977
7496,0,20.495,-24.7581,44.0727,1.47053
7368,0,27.102,-35.4618,13.8879,6.21614
7208,0,48.0479,-3.78826,17.871,12.23
7464,0,38.9907,18.7087,34.8865,8.10348
7336,0,26.4977,-16.1279,31.6475,7.9914
7272,0,4.86219,-4.8625,-50.0134,0.376048
7400,0,37.8648,22.7895,11.4371,11.6974
7192,0,20.5118,-25.6548,38.8268,3.72197
7448,0,26.3405,9.51995,33.6658,9.47572
7256,0,20.1768,13.5516,-10.7436,13.4093
7384,0,21.7614,-3.01161,-20.1394,13.3392
7224,0,7.45394,6.2486,-35.6659,11.2562
7480,0,27.5832,15.9485,-24.4375,11.6834
7352,0,27.7492,-39.9726,34.8202,2.99177
7288,0,9.86012,-50.4145,-8.76869,-0.135195
7416,0,23.2258,-36.3826,-22.0037,8.49211
7428,0,29.3897,-38.2466,43.0839,1.11169
7300,0,22.0839,-20.7161,-42.589,4.49936
7236,0,26.6721,-7.51652,0.693461,13.5373
7492,0,6.04935,-47.8296,43.7026,-1.3321
7364,0,38.7498,17.5968,13.9931,12.304
7204,0,7.34107,-50.4368,42.0213,-2.10918
7460,0,31.0407,11.8659,37.5712,8.24243
7332,0,32.0599,28.5549,-17.1496,8.74378
7268,0,28.848,-31.38,33.9,4.52205
7396,0,30.2838,-43.9639,7.14873,2.61941
7188,0,32.2061,-26.2217,-0.043442,10.0967
7444,0,35.9037,-7.14027,10.3933,12.9051
7316,0,49.3982,-22.1849,5.71746,10.901
7252,0,9.47885,13.4732,-29.2165,11.6727
7508,0,30.7912,-44.6616,14.7484,1.98384
7220,0,32.4558,-38.7201,18.7671,4.43998
7476,0,27.7333,40.3033,29.4648,6.83721
7348,0,35.1723,-38.2942,-5.88001,5.18294
7284,0,48.9756,1.31946,-34.9024,11.2707
7412,0,15.9733,-43.3901,40.323,1.03794
7436,0,39.3647,8.66437,-9.60216,13.8554
7308,0,24.011,-21.3289,-12.8966,10.2773
7244,0,31.1476,-15.7777,-46.7919,1.75354
7500,0,32.1391,40.4287,20.3636,10.3149
7372,0,15.0819,43.566,24.9468,9.33735
7468,0,22.0664,-36.1321,28.3556,4.53746
7276,0,26.8491,-47.968,-16.4507,5.09529
7404,0,24.7006,21.5935,18.1393,11.0577
7196,0,16.2642,24.3583,-20.7093,9.44514
7452,0,26.8815,-0.078925,23.3069,11.6325
7324,0,27.0503,2.22428,-22.4566,13.6652
7260,0,28.896,14.2619,40.6271,6.82779
7388,0,12.5221,29.9359,39.6997,3.21202
7228,0,14.0594,-16.2816,-51.7927,-1.65602
