plant,time point,cell,area
P1,0,332,25.2998
P1,0,340,25.4419
P1,0,346,33.8692
P1,0,351,34.9281
P1,0,369,39.8367
P1,0,376,25.0274
P1,0,389,35.6174
P1,0,390,44.4853
P1,0,398,30.4764
P1,0,413,29.3344
P1,0,422,33.1671
P1,0,428,26.6384
P1,0,431,29.7005
P1,0,436,26.3779
P1,0,438,34.5139
P1,0,439,31.0694
P1,0,441,34.5405
P1,0,442,38.371
P1,0,447,25.1392
P1,0,448,41.4222
P1,0,449,46.6096
P1,0,457,33.0956
P1,0,461,40.6718
P1,0,462,41.4565
P1,0,466,33.8369
P1,0,467,32.7191
P1,0,471,46.8886
P1,0,498,24.4077
P1,0,502,36.4699
P1,0,515,46.1387
P1,0,550,35.5022
P1,0,559,28.1435
P1,0,560,27.5081
P1,0,569,32.8425
P1,0,570,34.5626
P1,0,571,43.545
P1,0,574,37.309
P1,0,576,45.2093
P1,0,580,50.4834
P1,0,583,36.6139
P1,0,587,38.6112
P1,0,589,36.2428
P1,0,600,35.344
P1,0,601,23.5219
P1,0,602,31.1136
P1,0,605,45.8827
P1,0,610,33.6817
P1,0,617,35.7568
P1,0,618,29.3131
P1,0,619,29.6824
P1,0,635,24.3917
P1,0,647,34.4505
P1,0,653,24.6455
P1,0,662,31.8395
P1,0,666,33.309
P1,0,667,37.4975
P1,0,669,27.438
P1,0,683,36.4495
P1,0,685,33.9499
P1,0,686,23.7352
P1,0,690,30.8898
P1,0,693,51.5107
P1,0,696,39.1924
P1,0,698,39.8914
P1,0,700,39.9034
P1,0,706,36.1349
P1,0,708,43.6444
P1,0,709,37.8398
P1,0,714,31.6582
P1,0,716,33.0881
P1,0,717,32.2189
P1,0,726,30.8245
P1,0,728,47.5874
P1,0,738,33.4128
P1,0,739,20.6331
P1,0,740,32.4998
P1,0,741,41.3676
P1,0,746,31.9815
P1,0,747,42.0695
P1,0,753,42.7965
P1,0,754,33.3151
P1,0,758,29.9462
P1,0,761,29.2415
P1,0,764,22.6096
P1,0,767,38.9572
P1,1,4935,26.1932
P1,1,4939,22.2658
P1,1,4944,36.9269
P1,1,4946,30.0747
P1,1,4952,34.985
P1,1,4953,26.6851
P1,1,4989,41.5778
P1,1,4990,28.8629
P1,1,4997,34.7975
P1,1,5000,40.5993
P1,1,5005,31.3881
P1,1,5017,40.7955
P1,1,5019,40.4148
P1,1,5024,43.8023
P1,1,5025,32.373
P1,1,5028,42.2952
P1,1,5032,32.8631
P1,1,5046,31.8489
P1,1,5048,39.1771
P1,1,5053,41.9751
P1,1,5072,20.3881
P1,1,5085,38.615
P1,1,5090,19.6272
P1,1,5091,21.1434
P1,1,5100,36.9674
P1,1,5107,25.8576
P1,1,5108,40.8411
P1,1,5114,42.5975
P1,1,5119,24.4476
P1,1,5126,31.3394
P1,1,5127,41.0826
P1,1,5128,31.0295
P1,1,5132,37.0279
P1,1,5135,28.584
P1,1,5136,30.9276
P1,1,5138,36.3912
P1,1,5142,34.052
P1,1,5150,41.5754
P1,1,5151,32.516
P1,1,5152,35.7091
P1,1,5153,21.1496
P1,1,5156,28.2771
P1,1,5160,29.0588
P1,1,5167,37.7957
P1,1,5168,36.5474
P1,1,5169,42.1983
P1,1,5172,35.4167
P1,1,5175,32.8729
P1,1,5181,32.9056
P1,1,5196,33.3683
P1,1,5198,39.7142
P1,1,5204,36.256
P1,1,5212,36.9849
P1,1,5213,36.5562
P1,1,5215,34.7688
P1,1,5216,31.2305
P1,1,5218,32.2164
P1,1,5232,28.1107
P1,1,5235,34.8482
P1,1,5245,33.9469
P1,1,5246,46.4081
P1,1,5247,38.2734
P1,1,5249,25.0266
P1,1,5256,25.7995
P1,1,5260,25.1622
P1,1,5261,38.6668
P1,1,5262,50.8311
P1,1,5263,27.3749
P1,1,5267,25.598
P1,1,5269,27.8563
P1,1,5270,38.3401
P1,1,5274,37.9724
P1,1,5275,42.178
P1,1,5276,41.264
P1,1,5279,29.8138
P1,1,5282,20.9532
P1,1,5283,38.1735
P1,1,5288,37.8852
P1,1,5289,32.7159
P1,1,5290,27.1971
P1,1,5291,24.6608
P1,1,5296,31.8583
P1,1,5303,46.868
P1,1,5305,38.8684
P1,1,5306,43.0004
P1,2,5495,35.8056
P1,2,5498,32.7975
P1,2,5501,50.7169
P1,2,5511,39.532
P1,2,5519,39.0223
P1,2,5532,23.9318
P1,2,5541,23.6296
P1,2,5549,38.4531
P1,2,5560,38.7014
P1,2,5563,25.0344
P1,2,5564,43.4731
