plant,time point,cell,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
P1,0,332,6.0,6.0,0.4,0.0038303697205370334,0.028052638098453358,0.08346773230449199,0.0029458436888905068,0.058078073241097886,0.05554331792718007,0.04147177827173047,0.02757460707470122,60.67004107004138,46.0,229.57218872317486,0.21904761904761907,4.380952380952381,2.4047619047619047,0.7173491471198674,6.0,0.2211712254755926,0.13441000519091748,0.00012090318753188536,0.003494109177743051,3.6625354088411895e-06,0.003405336048328209,0.058078073241097886,0.06210624257139088,0.04147177827172177,0.003494109177743051,2089.3577655330528,46.0,229.57218872317486,0.21904761904761907,4.380952380952381,0.07393884689698198,0.0226687822012792,6.0,2.0530338392118,0.01064183840861928,0.0011491293696530207,0.004336909381419767,2.410399237523937e-08,0.0031307354460424768,0.058078073241097886,0.05986570682491499,0.04147177827172177,0.004336909381419767,244.89766791051912,46.0,229.57218872317486,0.21904761904761907,4.380952380952381,0.5994726320267085,0.1737197041684792,6.0,165.5769,0.17839344830969736,0.12037438932321673,0.05562481344266325,0.009367537770140802,0.0025364125985340765,0.058078073241097886,0.04882661307924134,0.04147177827172177,0.05562481344266325,1.91937309783854,46.0,229.57218872317486,0.21904761904761907,4.380952380952381,73.45477523809514,22.501354567998728
P1,0,340,5.0,5.0,0.5,0.003656414974031272,0.006771291521349872,0.06963053825929462,0.002534104078122373,0.051716679797740486,0.04091094929432028,0.02689266047928029,0.007210777358212325,60.492146742147064,37.0,182.96238626306544,0.2720588235294117,4.352941176470588,2.1544117647058822,0.9430074592944744,5.0,0.16159562781693007,0.14248367416403807,0.0001110105322123241,0.0,1.353199062869802e-05,0.0028357431722822127,0.05171667979774048,0.044296411003890236,0.026892660479267576,0.0,2199.0158555848334,37.0,182.96238626306544,0.2720588235294117,4.352941176470588,0.05567689669655422,0.025471399214625618,5.0,1.2637797534414985,0.010860416744864116,0.00102745822758209,0.0025459589486067453,1.0798989590173442e-11,0.0023619553350394122,0.05171667979774048,0.039713526747313085,0.026892660479267576,0.0025459589486067453,260.1718365197261,37.0,182.96238626306544,0.2720588235294117,4.352941176470588,0.512176168869298,0.2064758500931596,5.0,156.43085,0.26104249204658536,0.1195502267700663,0.017891945990553614,0.062157500263085225,0.002259980087084809,0.05171667979774048,0.03686331129220695,0.026892660479267576,0.017891945990553614,1.7641773382264572,37.0,182.96238626306544,0.2720588235294117,4.352941176470588,76.7169911764706,34.94028459731965
P1,0,346,6.0,6.0,0.4,0.0038792694553323303,0.027071997535808152,0.08805457742561743,0.0029567919900842345,0.0573572866030097,0.05361991656891008,0.04000408176550133,0.030389349374098817,62.357864357864635,44.0,219.939538930836,0.2315789473684211,4.4,2.3526315789473684,0.7124311178296119,6.0,0.18382273133475505,0.11542987594343848,0.00011837912915925859,0.019595104735483645,8.250888230871923e-06,0.0029517013858693197,0.0573572866030097,0.053812344590340636,0.040004081765496864,0.019595104735483645,2244.068871871364,44.0,219.939538930836,0.2315789473684211,4.4,0.07149655384820318,0.022293089571399933,6.0,1.564408727895621,0.009299571921230378,0.001094048044044962,0.07592225168121082,1.6322879712139276e-11,0.0026599487238249905,0.0573572866030097,0.047671625949587175,0.040004081765496864,0.07592225168121082,275.00309841912457,44.0,219.939538930836,0.2315789473684211,4.4,0.5764613468260895,0.17404102427704587,6.0,196.6926,0.20448882654752928,0.12644928506761502,0.0500939371060348,0.023774725552302724,0.002935344143108705,0.0573572866030097,0.05305787447628396,0.040004081765496864,0.0500939371060348,1.8722965242267566,44.0,219.939538930836,0.2315789473684211,4.4,73.5909444736842,22.67130357369957
P1,0,351,7.0,7.0,0.3333333333333333,0.00394460842392716,0.019829046885542833,0.09158901507208904,0.00342257235764343,0.06078670305242529,0.0583982936448432,0.033698792190564486,0.01911417159250148,60.48608336108371,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,2.2748538011695905,0.8272396868683465,7.0,0.2239474673288097,0.10336150081957148,0.00012172133814636111,0.02229908872227977,5.61273605984973e-06,0.003454058640328089,0.06078670305242529,0.0592333063280814,0.033698792190560115,0.02229908872227977,2149.5095219480177,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,0.0709240446558437,0.026665922730471102,7.0,2.2232120160984064,0.008364050906642056,0.0011250712659787027,0.10566607553596824,3.3588323122169476e-11,0.0035319486125660023,0.06078670305242529,0.0530515854635938,0.033698792190560115,0.10566607553596824,276.92213868458754,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,0.571266844025508,0.2219050265378557,7.0,220.56825,0.159250564387675,0.12720788194764826,0.03464260003862834,0.01068737347426152,0.003362763522068257,0.06078670305242529,0.0576098852139191,0.033698792190560115,0.03464260003862834,1.879761818783234,43.0,218.1144276591102,0.25146198830409355,4.526315789473684,67.93336257309939,25.744213854700057
P1,0,369,7.0,7.0,0.3333333333333333,0.0041065789539215655,0.0951816902764576,0.10529843892964133,0.0033602824541147337,0.06342015087540832,0.07950397594157192,0.10942233346522638,0.09450734716712962,64.3926850926854,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,2.4372294372294374,0.6488508235388238,7.0,0.19060022735236626,0.08710828772134949,0.00012198115848073478,0.11131986023563288,0.000620892283130551,0.003157633529885749,0.06342015087540832,0.07490130519768336,0.10942233346521313,0.11131986023563288,2397.636048437569,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,0.06769063932916418,0.018529485831532664,7.0,2.1330201544624123,0.007881083549150677,0.0012125225315222268,0.09154917212438324,7.391049385088034e-10,0.0031544945360236663,0.06342015087540832,0.08452385416433626,0.10942233346521313,0.09154917212438324,274.1298872474448,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,0.5883410800785172,0.1818626246307232,7.0,258.0403,0.18847526924207064,0.13709122878938673,0.06635295770196477,0.011813920591819278,0.003558716435386749,0.06342015087540832,0.0841132825331363,0.10942233346521313,0.06635295770196477,1.8686838572087796,49.0,249.19474315725319,0.2121212121212121,4.454545454545454,83.68193419913426,22.750171607039853
P1,0,376,6.0,6.0,0.4,0.003790754173590492,0.016386782029519018,0.08079428475430522,0.002972144922495268,0.05660798551773578,0.04846734248641832,0.027112286216898145,0.017269854938852608,59.82408147408182,42.0,209.17227338057185,0.2456140350877193,4.421052631578949,2.304093567251462,0.7949814819885646,6.0,0.2253486166266415,0.1365216300132668,0.00012039678514200725,0.00872649377556933,4.119819122439053e-06,0.0034392757011558,0.05660798551773578,0.05532482255643965,0.02711228621689096,0.00872649377556933,2045.3833489798649,42.0,209.17227338057185,0.2456140350877193,4.421052631578949,0.07331114916090829,0.02593244841366397,6.0,1.7105024710066363,0.010560165278535752,0.0010931161756229442,0.025003072709075903,9.07174590449183e-10,0.0027212347088372245,0.05660798551773578,0.04445310469585903,0.02711228621689096,0.025003072709075903,262.4025859476859,42.0,209.17227338057185,0.2456140350877193,4.421052631578949,0.5759291226477075,0.2039827413457863,6.0,161.8479,0.1738211487008486,0.11820283633804884,0.03869857601882254,0.006484577283428463,0.002558576251841348,0.05660798551773578,0.04232777902427591,0.02711228621689096,0.03869857601882254,1.9143525165036004,42.0,209.17227338057185,0.2456140350877193,4.421052631578949,67.31724093567249,24.381762964673058
P1,0,389,6.0,6.0,0.4,0.003839184845412716,0.016413143143881283,0.08774187093010878,0.002982631294215045,0.056342134156833985,0.04859385641033735,0.03300605594050369,0.01611851050807583,61.569841269841575,40.0,203.22772408422662,0.26143790849673204,4.4444444444444455,2.2091503267973858,0.8940296896815507,6.0,0.18602397178387087,0.11954112156492372,0.00011732934517902354,0.02238688041016277,1.9797378950882488e-05,0.003004391124076685,0.056342134156833985,0.04839250352141999,0.0330060559404928,0.02238688041016277,2210.9205128758413,40.0,203.22772408422662,0.26143790849673204,4.4444444444444455,0.06657270819954512,0.027246768193000752,6.0,1.5163596678186495,0.009261180201403943,0.001061683748575787,0.042122451846259186,1.1443830898973558e-12,0.0025443272477543807,0.056342134156833985,0.03799737505594355,0.0330060559404928,0.042122451846259186,271.8061147929812,40.0,203.22772408422662,0.26143790849673204,4.4444444444444455,0.5613868811277862,0.2394981596314206,6.0,194.45535,0.19741686167577496,0.12491649644991495,0.013344336558214669,0.013634467575177356,0.002940727762352109,0.056342134156833985,0.04849512198106835,0.0330060559404928,0.013344336558214669,1.8589491379356944,40.0,203.22772408422662,0.26143790849673204,4.4444444444444455,69.73939411764704,29.237942760799307
P1,0,390,7.0,7.0,0.3333333333333333,0.003939772045882874,0.06233793418900909,0.07483580886755152,0.0034089940914800647,0.0615511086847433,0.06704999296984404,0.06519893712879793,0.06637116977976146,62.03349150849179,45.0,228.8939780952631,0.2368421052631579,4.5,2.3263157894736843,0.7361162674771693,7.0,0.1710475539593417,0.07782579225968622,0.00011268320504054795,0.13368918230821905,3.672770680766801e-05,0.003117597712851289,0.0615511086847433,0.06020612790607749,0.06519893712878294,0.13368918230821905,2531.607997918713,45.0,228.8939780952631,0.2368421052631579,4.5,0.05636422495194397,0.018982045996804902,7.0,2.056173872633474,0.007498833777760364,0.0011187190936176976,0.09792284866468842,4.1077631555557457e-13,0.0036375231278677994,0.0615511086847433,0.06591229262954586,0.06519893712878294,0.09792284866468842,276.77198924071615,45.0,228.8939780952631,0.2368421052631579,4.5,0.5394644458337319,0.20365668683897606,7.0,289.18665,0.21115596130615424,0.13596871297822488,0.031482099274840664,0.18829622119885786,0.003720807063056713,0.0615511086847433,0.07517207855016497,0.06519893712878294,0.031482099274840664,1.6625472600108304,45.0,228.8939780952631,0.2368421052631579,4.5,89.5038797368421,28.735393413503626
P1,0,398,6.0,6.0,0.4,0.003800888630638261,0.010925068856453696,0.08616230391032696,0.002990779729200756,0.0562635923509507,0.04574460372817105,0.02515334068880772,0.01417415792564909,60.31646131646168,40.0,204.48888468582044,0.26143790849673204,4.4444444444444455,2.189542483660131,0.8871244115723486,6.0,0.20057449518882625,0.12474539162314828,0.00011785607657662642,0.0028268923498323177,1.2439330300493566e-05,0.003193869948555601,0.0562635923509507,0.04846690114066585,0.025153340688792696,0.0028268923498323177,2124.7960278560668,40.0,204.48888468582044,0.26143790849673204,4.4444444444444455,0.06413482599641998,0.026500537242764296,6.0,3.1526537347041064,0.01113213475819033,0.0011592849484733055,0.01984092146155602,2.589262527457876e-12,0.004433067003381505,0.0562635923509507,0.0501553743471721,0.025153340688792696,0.01984092146155602,268.8215748276259,40.0,204.48888468582044,0.26143790849673204,4.4444444444444455,0.5315989241351737,0.213697413846008,6.0,181.58765,0.19011726468970674,0.12194766467669912,0.017856829315400415,0.006535358292017751,0.002791959326952552,0.0562635923509507,0.04297823451894968,0.025153340688792696,0.017856829315400415,1.8542266011785995,40.0,204.48888468582044,0.26143790849673204,4.4444444444444455,70.71668366013067,29.570476037932682
P1,0,413,5.0,5.0,0.5,0.003625658903993253,0.002692744993264101,0.06527789256358787,0.0025384762618846685,0.05142011293639865,0.04027844798481247,0.0238544338335252,0.002509158569215693,59.01886724386762,35.0,172.19936936508898,0.2916666666666667,4.375,2.1,1.0008307810573172,5.0,0.14847015572367578,0.13267887413828044,0.00010768602338675836,1.7558337576598247e-05,2.7438975835470017e-05,0.002671108193986054,0.05142011293639865,0.04145799374127673,0.023854433833515414,1.7558337576598247e-05,2264.185782294567,35.0,172.19936936508898,0.2916666666666667,4.375,0.05132169103225463,0.025619035098114917,5.0,1.1173732538674694,0.010023638533020771,0.0009707364046310832,0.001896300458272611,1.484195848613769e-11,0.0021793105370763203,0.05142011293639865,0.033774700257077954,0.023854433833515414,0.001896300458272611,263.659151217993,35.0,172.19936936508898,0.2916666666666667,4.375,0.4743388968721245,0.2295074819533784,5.0,172.08565,0.28351979425782164,0.12163524224459765,0.004775867820834723,0.08064029932744582,0.002418307249534934,0.05142011293639865,0.03872018342616616,0.023854433833515414,0.004775867820834723,1.7110291770066963,35.0,172.19936936508898,0.2916666666666667,4.375,78.71100874999998,39.0241599640062
