Feature name,Pearson correlation coefficient,p-value
betweenness centrality weighted by area,0.7119593184323258,4.858135677288066e-211
degree,0.603854448577844,4.04599560747419e-136
size on 2 neighborhood,0.5927354410257134,5.437779671764918e-130
betweenness centrality,0.5839150387998746,2.6889326200117693e-125
current flow betweenness centrality,0.5807377037331534,1.217610917275356e-123
load centrality,0.5799751327604181,3.0215367111277033e-123
estrada index on 2 neighborhood,0.5771177742499438,8.912704904812637e-122
estrada index on 2 neighborhood weighted by area,0.5771177742499438,8.912704904812637e-122
communicability betweenness centrality,0.5766266502467434,1.5891934730974062e-121
communicability betweenness centrality weighted by area,0.5766266502467381,1.5891934731075239e-121
avg path length on 2 neighborhood,0.5713419712465659,7.534891764175505e-119
betweenness centrality weighted by shared wall,0.5623144828450504,2.17398436729873e-114
betweenness centrality weighted by distance,0.5519328224341773,1.9924782594347459e-109
current flow betweenness centrality weighted by distance,0.49002158042204685,3.548421338397669e-83
current flow betweenness centrality weighted by shared wall,0.4250387519301485,7.271052967178761e-61
rel graph density on 2 neighborhood,0.4020004671996593,4.72658491702921e-54
current flow betweenness centrality weighted by area,0.35747528087053637,2.5263809251463147e-42
harmonic centrality weighted by area,0.3564806434800588,4.4059338421761555e-42
katz centrality weighted by area,0.31810027638028726,2.1117164600213396e-33
katz centrality,0.31810027638028726,2.1117164600213396e-33
eigenvector centrality,0.2963032392861574,5.28165100633828e-29
page rank,0.26847701781786804,6.447099545102352e-24
harmonic centrality weighted by distance,0.2479262721014999,1.5906836425501315e-20
page rank weighted by shared wall,0.18156728508870162,1.4700578049314804e-11
harmonic centrality weighted by shared wall,0.16423164403558987,1.0815009609397551e-09
information centrality,0.14740272975662017,4.633731043029875e-08
information centrality weighted by shared wall,0.13173255025134706,1.0692961604944774e-06
weighted node degree weighted by shared wall,0.12897375204044992,1.7935045888103348e-06
page rank weighted by distance,0.12713086108816612,2.5188037924397987e-06
information centrality weighted by distance,0.08274609559408681,0.002241567860707409
harmonic centrality,0.07174532361403964,0.008078663391342514
weighted node degree weighted by distance,0.05752421707576587,0.03377428219102337
avg path length on 2 neighborhood weighted by shared wall,0.05676318874357425,0.036204150023158854
page rank weighted by area,0.03741320822904759,0.16759881670275806
information centrality weighted by area,0.03526723298423907,0.19334169031653547
avg path length on 2 neighborhood weighted by distance,0.03237180041216226,0.2325145524535561
eigenvector centrality weighted by shared wall,0.030311639618177923,0.2636142188386564
eigenvector centrality weighted by distance,-0.051181347076636366,0.05897689040421072
eigenvector centrality weighted by area,-0.20307770313393778,3.8271343446663024e-14
avg path length on 2 neighborhood weighted by area,-0.2141505607740393,1.361632834653018e-15
clustering coefficient weighted by shared wall,-0.2361292146383505,1.0319617716515097e-18
weighted node degree weighted by area,-0.28976926414149623,9.320458571568519e-28
algebraic connectivity on 2 neighborhood,-0.49301014399356125,2.5317849899442773e-84
algebraic connectivity on 2 neighborhood weighted by shared wall,-0.5351306121810018,9.326326866241923e-102
abs graph density on 2 neighborhood,-0.5431527703178313,2.3001423114310698e-105
clustering coefficient,-0.580538543747,1.544179245441756e-123
clustering coefficient weighted by distance,-0.5843484653604234,1.5932034339322458e-125
algebraic connectivity on 2 neighborhood weighted by distance,-0.5941013018893613,9.896429835985306e-131
algebraic connectivity on 2 neighborhood weighted by area,-0.6397724756021979,1.1317137430247356e-157
clustering coefficient weighted by area,-0.6428744205346633,1.1369324719240177e-159
