plant,time point,cell,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
P1,0,332,6.0,0.4,0.00383036972053704,0.02805263809845336,0.083467732304492,0.0029458436888905063,0.05807807324109789,0.055543317927180036,0.04147177827172553,0.02757460707470122,60.670041070041385,46.0,229.57218872317523,0.21904761904761907,4.380952380952381,2.4047619047619047,0.7173491471198679
P1,0,340,5.0,0.5,0.003656414974031264,0.006771291521349872,0.06963053825929465,0.0025341040781223733,0.051716679797740486,0.040910949294320216,0.02689266047927284,0.007210777358212325,60.492146742147064,37.0,182.962386263065,0.27205882352941174,4.352941176470588,2.1544117647058822,0.9430074592944724
P1,0,346,6.0,0.4,0.003879269455332335,0.027071997535808152,0.08805457742561744,0.0029567919900842345,0.0573572866030097,0.05361991656891017,0.040004081765511436,0.03038934937409882,62.35786435786463,44.0,219.93953893083776,0.23157894736842108,4.4,2.3526315789473684,0.7124311178296123
P1,0,351,7.0,0.3333333333333333,0.003944608423927158,0.01982904688554283,0.09158901507208907,0.00342257235764343,0.06078670305242529,0.05839829364484296,0.03369879219056056,0.01911417159250148,60.48608336108371,43.0,218.1144276591104,0.25146198830409355,4.526315789473684,2.2748538011695905,0.8272396868683478
P1,0,369,7.0,0.3333333333333333,0.004106578953921568,0.09518169027645759,0.10529843892964134,0.0033602824541147337,0.06342015087540832,0.07950397594157219,0.10942233346522118,0.09450734716712962,64.39268509268541,49.0,249.19474315725256,0.2121212121212121,4.454545454545454,2.4372294372294374,0.648850823538826
P1,0,376,6.0,0.4,0.003790754173590493,0.016386782029519018,0.08079428475430524,0.0029721449224952676,0.056607985517735784,0.048467342486418485,0.027112286216897114,0.01726985493885261,59.82408147408182,42.0,209.17227338057157,0.2456140350877193,4.421052631578948,2.304093567251462,0.7949814819885628
P1,0,389,6.0,0.4,0.003839184845412716,0.016413143143881283,0.0877418709301088,0.0029826312942150455,0.05634213415683399,0.04859385641033727,0.033006055940502245,0.01611851050807583,61.56984126984158,40.0,203.22772408422645,0.26143790849673204,4.444444444444445,2.2091503267973858,0.8940296896815534
P1,0,390,7.0,0.3333333333333333,0.003939772045882874,0.062337934189009084,0.07483580886755153,0.0034089940914800655,0.061551108684743304,0.06704999296984387,0.06519893712879057,0.06637116977976146,62.03349150849179,45.0,228.89397809526292,0.23684210526315788,4.5,2.3263157894736843,0.7361162674771675
P1,0,398,6.0,0.4,0.0038008886306382596,0.010925068856453696,0.08616230391032698,0.0029907797292007556,0.0562635923509507,0.04574460372817112,0.02515334068880593,0.01417415792564909,60.316461316461684,40.0,204.48888468581987,0.26143790849673204,4.444444444444445,2.189542483660131,0.8871244115723491
P1,0,413,5.0,0.5,0.003625658903993254,0.002692744993264101,0.06527789256358789,0.0025384762618846685,0.05142011293639865,0.04027844798481233,0.023854433833528813,0.002509158569215693,59.018867243867625,35.0,172.19936936508935,0.2916666666666667,4.375,2.1,1.0008307810573187
P1,0,422,6.0,0.4,0.003803705993867766,0.0884412509104658,0.08129259160792596,0.002954802533825205,0.058511566428203536,0.05694176847414429,0.07658875309398731,0.08687722753649646,62.42705350205384,46.0,232.88908093701087,0.21904761904761907,4.380952380952381,2.3857142857142857,0.6392155553694965
P1,0,428,5.0,0.5,0.0035499558125600275,0.011558960654494967,0.05185339124671985,0.0025452716006479103,0.05168564265383726,0.04045007702309497,0.025562057404236546,0.013507619119771877,58.422388722389066,37.0,182.8631811503472,0.27205882352941174,4.352941176470588,2.1691176470588234,0.8677883184361832
P1,0,431,5.0,0.5,0.0035895722930146664,0.0040156449970395825,0.06150593566298732,0.0025448913796938324,0.051137669179172694,0.03868365589328303,0.022477603025989865,0.003207085360193137,57.849733599734016,35.0,172.1509158909799,0.2916666666666667,4.375,2.1083333333333334,0.9729099134769363
P1,0,436,6.0,0.4,0.003855069455811357,0.04717523967306681,0.08316021733748005,0.0029392717404998327,0.058025637905902504,0.060644266997087644,0.06624996528725023,0.04141285999944689,61.59411421911455,44.0,219.94314519430662,0.23157894736842108,4.4,2.3526315789473684,0.7466579650120211
P1,0,438,6.0,0.4,0.003807622095040242,0.030076029118524406,0.06903237770986315,0.0029675867632202066,0.056930409375839194,0.05542758509250307,0.04722338532203964,0.028235319345929707,60.98068043068073,42.0,210.48826866193036,0.2456140350877193,4.421052631578948,2.280701754385965,0.7737577952542327
P1,0,439,5.0,0.5,0.0035619306580018362,0.007969841623115703,0.050863969439541225,0.0025397289660819833,0.05167604402933126,0.041017915223650406,0.026583762343940266,0.00785250932801928,57.780794205794614,37.0,181.63620605048334,0.27205882352941174,4.352941176470588,2.1838235294117645,0.9154162499968935
P1,0,441,6.0,0.4,0.0038398666604904457,0.03021438610177405,0.07815514638182722,0.0029722605252268434,0.056426239340001134,0.05348617792314291,0.047195711194807366,0.031366278173142456,61.42577977578006,40.0,200.86956775385698,0.26143790849673204,4.444444444444445,2.2222222222222223,0.8220144773082991
P1,0,442,6.0,0.4,0.0038554785372396584,0.0360466181840299,0.07262469623450227,0.002954057650816866,0.05744057547496367,0.058403412922060007,0.05416487558635845,0.03443086306470745,61.413508713508996,44.0,219.98623238976114,0.23157894736842108,4.4,2.3473684210526318,0.7250508947817388
P1,0,447,5.0,0.5,0.0037397033053654777,0.02800190164671049,0.07686021779123167,0.0025107372089524884,0.05280691898298615,0.0464554406225457,0.04495478724437495,0.028193074448683124,62.27561327561353,41.0,203.12127066383187,0.23976608187134504,4.315789473684211,2.2923976608187133,0.7730725599809998
P1,0,448,7.0,0.3333333333333333,0.0040837551384533,0.08306342558572777,0.09202346629760494,0.003373093489099434,0.06281774015832066,0.07676677040666262,0.0926662895374684,0.07786560467562809,63.93822566322594,49.0,248.00105911776734,0.2121212121212121,4.454545454545454,2.445887445887446,0.6760015447065102
P1,0,449,6.0,0.4,0.003768506285865996,0.039540582595797555,0.06025244113230774,0.0029685209088374568,0.05692266090816454,0.05555864633096722,0.0506467895457646,0.03791364481218341,60.191175491175805,42.0,209.17227338057174,0.2456140350877193,4.421052631578948,2.304093567251462,0.7949814819885632
P1,0,457,6.0,0.4,0.003951149429489061,0.04968298467232888,0.09286236598352984,0.0029449083194496833,0.05770295516395046,0.0599550267532327,0.06633693598296737,0.04687855953407108,63.165223665223934,44.0,221.0501555310474,0.23157894736842108,4.4,2.3526315789473684,0.7755775972444487
P1,0,461,6.0,0.4,0.003957658576859354,0.07051686867802008,0.09913029871543554,0.002928535180120094,0.058881694995568896,0.06206457544666238,0.0714653017123207,0.07079337113797082,63.83326118326149,49.0,252.10172984464302,0.2121212121212121,4.454545454545454,2.4285714285714284,0.6373531582395703
P1,0,462,7.0,0.3333333333333333,0.004128914985380929,0.09660013698074833,0.10061509160141162,0.0033712005157388405,0.06265707473227142,0.07729116597428405,0.10131102970749031,0.09538931564920876,64.93445165945192,47.0,238.4098169604315,0.22380952380952382,4.476190476190476,2.3904761904761904,0.7011367920528107
P1,0,466,7.0,0.3333333333333333,0.0040541521118311425,0.06842282826644955,0.10441939224427178,0.003400185202662124,0.06196629680981077,0.06719277966126355,0.0693952697862133,0.06820816875324318,63.7327922077925,45.0,232.42915867274996,0.23684210526315788,4.5,2.3105263157894735,0.7767539353744446
P1,0,467,6.0,0.4,0.003972671899819759,0.08769088579574968,0.09213910865229355,0.0029343880174966855,0.05818787513348054,0.062104053445131265,0.07806603975244221,0.08796511648167328,64.13672438672464,46.0,230.71963395658352,0.21904761904761907,4.380952380952381,2.4,0.6817662448950639
P1,0,471,7.0,0.3333333333333333,0.004048861414041256,0.05558692848776317,0.09181077224799666,0.0033951021155389513,0.06175303232636305,0.07012751885872984,0.06825548501740995,0.059091421741518546,63.5097763347766,45.0,228.82412495051983,0.23684210526315788,4.5,2.331578947368421,0.7682504068878604
P1,0,498,6.0,0.4,0.0038422423596765534,0.015107910297878528,0.08646438835501609,0.0029716009477265383,0.05667298332167127,0.04953827953562579,0.029636572177354402,0.017913532841645236,60.500263625263976,43.0,219.6270658923092,0.25146198830409355,4.526315789473684,2.2748538011695905,0.8028002671219718
P1,0,502,7.0,0.3333333333333333,0.004102388427493117,0.09563725346067496,0.10120297775134833,0.0033722628078628305,0.06291177048220037,0.07460299413157886,0.09436085760521051,0.09083432215426869,64.54116161616189,49.0,248.00105911776674,0.2121212121212121,4.454545454545454,2.445887445887446,0.6760015447065111
P1,0,515,7.0,0.3333333333333333,0.0039719901927220275,0.0584517814410487,0.0924612008487123,0.003383922297530241,0.06338174484127673,0.07164973024997241,0.07379895505033841,0.056395921534945284,61.88504828504861,49.0,249.19740794941384,0.2121212121212121,4.454545454545454,2.4372294372294374,0.6674962993304969
P1,0,550,6.0,0.4,0.0037912445888560395,0.055686452926482305,0.06869947157582575,0.002959855023376076,0.05750471348841981,0.05659867976129132,0.05551510189537234,0.055962166561711386,61.29136419136452,44.0,219.93953893083633,0.23157894736842108,4.4,2.3526315789473684,0.7124311178296135
P1,0,559,6.0,0.4,0.0038981235295832803,0.05142948771140269,0.08899292148400581,0.0029462600529628975,0.05814768030343009,0.05704503045128703,0.059315995292392024,0.05167629211410978,63.08860028860059,46.0,231.77773000606888,0.21904761904761907,4.380952380952381,2.3857142857142857,0.6559167408400162
P1,0,560,5.0,0.5,0.0035521385805787732,0.004583860938986084,0.05273897072455357,0.002550223145163639,0.05111468671994995,0.03845555894476403,0.02126645334734568,0.0037984206378442508,57.07587967588008,35.0,172.15091589097963,0.2916666666666667,4.375,2.1083333333333334,0.9729099134769362
