plant,time point,dividing parent cell,parent neighbor,weighted node degree_neighbour,clustering coefficient_neighbour,information centrality_neighbour,betweenness centrality_neighbour,eigenvector centrality_neighbour,page rank_neighbour,katz centrality_neighbour,current flow betweenness centrality_neighbour,communicability betweenness centrality_neighbour,load centrality_neighbour,harmonic centrality_neighbour,size on 2 neighborhood_neighbour,estrada index on 2 neighborhood_neighbour,abs graph density on 2 neighborhood_neighbour,rel graph density on 2 neighborhood_neighbour,avg path length on 2 neighborhood_neighbour,algebraic connectivity on 2 neighborhood_neighbour,weighted node degree_div_cell,clustering coefficient_div_cell,information centrality_div_cell,betweenness centrality_div_cell,eigenvector centrality_div_cell,page rank_div_cell,katz centrality_div_cell,current flow betweenness centrality_div_cell,communicability betweenness centrality_div_cell,load centrality_div_cell,harmonic centrality_div_cell,size on 2 neighborhood_div_cell,estrada index on 2 neighborhood_div_cell,abs graph density on 2 neighborhood_div_cell,rel graph density on 2 neighborhood_div_cell,avg path length on 2 neighborhood_div_cell,algebraic connectivity on 2 neighborhood_div_cell
P1,0,700,353,6.0,0.4,0.0036520702707431634,0.040113891311168305,0.047898627617238086,0.0029971572401900153,0.05856339702210873,0.05920476392923226,0.05141299957827735,0.037125431256918834,57.70949785508646,48.0,240.3462512078166,0.20779220779220778,4.363636363636363,2.45021645021645,0.6497415607837185,7.0,0.3333333333333333,0.003859524127032304,0.051527346354009004,0.06177685788652706,0.0034225187516552123,0.06182597889190208,0.06876442340487984,0.06126475225931139,0.05402827949767273,60.25785742035775,45.0,227.70177996969494,0.23684210526315788,4.5,2.336842105263158,0.7891285040417992
P1,0,700,428,5.0,0.5,0.0035499558125600297,0.011558960654494967,0.051853391246719845,0.0025452716006479103,0.05168564265383726,0.04045007702309504,0.02556205740422635,0.013507619119771877,58.422388722389066,37.0,182.8631811503469,0.27205882352941174,4.352941176470588,2.1691176470588234,0.8677883184361841,7.0,0.3333333333333333,0.003859524127032304,0.051527346354009004,0.06177685788652706,0.0034225187516552123,0.06182597889190208,0.06876442340487984,0.06126475225931139,0.05402827949767273,60.25785742035775,45.0,227.70177996969494,0.23684210526315788,4.5,2.336842105263158,0.7891285040417992
P1,0,700,538,6.0,0.4,0.0037216309109575963,0.04932834199430639,0.05592839444970076,0.0029747639285852526,0.05810916007927217,0.058755345044648834,0.05474685479576039,0.05023085588017712,59.79433066933101,46.0,230.67274606447438,0.21904761904761907,4.380952380952381,2.4047619047619047,0.7240563964907804,7.0,0.3333333333333333,0.003859524127032304,0.051527346354009004,0.06177685788652706,0.0034225187516552123,0.06182597889190208,0.06876442340487984,0.06126475225931139,0.05402827949767273,60.25785742035775,45.0,227.70177996969494,0.23684210526315788,4.5,2.336842105263158,0.7891285040417992
P1,0,700,560,5.0,0.5,0.0035521385805787732,0.004583860938986084,0.052738970724553566,0.002550223145163639,0.05111468671994995,0.03845555894476406,0.021266453347333496,0.0037984206378442508,57.07587967588008,35.0,172.15091589098014,0.2916666666666667,4.375,2.1083333333333334,0.9729099134769382,7.0,0.3333333333333333,0.003859524127032304,0.051527346354009004,0.06177685788652706,0.0034225187516552123,0.06182597889190208,0.06876442340487984,0.06126475225931139,0.05402827949767273,60.25785742035775,45.0,227.70177996969494,0.23684210526315788,4.5,2.336842105263158,0.7891285040417992
P1,0,700,687,6.0,0.4,0.0036224999451725465,0.04201355879025643,0.04748070944076156,0.0030050076508431173,0.05803979601861826,0.05698447860432785,0.04757851569469439,0.044228276267030645,58.35248085248121,46.0,229.5217139629108,0.21904761904761907,4.380952380952381,2.4095238095238094,0.7000644474301612,7.0,0.3333333333333333,0.003859524127032304,0.051527346354009004,0.06177685788652706,0.0034225187516552123,0.06182597889190208,0.06876442340487984,0.06126475225931139,0.05402827949767273,60.25785742035775,45.0,227.70177996969494,0.23684210526315788,4.5,2.336842105263158,0.7891285040417992
P1,0,700,709,6.0,0.4,0.003718003692657257,0.03358816703604664,0.05369694012919659,0.0029780170407326563,0.05748287675458318,0.056419704107816056,0.04664718266100711,0.034380888014836554,59.08441974692006,44.0,219.9862323897615,0.23157894736842108,4.4,2.3473684210526318,0.7250508947817382,7.0,0.3333333333333333,0.003859524127032304,0.051527346354009004,0.06177685788652706,0.0034225187516552123,0.06182597889190208,0.06876442340487984,0.06126475225931139,0.05402827949767273,60.25785742035775,45.0,227.70177996969494,0.23684210526315788,4.5,2.336842105263158,0.7891285040417992
P1,0,700,717,6.0,0.4,0.003766452796127777,0.03745627060889166,0.06164390618345776,0.0029741345889696866,0.05681669906807313,0.05414167256643927,0.04502340983337932,0.03926230054244711,60.16479353979386,42.0,210.36156475560722,0.2456140350877193,4.421052631578948,2.2923976608187133,0.7487415695886268,7.0,0.3333333333333333,0.003859524127032304,0.051527346354009004,0.06177685788652706,0.0034225187516552123,0.06182597889190208,0.06876442340487984,0.06126475225931139,0.05402827949767273,60.25785742035775,45.0,227.70177996969494,0.23684210526315788,4.5,2.336842105263158,0.7891285040417992
P1,0,580,439,5.0,0.5,0.0035619306580018362,0.007969841623115703,0.050863969439541225,0.0025397289660819833,0.05167604402933126,0.041017915223650545,0.026583762343943173,0.00785250932801928,57.780794205794614,37.0,181.63620605048416,0.27205882352941174,4.352941176470588,2.1838235294117645,0.9154162499968939,7.0,0.3333333333333333,0.004005290888565428,0.07402468352051551,0.07874294492927744,0.0033875858818703305,0.06217929047699629,0.07306255935116064,0.0806564611542554,0.0726874849963261,62.96441336441366,47.0,237.21655796015827,0.22380952380952382,4.476190476190476,2.4,0.7437871132826712
P1,0,580,442,6.0,0.4,0.0038554785372396636,0.0360466181840299,0.07262469623450228,0.002954057650816866,0.05744057547496367,0.05840341292206014,0.05416487558635745,0.03443086306470745,61.413508713508996,44.0,219.9862323897622,0.23157894736842108,4.4,2.3473684210526318,0.7250508947817369,7.0,0.3333333333333333,0.004005290888565428,0.07402468352051551,0.07874294492927744,0.0033875858818703305,0.06217929047699629,0.07306255935116064,0.0806564611542554,0.0726874849963261,62.96441336441366,47.0,237.21655796015827,0.22380952380952382,4.476190476190476,2.4,0.7437871132826712
P1,0,580,449,6.0,0.4,0.003768506285865997,0.039540582595797555,0.06025244113230773,0.0029685209088374568,0.05692266090816454,0.05555864633096722,0.05064678954576023,0.03791364481218341,60.191175491175805,42.0,209.17227338057143,0.2456140350877193,4.421052631578948,2.304093567251462,0.7949814819885644,7.0,0.3333333333333333,0.004005290888565428,0.07402468352051551,0.07874294492927744,0.0033875858818703305,0.06217929047699629,0.07306255935116064,0.0806564611542554,0.0726874849963261,62.96441336441366,47.0,237.21655796015827,0.22380952380952382,4.476190476190476,2.4,0.7437871132826712
