plant,time point,dividing parent cell,parent neighbor,mapped daughter,label
P1,0,700,353,4999,0
P1,0,700,428,5256,0
P1,0,700,538,5093,2
P1,0,700,560,4946,2
P1,0,700,687,5231,2
P1,0,700,709,5257,1
P1,0,700,717,5128,2
P1,0,580,439,5133,2
P1,0,580,442,5276,0
P1,0,580,449,4948,1
P1,0,580,602,5025,1
P1,0,580,717,5128,0
P1,0,580,740,4952,0
P1,0,580,753,5306,2
P1,0,390,610,5181,0
P1,0,390,653,5008,2
P1,0,390,693,5020,0
P1,0,390,747,5234,2
P1,0,390,753,5306,2
P1,0,390,754,5171,2
P1,0,390,767,5236,0
P1,0,384,484,5226,0
P1,0,384,592,5159,2
P1,0,384,615,5188,1
P1,0,384,630,5210,2
P1,0,384,745,5303,1
P1,0,384,751,5026,2
P1,0,369,436,5269,2
P1,0,369,461,5028,0
P1,0,369,587,5150,1
P1,0,369,600,5167,2
P1,0,369,726,5283,0
P1,0,369,738,5288,2
P1,0,369,746,5296,1
P1,0,352,353,4999,1
P1,0,352,525,5224,1
P1,0,352,540,4994,0
P1,0,352,551,5250,0
P1,0,352,557,5117,0
P1,0,623,472,5078,2
P1,0,623,476,5094,1
P1,0,623,755,5308,0
P1,0,678,410,5071,2
P1,0,678,532,4988,2
P1,0,678,542,5097,2
P1,0,678,671,5227,1
P1,0,678,694,5104,0
P1,0,678,695,5106,2
P1,0,657,456,5030,2
P1,0,657,626,5180,2
P1,0,657,652,5051,0
P1,0,622,401,5112,1
P1,0,622,472,5078,2
P1,0,622,595,5298,2
P1,0,622,741,5293,1
P1,0,622,754,5171,2
P1,0,622,755,5308,2
P1,0,622,767,5236,1
P1,0,449,439,5133,0
P1,0,449,576,5134,1
P1,0,449,580,5136,0
P1,0,449,741,5293,1
P1,0,449,753,5306,2
P1,0,449,754,5171,0
P1,0,767,390,5200,1
P1,0,767,401,5112,2
P1,0,767,622,4964,2
P1,0,767,653,5008,1
P1,0,767,754,5171,1
P1,0,552,397,5116,1
P1,0,552,539,5272,0
P1,0,552,568,5039,0
P1,0,419,430,5262,2
P1,0,419,535,5222,2
P1,0,419,542,5097,0
P1,0,419,553,5245,1
P1,0,419,665,4981,1
P1,0,419,671,5227,1
P1,0,419,697,5107,0
P1,0,693,372,4979,2
P1,0,693,390,5200,1
P1,0,693,413,5280,2
P1,0,693,653,5008,1
P1,0,693,696,5021,0
P1,0,693,728,4978,0
P1,0,693,747,5234,0
P1,0,626,387,5098,0
P1,0,626,421,5233,1
P1,0,626,456,5030,0
P1,0,626,573,5087,0
P1,0,626,657,5060,1
P1,0,626,670,5079,0
P1,0,755,452,5146,1
P1,0,755,472,5078,1
P1,0,755,595,5298,1
P1,0,755,622,4964,0
P1,0,755,623,4984,1
P1,0,540,352,5240,1
P1,0,540,353,4999,2
P1,0,540,519,5219,1
P1,0,540,525,5224,1
P1,0,540,674,5081,0
P1,0,540,687,5231,2
P1,0,471,340,5249,2
P1,0,471,467,5216,1
P1,0,471,502,5247,0
P1,0,471,602,5025,0
P1,0,471,610,5181,2
P1,0,471,747,5234,0
P1,0,471,758,5032,0
P1,0,721,445,5281,0
P1,0,721,694,5104,0
P1,0,721,715,5122,1
P1,0,721,725,5273,1
P1,0,595,366,5137,0
P1,0,595,452,5146,1
P1,0,595,577,5139,2
P1,0,595,622,4964,2
P1,0,595,741,5293,1
P1,0,595,755,5308,2
P1,0,747,340,5249,2
P1,0,747,390,5200,0
P1,0,747,413,5280,2
P1,0,747,471,5218,0
P1,0,747,610,5181,1
P1,0,747,693,5020,0
P1,0,728,372,4979,0
P1,0,728,413,5280,1
P1,0,728,605,5061,1
P1,0,728,620,4954,0
P1,0,728,690,5279,1
P1,0,728,693,5020,2
P1,0,452,440,5006,0
P1,0,452,577,5139,1
P1,0,452,595,5298,1
P1,0,452,755,5308,0
P1,0,620,372,4979,1
P1,0,620,518,5056,2
P1,0,620,521,5207,2
P1,0,620,555,5258,1
P1,0,620,605,5061,2
P1,0,620,606,5096,2
P1,0,620,728,4978,1
P1,0,414,443,5101,0
P1,0,414,444,5003,0
P1,0,414,536,5176,0
P1,0,414,670,5079,1
P1,0,414,750,4992,0
P1,0,535,419,5228,2
P1,0,535,512,5074,2
P1,0,535,523,5083,0
P1,0,535,659,5214,1
P1,0,535,665,4981,0
P1,0,535,679,5235,2
P1,0,535,697,5107,1
P1,0,576,366,5137,0
P1,0,576,439,5133,1
P1,0,576,449,4948,1
P1,0,576,557,5117,2
P1,0,576,709,5257,2
P1,0,576,741,5293,0
P1,0,672,407,5203,1
P1,0,672,514,5076,2
P1,0,672,517,5211,1
P1,0,672,538,5093,1
P1,0,672,680,5229,0
P1,0,672,698,5246,0
P1,0,366,557,5117,2
P1,0,366,576,5134,2
P1,0,366,577,5139,1
P1,0,366,595,5298,0
P1,0,366,720,5264,2
P1,0,366,741,5293,0
P1,0,421,420,5141,1
P1,0,421,456,5030,1
P1,0,421,507,5241,0
P1,0,421,573,5087,1
P1,0,421,626,5180,1
P1,0,421,632,5174,0
P1,0,605,422,5045,2
P1,0,605,518,5056,2
P1,0,605,559,5156,0
P1,0,605,589,5204,1
P1,0,605,619,5129,1
P1,0,605,620,4954,2
P1,0,605,690,5279,2
P1,0,605,728,4978,0
P1,0,557,352,5240,0
P1,0,557,353,4999,1
P1,0,557,366,5137,0
P1,0,557,551,5250,0
P1,0,557,576,5134,2
P1,0,557,709,5257,0
P1,0,557,720,5264,0
P1,0,566,446,5142,2
P1,0,566,567,5261,1
P1,0,566,695,5106,0
P1,0,566,715,5122,0
P1,0,566,725,5273,2
P1,0,566,730,5017,2
P1,0,448,438,5132,2
P1,0,448,441,5274,2
P1,0,448,442,5276,0
P1,0,448,447,5290,1
P1,0,448,462,5024,1
P1,0,448,716,5127,2
P1,0,448,740,4952,2
P1,0,517,407,5203,2
P1,0,517,538,5093,0
P1,0,517,672,5230,2
P1,0,517,674,5081,2
P1,0,517,687,5231,2
P1,1,5099,5003,5665,0
P1,1,5099,5045,5729,0
P1,1,5099,5101,5784,0
P1,1,5099,5129,5709,1
P1,1,5099,5182,5723,2
P1,1,5099,5244,5760,2
P1,1,5099,5287,5725,1
P1,1,5198,5019,5764,1
P1,1,5198,5053,5789,2
P1,1,5198,5119,5574,2
P1,1,5198,5153,5541,2
P1,1,5198,5232,5823,2
P1,1,5198,5275,5532,0
P1,1,5031,5009,5568,0
P1,1,5031,5023,5791,1
P1,1,5031,5176,5624,0
P1,1,5306,4953,5819,1
P1,1,5306,5025,5824,0
P1,1,5306,5092,5794,1
P1,1,5306,5151,5684,2
P1,1,5306,5171,5827,2
P1,1,5306,5181,5839,2
P1,1,5306,5200,5846,2
P1,1,5241,5016,5862,2
P1,1,5241,5087,5652,2
P1,1,5241,5115,5864,2
P1,1,5241,5174,5588,2
P1,1,5241,5233,5817,1
P1,1,5241,5244,5760,0
P1,1,5241,5292,5594,2
P1,1,5204,5061,5814,2
P1,1,5204,5090,5683,0
P1,1,5204,5129,5709,0
P1,1,5204,5156,5498,0
P1,1,5204,5172,5778,2
P1,1,5204,5287,5725,1
P1,1,5229,5083,5612,2
P1,1,5229,5108,5753,0
P1,1,5229,5230,5617,2
P1,1,5229,5235,5628,0
P1,1,5229,5246,5765,1
P1,1,5114,5005,5645,1
P1,1,5114,5107,5761,1
P1,1,5114,5108,5753,0
P1,1,5114,5235,5628,1
P1,1,5114,5262,5641,0
P1,1,5114,5270,5655,0
P1,1,5083,4939,5622,1
P1,1,5083,5229,5492,2
P1,1,5083,5235,5628,2
P1,1,5275,5053,5789,2
P1,1,5275,5085,5849,2
P1,1,5275,5100,5699,2
P1,1,5275,5126,5830,0
P1,1,5275,5152,5745,0
P1,1,5275,5153,5541,0
P1,1,5275,5198,5776,1
P1,1,5226,5116,5705,1
P1,1,5226,5188,5715,0
P1,1,5226,5190,5580,0
P1,1,5226,5192,5836,1
P1,1,5226,5210,5724,2
P1,1,5226,5259,5650,2
P1,1,5226,5272,5613,1
P1,1,5226,5286,5529,0
P1,1,5257,4999,5758,1
P1,1,5257,5011,5672,0
P1,1,5257,5117,5649,0
P1,1,5257,5128,5660,0
P1,1,5257,5133,5783,1
P1,1,5257,5134,5793,0
P1,1,5257,5248,5636,1
P1,1,5021,4979,5690,0
P1,1,5021,5008,5829,2
P1,1,5021,5020,5779,2
P1,1,5021,5112,5531,0
P1,1,5021,5177,5780,0
P1,1,5021,5265,5543,1
P1,1,5276,4946,5777,0
P1,1,5276,4952,5511,0
P1,1,5276,5128,5660,0
P1,1,5276,5132,5659,2
P1,1,5276,5135,5797,1
P1,1,5276,5136,5671,1
P1,1,5276,5151,5684,0
P1,1,5127,5005,5645,0
P1,1,5127,5108,5753,1
P1,1,5127,5132,5659,0
P1,1,5127,5135,5797,0
P1,1,5127,5246,5765,1
P1,1,5127,5274,5564,1
P1,1,4999,4994,5746,2
P1,1,4999,5117,5649,0
P1,1,4999,5231,5623,1
P1,1,4999,5237,5618,0
P1,1,4999,5248,5636,1
P1,1,4999,5257,5554,1
P1,1,5213,5048,5838,0
P1,1,5213,5072,5593,1
P1,1,5213,5126,5830,1
P1,1,5213,5196,5519,2
P1,1,5213,5215,5850,0
P1,1,5213,5263,5845,2
P1,1,5117,4999,5758,2
P1,1,5117,5134,5793,0
P1,1,5117,5137,5678,2
P1,1,5117,5257,5554,0
P1,1,5117,5264,5661,0
P1,1,5262,4997,5626,2
P1,1,5262,5107,5761,0
P1,1,5262,5114,5644,0
P1,1,5262,5245,5497,0
P1,1,5262,5261,5653,2
P1,1,5262,5269,5788,2
P1,1,5262,5270,5655,0
P1,1,5262,5283,5668,0
P1,1,5108,5005,5645,1
P1,1,5108,5114,5644,2
P1,1,5108,5127,5646,0
P1,1,5108,5229,5492,1
P1,1,5108,5235,5628,2
P1,1,5108,5246,5765,2
P1,1,5246,5093,5535,0
P1,1,5246,5108,5753,0
P1,1,5246,5127,5646,2
P1,1,5246,5132,5659,1
P1,1,5246,5229,5492,0
P1,1,5246,5230,5617,0
P1,1,5246,5256,5772,0
P1,2,5724,5572,6074,2
P1,2,5724,5581,6081,2
P1,2,5724,5650,6145,2
P1,2,5724,5710,6123,2
P1,2,5724,5836,6080,0
P1,2,5724,5842,6112,2
P1,2,5791,5568,5918,0
P1,2,5791,5721,5984,2
P1,2,5791,5768,6029,1
P1,2,5721,5576,6202,0
P1,2,5721,5729,5982,0
P1,2,5721,5768,6029,2
P1,2,5721,5791,6048,0
P1,2,5721,5840,5963,0
P1,2,5721,5841,6208,0
P1,2,5842,5495,6162,2
P1,2,5842,5581,6081,1
P1,2,5842,5650,6145,2
P1,2,5842,5677,6136,0
P1,2,5842,5706,6089,0
P1,2,5842,5724,5920,1
P1,2,5842,5726,6114,0
P1,2,5529,5549,6174,2
P1,2,5529,5650,6145,0
P1,2,5529,5710,6123,2
P1,2,5529,5785,5956,0
P1,2,5645,5564,6014,1
P1,2,5645,5644,5883,2
P1,2,5645,5646,6010,0
P1,2,5645,5655,6008,1
P1,2,5645,5762,5997,0
P1,2,5645,5771,6001,1
P1,2,5690,5545,6168,1
P1,2,5690,5779,5946,2
P1,2,5690,5816,6173,2
P1,2,5690,5841,6208,0
P1,2,5545,5543,6134,0
P1,2,5545,5690,5960,1
P1,2,5545,5779,5946,1
P1,2,5665,5568,5918,2
P1,2,5665,5603,6118,2
P1,2,5665,5648,6009,1
P1,2,5665,5713,5981,2
P1,2,5665,5729,5982,0
P1,2,5665,5768,6029,1
P1,2,5665,5784,6044,1
P1,2,5499,5537,5903,0
P1,2,5499,5647,5922,0
P1,2,5499,5693,6204,1
P1,2,5499,5719,5973,1
P1,2,5499,5756,6006,1
P1,2,5499,5757,6051,0
P1,2,5709,5576,6202,1
P1,2,5709,5685,5954,1
P1,2,5709,5713,5981,2
P1,2,5709,5725,5968,0
P1,2,5709,5729,5982,0
P1,2,5709,5812,6180,0
P1,2,5709,5814,6172,2
P1,2,5655,5564,6014,1
P1,2,5655,5644,5883,2
P1,2,5655,5645,6000,2
P1,2,5655,5668,6020,2
P1,2,5655,5808,5901,0
P1,2,5599,5524,6146,0
P1,2,5599,5603,6118,0
P1,2,5599,5782,6073,2
P1,2,5599,5834,6102,1
P1,2,5668,5563,6033,1
P1,2,5668,5655,6008,2
P1,2,5668,5691,6053,0
P1,2,5668,5781,6013,1
P1,2,5668,5788,6019,2
P1,2,5668,5808,5901,2
P1,2,5822,5563,6033,2
P1,2,5822,5572,6074,2
P1,2,5822,5581,6081,0
P1,2,5822,5691,6053,2
P1,2,5822,5706,6089,0
P1,2,5822,5807,6042,2
P1,2,5822,5837,6076,0
P1,2,5822,5848,6082,2
P1,2,5614,5543,6134,2
P1,2,5614,5663,5924,1
P1,2,5614,5754,6139,2
P1,2,5614,5794,6100,0
P1,2,5614,5839,6060,1
P1,2,5794,5543,6134,1
P1,2,5794,5614,6116,0
P1,2,5794,5704,6064,1
P1,2,5794,5839,6060,0
P1,2,5839,5614,6116,1
P1,2,5839,5663,5924,1
P1,2,5839,5704,6064,0
P1,2,5839,5794,6100,1
P1,2,5839,5824,6049,0
P1,2,5839,5825,6050,0
P1,2,5839,5844,6085,2
P1,2,5804,5523,6131,0
P1,2,5804,5537,5903,0
P1,2,5804,5556,6070,2
P1,2,5804,5647,5922,1
P1,2,5804,5703,5929,0
P1,2,5784,5603,6118,2
P1,2,5784,5648,6009,2
P1,2,5784,5665,5912,0
P1,2,5784,5760,5891,1
P1,2,5784,5782,6073,2
P1,2,5848,5706,6089,2
P1,2,5848,5726,6114,0
P1,2,5848,5822,6052,0
