plant,time point,dividing parent cell,parent neighbor,dividingCellArea,neighbourCellArea,sharedWall,distance,dividingCellPerimeter,neighbourCellPerimeter
P1,0,700,353,39.9034,37.3031,2.86678,9.182775514973674,3992,3545
P1,0,700,428,39.9034,26.6384,3.08807,7.442142965765974,3992,2934
P1,0,700,538,39.9034,35.8268,4.00155,7.07442815038078,3992,3702
P1,0,700,560,39.9034,27.5081,3.41778,6.522143587686488,3992,2725
P1,0,700,687,39.9034,37.1728,7.91827,4.739229557860646,3992,3322
P1,0,700,709,39.9034,37.8398,2.99162,8.91949083544571,3992,3342
P1,0,700,717,39.9034,32.2189,5.06207,5.647859037688529,3992,3430
P1,0,580,439,50.4834,31.0694,4.4306,6.680352679499787,4142,3031
P1,0,580,442,50.4834,38.371,6.6511,6.2733286882164885,4142,3483
P1,0,580,449,50.4834,46.6096,7.65446,6.105670548965115,4142,3843
P1,0,580,602,50.4834,31.1136,4.27529,7.368461136254977,4142,3912
P1,0,580,717,50.4834,32.2189,3.44501,7.923884922965502,4142,3430
P1,0,580,740,50.4834,32.4998,1.64238,8.181480888011658,4142,3292
P1,0,580,753,50.4834,42.7965,3.13832,9.104563020595771,4142,3385
P1,0,390,610,44.4853,33.6817,2.41102,8.083314282890468,4977,2963
P1,0,390,653,44.4853,24.6455,2.49788,7.080218948857513,4977,2947
P1,0,390,693,44.4853,51.5107,3.64271,9.672052028869624,4977,3999
P1,0,390,747,44.4853,42.0695,5.09179,6.270450563214818,4977,2917
P1,0,390,753,44.4853,42.7965,3.71341,8.753632383069386,4977,3385
P1,0,390,754,44.4853,33.3151,2.64916,7.871867556876259,4977,3722
P1,0,390,767,44.4853,38.9572,8.10476,4.925228476243512,4977,2820
P1,0,384,484,59.0024,43.056,7.14609,7.313419990133823,3817,3762
P1,0,384,592,59.0024,36.1442,4.92931,6.976588553784722,3817,4233
P1,0,384,615,59.0024,29.0537,3.31845,8.046781407172935,3817,3409
P1,0,384,630,59.0024,41.5957,8.33843,5.706540768048538,3817,3093
P1,0,384,745,59.0024,42.7863,5.26996,8.789614608616239,3817,4585
P1,0,384,751,59.0024,28.1418,5.19029,6.008388165559548,3817,2801
P1,0,369,436,39.8367,26.3779,3.59804,6.774146120405139,4294,3276
P1,0,369,461,39.8367,40.6718,3.75881,7.485410733934377,4294,3481
P1,0,369,587,39.8367,38.6112,1.30578,8.595880501670553,4294,3755
P1,0,369,600,39.8367,35.344,4.14199,6.65027187433717,4294,4156
P1,0,369,726,39.8367,30.8245,5.33502,5.938733097631176,4294,3097
P1,0,369,738,39.8367,33.4128,4.87227,6.248342016935374,4294,2596
P1,0,369,746,39.8367,31.9815,5.28793,6.563731660976094,4294,2340
P1,0,352,353,35.046,37.3031,0.850614,9.595885453172103,3740,3545
P1,0,352,525,35.046,36.6764,2.99819,6.6255046600919405,3740,2934
P1,0,352,540,35.046,41.3626,4.18056,7.753907761211503,3740,3110
P1,0,352,551,35.046,28.8637,7.78751,4.211697829961217,3740,3027
P1,0,352,557,35.046,44.4624,3.31785,7.1614164813959125,3740,3627
P1,0,623,472,44.5337,33.2874,2.86034,7.274073758000049,3968,3532
P1,0,623,476,44.5337,32.7521,5.75713,5.967509233939146,3968,2935
P1,0,623,755,44.5337,42.4564,4.20593,7.6050869654906625,3968,3512
P1,0,678,410,35.9167,26.3533,4.97262,5.286173746444587,3544,3854
P1,0,678,532,35.9167,27.8057,7.61563,4.452781600258429,3544,3416
P1,0,678,542,35.9167,29.9318,5.39306,5.08596176552675,3544,3016
P1,0,678,671,35.9167,27.939,3.85795,6.3615835578022555,3544,3225
P1,0,678,694,35.9167,34.9092,2.80045,8.617395900757952,3544,4745
P1,0,678,695,35.9167,28.8874,3.12552,6.715211342116047,3544,4315
P1,0,657,456,48.7681,33.3025,7.31291,5.933711769381796,3547,3367
P1,0,657,626,48.7681,35.1363,7.73742,5.9154585409501435,3547,3886
P1,0,657,652,48.7681,24.6913,5.09792,6.170036527152819,3547,3159
P1,0,622,401,42.033,28.381,2.85801,7.180482418507826,4485,3865
P1,0,622,472,42.033,33.2874,5.01143,6.580311048341484,4485,3532
P1,0,622,595,42.033,49.1729,4.65203,7.216899883779737,4485,3513
P1,0,622,741,42.033,41.3676,2.8604,9.552277558347015,4485,3362
P1,0,622,754,42.033,33.3151,1.13527,9.306306619153489,4485,3722
P1,0,622,755,42.033,42.4564,3.98134,7.151584657851433,4485,3512
P1,0,622,767,42.033,38.9572,8.60135,4.7964719303318155,4485,2820
P1,0,449,439,46.6096,31.0694,3.48079,6.820708054886969,3843,3031
P1,0,449,576,46.6096,45.2093,5.23017,7.294360193471393,3843,3261
P1,0,449,580,46.6096,50.4834,7.65446,6.105670548965115,3843,4142
P1,0,449,741,46.6096,41.3676,4.40535,7.117707699112127,3843,3362
P1,0,449,753,46.6096,42.7965,5.15184,7.021695424219139,3843,3385
P1,0,449,754,46.6096,33.3151,4.34162,7.2227847427290826,3843,3722
P1,0,767,390,38.9572,44.4853,8.10476,4.925228476243512,2820,4977
P1,0,767,401,38.9572,28.381,4.14208,6.2763488815441875,2820,3865
P1,0,767,622,38.9572,42.033,8.60135,4.7964719303318155,2820,4485
P1,0,767,653,38.9572,24.6455,2.85702,7.073215925987345,2820,2947
P1,0,767,754,38.9572,33.3151,3.37969,8.067192116100928,2820,3722
P1,0,552,397,53.318,38.3936,2.83192,8.65348161542509,3985,3527
P1,0,552,539,53.318,28.8708,2.12545,8.182989718579393,3985,2682
P1,0,552,568,53.318,42.2285,9.0553,5.653536228105379,3985,3582
P1,0,419,430,45.5278,45.3285,4.44929,7.792929499616946,4093,4104
P1,0,419,535,45.5278,41.9144,8.45192,5.397024470807966,4093,4154
P1,0,419,542,45.5278,29.9318,2.60859,7.17633084886699,4093,3016
P1,0,419,553,45.5278,29.0813,5.82735,5.566541560933503,4093,2653
P1,0,419,665,45.5278,25.9155,1.35425,8.366417913754969,4093,2989
P1,0,419,671,45.5278,27.939,3.4489,7.94769434621765,4093,3225
P1,0,419,697,45.5278,26.035,4.88477,6.281185744300196,4093,2769
P1,0,693,372,51.5107,33.2197,2.77878,8.326153288049648,3999,4062
P1,0,693,390,51.5107,44.4853,3.64271,9.672052028869624,3999,4977
P1,0,693,413,51.5107,29.3344,6.14644,5.316446771039849,3999,3198
P1,0,693,653,51.5107,24.6455,5.12498,6.030136540742672,3999,2947
P1,0,693,696,51.5107,39.1924,5.87718,6.0270470043297335,3999,3493
P1,0,693,728,51.5107,47.5874,5.12103,7.506299353083383,3999,3393
P1,0,693,747,51.5107,42.0695,4.55482,8.197907518684266,3999,2917
P1,0,626,387,35.1363,33.0556,5.83108,5.916800909371888,3886,3165
P1,0,626,421,35.1363,44.2375,4.53603,8.000008501401735,3886,3214
P1,0,626,456,35.1363,33.3025,0.565775,7.943948881544998,3886,3367
P1,0,626,573,35.1363,32.6154,2.15293,7.3372551554242715,3886,2487
P1,0,626,657,35.1363,48.7681,7.73742,5.9154585409501435,3886,3547
P1,0,626,670,35.1363,40.4182,1.12658,9.140326049716442,3886,3626
P1,0,755,452,42.4564,31.8299,2.38673,7.624620165672254,3512,3697
P1,0,755,472,42.4564,33.2874,4.7176,6.205713617168375,3512,3532
P1,0,755,595,42.4564,49.1729,8.0057,5.60738412509398,3512,3513
P1,0,755,622,42.4564,42.033,3.98134,7.151584657851433,3512,4485
P1,0,755,623,42.4564,44.5337,4.20593,7.6050869654906625,3512,3968
P1,0,540,352,41.3626,35.046,4.18056,7.753907761211503,3110,3740
P1,0,540,353,41.3626,37.3031,9.77577,4.276861225798192,3110,3545
P1,0,540,519,41.3626,29.5455,3.9107,6.349723828559475,3110,3056
P1,0,540,525,41.3626,36.6764,5.44646,5.994205243636224,3110,2934
P1,0,540,674,41.3626,32.9691,2.33812,7.987007847705925,3110,3334
P1,0,540,687,41.3626,37.1728,3.16271,8.461366514054097,3110,3322
P1,0,471,340,46.8886,25.4419,3.02345,6.650126484322177,4026,2823
P1,0,471,467,46.8886,32.7191,3.61177,7.240750402735286,4026,3381
P1,0,471,502,46.8886,36.4699,5.69012,6.6288211506142805,4026,3443
P1,0,471,602,46.8886,31.1136,2.14219,7.890051384222491,4026,3912
P1,0,471,610,46.8886,33.6817,5.4655,5.859712332515245,4026,2963
P1,0,471,747,46.8886,42.0695,4.73786,7.286431614164731,4026,2917
P1,0,471,758,46.8886,29.9462,4.11651,7.057668089725901,4026,2742
P1,0,721,445,40.0254,35.5802,6.01439,5.678812993047049,4428,3063
P1,0,721,694,40.0254,34.9092,3.23258,7.526451798131708,4428,4745
P1,0,721,715,40.0254,28.7045,4.8496,6.311253050878643,4428,3401
P1,0,721,725,40.0254,38.473,3.78312,6.994570572815744,4428,3769
P1,0,595,366,49.1729,51.8927,7.09216,6.629869668741614,3513,3766
P1,0,595,452,49.1729,31.8299,3.93867,8.104458452635807,3513,3697
P1,0,595,577,49.1729,31.5959,3.39012,7.31891242045572,3513,2573
P1,0,595,622,49.1729,42.033,4.65203,7.216899883779737,3513,4485
P1,0,595,741,49.1729,41.3676,3.8087,8.143764490688566,3513,3362
P1,0,595,755,49.1729,42.4564,8.0057,5.60738412509398,3513,3512
P1,0,747,340,42.0695,25.4419,5.5172,5.150397184878075,2917,2823
