plant,time point,dividing parent cell,parent neighbor,weighted node degree_neighbour,clustering coefficient_neighbour,information centrality_neighbour,betweenness centrality_neighbour,eigenvector centrality_neighbour,page rank_neighbour,katz centrality_neighbour,current flow betweenness centrality_neighbour,communicability betweenness centrality_neighbour,load centrality_neighbour,harmonic centrality_neighbour,size on 2 neighborhood_neighbour,estrada index on 2 neighborhood_neighbour,abs graph density on 2 neighborhood_neighbour,rel graph density on 2 neighborhood_neighbour,avg path length on 2 neighborhood_neighbour,algebraic connectivity on 2 neighborhood_neighbour,weighted node degree_difference,clustering coefficient_difference,information centrality_difference,betweenness centrality_difference,eigenvector centrality_difference,page rank_difference,katz centrality_difference,current flow betweenness centrality_difference,communicability betweenness centrality_difference,load centrality_difference,harmonic centrality_difference,size on 2 neighborhood_difference,estrada index on 2 neighborhood_difference,abs graph density on 2 neighborhood_difference,rel graph density on 2 neighborhood_difference,avg path length on 2 neighborhood_difference,algebraic connectivity on 2 neighborhood_difference
P1,0,700,353,6.0,0.4,0.0036520702707431634,0.040113891311168305,0.047898627617238086,0.0029971572401900153,0.05856339702210873,0.05920476392923226,0.05141299957827735,0.037125431256918834,57.70949785508646,48.0,240.3462512078166,0.20779220779220778,4.363636363636363,2.45021645021645,0.6497415607837199,-1.0,0.06666666666666671,-0.00020745385628914053,-0.0114134550428407,-0.013878230269288971,-0.000425361511465197,-0.003262581869793349,-0.009559659475647582,-0.00985175268103404,-0.016902848240753894,-2.5483595652712907,3.0,12.644471238121668,-0.029049897470950103,-0.1363636363636367,0.11337434495329202,-0.1393869432580791
P1,0,700,428,5.0,0.5,0.0035499558125600297,0.011558960654494967,0.051853391246719845,0.0025452716006479103,0.05168564265383726,0.04045007702309504,0.02556205740422635,0.013507619119771877,58.422388722389066,37.0,182.8631811503469,0.27205882352941174,4.352941176470588,2.1691176470588234,0.8677883184361821,-2.0,0.16666666666666669,-0.00030956831447227426,-0.03996838569951404,-0.009923466639807213,-0.000877247151007302,-0.010140336238064818,-0.028314346381784802,-0.03570269485508504,-0.04052066037790085,-1.835468697968686,-8.0,-44.83859881934805,0.03521671826625386,-0.14705882352941213,-0.16772445820433468,0.07865981439438308
P1,0,700,538,6.0,0.4,0.0037216309109575963,0.04932834199430639,0.05592839444970076,0.0029747639285852526,0.05810916007927217,0.058755345044648834,0.05474685479576039,0.05023085588017712,59.79433066933101,46.0,230.67274606447438,0.21904761904761907,4.380952380952381,2.4047619047619047,0.7240563964907795,-1.0,0.06666666666666671,-0.00013789321607470765,-0.0021990043597026124,-0.0058484634368262955,-0.0004477548230699597,-0.0037168188126299045,-0.01000907836023101,-0.006517897463550998,-0.0037974236174956114,-0.4635267510267411,1.0,2.970966094779442,-0.017794486215538807,-0.11904761904761862,0.0679197994987466,-0.06507210755101955
P1,0,700,560,5.0,0.5,0.0035521385805787732,0.004583860938986084,0.052738970724553566,0.002550223145163639,0.05111468671994995,0.03845555894476406,0.021266453347333496,0.0037984206378442508,57.07587967588008,35.0,172.15091589098014,0.2916666666666667,4.375,2.1083333333333334,0.9729099134769383,-2.0,0.16666666666666669,-0.0003073855464535307,-0.04694348541502292,-0.009037887161973492,-0.0008722956064915735,-0.010711292171952123,-0.030308864460115784,-0.0399982989119779,-0.050229858859828475,-3.1819777444776705,-10.0,-55.550864078714795,0.054824561403508804,-0.125,-0.22850877192982466,0.18378140943513932
P1,0,700,687,6.0,0.4,0.0036224999451725465,0.04201355879025643,0.04748070944076156,0.0030050076508431173,0.05803979601861826,0.05698447860432785,0.04757851569469439,0.044228276267030645,58.35248085248121,46.0,229.5217139629108,0.21904761904761907,4.380952380952381,2.4095238095238094,0.7000644474301612,-1.0,0.06666666666666671,-0.00023702418185975746,-0.009513787563752575,-0.014296148445765496,-0.00041751110081209497,-0.0037861828732838193,-0.011779944800551993,-0.013686236564617003,-0.009800003230642083,-1.9053765678765444,1.0,1.8199339932158694,-0.017794486215538807,-0.11904761904761862,0.07268170426065135,-0.08906405661163785
P1,0,700,709,6.0,0.4,0.003718003692657257,0.03358816703604664,0.05369694012919659,0.0029780170407326563,0.05748287675458318,0.056419704107816056,0.04664718266100711,0.034380888014836554,59.08441974692006,44.0,219.9862323897615,0.23157894736842108,4.4,2.3473684210526318,0.7250508947817375,-1.0,0.06666666666666671,-0.0001415204343750468,-0.017939179317962364,-0.008079917757330468,-0.000444501710922556,-0.004343102137318894,-0.012344719297063787,-0.014617569598304278,-0.019647391482836174,-1.1734376734376895,-1.0,-7.715547579933428,-0.005263157894736803,-0.09999999999999964,0.010526315789473717,-0.06407760926006156
P1,0,700,717,6.0,0.4,0.003766452796127777,0.03745627060889166,0.06164390618345776,0.0029741345889696866,0.05681669906807313,0.05414167256643927,0.04502340983337932,0.03926230054244711,60.16479353979386,42.0,210.36156475560722,0.2456140350877193,4.421052631578948,2.2923976608187133,0.7487415695886267,-1.0,0.06666666666666671,-9.3071330904527e-05,-0.014071075745117345,-0.00013295170306929643,-0.00044838416268552566,-0.005009279823828948,-0.01462275083844057,-0.016241342425932073,-0.01476597895522562,-0.09306388056388926,-3.0,-17.34021521408772,0.00877192982456143,-0.07894736842105221,-0.04444444444444473,-0.04038693445317232
P1,0,580,439,5.0,0.5,0.0035619306580018362,0.007969841623115703,0.050863969439541225,0.0025397289660819833,0.05167604402933126,0.041017915223650545,0.026583762343943173,0.00785250932801928,57.780794205794614,37.0,181.63620605048416,0.27205882352941174,4.352941176470588,2.1838235294117645,0.9154162499968913,-2.0,0.16666666666666669,-0.0004433602305635915,-0.06605484189739981,-0.027878975489736217,-0.0008478569157883472,-0.01050324644766503,-0.0320446441275101,-0.05407269881031222,-0.06483497566830682,-5.183619158619045,-10.0,-55.58035190967411,0.04824929971988792,-0.1232492997198884,-0.21617647058823541,0.17162913671421942
P1,0,580,442,6.0,0.4,0.0038554785372396636,0.0360466181840299,0.07262469623450228,0.002954057650816866,0.05744057547496367,0.05840341292206014,0.05416487558635745,0.03443086306470745,61.413508713508996,44.0,219.9862323897622,0.23157894736842108,4.4,2.3473684210526318,0.7250508947817385,-1.0,0.06666666666666671,-0.0001498123513257641,-0.037978065336485615,-0.006118248694775161,-0.0004335282310534644,-0.004738715002032615,-0.014659146429100503,-0.02649158556789795,-0.038256621931618655,-1.5509046509046627,-3.0,-17.230325570396076,0.007769423558897259,-0.07619047619047592,-0.05263157894736814,-0.018736218500933433
P1,0,580,449,6.0,0.4,0.003768506285865997,0.039540582595797555,0.06025244113230773,0.0029685209088374568,0.05692266090816454,0.05555864633096722,0.05064678954576023,0.03791364481218341,60.191175491175805,42.0,209.17227338057143,0.2456140350877193,4.421052631578948,2.304093567251462,0.7949814819885627,-1.0,0.06666666666666671,-0.0002367846026994306,-0.03448410092471796,-0.01849050379696971,-0.0004190649730328737,-0.005256629568831751,-0.01750391302019342,-0.030009671608495166,-0.034773840184142694,-2.7732378732378535,-5.0,-28.044284579586844,0.021804511278195493,-0.055137844611528486,-0.09590643274853772,0.05119436870589078
