plant,time point,dividing parent cell,parent neighbor,weighted node degree_neighbour,clustering coefficient_neighbour,information centrality_neighbour,betweenness centrality_neighbour,eigenvector centrality_neighbour,page rank_neighbour,katz centrality_neighbour,current flow betweenness centrality_neighbour,communicability betweenness centrality_neighbour,load centrality_neighbour,harmonic centrality_neighbour,size on 2 neighborhood_neighbour,estrada index on 2 neighborhood_neighbour,abs graph density on 2 neighborhood_neighbour,rel graph density on 2 neighborhood_neighbour,avg path length on 2 neighborhood_neighbour,algebraic connectivity on 2 neighborhood_neighbour,weighted node degree_difference,clustering coefficient_difference,information centrality_difference,betweenness centrality_difference,eigenvector centrality_difference,page rank_difference,katz centrality_difference,current flow betweenness centrality_difference,communicability betweenness centrality_difference,load centrality_difference,harmonic centrality_difference,size on 2 neighborhood_difference,estrada index on 2 neighborhood_difference,abs graph density on 2 neighborhood_difference,rel graph density on 2 neighborhood_difference,avg path length on 2 neighborhood_difference,algebraic connectivity on 2 neighborhood_difference
P1,0,700,353,0.15690281309012205,0.0966159545010051,0.00010662143143444237,0.0360648253823328,0.000284508243895441,0.0028074229105091906,0.05856339702210873,0.05727608947822695,0.0514129995782688,0.0360648253823328,2244.2285340694143,48.0,240.3462512078166,0.20779220779220778,4.363636363636363,0.06499151790516275,0.01741220200789612,-0.03454085274109825,0.008771140757856385,-7.229407437812257e-06,0.0029498007128685028,-0.00019994465561190566,-0.0005122276270390345,-0.003262581869793349,-0.008238261992947131,-0.00985175268104578,0.0029498007128685028,-63.36575584581533,3.0,12.644471238121668,-0.029049897470950103,-0.1363636363636367,0.003435779315690342,-0.0038501843586424174
P1,0,700,428,0.16177789786334218,0.14409295107740944,0.00010811790663416855,0.0,0.000678097037611103,0.002821182189865679,0.05168564265383726,0.043770950166208765,0.02556205740422923,0.0,2113.5780190623336,37.0,182.8631811503469,0.27205882352941174,4.352941176470588,0.05793294867721883,0.02368702557252885,-0.02966576796787812,0.05624813733426072,-5.7329322380860755e-06,-0.033115024669464296,0.00019364413810375638,-0.0004984683476825461,-0.010140336238064818,-0.02174340130496532,-0.03570269485508536,-0.033115024669464296,-194.016270852896,-8.0,-44.83859881934805,0.03521671826625386,-0.14705882352941213,-0.0036227899122535795,0.0024246392059903144
P1,0,700,538,0.1620251285211257,0.09943861058791088,0.00010955197442641785,0.026074131301248395,0.0017524697840856913,0.002797917368256012,0.05810916007927217,0.05613426342367548,0.05474685479575521,0.026074131301248395,2268.705545929153,46.0,230.67274606447438,0.21904761904761907,4.380952380952381,0.0630830367496905,0.019704975234213558,-0.02941853731009461,0.011593796844762166,-4.298864445836776e-06,-0.007040893368215902,0.0012680168845783447,-0.000521733169292213,-0.0037168188126299045,-0.009380088047498604,-0.006517897463559373,-0.007040893368215902,-38.88874398607686,1.0,2.970966094779442,-0.017794486215538807,-0.11904761904761862,0.0015272981602180921,-0.001557411132324979
P1,0,700,560,0.16269631437436086,0.14615611913199214,0.00010815931718370242,0.00015802503818938422,0.0002671674680240825,0.0028656889510438473,0.05111468671994995,0.04215005456141002,0.021266453347333715,0.00015802503818938422,2114.5897352926736,35.0,172.15091589098014,0.2916666666666667,4.375,0.05693941080304597,0.027031595515678165,-0.028747351456859443,0.058311305388843424,-5.691521688552204e-06,-0.032956999631274915,-0.00021728543148326416,-0.00045396158650437774,-0.010711292171952123,-0.023364296909764062,-0.03999829891198087,-0.032956999631274915,-193.00455462255604,-10.0,-55.550864078714795,0.054824561403508804,-0.125,-0.004616327786426434,0.005769209149139629
P1,0,700,687,0.1589539010598832,0.09811131746612084,0.00010627752260788375,0.06078696469018313,0.001186369740908235,0.0027561365801418193,0.05803979601861826,0.0547869221798919,0.04757851569469076,0.06078696469018313,2236.1581014899843,46.0,229.5217139629108,0.21904761904761907,4.380952380952381,0.06490545492537292,0.01917859706885219,-0.03248976477133711,0.010266503722972123,-7.57331626437087e-06,0.027671940020718835,0.0007019168414008883,-0.0005635139574064058,-0.0037861828732838193,-0.010727429291282183,-0.013686236564623824,0.027671940020718835,-71.43618842524529,1.0,1.8199339932158694,-0.017794486215538807,-0.11904761904761862,0.0033497163359005114,-0.002083789297686347
P1,0,700,709,0.15829569359489268,0.09826845738276764,0.00010802837266069883,0.01964777974821344,0.00011082537889534256,0.002900785843012852,0.05748287675458318,0.05390412801817091,0.04664718266100848,0.01964777974821344,2299.342172743834,44.0,219.9862323897615,0.23157894736842108,4.4,0.05938306832329163,0.018707954752924028,-0.03314797223632762,0.010423643639618924,-5.822466211555797e-06,-0.013467244921250857,-0.0003736275206120041,-0.0004188646945353729,-0.004343102137318894,-0.011610223453003173,-0.014617569598306103,-0.013467244921250857,-8.25211717139564,-1.0,-7.715547579933428,-0.005263157894736803,-0.09999999999999964,-0.0021726702661807804,-0.0025544316136145093
P1,0,700,717,0.17388106393114458,0.10524046871522756,0.00011150774716246624,0.036012150369603,0.00012993893812771344,0.0031103368303950006,0.05681669906807313,0.05509497514167196,0.04502340983337894,0.036012150369603,2325.2121150668895,42.0,210.36156475560722,0.2456140350877193,4.421052631578948,0.05892486672517023,0.019936016852884014,-0.01756260190007572,0.017395654972078844,-2.3430917097883784e-06,0.0028971257001387044,-0.0003545139613796332,-0.00020931370715322447,-0.005009279823828948,-0.010419376329502121,-0.01624134242593564,0.0028971257001387044,17.617825151659872,-3.0,-17.34021521408772,0.00877192982456143,-0.07894736842105221,-0.0026308718643021783,-0.0013263695136545225
P1,0,580,439,0.13711573144090544,0.12180225371595257,0.00010350481097617732,0.0,3.84843475879285e-05,0.0026072672289529203,0.05167604402933126,0.04190671784643579,0.026583762343935505,0.0,2266.056227078236,37.0,181.63620605048416,0.27205882352941174,4.352941176470588,0.05276040839199957,0.02315509668585202,-0.02475173816727344,0.04545089693033756,-1.0265545532608681e-05,-0.12531385528418168,-3.059681075997892e-06,-0.00034988748730931975,-0.01050324644766503,-0.020821199854615585,-0.054072698810314915,-0.12531385528418168,-286.9214634361838,-10.0,-55.58035190967411,0.04824929971988792,-0.1232492997198884,-0.007016891939743891,0.003876408279151873
P1,0,580,442,0.16192572614005124,0.10152544748448113,0.00011296950625931395,0.08888030481274033,0.0001484238926531327,0.00286227539790401,0.05744057547496367,0.05557863016625077,0.05416487558635618,0.08888030481274033,2404.935076258198,44.0,219.9862323897622,0.23157894736842108,4.4,0.06206105047549348,0.019965730429864468,5.825653187235824e-05,0.025174090698866114,-8.008502494720443e-07,-0.03643355047144135,0.00010687986398920631,-9.487931835822994e-05,-0.004738715002032615,-0.007149287534800611,-0.026491585567894237,-0.03643355047144135,-148.0426142562219,-3.0,-17.230325570396076,0.007769423558897259,-0.07619047619047592,0.002283750143750013,0.00068704202316432
P1,0,580,449,0.13825435395954955,0.08782693016035147,0.00010550105907417814,0.0940600143978368,1.6513134205020905e-05,0.0026607223273455768,0.05692266090816454,0.04921195927263855,0.05064678954576452,0.0940600143978368,2483.3248051006453,42.0,209.17227338057143,0.2456140350877193,4.421052631578948,0.053858359991052776,0.019662106092084183,-0.023613115648629335,0.011475573374736453,-8.269297434607852e-06,-0.03125384088634488,-2.5030894458905485e-05,-0.0002964323889166633,-0.005256629568831751,-0.013515958428412828,-0.030009671608485895,-0.03125384088634488,-69.65288541377458,-5.0,-28.044284579586844,0.021804511278195493,-0.055137844611528486,-0.0059189403406906885,0.00038341768538403473
P1,0,580,602,0.17227203652818426,0.1029808201181574,0.00011475933468858627,0.013888645023089213,2.059122569164672e-05,0.003088117297652366,0.05703400828172075,0.05812116328876235,0.05034839805948867,0.013888645023089213,2340.4428733366667,42.0,210.36258180535498,0.2456140350877193,4.421052631578948,0.057117730838111884,0.01965463577801277,0.010404566920005381,0.02662946333254239,9.889781798002733e-07,-0.11142521026109246,-2.095280297227967e-05,0.0001309625813901258,-0.00514528219527554,-0.004606754412289027,-0.03030806309476175,-0.11142521026109246,-212.5348171777532,-5.0,-26.85397615480329,0.021804511278195493,-0.055137844611528486,-0.0026595694936315806,0.000375947371312621
P1,0,580,717,0.17388106393114458,0.10524046871522756,0.00011150774716246624,0.036012150369603,0.00012993893812771344,0.0031103368303950006,0.05681669906807313,0.05509497514167196,0.04502340983337894,0.036012150369603,2325.2121150668895,42.0,210.36156475560722,0.2456140350877193,4.421052631578948,0.05892486672517023,0.019936016852884014,0.012013594322965698,0.02888911192961255,-2.262609346319753e-06,-0.08930170491457867,8.839490946378704e-05,0.0001531821141327605,-0.005362591408923159,-0.0076329425593794145,-0.035633051320871474,-0.08930170491457867,-227.7655754475304,-5.0,-26.85499320455105,0.021804511278195493,-0.055137844611528486,-0.0008524336065732357,0.0006573284461838663
P1,0,580,740,0.1698877617763805,0.10263398639975736,0.0001167777032930539,0.018488929468157955,6.719480802241901e-05,0.002977474234557966,0.05809940871990235,0.06268249176025621,0.06691271966254,0.018488929468157955,2365.1762196831373,46.0,230.76382655358776,0.21904761904761907,4.380952380952381,0.06240676141931212,0.01840744871835654,0.008020292168201631,0.02628262961414235,3.0073467842679075e-06,-0.10682492581602372,2.5650779358492625e-05,2.031951829572576e-05,-0.004079881757093937,-4.542594079516571e-05,-0.013743741491710412,-0.10682492581602372,-187.8014708312826,-1.0,-6.452731406570507,-0.004761904761904745,-0.0952380952380949,0.0026294610875686533,-0.0008712396883436072
P1,0,580,753,0.14621331687296552,0.09193401799434454,0.00010907535043680105,0.10199638298245922,1.528512007414549e-05,0.0027425725420790526,0.05735600473677354,0.05169174693022942,0.0540559196965578,0.10199638298245922,2502.0963719726674,44.0,219.9395389308371,0.23157894736842108,4.4,0.05668241530316702,0.017852696108484,-0.015654152735213367,0.015582661208729531,-4.695006071984951e-06,-0.02331747230172246,-2.6258908589780898e-05,-0.00021458217418318746,-0.004823285740222748,-0.01103617077082196,-0.02660054145769262,-0.02331747230172246,-50.881318541752535,-3.0,-17.277019029321167,0.007769423558897259,-0.07619047619047592,-0.0030948850285764454,-0.0014259922982161471
P1,0,390,610,0.13382918897939497,0.12054210822248432,0.00010596191218742322,0.00038628342668516145,1.142858874939224e-05,0.0025051754197673837,0.052086936879647626,0.04155313818150568,0.02697120363936008,0.00038628342668516145,2326.7916008195634,39.0,192.3511938760107,0.2549019607843137,4.333333333333333,0.0555489403491733,0.02121076171940608,-0.03721836497994674,0.042716315962798096,-6.721292853124745e-06,-0.13330289888153388,-2.5299118058276218e-05,-0.0006124222930839049,-0.009464171805095678,-0.018652989724571696,-0.03822773348942486,-0.13330289888153388,-204.81639709914998,-6.0,-36.542784219253065,0.018059855521155826,-0.16666666666666696,-0.00081528460277068,0.00222871572260119
P1,0,390,653,0.15568402717924046,0.13501106471245466,0.00010591109105752804,0.0,0.0001182912255885767,0.002795722650003709,0.051642136158249495,0.04253751040970419,0.024571166881276155,0.0,2209.868140760425,37.0,182.91421865833865,0.27205882352941174,4.352941176470588,0.05361233682865767,0.024433552693054045,-0.01536352678010125,0.05718527245276844,-6.772113983019931e-06,-0.13368918230821905,8.156351878090825e-05,-0.0003218750628475797,-0.009908972526493809,-0.01766861749637319,-0.040627770247508785,-0.13368918230821905,-321.7398571582885,-8.0,-45.97975943692512,0.03521671826625386,-0.14705882352941213,-0.0027518881232863127,0.005451506696249154
P1,0,390,693,0.159042988890987,0.07470836387996198,0.00011220019456224498,0.1812371604656471,9.642442017298767e-05,0.0028488097753165626,0.062301322012598144,0.06011589215286996,0.0787283510453766,0.1812371604656471,2588.519734258225,47.0,238.40981696043048,0.22380952380952382,4.476190476190476,0.05829327748963986,0.018570673170439346,-0.012004565068354706,-0.0031174283797242436,-4.830104783029875e-07,0.04754797815742806,5.969671336531921e-05,-0.000268787937534726,0.0007502133278548401,-9.023575320742105e-05,0.013529413916591654,0.04754797815742806,56.91173633951166,2.0,9.5158388651667,-0.013032581453634062,-0.023809523809523725,0.0019290525376958814,-0.00041137282636554556
P1,0,390,747,0.1509978084131276,0.0953476680057172,0.00010981407494341218,0.03962916791038224,1.9097891767202414e-05,0.002751468550858998,0.056727671392195214,0.048360728252517346,0.04065512234340341,0.03962916791038224,2451.1481025557,42.0,211.6417273469667,0.2456140350877193,4.421052631578948,0.05563819823269197,0.019853110988942057,-0.02004974554621411,0.01752187574603098,-2.869130097135785e-06,-0.09406001439783682,-1.7629815040466047e-05,-0.00036612916199229044,-0.00482343729254809,-0.011845399653560032,-0.024543814785381528,-0.09406001439783682,-80.4598953630134,-3.0,-17.252250748297087,0.00877192982456143,-0.07894736842105221,-0.0007260267192520098,0.0008710649921371653
P1,0,390,753,0.14621331687296552,0.09193401799434454,0.00010907535043680105,0.10199638298245922,1.528512007414549e-05,0.0027425725420790526,0.05735600473677354,0.05169174693022942,0.0540559196965578,0.10199638298245922,2502.0963719726674,44.0,219.9395389308371,0.23157894736842108,4.4,0.05668241530316702,0.017852696108484,-0.024834237086376193,0.014108225734658322,-3.6078546037469217e-06,-0.03169279932575983,-2.144258673352297e-05,-0.00037502517077223595,-0.004195103947969764,-0.00851438097584796,-0.011143017432227141,-0.03169279932575983,-29.511625946046024,-1.0,-8.954439164426674,-0.005263157894736803,-0.09999999999999964,0.0003181903512230397,-0.0011293498883208908
P1,0,390,754,0.15800411852008844,0.09445616824671967,0.0001087833496813873,0.007778343546433023,3.008217942768243e-05,0.002947595698992168,0.057338515753324285,0.054381730679383025,0.05174139999574191,0.007778343546433023,2384.9167474981055,44.0,219.89767135165462,0.23157894736842108,4.4,0.057061803697442466,0.018930196827116445,-0.013043435439253265,0.016630375987033444,-3.899855359160669e-06,-0.12591083876178602,-6.645527379986031e-06,-0.0001700020138591207,-0.004212592931419019,-0.005824397226694353,-0.013457537133043027,-0.12591083876178602,-146.69125042060796,-1.0,-8.996306743609154,-0.005263157894736803,-0.09999999999999964,0.0006975787454984866,-5.1849169688446967e-05
P1,0,390,767,0.13748209599146022,0.13076108446488136,0.00010243929254475619,0.020385229926430565,7.064033162753553e-05,0.0025441431312245464,0.05161098840243635,0.037560662968531604,0.02307400428013297,0.020385229926430565,2268.51529130739,37.0,182.8631811503467,0.27205882352941174,4.352941176470588,0.05394546902577345,0.022165879495422997,-0.03356545796788149,0.052935292205195134,-1.024391249579178e-05,-0.11330395238178849,3.391262481986707e-05,-0.0005734545816267421,-0.009940120282306952,-0.022645464937545774,-0.04212493284865197,-0.11330395238178849,-263.0927066113236,-8.0,-46.030796944917086,0.03521671826625386,-0.14705882352941213,-0.0024187559261705308,0.0031838334986181056
