plant,time point,cell,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
p4 FM1,0,21399,6.0,6.0,0.4,0.0112750399549262,0.0799207350510888,0.1541801444260148,0.0079268199644702,0.0997194301303206,0.1017003695677728,0.1149834141375747,0.0776118696968433,36.658730158730144,47.0,240.08090861515535,0.2238095238095238,4.476190476190476,2.3857142857142857,0.7549029101702788,6.0,0.1913356289048116,0.3047855976965138,0.0002808607927269,0.0113735783027121,0.2579907622982356,0.0094211674894883,0.0997194301303206,0.1191722613834694,0.1149834141375747,0.0113735783027121,1417.2640530693368,47.0,240.08090861515535,0.2238095238095238,4.476190476190476,0.0631128634620148,0.0207030898732587,6.0,1.9431973905161253,0.0173446246370154,0.0029375431066141,0.0209973753280839,1.3118998302099776e-05,0.0086967101447898,0.0997194301303206,0.1218001983613947,0.1149834141375747,0.0209973753280839,156.7551436069191,47.0,240.08090861515535,0.2238095238095238,4.476190476190476,0.5632037462414162,0.178019551655322,6.0,0.8266652252163007,0.0958682262939561,0.0015710307457669,0.0553680789901262,0.0073625941278665,0.0079401422807618,0.0997194301303206,0.1043578895648539,0.1149834141375747,0.0553680789901262,301.24735799101364,47.0,240.08090861515535,0.2238095238095238,4.476190476190476,0.2998526845993168,0.0964091894379221
p4 FM1,0,21403,6.0,6.0,0.4,0.0112465786264702,0.0908988409513768,0.1576852615713435,0.0079292990954943,0.0994644909272908,0.098462002826777,0.1107205074019204,0.0921811531371078,36.79563492063488,47.0,239.98453767045584,0.2238095238095238,4.476190476190476,2.3857142857142857,0.726183598621864,6.0,0.1192865870186956,0.2004224749648359,0.0002519389388144,0.0748656417947756,0.0962343646490208,0.0068455550890991,0.0994644909272908,0.0891093017784342,0.1107205074019204,0.0748656417947756,1810.6982406746476,47.0,239.98453767045584,0.2238095238095238,4.476190476190476,0.051004871660523,0.0160850485264604,6.0,5.255050690754243,0.0182867391032969,0.0030358342466961,0.17310336207974,1.4029889427643192e-06,0.016507794122655,0.0994644909272908,0.1294132535912135,0.1107205074019204,0.17310336207974,199.2637485365511,47.0,239.98453767045584,0.2238095238095238,4.476190476190476,0.4958535383753236,0.1515619224181235,6.0,0.8751935210978854,0.098719035847747,0.0015864581410678,0.041869766279215,0.0400155460445928,0.0077936579748921,0.0994644909272908,0.1030289797237834,0.1107205074019204,0.041869766279215,290.9541388135463,47.0,239.98453767045584,0.2238095238095238,4.476190476190476,0.3158909639312451,0.0976699989960119
p4 FM1,0,21404,5.0,5.0,0.5,0.0099809998964767,0.0106337766163471,0.0986173581279294,0.0069921517712123,0.0871719202789474,0.0593846235124615,0.0410893806893844,0.0104072598215818,32.57142857142859,35.0,173.33432235223552,0.2916666666666667,4.375,2.1,0.9260299220826832,5.0,0.1090000336201197,0.2661044371071318,0.0002225086417068,0.0012498437695288,0.019052194691908,0.0071689409583236,0.0871719202789474,0.0603767656949413,0.0410893806893844,0.0012498437695288,1606.6400290666943,35.0,173.33432235223552,0.2916666666666667,4.375,0.0397211818708794,0.0179958162512165,5.0,0.907276918342162,0.0152843554025562,0.0022241316488061,0.1526059242594675,6.16582619642902e-08,0.0050315219768405,0.0871719202789474,0.0427888274726821,0.0410893806893844,0.1526059242594675,186.46565030617663,35.0,173.33432235223552,0.2916666666666667,4.375,0.4113376410380562,0.1821985846573536,5.0,0.8544287414103059,0.1402562560870667,0.0014530364037668,0.0001249843769528,0.0448830203174171,0.0076553720443104,0.0871719202789474,0.0721818858893071,0.0410893806893844,0.0001249843769528,244.53884873466396,35.0,173.33432235223552,0.2916666666666667,4.375,0.2849579620876732,0.1458259285587198
p4 FM1,0,21439,7.0,7.0,0.3333333333333333,0.0113600894870298,0.1102134592999654,0.1631511836805076,0.0092108735628313,0.1074972575511298,0.1116135831372127,0.1269348342148646,0.1104767503020455,36.52222222222224,50.0,263.4296070128058,0.2164502164502164,4.545454545454546,2.398268398268398,0.7335349877355666,7.0,0.1508355329547208,0.1818761722569913,0.0002600969809935,0.1507311586051743,0.1080375942535853,0.0081337072664284,0.1074972575511298,0.1032982187575359,0.1269348342148646,0.1507311586051743,1733.3843001627845,50.0,263.4296070128058,0.2164502164502164,4.545454545454546,0.0537747298189829,0.0164344500623086,7.0,1.859684442938984,0.0121799370924073,0.0028374557523398,0.1273590801149856,1.818456134863906e-07,0.0082795447454994,0.1074972575511298,0.1151252267773912,0.1269348342148646,0.1273590801149856,179.78002891680072,50.0,263.4296070128058,0.2164502164502164,4.545454545454546,0.5261652993826462,0.1761327489654746,7.0,0.9324292147345156,0.0811688547188476,0.0015759653797431,0.1431071116110486,0.0635501841878166,0.0080321094520856,0.1074972575511298,0.1053957595031471,0.1269348342148646,0.1431071116110486,300.37045216631225,50.0,263.4296070128058,0.2164502164502164,4.545454545454546,0.3252164971662659,0.0999583755180256
p4 FM1,0,21499,5.0,5.0,0.5,0.010032488548388,0.010756075546501,0.1028902762419731,0.0069150837380211,0.0881844827258652,0.0627972939163292,0.0461173128051341,0.0108743845773136,33.104761904761936,37.0,182.96238626306555,0.2720588235294117,4.352941176470588,2.1544117647058822,0.9430074592944736,5.0,0.1282285938865189,0.3178911699835285,0.0002425951296895,0.0043744531933508,0.1266037234552057,0.0068217129653462,0.0881844827258652,0.0642086322402189,0.0461173128051341,0.0043744531933508,1370.2515106327858,37.0,182.96238626306555,0.2720588235294117,4.352941176470588,0.0559983221021521,0.0249172506480184,5.0,0.9787226242531912,0.0172873754764942,0.0022972049270892,0.0709911261092363,3.039213580548997e-05,0.0052581543232074,0.0881844827258652,0.045321176446889,0.0461173128051341,0.0709911261092363,168.23064665815656,37.0,182.96238626306555,0.2720588235294117,4.352941176470588,0.4902817793154985,0.2320935955189984,5.0,0.6287638915403305,0.1086449351632584,0.0013724264270199,0.0,0.0009459457441735,0.0067680005943461,0.0881844827258652,0.0688668860918993,0.0461173128051341,0.0,271.1345994098973,37.0,182.96238626306555,0.2720588235294117,4.352941176470588,0.2489005237375856,0.1078584633383953
p4 FM1,0,21505,5.0,5.0,0.5,0.0098574184580232,0.0062664000455625,0.0949810656075946,0.0069709579096383,0.0863839452990197,0.0559262251939627,0.035178903120253,0.0056610575346677,32.07027417027418,33.0,162.7255725396128,0.3142857142857143,4.4,2.019047619047619,1.0758315294107188,5.0,0.1500379281663648,0.3549228375222041,0.0002458221154789,0.0018747656542932,0.1349951492741815,0.0078642191841891,0.0863839452990197,0.06460776113672,0.035178903120253,0.0018747656542932,1307.993069015755,33.0,162.7255725396128,0.3142857142857143,4.4,0.0519309229975635,0.0282933066008714,5.0,1.1851653318436326,0.0187301737833796,0.0023495676689688,0.0551181102362204,0.0002026359460853,0.0061652245947487,0.0863839452990197,0.0461754844280067,0.035178903120253,0.0551181102362204,163.46915191398136,33.0,162.7255725396128,0.3142857142857143,4.4,0.4609165052213765,0.3208421669965314,5.0,0.6674978302858451,0.1171797014285296,0.0013670947178305,0.0002499687539057,0.0008430025891129,0.0071185549886741,0.0863839452990197,0.063920394987525,0.035178903120253,0.0002499687539057,257.6334625753891,33.0,162.7255725396128,0.3142857142857143,4.4,0.2260546380687638,0.126998283618689
p4 FM1,0,21514,6.0,6.0,0.4,0.0108115922412476,0.0572416908477487,0.1319712383962984,0.0081070900475654,0.0986374287779121,0.0914691675216767,0.0908152585240089,0.0559938788676364,35.019841269841315,48.0,252.08653079963727,0.2285714285714285,4.571428571428571,2.357142857142857,0.7735573157134757,6.0,0.1545603033358007,0.2531957246785236,0.0002604027986027,0.0528683914510686,0.1648526382263976,0.0079197232309345,0.0986374287779121,0.0938835263341722,0.0908152585240089,0.0528683914510686,1458.473530136405,48.0,252.08653079963727,0.2285714285714285,4.571428571428571,0.0603317907969894,0.0207227214153077,6.0,1.4359750837533818,0.0148197711670206,0.002632813647949,0.0842394700662417,8.22083412924063e-08,0.0072522642523977,0.0986374287779121,0.0861787367230202,0.0908152585240089,0.0842394700662417,163.86648438069338,48.0,252.08653079963727,0.2285714285714285,4.571428571428571,0.5389335956781224,0.1953564144531455,6.0,0.7578119056844125,0.0904663292420509,0.0014884973386838,0.0304961879765029,0.0087280036235425,0.007389883104671,0.0986374287779121,0.0905561079928664,0.0908152585240089,0.0304961879765029,283.4807928895136,48.0,252.08653079963727,0.2285714285714285,4.571428571428571,0.2897760709184118,0.0996580594134238
p4 FM1,0,21516,7.0,7.0,0.3333333333333333,0.0109615692518073,0.05604284614903,0.1323689858947065,0.0094436239031267,0.1046107872138707,0.1022136140672056,0.0908187776103029,0.0556747814118185,34.521428571428594,45.0,232.42915867274988,0.2368421052631578,4.5,2.310526315789473,0.7767539353744437,7.0,0.1837869546736385,0.22196607252907,0.0002639856704194,0.0466191726034245,0.1743042377312553,0.009287331823344,0.1046107872138707,0.1046860962683197,0.0908187776103029,0.0466191726034245,1441.9280011306012,45.0,232.42915867274988,0.2368421052631578,4.5,0.060151528205731,0.0203638859575649,7.0,2.1785307504704496,0.012906786998315,0.002768982145081,0.0844894388201474,3.7126092824161265e-08,0.010540557783117,0.1046107872138707,0.1131506590366113,0.0908187776103029,0.0844894388201474,167.64341673335073,45.0,232.42915867274988,0.2368421052631578,4.5,0.5357244579365891,0.2052700982673666,7.0,0.978276890207321,0.0843582495824158,0.0015321198908063,0.0512435945506811,0.0236191483486479,0.0088554385304539,0.1046107872138707,0.1000420683718357,0.0908187776103029,0.0512435945506811,274.9956283286801,45.0,232.42915867274988,0.2368421052631578,4.5,0.3078191857667471,0.1029266530418409
p4 FM1,0,21517,7.0,7.0,0.3333333333333333,0.0116118766664344,0.1287325430442087,0.1696060744902158,0.0091695055027464,0.1077395262692934,0.1195933553388827,0.146763200207103,0.130358479736715,37.28214285714283,49.0,252.8542606573276,0.2121212121212121,4.454545454545454,2.415584415584416,0.6739566854001997,7.0,0.1827688664010546,0.2271856479393251,0.0002784391537912,0.1498562679665041,0.2292333667050184,0.0090555337788959,0.1077395262692934,0.11933335820284,0.146763200207103,0.1498562679665041,1567.8527425585576,49.0,252.8542606573276,0.2121212121212121,4.454545454545454,0.0628377681654724,0.0181248134855275,7.0,1.709731051208466,0.0128164236712525,0.0028210303922395,0.0913635795525559,1.0874834547665723e-06,0.0081304320138316,0.1077395262692934,0.1067748774193661,0.146763200207103,0.0913635795525559,165.0147946696748,49.0,252.8542606573276,0.2121212121212121,4.454545454545454,0.561583037281783,0.1614336093413147,7.0,0.8855335679341584,0.0798876295412508,0.0016000298903382,0.1301087364079489,0.0094507458184945,0.0084003702760647,0.1077395262692934,0.1149127683616109,0.146763200207103,0.1301087364079489,305.6720161256053,49.0,252.8542606573276,0.2121212121212121,4.454545454545454,0.3016926873450684,0.0888892309553546
p4 FM1,0,21520,6.0,6.0,0.4,0.0111397279751718,0.0820411392928641,0.140197441244802,0.0079903296077969,0.0986311198455173,0.0994234506002783,0.1080137991587106,0.0801451407597969,36.16944444444446,44.0,218.74954731526407,0.231578947368421,4.4,2.363157894736842,0.7536257201119804,6.0,0.18607350394732,0.2956063536054865,0.0002755348003712,0.0096237970253718,0.2091839295805176,0.0095313818185798,0.0986311198455173,0.1159631391613929,0.1080137991587106,0.0096237970253718,1435.6195319272254,44.0,218.74954731526407,0.231578947368421,4.4,0.0605206603132805,0.0197452115780673,6.0,1.8331215064636983,0.0167102734939812,0.0028745636666864,0.0239970003749531,0.0001392885648028,0.008462846529255,0.0986311198455173,0.1172928330354681,0.1080137991587106,0.0239970003749531,162.97518992406546,44.0,218.74954731526407,0.231578947368421,4.4,0.5318313348799997,0.180909968405205,6.0,0.7980893874100945,0.095663350684391,0.0015292077282662,0.069241344831896,0.0059752733478823,0.0078021950881232,0.0986311198455173,0.096820518598369,0.1080137991587106,0.069241344831896,304.8418289030751,44.0,218.74954731526407,0.231578947368421,4.4,0.2929240484387791,0.090999638352264
