plant,time point,cell,area
p4 FM1,0,21399,28.8223
p4 FM1,0,21403,53.8408
p4 FM1,0,21404,46.0439
p4 FM1,0,21439,50.4098
p4 FM1,0,21499,40.3493
p4 FM1,0,21505,30.934
p4 FM1,0,21514,39.6987
p4 FM1,0,21516,42.1409
p4 FM1,0,21517,45.3145
p4 FM1,0,21520,29.340999999999998
p4 FM1,0,21523,27.0379
p4 FM1,0,21527,49.2235
p4 FM1,0,21528,58.4916
p4 FM1,0,21536,35.1075
p4 FM1,0,21602,28.5978
p4 FM1,0,21603,40.3709
p4 FM1,0,21607,32.4187
p4 FM1,0,21608,44.1334
p4 FM1,0,21612,44.0041
p4 FM1,0,21620,25.7556
p4 FM1,0,21621,36.7598
p4 FM1,0,21624,17.5778
p4 FM1,0,21625,32.5153
p4 FM1,0,21626,38.823
p4 FM1,0,21627,49.9615
p4 FM1,0,21632,52.4702
p4 FM1,0,21640,58.7311
p4 FM1,0,21653,67.9456
p4 FM1,1,21734,49.966
p4 FM1,1,21735,35.4047
p4 FM1,1,21754,41.9909
p4 FM1,1,21756,29.5263
p4 FM1,1,21759,33.0267
p4 FM1,1,21766,57.4634
p4 FM1,1,21885,33.1611
p4 FM1,1,21895,33.3425
p4 FM1,1,21896,37.6704
p4 FM1,1,21903,43.9499
p4 FM1,1,21915,56.4522
p4 FM1,1,21916,55.7757
p4 FM1,1,21917,36.842
p4 FM1,1,21919,24.2048
p4 FM1,1,21926,36.7222
p4 FM1,1,21927,60.0688
p4 FM1,1,21934,40.2034
p4 FM1,1,21935,34.3623
p4 FM1,1,21943,47.7787
p4 FM1,1,21944,40.9999
p4 FM1,1,21945,39.3422
p4 FM1,1,21960,52.5897
p4 FM1,1,21962,31.8679
p4 FM1,1,21969,44.3408
p4 FM1,1,21971,36.5741
p4 FM1,1,21977,41.3035
p4 FM1,1,21979,42.7859
p4 FM1,1,21981,26.3659
p4 FM1,1,21988,58.1598
p4 FM1,1,21996,49.9196
p4 FM1,1,22002,46.8624
p4 FM1,2,22111,54.3178
p4 FM1,2,22124,32.4912
p4 FM1,2,22125,45.501000000000005
p4 FM1,2,22138,49.0388
p4 FM1,2,22273,44.1634
p4 FM1,2,22281,45.0749
p4 FM1,2,22283,33.9135
p4 FM1,2,22294,51.2347
p4 FM1,2,22308,44.7835
p4 FM1,2,22309,29.565
p4 FM1,2,22318,49.0579
p4 FM1,2,22320,39.9166
p4 FM1,2,22328,35.1205
p4 FM1,2,22329,56.7808
p4 FM1,2,22343,44.3274
p4 FM1,2,22345,56.7592
p4 FM1,2,22346,51.1153
p4 FM1,2,22355,45.2245
p4 FM1,2,22371,24.5395
p4 FM1,2,22372,40.5062
p4 FM1,2,22374,33.4953
p4 FM1,2,22384,36.0623
p4 FM1,2,22387,47.3363
p4 FM1,2,22393,45.8806
p4 FM1,2,22394,42.1411
p4 FM1,2,22415,34.8024
p4 FM1,2,22417,32.4789
p4 FM1,2,22419,61.1249
p4 FM1,3,22622,36.0913
p4 FM1,3,22625,32.5314
p4 FM1,3,22632,46.2803
p4 FM1,3,22645,56.6032
p4 FM1,3,22655,32.4478
p4 FM1,3,22658,40.448
p4 FM1,3,22664,65.6996
p4 FM1,3,22730,30.4353
p4 FM1,3,22737,32.7373
p4 FM1,3,22749,38.2454
p4 FM1,3,22751,38.6
p4 FM1,3,22766,44.0529
p4 FM1,3,22784,38.7945
p4 FM1,3,22785,36.2196
p4 FM1,3,22801,52.0357
p4 FM1,3,22802,33.9646
p4 FM1,3,22926,51.217
p4 FM1,3,22927,52.4541
p4 FM1,3,22936,35.8856
p4 FM1,3,22944,31.445999999999998
p4 FM1,3,22961,59.1664
p4 FM1,3,22962,51.8461
p4 FM1,3,22969,40.8672
p4 FM1,3,22970,54.3099
p4 FM1,3,22971,38.7359
p4 FM1,3,22986,37.9447
p4 FM1,3,22987,37.2175
p4 FM1,3,22988,41.1372
p4 FM1,3,22989,50.2409
p4 FM1,3,23003,51.6563
p4 FM2,0,4,48.3275
p4 FM2,0,25,37.1044
p4 FM2,0,32,52.315
p4 FM2,0,34,48.5942
p4 FM2,0,35,43.9855
p4 FM2,0,37,46.2423
p4 FM2,0,40,39.4305
p4 FM2,0,43,25.5678
p4 FM2,0,78,39.7446
p4 FM2,0,81,27.5611
p4 FM2,0,83,49.5694
p4 FM2,0,84,26.476999999999997
p4 FM2,0,123,33.0836
p4 FM2,0,129,41.3681
p4 FM2,0,130,38.6605
p4 FM2,0,135,45.5666
p4 FM2,0,142,35.0759
p4 FM2,0,148,41.1438
p4 FM2,0,151,33.4496
p4 FM2,0,152,37.5578
p4 FM2,0,158,23.7803
p4 FM2,0,159,38.9298
p4 FM2,0,161,37.3783
p4 FM2,0,164,40.3508
p4 FM2,0,171,33.498000000000005
p4 FM2,0,177,34.1261
p4 FM2,0,180,46.7441
p4 FM2,0,184,34.705999999999996
p4 FM2,0,193,45.3466
p4 FM2,0,206,31.8387
p4 FM2,0,208,48.8367
p4 FM2,1,29678,31.2243
p4 FM2,1,29682,28.4282
p4 FM2,1,29694,29.6692
p4 FM2,1,29695,38.646
p4 FM2,1,29706,28.7878
p4 FM2,1,29711,38.8518
p4 FM2,1,29717,40.3407
p4 FM2,1,29733,62.4582
p4 FM2,1,29736,39.5502
p4 FM2,1,29801,42.4358
p4 FM2,1,29802,37.6665
p4 FM2,1,29808,45.5988
p4 FM2,1,29821,33.9969
p4 FM2,1,29823,47.4226
p4 FM2,1,29835,22.1881
p4 FM2,1,29836,36.5985
p4 FM2,1,29848,45.3017
p4 FM2,1,29850,46.6718
p4 FM2,1,29851,59.6709
p4 FM2,1,29856,46.4475
p4 FM2,1,29869,57.268
p4 FM2,1,29870,28.369
p4 FM2,1,29872,53.3281
p4 FM2,1,29885,57.6421
p4 FM2,1,29886,54.0222
p4 FM2,1,29887,39.4289
p4 FM2,1,29896,49.059
p4 FM2,1,29902,43.8097
p4 FM2,1,29904,41.231
p4 FM2,1,29905,52.7775
p4 FM2,1,29927,28.2232
p4 FM2,1,29928,31.9602
p4 FM2,2,29944,26.0836
p4 FM2,2,29962,38.7571
p4 FM2,2,29986,44.3865
p4 FM2,2,29994,32.5871
p4 FM2,2,30025,34.7323
p4 FM2,2,30030,36.6706
p4 FM2,2,30037,36.8835
p4 FM2,2,30046,38.545
p4 FM2,2,30048,31.8365
p4 FM2,2,30051,38.6866
p4 FM2,2,30052,53.9398
p4 FM2,2,30070,41.4328
p4 FM2,2,30071,41.288999999999994
p4 FM2,2,30086,27.1441
p4 FM2,2,30103,51.125
p4 FM2,2,30153,52.5299
p4 FM2,2,30170,21.4912
p4 FM2,2,30178,25.7307
p4 FM2,2,30183,36.524
p4 FM2,2,30184,28.4387
p4 FM2,2,30196,38.3458
p4 FM2,2,30199,37.0573
p4 FM2,2,30203,32.3311
p4 FM2,2,30204,45.2281
p4 FM2,2,30209,28.9642
p4 FM2,2,30218,21.4511
p4 FM2,2,30294,37.8858
p4 FM2,2,30303,41.4858
p4 FM2,2,30307,33.7244
p4 FM2,2,30310,33.9852
p4 FM2,2,30321,37.2535
p4 FM2,2,30322,33.7556
p4 FM2,2,30329,26.7549
p4 FM2,2,30336,49.926
p4 FM2,2,30352,32.2432
p4 FM2,2,30354,30.5829
p4 FM2,3,30777,29.7518
p4 FM2,3,30816,44.2417
p4 FM2,3,30829,47.3372
p4 FM2,3,30834,28.7714
p4 FM2,3,30838,36.0085
p4 FM2,3,30848,43.5037
p4 FM2,3,31034,47.7525
p4 FM2,3,31066,52.7873
p4 FM2,3,31078,41.4593
p4 FM2,3,31109,40.3426
p4 FM2,3,31129,33.2576
p4 FM2,3,31133,27.7088
p4 FM2,3,31193,26.5279
p4 FM2,3,31495,41.7449
p4 FM2,3,31534,26.5545
p4 FM2,3,31550,39.5845
p4 FM2,3,31551,44.4776
p4 FM2,3,31553,42.746
p4 FM2,3,31567,42.6835
p4 FM2,3,31576,50.1851
p4 FM2,3,31590,33.8312
p4 FM2,3,31591,37.8896
p4 FM2,3,31624,30.4965
p4 FM2,3,31626,32.532
p4 FM2,3,31635,26.4174
p4 FM2,3,31637,36.5756
p4 FM2,3,31645,36.4312
p4 FM2,3,31646,41.3224
p4 FM2,3,31655,45.3089
p4 FM2,3,31656,48.5891
p4 FM2,3,31736,35.9636
p4 FM2,3,31737,27.4214
p4 FM2,3,31889,22.9372
p4 FM2,3,31890,39.7152
p4 FM2,3,31914,33.3109
