plant,time point,cell,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
p4 FM1,0,21399,1.9431973905161253,0.017344624637015475,0.0029375431066141957,0.02099737532808399,1.3118998302099776e-05,0.008696710144789895,0.09971943013032065,0.12180019836139411,0.11498341413757251,0.02099737532808399,156.7551436069191,47.0,240.08090861515504,0.22380952380952382,4.476190476190476,0.5632037462414162,0.17801955165532152
p4 FM1,0,21403,5.255050690754244,0.018286739103296954,0.0030358342466961707,0.17310336207974,1.4029889427643213e-06,0.016507794122655045,0.09946449092729084,0.12941325359121314,0.11072050740192124,0.17310336207974,199.2637485365511,47.0,239.98453767045567,0.22380952380952382,4.476190476190476,0.49585353837532364,0.15156192241812588
p4 FM1,0,21404,0.907276918342162,0.015284355402556293,0.002224131648806143,0.15260592425946756,6.16582619642902e-08,0.005031521976840547,0.08717192027894746,0.042788827472681944,0.041089380689384586,0.15260592425946756,186.46565030617668,35.0,173.33432235223557,0.2916666666666667,4.375,0.4113376410380562,0.18219858465735478
p4 FM1,0,21439,1.8596844429389838,0.01217993709240731,0.0028374557523398202,0.12735908011498562,1.8184561348639067e-07,0.00827954474549949,0.10749725755112988,0.11512522677739036,0.12693483421486462,0.12735908011498562,179.78002891680072,50.0,263.42960701280435,0.21645021645021648,4.545454545454546,0.5261652993826462,0.1761327489654705
p4 FM1,0,21499,0.9787226242531911,0.017287375476494195,0.0022972049270892064,0.07099112610923634,3.039213580548997e-05,0.005258154323207404,0.0881844827258652,0.04532117644688898,0.04611731280513461,0.07099112610923634,168.23064665815656,37.0,182.96238626306607,0.27205882352941174,4.352941176470588,0.49028177931549854,0.23209359551899894
p4 FM1,0,21505,1.1851653318436326,0.01873017378337961,0.002349567668968881,0.055118110236220465,0.0002026359460853226,0.006165224594748753,0.08638394529901972,0.046175484428006536,0.035178903120254824,0.055118110236220465,163.46915191398136,33.0,162.72557253961284,0.31428571428571433,4.4,0.46091650522137656,0.32084216699653145
p4 FM1,0,21514,1.4359750837533818,0.014819771167020691,0.00263281364794901,0.08423947006624172,8.22083412924063e-08,0.007252264252397716,0.09863742877791216,0.08617873672301997,0.09081525852400782,0.08423947006624172,163.86648438069338,48.0,252.08653079963773,0.22857142857142856,4.571428571428571,0.5389335956781224,0.19535641445314478
p4 FM1,0,21516,2.1785307504704496,0.012906786998315026,0.0027689821450810493,0.08448943882014748,3.712609282416126e-08,0.010540557783117082,0.10461078721387074,0.11315065903661077,0.09081877761030353,0.08448943882014748,167.64341673335073,45.0,232.42915867274922,0.23684210526315788,4.5,0.5357244579365891,0.2052700982673657
p4 FM1,0,21517,1.709731051208466,0.012816423671252538,0.002821030392239573,0.09136357955255592,1.0874834547665725e-06,0.00813043201383163,0.10773952626929346,0.1067748774193658,0.14676320020710332,0.09136357955255592,165.0147946696748,49.0,252.854260657327,0.2121212121212121,4.454545454545454,0.561583037281783,0.16143360934131476
p4 FM1,0,21520,1.8331215064636983,0.016710273493981277,0.00287456366668646,0.02399700037495313,0.0001392885648028736,0.008462846529255025,0.09863111984551737,0.1172928330354679,0.10801379915871173,0.02399700037495313,162.9751899240655,44.0,218.74954731526438,0.23157894736842108,4.4,0.5318313348799997,0.1809099684052049
p4 FM1,0,21523,1.841883286701314,0.01615917866462207,0.0029512385463739857,0.004499437570303712,7.729263567483844e-06,0.007826275064651979,0.0986985053379646,0.12914772198933977,0.11066113460607425,0.004499437570303712,153.71671393753763,44.0,218.74954731526404,0.23157894736842108,4.4,0.5156878043077522,0.15894467780678329
p4 FM1,0,21527,1.5165435383991461,0.017200156833159994,0.0026726874283656984,0.10711161104861891,1.308145204439954e-07,0.006821135792336173,0.09866940778997779,0.07178144936303991,0.0896750691048066,0.10711161104861891,189.27770404621643,45.0,235.4917161789276,0.23684210526315788,4.5,0.5053798660336384,0.18669085621027237
