Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
24064,55.1994,55.1994,89.5443,87.2167,38.3497
24320,57.8965,57.8965,140.903,37.1878,19.2588
23936,36.0497,36.0497,93.7886,38.2822,23.5345
27520,7.92372,7.92372,90.2336,112.957,3.6457
24448,12.189,12.189,76.3615,23.2282,-0.876467
24128,40.7971,40.7971,25.6392,66.1864,0.629858
23872,53.2081,53.2081,81.8384,52.4461,37.9111
27456,34.3255,34.3255,53.5808,33.8618,5.35652
24384,17.7064,17.7064,110.701,32.6205,11.2128
24256,50.6571,50.6571,76.8258,57.1699,39.3984
24000,14.8348,14.8348,54.0722,94.7586,2.92321
24096,79.4111,79.4111,104.417,75.402,51.9941
23840,42.9353,42.9353,55.0985,72.4447,21.3369
24224,35.3761,35.3761,65.4254,73.3714,34.9556
27488,7.22476,7.22476,48.7218,68.6338,8.73197
24416,13.6162,13.6162,60.0586,101.285,1.86908
24288,30.2321,30.2321,81.9222,63.591,42.7089
24080,41.1897,41.1897,101.245,16.9573,-0.0790907
23824,26.5917,26.5917,120.874,45.7882,33.6078
24336,31.3887,31.3887,115.842,52.5938,36.8602
24208,14.6905,14.6905,59.2921,41.3958,9.00111
27536,5.27776,5.27776,74.5133,104.873,0.874552
24144,54.1934,54.1934,34.1998,44.7675,8.85236
27472,23.9242,23.9242,106.877,116.892,18.8767
23760,24.4232,24.4232,63.0922,35.6801,7.53619
24272,33.3267,33.3267,79.6303,44.897,31.7813
24016,43.7369,43.7369,60.0891,65.8931,29.6686
24112,35.1683,35.1683,108.896,45.985,28.9541
23856,63.5275,63.5275,135.134,30.4151,9.80622
24368,17.9728,17.9728,86.2501,27.4255,3.54359
24240,50.6094,50.6094,73.1506,41.4325,24.2925
23920,28.4041,28.4041,82.7993,29.683,7.66235
24304,284.705,284.705,148.89,68.2892,42.9351
24072,45.6982,45.6982,95.5475,73.5946,43.1641
23816,69.9906,69.9906,25.6104,61.0782,0.022537
24200,25.5106,25.5106,56.8566,31.2018,2.8723
27528,2.56537,2.56537,92.1761,115.7,5.03985
24456,26.7917,26.7917,77.5045,101.989,12.9212
24136,19.5513,19.5513,117.341,39.9416,20.0768
23880,33.7944,33.7944,91.7127,63.8512,43.0054
27464,55.3291,55.3291,96.78,130.907,-4.44662
24392,7.26919,7.26919,107.164,29.5278,5.74122
23752,48.7107,48.7107,45.6387,53.4902,11.3525
24264,41.0879,41.0879,76.0247,129.97,-7.85002
24008,33.7882,33.7882,57.229,55.949,22.8315
24104,29.1517,29.1517,104.703,52.5749,35.6481
23848,39.9867,39.9867,114.322,16.0512,1.20333
24360,30.5239,30.5239,69.5864,34.7124,10.6197
24232,41.5242,41.5242,69.3448,67.3542,38.4196
23976,103.809,103.809,122.302,66.4134,56.0564
24168,122.738,122.738,152.129,48.2028,23.572
23912,43.9277,43.9277,38.457,41.3674,8.8256
27496,129.137,129.137,158.975,57.3984,16.9496
24296,52.2058,52.2058,86.7312,44.0481,31.7977
24088,67.258,67.258,101.515,127.595,2.50531
23832,26.5655,26.5655,125.995,36.9683,19.0822
24344,16.4176,16.4176,47.7699,73.0292,8.30881
24216,35.287,35.287,63.9886,53.7792,29.536
23960,86.117,86.117,30.275,64.1891,9.57724
24472,8.49786,8.49786,90.9707,25.4707,0.494044
24152,65.2557,65.2557,122.183,113.464,43.674
24408,12.8398,12.8398,92.8026,110.085,9.02757
24280,73.0373,73.0373,115.212,68.8148,55.95
23864,79.0695,79.0695,112.098,81.1777,57.4419
23992,45.4909,45.4909,51.9742,60.8729,13.8886
24184,34.7372,34.7372,54.1985,56.7585,16.966
23928,156.305,156.305,140.305,73.267,51.7463
27512,6.28953,6.28953,84.1788,111.954,1.01116
24440,24.8854,24.8854,95.9209,29.9269,6.51053
23800,28.5604,28.5604,61.8672,90.3064,16.3894
24312,44.1216,44.1216,94.2209,97.0768,29.7484
24056,48.9121,48.9121,89.0137,48.9741,35.9789
27524,18.5033,18.5033,99.1,114.719,10.2949
24452,21.8393,21.8393,57.2978,25.4473,-5.95309
24132,45.8948,45.8948,28.6839,48.6887,4.20308
23876,37.0296,37.0296,84.3613,127.599,-0.127034
27460,10.8208,10.8208,99.4249,28.7778,2.89126
24388,5.9656,5.9656,101.362,26.0455,0.649617
23748,12.2915,12.2915,109.295,34.7788,14.2538
24260,33.942,33.942,75.9067,82.963,37.7602
24164,31.1663,31.1663,45.2077,68.0261,10.6006
23908,67.7133,67.7133,28.9914,72.5468,6.13626
27492,48.4187,48.4187,25.6458,54.9198,-2.53214
23780,92.4573,92.4573,143.366,36.0917,10.3672
24292,23.2341,23.2341,83.4972,99.7473,23.2331
24036,28.2029,28.2029,66.9363,80.4411,33.5143
24084,27.7211,27.7211,100.854,67.1993,41.9335
23828,82.1305,82.1305,148.13,48.6754,32.6353
24340,15.1122,15.1122,52.805,83.8109,8.68857
24212,32.9048,32.9048,59.1324,108.247,-0.384752
23956,82.802,82.802,28.0647,81.8499,-5.15957
24148,76.7614,76.7614,120.308,82.6313,57.9581
27476,15.1083,15.1083,102.274,120.708,8.79583
23764,28.4165,28.4165,65.5277,95.9831,11.774
24020,139.262,139.262,124.809,102.457,51.5561
24244,38.8194,38.8194,74.4191,91.0233,30.3246
