label, neighbor, wall area
23733,23843,3.12239
23733,24023,3.1469
23733,24199,5.50681
23733,24207,3.04281
23733,24220,2.94104
23733,24450,2.73473
23733,24451,4.30265
23733,24452,2.45672
23735,23766,5.27873
23735,23898,6.13391
23735,24025,3.8935
23735,24026,3.42765
23735,24052,2.04226
23735,24216,8.38044
23738,23942,4.86046
23738,24053,14.2331
23738,24309,1.62623
23738,24319,7.98099
23740,23961,6.2621
23740,24138,13.3532
23740,24249,6.41275
23740,24251,8.80074
23740,24306,14.4443
23746,23751,3.86749
23746,24136,1.1522
23746,24159,7.00898
23746,24379,5.82857
23746,24380,1.69061
23746,24381,3.60754
23746,27458,0.95263
23748,24142,3.62873
23748,24380,3.17862
23748,24384,2.38183
23748,24443,5.81651
23748,24446,2.01012
23749,23826,6.92832
23749,23908,9.43499
23749,23960,5.46015
23749,23964,4.51283
23749,23977,1.08759
23749,24153,6.85101
23749,24165,0.448154
23751,23746,3.86749
23751,23832,5.52688
23751,24136,5.43855
23751,24146,2.57954
23751,24159,1.72876
23752,23974,6.60445
23752,23975,5.85987
23752,24162,4.27023
23752,24174,4.68417
23752,24346,3.21609
23752,24355,5.09896
23755,23831,4.45407
23755,23989,6.05301
23755,24157,8.58402
23755,24199,3.10536
23755,24452,5.38936
23755,24453,3.98382
23760,23843,1.72569
23760,23849,6.68214
23760,24208,0.532589
23760,24220,1.09965
23760,24221,5.94392
23760,24360,0.218826
23760,27457,7.05089
23761,23804,1.05759
23761,24017,3.22778
23761,24036,7.64221
23761,24211,5.11306
23761,24224,4.4536
23761,24225,4.55486
23764,23767,2.69845
23764,23798,1.84745
23764,24019,2.6432
23764,24029,8.24182
23764,24236,0.609979
23764,24418,2.37515
23764,24419,8.53455
23765,23899,8.02372
23765,24020,8.04741
23765,24069,6.81876
23765,24139,3.78045
23765,24152,14.7195
23765,24306,10.2813
23766,23735,5.27873
23766,23872,1.58127
23766,23898,3.65416
23766,24026,2.67168
23766,24041,4.57158
23766,24255,5.05338
23766,24256,7.32375
23767,23764,2.69845
23767,23858,2.74748
23767,24029,0.977732
23767,24233,9.55885
23767,24236,9.072
23767,24262,3.2947
23767,24455,1.49697
23770,23876,2.73182
23770,24058,7.50853
23770,24283,1.66986
23770,24284,5.79059
23770,27463,4.144
23778,23786,8.66791
23778,23887,4.48856
23778,23894,3.24275
23778,23947,5.30153
23778,24111,2.67763
23778,24145,1.36614
23778,24377,3.37047
23780,23856,5.12107
23780,23866,6.43954
23780,23935,2.94111
23780,23962,4.59635
23780,24320,7.60771
23780,27499,7.09853
23780,27501,9.402
23782,23783,6.60473
23782,23864,2.96633
23782,23949,5.54129
23782,24107,13.4491
23782,24123,3.61859
23782,24325,7.53627
23782,27479,3.72796
23783,23782,6.60473
23783,23871,9.05079
23783,24113,5.05802
23783,24123,3.73715
23783,24325,7.03802
23783,24326,7.31954
23786,23778,8.66791
23786,24039,1.44574
23786,24142,7.70226
23786,24145,3.31964
23786,24377,1.52547
23786,24443,3.21074
23789,23956,4.76334
23789,23965,8.12559
23789,24149,5.06107
23790,23957,11.9516
23790,23976,4.88184
23790,24106,7.9103
23790,24187,1.51966
23790,24247,2.65272
23790,24280,4.02166
23791,23911,7.50645
23791,24021,9.90029
23791,24055,8.3029
23791,27470,5.56341
23791,27473,0.179976
23796,24012,4.91032
23796,24338,4.70887
23796,24339,0.669938
23796,24340,2.198
23796,24341,2.45356
23796,27453,4.01024
23796,27454,2.58711
23798,23764,1.84745
23798,24012,2.67419
23798,24019,5.3643
23798,24411,2.9903
23798,24418,7.93678
23799,24015,6.49604
23799,24031,5.53468
23799,24213,4.50529
23800,24018,4.98037
23800,24019,3.9118
23800,24029,7.15891
23800,24233,3.12872
23800,27453,2.53869
23800,27454,3.35053
23802,24023,6.83104
23802,24049,4.54166
23802,24219,2.79312
23802,24235,5.56472
23803,24036,4.662
23803,24224,7.46914
23803,24232,4.65145
23803,24241,6.36399
23803,24242,4.60102
23804,23761,1.05759
23804,23857,4.56079
23804,23858,2.43315
23804,24036,3.1671
23804,24042,3.38847
23804,24225,4.09664
23804,24226,3.86205
23804,24233,5.00479
23804,24244,1.72771
23807,23917,3.69304
23807,23918,4.4378
23807,23924,6.87732
23807,24053,3.82744
23807,24309,7.43863
23807,24373,1.65317
23810,23880,5.96062
23810,23906,3.02587
23810,23931,7.24374
23810,24076,8.4377
23810,24287,4.74928
23811,23813,3.74676
23811,23906,9.82047
23811,24076,3.94812
23811,24095,4.97484
23811,24104,7.10803
23811,24315,2.55176
23813,23811,3.74676
23813,24076,8.30687
23813,24084,2.99994
23813,24104,2.21502
23813,24105,5.96187
23816,23960,4.74485
23816,24128,10.2874
23816,27492,8.94101
23816,27493,9.8057
23819,23822,0.550404
23819,23950,6.57874
23819,23980,2.48707
23819,24382,3.14133
23819,24383,3.40835
23819,27459,3.24952
23820,23822,6.38176
23820,23848,7.55616
23820,23950,4.64055
23820,23971,2.31236
23820,24092,3.81504
23820,24330,3.8546
23821,23824,6.87957
23821,23833,6.30047
23821,23835,4.05407
23821,23852,4.46076
23821,23959,6.14324
23821,24336,7.69753
23822,23819,0.550404
23822,23820,6.38176
23822,23950,3.44652
23822,24092,2.07673
23822,24383,2.89566
23822,24386,5.68169
23822,24387,1.717
23823,23899,5.1393
23823,24021,7.57989
23823,24055,6.34549
23823,24114,6.81125
23823,24152,11.143
23823,24172,8.01211
23824,23821,6.87957
23824,23833,2.90084
23825,24143,4.47583
23825,24151,8.51529
23825,24157,7.46024
23826,23749,6.92832
23826,23977,7.59463
23826,24164,5.70436
23826,24165,5.13651
23827,23964,3.62317
23827,23965,4.40581
23827,24149,8.25373
23827,24153,2.59862
23827,24422,2.37465
23827,27450,6.66015
23827,27452,2.64705
23828,23985,12.5543
23828,24168,9.81208
23828,24308,12.032
23828,24321,6.14633
23831,23755,4.45407
23831,24157,1.51611
23831,24453,8.67862
23832,23751,5.52688
23832,24027,2.03548
23832,24028,4.33752
23832,24159,1.61031
23832,24182,3.4621
23833,23821,6.30047
23833,23824,2.90084
23833,23852,13.5725
23833,24205,4.83321
23833,24298,8.91741
23834,23840,7.08343
23834,23993,5.72989
23834,23998,5.5703
23834,24338,4.56328
23834,24348,1.17585
23834,27489,1.62321
23835,23821,4.05407
23835,23852,8.66134
23835,23957,5.9266
23835,23959,8.32291
23835,24187,7.46313
23835,24243,9.20896
23835,24245,6.11377
23840,23834,7.08343
23840,23997,7.39679
23840,23998,6.31276
23840,24010,5.19292
23840,24203,0.941137
23840,24348,5.72739
23843,23733,3.12239
23843,23760,1.72569
23843,24199,2.23651
23843,24200,6.11569
23843,24220,8.70556
23843,27457,4.48384
23845,24005,4.24918
23845,24007,2.44675
23845,24025,2.8052
23845,24034,3.42907
23845,24215,3.23099
23845,24362,5.42343
23847,23851,6.35508
23847,24030,4.20934
23847,24197,6.48993
23847,24212,3.13984
23847,24213,6.20449
23847,27507,3.65568
23848,23820,7.55616
23848,23970,7.84274
23848,23971,2.48962
23848,24135,2.59994
23848,24217,3.37042
23848,24330,5.31406
23849,23760,6.68214
23849,24208,2.77421
23849,24358,1.45379
23849,24360,3.70191
23849,24361,1.50166
23849,27486,4.50687
23850,24013,2.40155
23850,24030,3.52431
23850,24212,2.36666
23850,24416,2.40702
23850,24458,2.69505
23850,24460,5.61373
23850,24461,1.28854
23851,23847,6.35508
23851,24031,6.30744
23851,24046,3.54429
23851,24213,7.9283
23851,27507,2.12684
23851,27509,9.70039
23852,23821,4.46076
23852,23833,13.5725
23852,23835,8.66134
23852,24243,5.89728
23852,24298,5.70978
23852,24308,11.1624
23855,24031,10.2184
23855,24046,4.25546
23855,24264,4.64384
23855,24284,2.7412
23856,23780,5.12107
23856,23866,6.08485
23856,23935,13.1251
23856,24027,4.83984
23856,24441,4.01177
23856,24442,4.22859
23857,23804,4.56079
23857,23863,2.40192
23857,24042,6.93384
23857,24244,7.29268
23857,24260,3.75448
23858,23767,2.74748
23858,23804,2.43315
23858,24233,5.97736
23858,24244,5.37713
23858,24261,5.08401
23858,24262,7.48251
23863,23857,2.40192
23863,24244,3.08819
23863,24260,7.42078
23863,24278,8.80783
23863,24290,3.44107
23864,23782,2.96633
23864,23949,4.70037
23864,24096,4.09677
23864,24107,7.24251
23864,24148,9.41034
23864,24154,8.74515
23866,23780,6.43954
23866,23856,6.08485
23866,24027,3.43282
23866,24028,7.41132
23866,24320,4.0744
23867,23868,6.81767
23867,23926,7.66255
23867,24240,3.03736
23867,24271,4.89918
23867,24275,4.28105
23868,23867,6.81767
23868,23926,4.61167
23868,24052,4.31767
23868,24240,1.39421
23868,24272,4.60283
23868,24296,2.86712
23871,23783,9.05079
23871,24020,7.44345
23871,24113,5.35466
23871,24123,7.74838
23871,24139,5.15021
23872,23766,1.58127
23872,23931,5.25067
23872,24056,5.52456
23872,24255,2.35242
23872,24256,8.08358
23872,24277,6.41134
23872,24287,2.71429
23873,23875,17.1858
23873,24002,9.58974
23873,24138,12.9252
23873,24227,21.7473
23875,23873,17.1858
23875,23961,9.09045
23875,24138,9.51567
23876,23770,2.73182
23876,24283,8.53569
23876,24294,2.5753
23876,24303,3.70295
23876,27463,8.81352
23877,23933,5.1216
23877,24300,4.67247
23877,24301,4.14031
23877,24398,2.32291
23877,24399,4.40261
23877,24407,4.74459
23878,23887,1.75848
23878,23926,5.84523
23878,23936,5.3261
23878,24062,6.7615
23878,24075,4.96672
23878,24286,3.52632
23880,23810,5.96062
23880,24063,1.69203
23880,24076,2.49846
23880,24287,3.3309
23880,24289,4.74231
23880,24316,6.71424
23887,23778,4.48856
23887,23878,1.75848
23887,23936,9.04539
23887,23947,3.4043
23887,24075,6.1303
23887,24377,8.00636
23894,23778,3.24275
23894,23947,7.27097
23894,24095,6.17165
23894,24111,5.56951
23894,24112,4.57486
23894,24314,1.71263
23894,24315,6.2862
23898,23735,6.13391
23898,23766,3.65416
23898,24052,5.16169
23898,24255,6.14777
23899,23765,8.02372
23899,23823,5.1393
23899,24021,17.277
23899,24069,9.88412
23899,24152,2.72351
23901,24046,6.57973
23901,24264,3.48061
23901,24282,3.77144
23901,24283,10.6324
23901,24294,2.33312
