Label,Parent Label
22427,21444
22171,21537
22251,21580
22443,21638
22088,21481
22404,21438
22211,21470
22410,21507
22478,21653
22080,21470
22274,21568
22412,21527
22213,21470
22320,21485
22315,21604
22384,21607
22216,21465
22415,21520
22313,21475
22103,21568
22302,21510
22501,21671
22522,21461
22124,21505
22160,21653
22359,21584
22376,21395
22161,21653
22252,21482
22309,21483
22508,21669
22229,21587
22428,21444
22536,21617
22337,21516
22138,21428
22268,21473
22338,21514
22139,21439
22531,21638
22133,21591
22434,21527
22538,21513
22140,21625
22346,21595
22147,21626
22243,21473
22298,21578
22369,21517
22170,21654
22312,21578
27414,21614
22506,21669
22215,21461
22167,21536
22366,21617
22262,21494
22461,21528
22272,21599
22374,21505
22455,21403
22135,21620
22223,21461
22422,21507
22335,21617
22429,21439
22230,21481
22463,21632
22264,21589
22207,21481
22159,21640
22358,21584
22438,21626
22239,21585
27413,21627
22535,21436
22236,21576
22527,21654
22328,21603
22151,21640
22198,21465
22214,21465
22413,21523
22311,21477
22510,21659
22495,21659
22121,21516
22367,21618
22267,21473
22431,21612
22232,21581
22102,21576
22255,21568
22454,21692
22479,21653
22280,21494
22407,21625
22208,21572
22327,21514
22294,21589
22493,21537
22149,21627
22348,21486
22343,21499
22246,21568
22445,21403
22362,21517
22470,21692
22276,21510
22475,21671
22474,21440
22284,21477
22483,21404
22402,21438
22480,21536
22281,21422
22482,21642
22283,21485
22089,21580
22368,21620
22528,21654
22329,21590
22340,21602
22543,21585
22322,21475
22107,21483
22317,21602
22394,21608
22200,21465
22388,21507
22189,21572
22458,21398
22452,21528
22111,21590
22321,21584
22148,21444
22308,21422
22507,21669
27415,21614
22242,21576
22436,21403
22372,21607
22164,21521
22494,21530
22484,21530
22285,21578
22156,21528
22355,21603
22316,21604
22526,21654
22117,21486
22444,21640
22245,21473
22485,21440
27411,21398
22094,21481
22293,21599
22222,21461
22318,21499
22190,21472
22382,21621
22430,21523
22462,21404
22398,21591
22529,21642
22131,21621
22273,21482
22209,21474
22465,21521
22305,21599
22417,21520
22353,21618
22409,21428
22377,21591
22249,21587
22297,21477
22425,21638
22233,21474
22393,21399
22265,21581
22277,21498
22405,21439
22325,21513
22197,21470
22453,21632
22261,21498
22157,21632
22349,21584
22534,21436
22125,21595
22381,21438
22365,21395
22083,21472
22371,21399
22419,21612
22387,21608
