Label, Parent Label
22528,26070
22272,21874
22400,21955
22080,21817
22208,21821
22112,21876
22368,21933
22160,21999
22224,21825
22480,22014
22320,21734
22384,21943
22536,21911
22280,21728
22088,21833
22216,21712
22312,21732
22360,22033
22232,21851
22328,21915
22200,21708
22264,21875
22520,21718
22148,21966
22340,21903
22372,21943
22164,21776
22484,22022
22452,21995
22388,21963
22516,21929
22284,21736
22156,21995
22316,21893
22444,21986
22124,21944
22252,21869
22508,22015
22300,21872
22236,21853
22332,22033
22140,21960
22268,21854
22274,21862
22402,21939
22242,21853
22482,22045
22322,21898
22538,21882
22410,21963
22346,21927
22506,22015
22170,26070
22522,21824
22214,21712
22470,21764
22438,21766
22374,21944
22246,21861
22502,21998
22294,21875
22358,21921
22230,21850
22198,21708
22454,21764
22262,21728
22518,21721
22542,21848
22286,21876
22094,21850
22222,21824
22478,22009
22318,21916
22382,22032
22510,22049
22430,21977
22366,21911
22494,22022
22526,26069
22529,22045
22273,21869
22145,22042
22209,21843
22465,21776
22545,21848
22161,21999
22417,21969
22513,21929
22089,21842
22313,21898
22377,21946
22249,21849
22425,22066
22233,21843
22393,21754
22265,21851
22521,21718
22405,21959
22213,21835
22309,21735
22245,21854
22501,22043
22293,21874
22229,21849
22325,21882
22197,21817
22453,22002
22133,21946
22285,21732
22157,22002
22413,21977
22317,21903
22189,21821
22445,21993
22125,21927
22381,21939
22429,21959
22147,21766
22211,21835
22371,21754
22243,21860
22355,21915
22131,22032
22283,21734
22411,21955
22475,22043
22315,21893
22443,22066
22251,21842
22507,22015
22427,21966
22107,21735
22267,21860
22523,21825
22151,21986
22407,21960
22343,21916
22215,21836
22311,21736
22503,21998
22167,22014
22103,21861
22359,21921
22455,21993
22135,21933
22519,21721
22543,21839
22287,21872
22415,21969
22223,21836
22479,22009
22447,22042
22255,21862
22239,21839
22495,22049
22207,21833
22527,26069
