Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
256,1,37.816,18.2487,-46.6422,-16.5631
128,0,61.4339,-30.879,-81.0255,-12.7452
32,0,52.315,-18.9053,-53.2727,-3.3189900000000003
288,0,37.3918,-29.6323,-91.1977,-24.9725
80,0,66.0863,-11.0101,-93.4813,-11.0699
208,0,48.8367,-0.78366,-63.925,3.5882199999999997
112,1,61.5781,-40.4928,-76.4372,-30.1457
240,1,50.7048,12.9087,-77.6569,-2.22286
8,0,48.2264,-13.347000000000001,-89.0247,-6.772889999999999
136,1,32.0471,-29.7651,-46.0448,-16.2432
200,0,31.5331,-4.26919,-49.4073,-2.45593
40,0,39.4305,-3.98145,-68.8338,3.8310699999999995
296,1,21.662,-17.9755,-101.719,-36.0357
232,0,36.8623,7.967060000000001,-68.5217,1.92505
152,0,37.5578,-25.7927,-53.3099,-7.017060000000001
27544,1,50.0453,-41.8805,-58.9584,-29.0064
184,0,34.705999999999996,-7.7004,-62.8637,3.3485300000000002
248,1,31.6991,16.6928,-71.0375,-2.58332
4,0,48.3275,-26.0602,-67.9452,-3.54425
260,0,19.0454,18.702,-63.9229,-4.07064
196,0,42.2026,-2.5347299999999997,-83.3576,-0.873914
292,0,31.151,-29.6421,-92.656,-29.025
164,0,40.3508,-19.1212,-68.6323,0.25786
228,0,41.3323,4.93619,-51.9962,-2.40525
20,0,47.9228,-37.8477,-75.7852,-20.899
148,0,41.1438,-25.0242,-81.1565,-6.99402
84,0,26.476999999999997,-9.62266,-68.6494,3.33459
180,0,46.7441,-13.6124,-53.9899,-0.9318930000000001
116,0,27.7273,-37.7426,-70.7709,-17.6289
140,0,43.6277,-26.5432,-91.7041,-20.238
76,0,40.0443,-22.3554,-48.5861,-8.29529
44,1,59.7277,-3.29491,-43.861000000000004,-7.3981
92,0,43.6774,8.3666,-59.5349,0.331811
220,0,46.1557,3.3989800000000003,-58.9789,1.7639599999999998
124,0,33.6236,-32.9965,-54.7462,-12.589
2,1,50.2488,-43.4234,-62.9986,-33.6483
130,0,38.6605,-32.4058,-66.7494,-8.9341
34,0,48.5942,-17.2445,-83.5659,-4.002330000000001
290,1,37.0009,-13.1168,-99.1121,-23.1525
162,0,41.8313,-19.2319,-96.0991,-20.4911
274,1,55.8825,25.0354,-49.5869,-20.6778
210,0,43.2792,0.310089,-49.0421,-3.32401
50,0,46.9811,9.18843,-51.5332,-4.62151
114,0,40.0619,-38.018,-56.8618,-18.619
242,0,39.0495,13.4538,-57.1128,-3.27483
10,0,44.3606,-10.083,-97.8914,-18.3008
266,1,39.3717,22.533,-51.1559,-15.1012
74,1,35.6619,-33.2128,-42.7273,-25.7642
202,1,47.0195,-1.61127,-94.6391,-11.4852
42,1,18.4494,-1.42459,-97.4392,-16.4362
298,1,41.5217,-38.5408,-82.5155,-32.5674
234,1,68.0406,9.98403,-43.9866,-12.6991
154,0,28.9419,-24.5433,-45.7441,-12.3151
90,1,66.0146,4.55389,-43.7387,-9.6575
218,1,34.0486,3.2377599999999997,-90.3694,-7.14118
186,1,24.3764,-7.441160000000001,-41.7471,-10.0166
122,0,25.9709,-35.4461,-79.4,-18.5565
70,0,36.0706,-36.4012,-60.1372,-14.8695
294,1,50.1327,-23.8339,-98.3084,-33.978
166,1,24.43,-19.0955,-41.523,-14.6445
102,1,55.0931,-44.2828,-66.1,-38.9428
230,1,30.3997,8.17227,-81.3247,-1.8061900000000002
22,1,30.9786,-36.4833,-46.0629,-28.6623
27542,1,70.998,-38.3734,-51.187,-24.393
182,0,51.5267,-9.0997,-85.6565,-2.8974599999999997
142,0,35.0759,-27.9605,-75.1537,-6.34285
78,0,39.7446,-15.5902,-74.5265,0.650429
206,0,31.8387,0.134772,-73.0552,3.1924
46,0,20.8649,3.9186199999999998,-73.2698,2.60547
30,0,35.6754,-20.9149,-90.7293,-12.4794
158,0,23.7803,-22.9791,-78.5947,-4.1192
254,1,41.8141,17.8567,-57.1034,-6.21301
129,0,41.3681,-31.0923,-71.5744,-8.1765
193,0,45.3466,-5.71275,-75.4733,2.49253
289,0,65.6513,-22.5151,-96.5478,-26.325
161,0,37.3783,-22.42,-62.9521,-1.5348700000000002
225,1,49.1885,4.1771,-86.4738,-4.02036
17,0,49.4164,-41.7061,-67.3001,-27.7665
81,0,27.5611,-10.9745,-73.7553,2.23622
177,0,34.1261,-13.8851,-66.903,2.28451
113,0,41.4449,-40.0287,-71.0195,-23.6051
241,0,30.1454,12.9585,-69.1546,-0.306392
9,1,37.4335,-12.2362,-44.1554,-8.46486
265,1,40.9216,21.6587,-62.7743,-6.703860000000001
73,1,60.8882,-33.4487,-46.3479,-20.6185
297,1,63.7312,-30.54,-94.6027,-36.8995
105,1,55.9832,-42.7017,-56.4013,-36.3552
25,0,37.1044,-30.6028,-57.3245,-8.92206
