plant,time point,dividing parent cell,parent neighbor,dividingCellArea,neighbourCellArea,sharedWall,distance,dividingCellPerimeter,neighbourCellPerimeter
p4 FM1,0,21461,21465,67.0218,54.1675,8.42962,7.137917828750898,107476,150411
p4 FM1,0,21461,21473,67.0218,54.3137,5.04921,8.282877184463144,107476,129125
p4 FM1,0,21486,21395,43.1496,43.7507,8.26205,5.7031738996807695,129112,129191
p4 FM1,0,21486,21477,43.1496,45.0968,7.32191,5.9198327859492785,129112,107596
p4 FM1,0,21486,21595,43.1496,43.9503,4.35546,8.122250332420192,129112,150385
p4 FM1,0,21465,21470,54.1675,43.7858,6.75234,6.404420896255961,150411,107549
p4 FM1,0,21465,21473,54.1675,54.3137,5.2093,8.191792799314454,150411,129125
p4 FM1,0,21465,21576,54.1675,51.1576,3.11665,9.176343981613812,150411,171809
p4 FM1,0,21527,21403,49.2235,53.8408,9.54191,5.654543009828468,129352,129496
p4 FM1,0,21527,21439,49.2235,50.4098,7.22485,6.405185141742588,129352,150908
p4 FM1,0,21527,21621,49.2235,36.7598,2.18503,7.930918587402096,129352,150757
p4 FM1,0,21527,21624,49.2235,17.5778,3.7994,7.0851387601090705,129352,86290
p4 FM1,0,21527,21625,49.2235,32.5153,2.83968,8.38338231324326,129352,128993
p4 FM1,0,21527,21640,49.2235,58.7311,4.99201,9.208513316491427,129352,150799
p4 FM1,0,21640,21403,58.7311,53.8408,0.240593,10.686916916023998,150799,129496
p4 FM1,0,21640,21439,58.7311,50.4098,3.16078,8.744831680484193,150799,150908
p4 FM1,0,21640,21444,58.7311,49.3354,7.34996,6.378792818394403,150799,129538
p4 FM1,0,21640,21527,58.7311,49.2235,4.99201,9.208513316491427,150799,129352
p4 FM1,0,21640,21642,58.7311,44.6904,4.59714,7.840106030533004,150799,108293
p4 FM1,0,21640,21653,58.7311,67.9456,5.57296,8.379869133226368,150799,129403
p4 FM1,0,21640,21691,58.7311,24.5888,5.7984,6.985600187528633,150799,108073
p4 FM1,0,21528,21403,58.4916,53.8408,8.54793,6.172119862737604,150777,129496
p4 FM1,0,21528,21404,58.4916,46.0439,6.43635,7.142114794652907,150777,107763
p4 FM1,0,21528,21523,58.4916,27.0379,3.38398,8.059103268974784,150777,129101
p4 FM1,0,21528,21536,58.4916,35.1075,3.84549,8.098349975766668,150777,107776
p4 FM1,0,21528,21626,58.4916,38.823,5.12143,8.001311340649103,150777,129442
p4 FM1,0,21528,21632,58.4916,52.4702,2.39936,9.054802996200406,150777,129155
p4 FM1,0,21528,21653,58.4916,67.9456,3.4177,9.753660469792871,150777,129403
p4 FM1,0,21590,21422,44.5239,41.8017,3.44537,7.409543116117213,128893,150924
p4 FM1,0,21590,21482,44.5239,40.4706,4.74857,7.389614837215807,128893,129128
p4 FM1,0,21590,21485,44.5239,37.3873,7.27711,5.1450867061304235,128893,129226
p4 FM1,0,21590,21499,44.5239,40.3493,6.1979,6.051301194528336,128893,107727
p4 FM1,0,21590,21500,44.5239,22.7371,4.18034,6.140786851503636,128893,107783
p4 FM1,0,21590,21505,44.5239,30.934,3.0421,7.555359568782944,128893,107804
p4 FM1,0,21510,21498,35.349,38.701,4.10852,6.360912875523452,129321,129477
p4 FM1,0,21510,21513,35.349,28.264,9.70734,4.183661459774201,129321,129256
p4 FM1,0,21510,21516,35.349,42.1409,1.83196,8.540217766544359,129321,151000
p4 FM1,0,21510,21604,35.349,34.0284,4.02122,6.507725803228037,129321,107637
p4 FM1,0,21477,21473,45.0968,54.3137,6.49854,6.819047806116331,107596,129125
p4 FM1,0,21477,21483,45.0968,27.3642,7.76795,4.929066979662575,107596,107619
p4 FM1,0,21477,21486,45.0968,43.1496,7.32191,5.9198327859492785,107596,129112
p4 FM1,0,21477,21576,45.0968,51.1576,2.01581,9.04180128541321,107596,171809
p4 FM1,0,21618,21438,40.9509,43.5212,5.74048,6.629855536887659,129143,129192
p4 FM1,0,21618,21439,40.9509,50.4098,2.40813,8.389164824343355,129143,150908
p4 FM1,0,21618,21513,40.9509,28.264,4.40025,6.937566582743557,129143,129256
