plant,time point,cell,area
p3 FM6 flower 1,0,13266,48.017
p3 FM6 flower 1,0,13307,33.5831
p3 FM6 flower 1,0,13326,43.6528
p3 FM6 flower 1,0,13327,53.6323
p3 FM6 flower 1,0,13331,36.8172
p3 FM6 flower 1,0,13345,49.8167
p3 FM6 flower 1,0,13355,50.2545
p3 FM6 flower 1,0,13371,37.4011
p3 FM6 flower 1,0,13372,33.5545
p3 FM6 flower 1,0,13419,28.4059
p3 FM6 flower 1,0,13470,29.3957
p3 FM6 flower 1,0,13673,50.7572
p3 FM6 flower 1,0,13679,56.6185
p3 FM6 flower 1,0,13681,43.1604
p3 FM6 flower 1,0,13686,36.263
p3 FM6 flower 1,0,13688,54.835
p3 FM6 flower 1,0,13696,32.8612
p3 FM6 flower 1,0,13704,46.4348
p3 FM6 flower 1,0,13705,49.0783
p3 FM6 flower 1,0,13707,37.0397
p3 FM6 flower 1,0,13721,87.2162
p3 FM6 flower 1,0,13723,38.0303
p3 FM6 flower 1,0,13726,42.9189
p3 FM6 flower 1,0,13731,51.2689
p3 FM6 flower 1,0,13742,44.6728
p3 FM6 flower 1,0,13743,45.8795
p3 FM6 flower 1,0,13748,38.4688
p3 FM6 flower 1,1,12708,43.0016
p3 FM6 flower 1,1,12711,35.4885
p3 FM6 flower 1,1,12716,32.6314
p3 FM6 flower 1,1,12725,20.1
p3 FM6 flower 1,1,12730,39.0901
p3 FM6 flower 1,1,12732,33.5781
p3 FM6 flower 1,1,12734,28.7972
p3 FM6 flower 1,1,12740,36.6683
p3 FM6 flower 1,1,12843,43.2839
p3 FM6 flower 1,1,12851,64.9021
p3 FM6 flower 1,1,12858,50.8113
p3 FM6 flower 1,1,12863,29.794
p3 FM6 flower 1,1,12864,54.5137
p3 FM6 flower 1,1,12865,39.701
p3 FM6 flower 1,1,12872,48.5885
p3 FM6 flower 1,1,12878,36.8411
p3 FM6 flower 1,1,12881,42.8477
p3 FM6 flower 1,1,12882,42.6058
p3 FM6 flower 1,1,12891,35.1204
p3 FM6 flower 1,1,12892,59.1286
p3 FM6 flower 1,1,12893,53.6727
p3 FM6 flower 1,1,12901,48.5472
p3 FM6 flower 1,1,12908,33.6471
p3 FM6 flower 1,1,12910,35.2687
p3 FM6 flower 1,1,12911,30.0649
p3 FM6 flower 1,1,12924,40.146
p3 FM6 flower 1,1,12925,36.2609
p3 FM6 flower 1,1,12937,46.8171
p3 FM6 flower 1,1,12948,37.3245
p3 FM6 flower 1,1,12949,37.6853
p3 FM6 flower 1,1,12959,39.3939
p3 FM6 flower 1,2,13862,35.0318
p3 FM6 flower 1,2,13863,24.7281
p3 FM6 flower 1,2,13867,28.6065
p3 FM6 flower 1,2,13868,51.4496
p3 FM6 flower 1,2,13871,27.1145
p3 FM6 flower 1,2,13886,30.3037
p3 FM6 flower 1,2,13942,27.4232
p3 FM6 flower 1,2,13948,27.0896
p3 FM6 flower 1,2,13955,37.9764
p3 FM6 flower 1,2,13959,27.9768
p3 FM6 flower 1,2,13972,39.4317
p3 FM6 flower 1,2,13990,36.3344
p3 FM6 flower 1,2,14053,37.574
p3 FM6 flower 1,2,14066,24.1979
p3 FM6 flower 1,2,14073,31.4429
p3 FM6 flower 1,2,14076,36.5241
p3 FM6 flower 1,2,14077,54.1256
p3 FM6 flower 1,2,14079,49.3133
p3 FM6 flower 1,2,14086,25.98
p3 FM6 flower 1,2,14094,34.4366
p3 FM6 flower 1,2,14097,30.1422
p3 FM6 flower 1,2,14098,29.4012
p3 FM6 flower 1,2,14105,30.5597
p3 FM6 flower 1,2,14106,31.7024
p3 FM6 flower 1,2,14107,43.4156
p3 FM6 flower 1,2,14285,25.0589
p3 FM6 flower 1,2,14287,42.5768
p3 FM6 flower 1,2,14289,29.6138
p3 FM6 flower 1,2,14290,34.1342
p3 FM6 flower 1,2,14305,29.0054
p3 FM6 flower 1,2,14316,31.1164
p3 FM6 flower 1,2,14326,44.5179
p3 FM6 flower 1,2,14328,44.6969
p3 FM6 flower 1,2,14335,33.8601
p3 FM6 flower 1,2,14341,17.9778
p3 FM6 flower 1,2,14342,43.6999
p3 FM6 flower 1,2,16086,55.1099
p3 FM6 flower 2,0,43724,33.4897
p3 FM6 flower 2,0,43766,41.5257
p3 FM6 flower 2,0,43768,35.7182
p3 FM6 flower 2,0,43774,43.996
p3 FM6 flower 2,0,43775,37.5175
p3 FM6 flower 2,0,43780,41.4426
p3 FM6 flower 2,0,43790,36.742
p3 FM6 flower 2,0,43797,40.9936
p3 FM6 flower 2,0,43845,45.5284
p3 FM6 flower 2,0,43853,46.4598
p3 FM6 flower 2,0,43856,42.0588
p3 FM6 flower 2,0,43860,31.3017
p3 FM6 flower 2,0,43861,25.7495
p3 FM6 flower 2,0,43865,28.2166
p3 FM6 flower 2,0,43881,53.526
p3 FM6 flower 2,0,43884,45.542
p3 FM6 flower 2,0,43888,37.8645
p3 FM6 flower 2,0,43909,39.0895
p3 FM6 flower 2,0,43983,46.2097
p3 FM6 flower 2,0,44000,62.5686
p3 FM6 flower 2,0,44006,34.7167
p3 FM6 flower 2,0,44007,34.108
p3 FM6 flower 2,0,44019,41.1541
p3 FM6 flower 2,0,44025,41.3487
p3 FM6 flower 2,0,44033,39.4288
p3 FM6 flower 2,0,44040,26.9504
p3 FM6 flower 2,0,44042,44.3675
p3 FM6 flower 2,0,44048,49.4336
p3 FM6 flower 2,0,44049,42.6757
