plant,time point,cell,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,katz centrality.1,current flow betweenness centrality.1,communicability betweenness centrality.1,harmonic centrality.1,size on 2 neighborhood.1,estrada index on 2 neighborhood.1,abs graph density on 2 neighborhood.1,rel graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,weighted node degree.2,clustering coefficient.2,information centrality.2,betweenness centrality.2,eigenvector centrality.2,page rank.2,katz centrality.2,current flow betweenness centrality.2,communicability betweenness centrality.2,load centrality.2,harmonic centrality.2,size on 2 neighborhood.2,estrada index on 2 neighborhood.2,abs graph density on 2 neighborhood.2,rel graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,clustering coefficient.3,information centrality.3,betweenness centrality.3,eigenvector centrality.3,page rank.3,katz centrality.3,current flow betweenness centrality.3,communicability betweenness centrality.3,load centrality.3,harmonic centrality.3,size on 2 neighborhood.3,estrada index on 2 neighborhood.3,abs graph density on 2 neighborhood.3,rel graph density on 2 neighborhood.3,avg path length on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3
p3 FM6 flower 1,0,13266,6.0,0.4,0.00908960206184042,0.0653073719389943,0.12451776680971692,0.006443805382772896,0.0875043833898806,0.08347346273851354,0.0938940118383868,0.06368537134967964,41.449603174603155,44.0,221.00620975604664,0.2315789473684211,4.4,2.336842105263158,0.7346074054288763,0.1201054965354808,0.18042769490279573,0.00018114029442159067,0.013145299204757405,0.006306769242934218,0.0875043833898806,0.0845886564663736,0.0938940118383868,2236.431407327851,44.0,221.00620975604664,0.2315789473684211,4.4,0.04463897104654015,0.014715100681711947,1.6284642748565468,0.02997012581403801,0.002235705085906913,0.05566583953680728,0.00021158838377971425,0.006208579223979296,0.0875043833898806,0.08576759450469709,0.0938940118383868,0.05566583953680728,214.3382285906501,44.0,221.00620975604664,0.2315789473684211,4.4,0.4586467179518313,0.16246772061600473,0.20701791592853305,0.07405280211403438,0.08212673492152442,0.11996657234788645,0.0066970783239866105,0.0875043833898806,0.08427928443802858,0.0938940118383868,0.08261067169837331,5.1224116267582245,44.0,221.00620975604664,0.2315789473684211,4.4,20.22017157894734,6.527100886985678
p3 FM6 flower 1,0,13307,5.0,0.5,0.008525792498735,0.03837271593260602,0.1124949153143452,0.005505712976266307,0.08141161707851509,0.06620654786813268,0.06985389649922638,0.043530231303327185,40.75086580086579,43.0,215.02258267832062,0.2263157894736842,4.3,2.321052631578948,0.763847189296434,0.13537756500838227,0.3002179336705977,0.00018354872587111247,0.1348961702303098,0.005982272187718889,0.08141161707851509,0.07367413672501505,0.06985389649922638,1927.8095481654543,43.0,215.02258267832062,0.2263157894736842,4.3,0.052970152597481605,0.01668975727101322,1.1154402476323488,0.038344468666005986,0.0020116875584003514,0.016046319272125725,0.0003207982787091944,0.004340718661371996,0.08141161707851509,0.05521299663451969,0.06985389649922638,0.016046319272125725,195.1326423892456,43.0,215.02258267832062,0.2263157894736842,4.3,0.5028677634540006,0.167352261242483,0.2292666800966525,0.06562892005407969,0.07835522007918179,0.10124753479907378,0.0049979153612906965,0.08141161707851509,0.0570736529234853,0.06985389649922638,0.07837542058532203,5.207212305862637,43.0,215.02258267832062,0.2263157894736842,4.3,19.010296315789464,5.830609981787307
p3 FM6 flower 1,0,13326,6.0,0.4,0.009021316601402936,0.035078611842533074,0.1148236391723474,0.006467146918991128,0.08584842997782201,0.07644052479112062,0.06297554868762532,0.032071981172796964,39.29761904761912,42.0,209.21664656845408,0.2456140350877193,4.421052631578949,2.2982456140350878,0.7959765987503029,0.13757214241206164,0.2095769217247858,0.00018772470227707344,0.004520606333679679,0.006563746804026585,0.08584842997782201,0.08071130085578075,0.06297554868762532,1919.1416228236685,42.0,209.21664656845408,0.2456140350877193,4.421052631578949,0.050980780894644334,0.017925144146253687,1.4972998889468725,0.027888576178203332,0.0021679113027829274,0.0488833746898263,0.0001618930524879695,0.005514527814326237,0.08584842997782201,0.07110023306660093,0.06297554868762532,0.0488833746898263,203.09540376280532,42.0,209.21664656845408,0.2456140350877193,4.421052631578949,0.4545339309100909,0.1849932583108954,0.21102925984903168,0.07297326915286069,0.06277273463818454,0.08438156160589891,0.006795920037692045,0.08584842997782201,0.07449235059655368,0.06297554868762532,0.06248384511993382,4.996214965813244,42.0,209.21664656845408,0.2456140350877193,4.421052631578949,19.15991111111111,6.977108006216143
p3 FM6 flower 1,0,13327,6.0,0.4,0.0089822705983646,0.053152537527520805,0.10591473023294584,0.006503520775174503,0.08612885042939297,0.07890220242066913,0.06897708598727911,0.05663419463973899,39.841666666666704,42.0,209.17227338057145,0.2456140350877193,4.421052631578949,2.304093567251462,0.7949814819885637,0.1162101761773423,0.17909910968591575,0.00017855947615179758,0.0018410661980756407,0.0061337969504958395,0.08612885042939297,0.07609176230594772,0.06897708598727911,2117.8014462152373,42.0,209.17227338057145,0.2456140350877193,4.421052631578949,0.04588482393355596,0.016639586652562925,1.2348328162509496,0.02688349809634306,0.0020444432475893067,0.06782464846980976,2.6437323348072504e-05,0.005164551627157303,0.08612885042939297,0.06175427835798599,0.06897708598727911,0.06782464846980976,213.43625992050042,42.0,209.17227338057145,0.2456140350877193,4.421052631578949,0.4454819010835528,0.1957360848264657,0.2174665748897456,0.07284141697458621,0.058650867855027475,0.06438904979779536,0.006925469633976388,0.08612885042939297,0.07738001991924025,0.06897708598727911,0.05806193134822168,4.918496630445882,42.0,209.17227338057145,0.2456140350877193,4.421052631578949,19.10954502923977,6.582250597537148
p3 FM6 flower 1,0,13331,6.0,0.4,0.009008426813253098,0.029393859788817436,0.12737142766890505,0.006481341615334581,0.08505436508815055,0.07305220126176089,0.05830370948611434,0.02935994953165236,40.08055555555556,38.0,190.0744028757804,0.2794117647058824,4.470588235294118,2.169117647058824,0.9396347043627415,0.15460238607275714,0.2317397559900365,0.0001914721624754203,0.01147523343256485,0.007115785230681272,0.08505436508815055,0.08313455107418044,0.05830370948611434,1886.9017704543987,38.0,190.0744028757804,0.2794117647058824,4.470588235294118,0.04750160997719288,0.020750607859217028,2.9081336066639984,0.0334108703903115,0.002325258929208127,0.08130686517783292,0.001263334325445774,0.009112599093927531,0.08505436508815055,0.0838804224113356,0.05830370948611434,0.08130686517783292,208.89752956469607,38.0,190.0744028757804,0.2794117647058824,4.470588235294118,0.4393395925955834,0.1940115416481043,0.2014211567644991,0.0724893047082128,0.0960092864125122,0.1597267667758882,0.006362601409482375,0.08505436508815055,0.0684897174517328,0.05830370948611434,0.09557183967466226,5.1266262633940585,38.0,190.0744028757804,0.2794117647058824,4.470588235294118,18.52262794117648,7.990486879624339
p3 FM6 flower 1,0,13345,5.0,0.5,0.008668370335395373,0.02893281352310025,0.12353434301020635,0.005480084657449585,0.08123023347719474,0.06362292847343744,0.05649012938550362,0.032371629240569105,40.67142857142855,43.0,216.89295453474656,0.2263157894736842,4.3,2.321052631578948,0.6611430976302303,0.09925605819086357,0.2252844440810859,0.00017445471665794641,0.00852994721564734,0.0048457109412816295,0.08123023347719474,0.061544976259982925,0.05649012938550362,2141.625248777863,43.0,216.89295453474656,0.2263157894736842,4.3,0.04660814604885472,0.013423479125984357,0.8704979217329865,0.03439611748496661,0.0018949922137504163,0.11447477253928867,0.002474340732946225,0.003384842706095944,0.08123023347719474,0.03872481447945851,0.05649012938550362,0.11447477253928867,221.0887804182193,43.0,216.89295453474656,0.2263157894736842,4.3,0.482668388686028,0.1475582024220544,0.2915708223370189,0.07140816482054124,0.04155900103480748,0.21674960379358946,0.005772990615424067,0.08123023347719474,0.060637472801075724,0.05649012938550362,0.04222196374414116,4.904553040463238,43.0,216.89295453474656,0.2263157894736842,4.3,21.392943684210525,6.135725700540724
p3 FM6 flower 1,0,13355,7.0,0.3333333333333333,0.009300282568847207,0.08447199441460262,0.11773378123472528,0.007456089239857911,0.09373180520928336,0.09541680323727006,0.08782103628527035,0.08925679482676509,40.57619047619049,48.0,247.68982183391284,0.2285714285714285,4.571428571428571,2.376190476190476,0.7527202003793267,0.15281660854721504,0.1720011993129648,0.00019112605284407643,0.003393253611603743,0.007230591848983294,0.09373180520928336,0.0961109804379272,0.08782103628527035,2019.307874394396,48.0,247.68982183391284,0.2285714285714285,4.571428571428571,0.05342965841182965,0.017297073803387346,1.7670726905608412,0.026115289252921864,0.0022127045010445047,0.0543424317617866,0.00019670376396075263,0.006503076421092797,0.09373180520928336,0.08618622395218882,0.08782103628527035,0.0543424317617866,203.8475952424823,48.0,247.68982183391284,0.2285714285714285,4.571428571428571,0.4975543106562333,0.18309793243259945,0.16997589655225426,0.07483488720365487,0.06736959889761247,0.06371555894051073,0.007947530597239051,0.09373180520928336,0.09461215903141498,0.08782103628527035,0.06601659429280397,4.986122466251854,48.0,247.68982183391284,0.2285714285714285,4.571428571428571,19.49220190476189,6.604075370251813
p3 FM6 flower 1,0,13371,6.0,0.4,0.008861497158313176,0.03728627512903965,0.1138120469688594,0.0064721029213581655,0.08665401919641913,0.07281163052193708,0.05776315661794816,0.03646924009341093,38.8015873015874,45.0,230.43728336698368,0.2368421052631579,4.5,2.331578947368421,0.7247331038038066,0.15522164840355812,0.23399709911124986,0.0001906377838400394,0.006581962224097689,0.006667200136106011,0.08665401919641913,0.0798342323656809,0.05776315661794816,1724.2895640117467,45.0,230.43728336698368,0.2368421052631579,4.5,0.05844378449125787,0.018525274851183368,2.38981325620702,0.03667174965067147,0.0023011501726151505,0.049379652605459054,0.002075790795127119,0.007141172337782206,0.08665401919641913,0.07673404370831717,0.05776315661794816,0.049379652605459054,202.7621017533658,45.0,230.43728336698368,0.2368421052631579,4.5,0.4880864872410786,0.2188886343093007,0.19950972940832384,0.07055632758061459,0.08086355699258925,0.08154256052949246,0.006612851750341721,0.08665401919641913,0.06823619011386585,0.05776315661794816,0.08150201612903225,5.081009724475091,45.0,230.43728336698368,0.2368421052631579,4.5,19.27412999999999,6.374542699650079
p3 FM6 flower 1,0,13372,6.0,0.4,0.008747307645668247,0.02971483015710476,0.10370506581590624,0.006525689376830083,0.08592460625871749,0.06894531711553371,0.052046748581287994,0.03135519167053855,38.3159090909092,42.0,214.00725077450215,0.2456140350877193,4.421052631578949,2.263157894736842,0.7895847032078744,0.17064386668199402,0.2552303698719319,0.00019064468963163046,0.0060651314756937314,0.007349683580766945,0.08592460625871749,0.0800361992877641,0.052046748581287994,1707.4923526368625,42.0,214.00725077450215,0.2456140350877193,4.421052631578949,0.05594237176318191,0.019639101326759268,3.432974406896317,0.03856156934602088,0.002280837400728976,0.01902398676592225,0.0012642361354107086,0.009741574493798944,0.08592460625871749,0.07481959675821857,0.052046748581287994,0.01902398676592225,194.45155386808102,42.0,214.00725077450215,0.2456140350877193,4.421052631578949,0.4687945508808589,0.17917568961137847,0.1898688163576264,0.06918994177609697,0.041609089834896286,0.04996944222096753,0.006385715972006118,0.08592460625871749,0.06427698282932445,0.052046748581287994,0.04209832506203474,4.953179804481876,42.0,214.00725077450215,0.2456140350877193,4.421052631578949,18.19309239766081,6.430672897111133
p3 FM6 flower 1,0,13419,5.0,0.5,0.008371910400611159,0.02483481895236545,0.1094981950788619,0.005558067829490382,0.08056884466050915,0.05858093305675384,0.05383682079691264,0.02528663355998169,39.16309523809532,41.0,207.40193847345608,0.23976608187134504,4.315789473684212,2.2514619883040936,0.7014834053645747,0.13933430244357262,0.2967506504657404,0.00018160124981143297,0.008774425422082495,0.0062368570292493895,0.08056884466050915,0.06923429278907775,0.05383682079691264,1913.0635487890027,41.0,207.40193847345608,0.23976608187134504,4.315789473684212,0.044967267280326254,0.014728729517251187,1.3453426944315945,0.043006343818916035,0.0021105382212255027,0.02332506203473945,0.01478088407669853,0.00466260140241585,0.08056884466050915,0.0529220603985301,0.05383682079691264,0.02332506203473945,195.808512479155,41.0,207.40193847345608,0.23976608187134504,4.315789473684212,0.4690073328224746,0.2021674559524988,0.2509865774762521,0.06798249287312222,0.05218436650198436,0.17778475912877986,0.005336778327422379,0.08056884466050915,0.05532465876735345,0.05383682079691264,0.05321719051557761,4.877359168488202,41.0,207.40193847345608,0.23976608187134504,4.315789473684212,19.863486549707613,6.175526624198249
