plant,time point,cell,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
p3 FM6 flower 1,0,13266,0.1201054965354808,0.18042769490279573,0.00018114029442159067,0.09975186104218363,0.013145299204757405,0.006306769242934218,0.0875043833898806,0.0845886564663736,0.09389401183838679,0.09975186104218363,2236.431407327851,44.0,221.00620975604662,0.23157894736842108,4.4,0.04463897104654015,0.014715100681711947
p3 FM6 flower 1,0,13307,0.13537756500838227,0.3002179336705977,0.00018354872587111255,0.004549214226633581,0.1348961702303098,0.0059822721877188885,0.08141161707851509,0.07367413672501505,0.06985389649922637,0.004549214226633581,1927.8095481654545,43.0,215.02258267832065,0.2263157894736842,4.3,0.052970152597481605,0.01668975727101322
p3 FM6 flower 1,0,13326,0.13757214241206164,0.2095769217247858,0.0001877247022770734,0.009925558312655087,0.00452060633367968,0.006563746804026584,0.08584842997782201,0.08071130085578075,0.06297554868762532,0.009925558312655087,1919.1416228236685,42.0,209.2166465684541,0.2456140350877193,4.421052631578948,0.05098078089464434,0.017925144146253687
p3 FM6 flower 1,0,13327,0.1162101761773423,0.17909910968591575,0.0001785594761517976,0.04946236559139785,0.0018410661980756407,0.00613379695049584,0.08612885042939297,0.07609176230594773,0.06897708598727911,0.04946236559139785,2117.801446215237,42.0,209.17227338057145,0.2456140350877193,4.421052631578948,0.04588482393355596,0.016639586652562925
p3 FM6 flower 1,0,13331,0.15460238607275714,0.23173975599003646,0.0001914721624754203,0.007775020678246485,0.01147523343256485,0.007115785230681272,0.08505436508815055,0.08313455107418044,0.05830370948611434,0.007775020678246485,1886.9017704543987,38.0,190.07440287578035,0.27941176470588236,4.470588235294118,0.047501609977192875,0.020750607859217028
p3 FM6 flower 1,0,13345,0.09925605819086357,0.2252844440810859,0.00017445471665794641,0.01596360628618693,0.00852994721564734,0.0048457109412816295,0.08123023347719474,0.061544976259982925,0.05649012938550363,0.01596360628618693,2141.625248777863,43.0,216.89295453474656,0.2263157894736842,4.3,0.04660814604885472,0.013423479125984357
p3 FM6 flower 1,0,13355,0.15281660854721504,0.1720011993129648,0.00019112605284407643,0.07121588089330025,0.003393253611603743,0.007230591848983294,0.09373180520928336,0.0961109804379272,0.08782103628527035,0.07121588089330025,2019.3078743943959,48.0,247.68982183391284,0.22857142857142856,4.571428571428571,0.053429658411829645,0.017297073803387346
p3 FM6 flower 1,0,13371,0.15522164840355812,0.23399709911124986,0.0001906377838400394,0.010918114143920596,0.006581962224097688,0.006667200136106011,0.08665401919641913,0.0798342323656809,0.05776315661794816,0.010918114143920596,1724.2895640117467,45.0,230.43728336698368,0.23684210526315788,4.5,0.05844378449125787,0.01852527485118337
p3 FM6 flower 1,0,13372,0.17064386668199402,0.2552303698719319,0.00019064468963163051,0.005707196029776675,0.0060651314756937314,0.007349683580766946,0.08592460625871749,0.0800361992877641,0.052046748581287994,0.005707196029776675,1707.4923526368625,42.0,214.0072507745022,0.2456140350877193,4.421052631578948,0.05594237176318191,0.01963910132675927
p3 FM6 flower 1,0,13419,0.13933430244357262,0.2967506504657404,0.00018160124981143297,0.0,0.008774425422082495,0.0062368570292493895,0.08056884466050915,0.06923429278907775,0.053836820796912634,0.0,1913.063548789003,41.0,207.40193847345614,0.23976608187134504,4.315789473684211,0.044967267280326254,0.014728729517251186
