plant,time point,cell,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
p3 FM6 flower 1,0,13266,53.14620000000001,0.20701791592853303,0.07405280211403437,0.08212673492152443,0.11996657234788644,0.006697078323986612,0.0875043833898806,0.08427928443802858,0.09389401183838679,0.08261067169837331,5.1224116267582245,44.0,221.00620975604662,0.23157894736842108,4.4,20.22017157894734,6.527100886985677
p3 FM6 flower 1,0,13307,35.41650000000001,0.22926668009665246,0.06562892005407969,0.07835522007918179,0.10124753479907378,0.0049979153612906965,0.08141161707851509,0.057073652923485305,0.06985389649922637,0.07837542058532203,5.207212305862637,43.0,215.02258267832065,0.2263157894736842,4.3,19.010296315789464,5.830609981787309
p3 FM6 flower 1,0,13326,54.24280000000002,0.21102925984903168,0.07297326915286069,0.06277273463818454,0.08438156160589891,0.006795920037692045,0.08584842997782201,0.07449235059655367,0.06297554868762532,0.06248384511993383,4.996214965813243,42.0,209.2166465684541,0.2456140350877193,4.421052631578948,19.159911111111107,6.977108006216143
p3 FM6 flower 1,0,13327,54.59130000000001,0.21746657488974558,0.07284141697458621,0.05865086785502748,0.06438904979779536,0.006925469633976388,0.08612885042939297,0.07738001991924025,0.06897708598727911,0.05806193134822167,4.918496630445882,42.0,209.17227338057145,0.2456140350877193,4.421052631578948,19.10954502923977,6.582250597537149
p3 FM6 flower 1,0,13331,51.049700000000016,0.2014211567644991,0.0724893047082128,0.0960092864125122,0.1597267667758882,0.006362601409482375,0.08505436508815055,0.0684897174517328,0.05830370948611434,0.09557183967466226,5.1266262633940585,38.0,190.07440287578035,0.27941176470588236,4.470588235294118,18.522627941176477,7.99048687962434
p3 FM6 flower 1,0,13345,46.64989999999999,0.29157082233701886,0.07140816482054124,0.04155900103480748,0.21674960379358943,0.005772990615424067,0.08123023347719474,0.060637472801075724,0.05649012938550363,0.04222196374414116,4.904553040463239,43.0,216.89295453474656,0.2263157894736842,4.3,21.39294368421053,6.135725700540724
p3 FM6 flower 1,0,13355,62.764700000000005,0.16997589655225426,0.07483488720365487,0.06736959889761247,0.06371555894051073,0.007947530597239051,0.09373180520928336,0.09461215903141501,0.08782103628527035,0.06601659429280397,4.986122466251854,48.0,247.68982183391284,0.22857142857142856,4.571428571428571,19.492201904761895,6.604075370251814
p3 FM6 flower 1,0,13371,51.3297,0.19950972940832384,0.07055632758061459,0.08086355699258925,0.08154256052949246,0.006612851750341721,0.08665401919641913,0.06823619011386585,0.05776315661794816,0.08150201612903225,5.081009724475091,45.0,230.43728336698368,0.23684210526315788,4.5,19.27412999999999,6.374542699650079
p3 FM6 flower 1,0,13372,48.1245,0.18986881635762637,0.06918994177609697,0.041609089834896286,0.04996944222096753,0.006385715972006118,0.08592460625871749,0.06427698282932445,0.052046748581287994,0.04209832506203474,4.953179804481876,42.0,214.0072507745022,0.2456140350877193,4.421052631578948,18.19309239766081,6.4306728971111315
p3 FM6 flower 1,0,13419,41.119200000000006,0.25098657747625214,0.06798249287312223,0.05218436650198436,0.17778475912877986,0.005336778327422379,0.08056884466050915,0.05532465876735345,0.053836820796912634,0.05321719051557761,4.877359168488202,41.0,207.40193847345614,0.23976608187134504,4.315789473684211,19.863486549707613,6.17552662419825
p3 FM6 flower 1,0,13470,37.6806,0.2323629303307598,0.06420300563638955,0.02504256794579373,0.09004891516515372,0.00509079977801988,0.07783659340648462,0.042972735236370185,0.0318495206366534,0.024859560242624756,4.909867860799794,35.0,172.15091589097975,0.2916666666666667,4.375,17.439323333333338,8.009462154033475
p3 FM6 flower 1,0,13673,55.29699999999999,0.2092345620731175,0.07461462700612705,0.054362748371537935,0.09340495632790236,0.006894505912928724,0.08666780443444416,0.08652079219873535,0.08431593527279958,0.05551743003859939,4.915755724223675,42.0,209.17227338057162,0.2456140350877193,4.421052631578948,19.462196491228045,6.845204788892748
p3 FM6 flower 1,0,13679,79.9684,0.15328137066729866,0.08314523473251041,0.09792319861258987,0.23731770985973089,0.009665281573524509,0.10530879060115365,0.16320026782045902,0.22192364391567446,0.09775483066813713,5.0871320547512475,56.0,289.64672550531924,0.18666666666666668,4.48,22.22741133333333,4.785272133775356
p3 FM6 flower 1,0,13681,52.04249999999998,0.20533162040858766,0.07431557007235204,0.10006551762706262,0.1266078709241889,0.006463639718879033,0.08731677858162164,0.08111901145130024,0.09141123731636969,0.09902402984560243,5.182497601579361,44.0,220.91813261087677,0.23157894736842108,4.4,20.266068947368392,6.085010065215203
p3 FM6 flower 1,0,13686,40.8815,0.25242754474263285,0.06982909032334435,0.045949229981488045,0.14445101254201315,0.00522282510860351,0.07961367769993948,0.060169603799183256,0.05620250148178439,0.04587124345188861,5.039298343973528,39.0,193.37224671102197,0.2549019607843137,4.333333333333333,19.42820326797386,6.792687987391679
p3 FM6 flower 1,0,13688,56.521299999999975,0.22441401562121832,0.07431207190919355,0.07148916213007893,0.09272216530648,0.006991725040276152,0.08622833861783025,0.0807911267944129,0.07539035841864834,0.07093597067135374,4.971293749990117,42.0,207.98159432184212,0.2456140350877193,4.421052631578948,19.502849122807,6.973253690237229
p3 FM6 flower 1,0,13696,51.08140000000002,0.1972433191456565,0.07256263714116043,0.07712203174427289,0.11120225628325583,0.006410608835135797,0.08452589262596448,0.07129844448829781,0.05749473557702243,0.07804928746208989,5.07047469589303,38.0,188.92502356733348,0.27941176470588236,4.470588235294118,18.47622794117646,8.73805605420388
p3 FM6 flower 1,0,13704,70.1657,0.18434109886063063,0.0787342648542886,0.11287804353492539,0.2803030588014046,0.008727412799214044,0.09906754106544945,0.125463626021065,0.16196546606988035,0.11299843189964157,5.147312843105183,57.0,296.8018948203668,0.1753846153846154,4.384615384615385,23.224340307692312,4.7926655456474165
p3 FM6 flower 1,0,13705,57.75960000000002,0.22786587600210423,0.07672568750401106,0.0782520794617569,0.2765309949789502,0.0069651642786969815,0.0906120299854186,0.0926593880572838,0.1189164201815121,0.0782964571271023,5.10146376009863,50.0,257.7327480713416,0.1976284584980237,4.3478260869565215,22.654109090909103,5.60721872592066
p3 FM6 flower 1,0,13707,38.44800000000001,0.24738171197461778,0.0664035200092482,0.10234131012356815,0.08622231771790673,0.005035473543315183,0.07787841930020037,0.04623854299923061,0.03640828651333556,0.10174084987593052,5.162692717189113,37.0,181.63620605048405,0.27205882352941174,4.352941176470588,18.22165147058825,7.589104111225268
p3 FM6 flower 1,0,13721,103.8784,0.15058495113155537,0.0838310020897968,0.1268947360882845,0.4040009024316573,0.012221410806641566,0.11252682399229454,0.1786779356882244,0.21254817201193532,0.1261993382961125,4.8563821311360105,59.0,312.5331582094344,0.18153846153846154,4.538461538461538,23.082385846153837,4.997576147217899
p3 FM6 flower 1,0,13723,50.89300000000001,0.20222853279404646,0.07153677751221049,0.11630469440953312,0.0848277048265974,0.006481619242190488,0.08667206930844487,0.06978982063226552,0.061858797643854144,0.11532645781637717,5.126807101792843,44.0,219.93953893083673,0.23157894736842108,4.4,19.53763157894736,5.884478159181452
p3 FM6 flower 1,0,13726,66.78639999999999,0.17847752224452731,0.07620750281620879,0.0999824428856687,0.16699437541976364,0.008152782998386251,0.09336449165516537,0.09451830297037124,0.08218022381633526,0.10086719396195203,5.062104984200358,45.0,227.62943013377236,0.23684210526315788,4.5,19.823912631578956,6.9963928125449755
p3 FM6 flower 1,0,13731,54.0473,0.21347366069509832,0.07239778345731433,0.077864286251383,0.18655953481261986,0.006756265120443923,0.0874257104903668,0.07213423753568901,0.0661580713419325,0.0768782740556934,4.9290062056222705,44.0,225.33954362982547,0.23157894736842108,4.4,20.797222631578965,5.943114044935343
p3 FM6 flower 1,0,13742,52.64569999999999,0.20984780110490037,0.06981596583384081,0.07011283817735432,0.10406870346616799,0.006775559939813517,0.08541121487842121,0.06264914672978562,0.05029987164631982,0.06941773504273505,5.020425347504296,40.0,199.68778859718176,0.26143790849673204,4.444444444444445,18.61860065359477,7.308188624861122
p3 FM6 flower 1,0,13743,39.168699999999994,0.24925464309902123,0.06435205904272182,0.0661645045516013,0.05196388829382375,0.005321183419462617,0.0788564717173215,0.04444907652515338,0.033425510626929424,0.06641249655362558,4.967510514213255,39.0,192.40184659864957,0.2549019607843137,4.333333333333333,17.743905228758177,7.005675863321642
p3 FM6 flower 1,0,13748,49.07589999999999,0.19647646692016807,0.06830984770804872,0.05506871861710573,0.06833272175159122,0.006529670610298083,0.08665593467360755,0.06220504066013219,0.048061346921947794,0.05455007582023711,4.97071941219198,44.0,221.24062395863848,0.23157894736842108,4.4,18.136960000000013,6.107932810959378
p3 FM6 flower 1,1,12708,55.38600000000001,0.2102353888934119,0.05228052572732903,0.06870140134779275,0.199989860681972,0.004909751413412863,0.0740511623070587,0.0695261488506953,0.07813907181265012,0.0689200918125576,6.008382365827478,46.0,234.0324039555345,0.21904761904761907,4.380952380952381,21.55946285714285,6.112058606084188
p3 FM6 flower 1,1,12711,50.6053,0.1908379513566149,0.05053071631929603,0.051829933106598045,0.13167654209136223,0.004661602732213053,0.07234524318009722,0.06454091782720205,0.0591133179534633,0.05184175291233382,5.788414828818741,42.0,211.38478399604668,0.2456140350877193,4.421052631578948,19.385425730994157,6.662249039982111
p3 FM6 flower 1,1,12716,49.54990000000001,0.1842743154155388,0.051102847301433905,0.05580725026149539,0.1154890678577595,0.004622958341487055,0.07395621656794375,0.06967212344756267,0.07320661549223781,0.056301835382753435,6.093688237054632,47.0,242.21764484047682,0.22380952380952382,4.476190476190476,19.164077142857142,5.424475466418296
p3 FM6 flower 1,1,12725,35.00320000000001,0.20446477920648248,0.04488359684753671,0.03465816263997279,0.04586424534500482,0.003668846193838744,0.06605320498440409,0.04198348215405211,0.03302567932357884,0.03548991206781186,6.097347206171476,39.0,193.37224671102172,0.2549019607843137,4.333333333333333,16.936044444444438,5.924478087406619
p3 FM6 flower 1,1,12730,41.2257,0.24289332615333295,0.04851502989610947,0.037038902112009296,0.08429935972734107,0.003856397562862752,0.06630075573835756,0.04826955190909756,0.04531406798656379,0.03694015158578679,6.064467882630005,39.0,193.58295236794265,0.2549019607843137,4.333333333333333,19.19457581699347,7.351779446741588
p3 FM6 flower 1,1,12732,42.72930000000001,0.1656471919862062,0.04629917437259958,0.03912933242194375,0.022597640862103478,0.004570454865469755,0.07134804865450615,0.051598882523375564,0.037828620424169374,0.03811241793635646,6.377149032241863,40.0,199.64137757731626,0.26143790849673204,4.444444444444445,15.931461437908489,6.496415152173302
p3 FM6 flower 1,1,12734,39.4247,0.23278917286397444,0.047916601438537994,0.05777918135116623,0.07840152112607104,0.003830083650609494,0.06711047325379883,0.049454340542906074,0.046112148739219844,0.05652496233893495,6.293036674115291,41.0,204.09192918955878,0.23976608187134504,4.315789473684211,18.813345029239766,6.261614680067801
p3 FM6 flower 1,1,12740,49.80899999999998,0.1946435033735552,0.049857993880123214,0.08980052610918206,0.04910096780134594,0.00463258619357769,0.07228651546067533,0.058372975834616286,0.0565815525676776,0.09070757782677373,6.198301545611997,42.0,210.36406692721,0.2456140350877193,4.421052631578948,19.252678362573096,6.6324459445577
p3 FM6 flower 1,1,12843,57.1966,0.2171191995272264,0.051682353879883805,0.07052476129373601,0.20467960759782586,0.005085510619568081,0.0736924420240393,0.06834787330499809,0.06828832786694188,0.0708491930294122,5.8656142943808245,46.0,234.0324039555355,0.21904761904761907,4.380952380952381,21.92439142857144,6.356063458055635
p3 FM6 flower 1,1,12851,89.49549999999996,0.16584249091822573,0.05702539503004794,0.07434884401880583,0.31813552681984053,0.007475601321449302,0.08551117405242184,0.11900249384176256,0.12998403584742324,0.07476429840726603,5.678035964752775,50.0,258.30635904205997,0.21645021645021648,4.545454545454546,22.291390909090904,6.808013284635286
p3 FM6 flower 1,1,12858,43.3456,0.26639755718079955,0.04939131371413564,0.06186784311729673,0.17162416873453576,0.0039261411493445916,0.06780455169146551,0.05133929999256917,0.0553022914461405,0.06355030494493441,5.8141914711754845,43.0,215.83780614602375,0.2263157894736842,4.3,20.964361052631585,6.217485871146493
p3 FM6 flower 1,1,12863,40.3181,0.24007082143430733,0.04780831626673072,0.05086826230089322,0.1192353171600454,0.0037628859901830012,0.0659532088314128,0.04328496600623281,0.03997414827633133,0.051548754168312054,6.066046691119033,37.0,182.91421865833814,0.27205882352941174,4.352941176470588,18.653848529411757,8.018617398877598
p3 FM6 flower 1,1,12864,46.232099999999996,0.27881445698586854,0.04962167927794961,0.030354499242241696,0.17947825050841504,0.004144902596664688,0.06659345108187112,0.04887241991592553,0.04657630031209616,0.030426621254003774,5.760697998081219,39.0,194.60235753903575,0.2549019607843137,4.333333333333333,20.847203267973864,7.278212769224626
p3 FM6 flower 1,1,12865,49.3415,0.18690692727462663,0.049248153021944484,0.042321488317247385,0.07969631762510263,0.004807406751072349,0.07192639564300933,0.061034079717377135,0.04912685827223766,0.043245187759148346,5.797618571211297,42.0,211.38478399604654,0.2456140350877193,4.421052631578948,17.850870175438583,5.530286093706175
p3 FM6 flower 1,1,12872,58.746199999999995,0.22165265460342973,0.05353085295186744,0.07409068536637634,0.21592166404093047,0.005089319161035033,0.07451268326226804,0.07586712347146873,0.08899495823017702,0.07345895858014129,5.9009314573795955,48.0,244.52040574195112,0.20779220779220778,4.363636363636363,21.88123203463204,5.854691339385068
p3 FM6 flower 1,1,12878,46.95230000000001,0.17590559989819862,0.04864363904137512,0.08193442390198469,0.05839595662978032,0.00465958026387134,0.07236385589386475,0.05726089735033084,0.052930577540870445,0.08056962703662264,6.233251838906894,42.0,214.07959864211034,0.2456140350877193,4.421052631578948,17.95927847953216,6.911767917469973
p3 FM6 flower 1,1,12881,76.3922,0.14037698417957384,0.05608335367763237,0.08528841772062956,0.1700576387708002,0.006815480581332949,0.08543760952413702,0.11521081877387804,0.12613919947351132,0.08579224323746215,6.058244871796591,50.0,258.3049286160829,0.21645021645021648,4.545454545454546,20.336754112554125,5.888452586402395
p3 FM6 flower 1,1,12882,45.10160000000001,0.1733163001714681,0.046901676699760884,0.04554081799641348,0.033460486561736606,0.004706457383141826,0.0710701563322102,0.054637270703483655,0.036956677366079896,0.04460156027187267,6.025830969258529,40.0,198.45127719772555,0.26143790849673204,4.444444444444445,16.090932679738547,6.627760400285082
p3 FM6 flower 1,1,12891,62.360200000000006,0.15764917573190027,0.0537219142167305,0.11689873821670994,0.1133642515526658,0.005627294047779838,0.07902497162295248,0.08720387589586454,0.09128197842215957,0.11537543259949103,6.267568131008058,47.0,239.6336643760799,0.22380952380952382,4.476190476190476,20.06904952380953,5.823464496698728
p3 FM6 flower 1,1,12892,68.56569999999999,0.1785921107913163,0.05478305038978354,0.0722251495611473,0.1759075301896562,0.00596213042239717,0.07866372639827555,0.08964744284185118,0.09608513710116318,0.07089606940056747,6.0149996134559665,45.0,228.85106686776692,0.23684210526315788,4.5,20.64189578947367,6.868261968994227
p3 FM6 flower 1,1,12893,55.039400000000015,0.21252525737493322,0.052707644706882634,0.08874602026963996,0.13640083045713863,0.004935947128182095,0.07387380508966948,0.07334902010197446,0.08397847166535238,0.08789733794772792,6.1038572474970705,46.0,231.69348133537633,0.21904761904761907,4.380952380952381,21.00853238095239,5.865995584406325
p3 FM6 flower 1,1,12901,66.6799,0.1703048008925599,0.05339063472413089,0.06773906949877852,0.06980999143904648,0.006078830784151416,0.0794723952707445,0.08965182908590229,0.08661840065835683,0.06874655497235752,6.122453870520217,50.0,258.487147459441,0.21645021645021648,4.545454545454546,19.94840341991342,5.894140284952099
p3 FM6 flower 1,1,12908,37.0509,0.22752923534859842,0.04669702707282083,0.0937608470485608,0.053082688532456374,0.0035710323225383762,0.0662970555050471,0.0421124584575579,0.04245649370679414,0.0932237048981323,6.279269268765467,39.0,193.58295236794427,0.2549019607843137,4.333333333333333,18.619075816993455,7.2932489137022465
p3 FM6 flower 1,1,12910,54.9579,0.20753778357585517,0.052641966520060084,0.06337738766496344,0.10781684989337723,0.004930097278737708,0.07313589392427022,0.07389894054451393,0.0806245935188849,0.06229404105056089,6.09419564969767,44.0,219.89767135165465,0.23157894736842108,4.4,20.299563684210526,6.377502899597998
p3 FM6 flower 1,1,12911,42.37499999999999,0.1630246292763721,0.04853696216964404,0.06124141071094045,0.052520150625243844,0.004294601761275355,0.07350725830596905,0.06088738201785624,0.06428639319925869,0.06186438383024001,6.453058056653069,46.0,232.850147987372,0.21904761904761907,4.380952380952381,18.40917333333332,4.95839837702502
p3 FM6 flower 1,1,12924,64.6705,0.163913109404969,0.05386528295402585,0.08930573864334304,0.07778545727093568,0.005794628759324696,0.07864335568481955,0.08887473133439566,0.09505843857561876,0.09076139567153702,6.145866102626639,45.0,227.70177996969457,0.23684210526315788,4.5,19.573289999999997,6.806257308679957
p3 FM6 flower 1,1,12925,50.75040000000002,0.19568529802516982,0.0510069206438025,0.0915896743102507,0.07514717071101387,0.004766357389289994,0.07263515146279467,0.06609261284553763,0.06686238080211164,0.08854138100931654,6.271592095702574,43.0,219.66875500544515,0.25146198830409355,4.526315789473684,18.666755555555557,6.460458037766264
