plant,time point,cell,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
p3 FM6 flower 1,0,13266,1.6284642748565468,0.029970125814038014,0.002235705085906913,0.05566583953680728,0.00021158838377971422,0.006208579223979296,0.0875043833898806,0.08576759450469709,0.09389401183838679,0.05566583953680728,214.3382285906501,44.0,221.00620975604662,0.23157894736842108,4.4,0.4586467179518313,0.16246772061600473
p3 FM6 flower 1,0,13307,1.1154402476323488,0.038344468666005986,0.0020116875584003514,0.016046319272125725,0.00032079827870919436,0.004340718661371996,0.08141161707851509,0.05521299663451969,0.06985389649922637,0.016046319272125725,195.1326423892456,43.0,215.02258267832065,0.2263157894736842,4.3,0.5028677634540006,0.167352261242483
p3 FM6 flower 1,0,13326,1.4972998889468725,0.027888576178203332,0.0021679113027829274,0.0488833746898263,0.0001618930524879695,0.005514527814326237,0.08584842997782201,0.07110023306660092,0.06297554868762532,0.0488833746898263,203.09540376280526,42.0,209.2166465684541,0.2456140350877193,4.421052631578948,0.4545339309100909,0.18499325831089541
p3 FM6 flower 1,0,13327,1.2348328162509496,0.02688349809634306,0.0020444432475893067,0.06782464846980976,2.6437323348072504e-05,0.005164551627157303,0.08612885042939297,0.061754278357986,0.06897708598727911,0.06782464846980976,213.43625992050036,42.0,209.17227338057145,0.2456140350877193,4.421052631578948,0.44548190108355284,0.1957360848264657
p3 FM6 flower 1,0,13331,2.9081336066639984,0.0334108703903115,0.002325258929208127,0.08130686517783292,0.0012633343254457741,0.009112599093927531,0.08505436508815055,0.0838804224113356,0.05830370948611434,0.08130686517783292,208.89752956469607,38.0,190.07440287578035,0.27941176470588236,4.470588235294118,0.4393395925955834,0.1940115416481043
p3 FM6 flower 1,0,13345,0.8704979217329865,0.03439611748496661,0.0018949922137504163,0.11447477253928867,0.0024743407329462243,0.0033848427060959438,0.08123023347719474,0.03872481447945851,0.05649012938550363,0.11447477253928867,221.08878041821924,43.0,216.89295453474656,0.2263157894736842,4.3,0.482668388686028,0.1475582024220544
p3 FM6 flower 1,0,13355,1.7670726905608412,0.026115289252921864,0.0022127045010445047,0.0543424317617866,0.00019670376396075263,0.006503076421092797,0.09373180520928336,0.08618622395218882,0.08782103628527035,0.0543424317617866,203.84759524248227,48.0,247.68982183391284,0.22857142857142856,4.571428571428571,0.4975543106562333,0.18309793243259945
p3 FM6 flower 1,0,13371,2.3898132562070193,0.03667174965067147,0.0023011501726151505,0.049379652605459054,0.002075790795127119,0.007141172337782207,0.08665401919641913,0.07673404370831718,0.05776315661794816,0.049379652605459054,202.7621017533658,45.0,230.43728336698368,0.23684210526315788,4.5,0.4880864872410786,0.2188886343093007
p3 FM6 flower 1,0,13372,3.432974406896317,0.038561569346020876,0.002280837400728976,0.01902398676592225,0.0012642361354107084,0.009741574493798944,0.08592460625871749,0.07481959675821857,0.052046748581287994,0.01902398676592225,194.45155386808096,42.0,214.0072507745022,0.2456140350877193,4.421052631578948,0.4687945508808589,0.17917568961137847
p3 FM6 flower 1,0,13419,1.3453426944315943,0.04300634381891603,0.0021105382212255027,0.023325062034739455,0.014780884076698532,0.0046626014024158495,0.08056884466050915,0.0529220603985301,0.053836820796912634,0.023325062034739455,195.808512479155,41.0,207.40193847345614,0.23976608187134504,4.315789473684211,0.46900733282247464,0.2021674559524988
p3 FM6 flower 1,0,13470,1.3105357441082526,0.041613503494655826,0.002028648647604241,0.013730355665839536,0.008313388666453064,0.004687145326789153,0.07783659340648462,0.04155682096497518,0.0318495206366534,0.013730355665839536,185.2027536763642,35.0,172.15091589097975,0.2916666666666667,4.375,0.46113097719890844,0.2311792076295302
p3 FM6 flower 1,0,13673,2.048735320787865,0.028451493400833146,0.0022682647842750775,0.04433416046319272,0.00010338571739796163,0.007485745488499687,0.08666780443444416,0.08793871016582533,0.08431593527279958,0.04433416046319272,217.33288310623996,42.0,209.17227338057162,0.2456140350877193,4.421052631578948,0.43764930196941354,0.18832681522819428
p3 FM6 flower 1,0,13679,2.4397296646079,0.021906347793235813,0.0025156711117718515,0.1272952853598015,0.0011536489147562989,0.008569244500217439,0.10530879060115365,0.16069552689279643,0.22192364391567446,0.1272952853598015,213.44489749628178,56.0,289.64672550531924,0.18666666666666668,4.48,0.5211099802772998,0.1280263337545253
p3 FM6 flower 1,0,13681,2.2354024371600048,0.03214805575737845,0.002327079039864975,0.05806451612903226,0.00026487061676148726,0.007795654977271027,0.08731677858162164,0.09863827402134528,0.09141123731636969,0.05806451612903226,212.64575371594535,44.0,220.91813261087677,0.23157894736842108,4.4,0.4763332723025194,0.14659808796718848
p3 FM6 flower 1,0,13686,0.9961429370579186,0.039621751036222445,0.002001294961849833,0.0435070306038048,0.0008765468753658665,0.0037891934224499333,0.07961367769993948,0.05229867692386355,0.05620250148178439,0.0435070306038048,205.9541708248734,39.0,193.37224671102197,0.2549019607843137,4.333333333333333,0.46144247188458426,0.1651265206115619
p3 FM6 flower 1,0,13688,1.2260235459703699,0.02840963887912943,0.002075692104779564,0.06716294458229942,7.126922402724349e-05,0.004913384767698448,0.08622833861783025,0.06469842627927969,0.07539035841864834,0.06716294458229942,214.2891934696185,42.0,207.98159432184212,0.2456140350877193,4.421052631578948,0.45788123801194525,0.17935981596651115
p3 FM6 flower 1,0,13696,3.0494363160687312,0.034425221602206325,0.0023439517454622834,0.003556658395368073,0.0007644814947830237,0.009643847643386374,0.08452589262596448,0.094773328741798,0.05749473557702243,0.003556658395368073,198.35783097795237,38.0,188.92502356733348,0.27941176470588236,4.470588235294118,0.4470490571193017,0.22313927977591116
p3 FM6 flower 1,0,13704,2.1341634921624713,0.026106041806639897,0.0023975563546644817,0.07138130686517784,0.0035113019227902237,0.00752962370017233,0.09906754106544945,0.12850837957838626,0.16196546606988035,0.07138130686517784,206.64783924607246,57.0,296.8018948203668,0.1753846153846154,4.384615384615385,0.5468074788678138,0.1223018653592852
p3 FM6 flower 1,0,13705,1.8787954912332285,0.029816397916470023,0.0023440613878655,0.12109181141439206,0.00909385180630999,0.006330956967986463,0.0906120299854186,0.09521029289385048,0.1189164201815121,0.12109181141439206,215.65677523604208,50.0,257.7327480713416,0.1976284584980237,4.3478260869565215,0.5032955683586654,0.14327382508433925
p3 FM6 flower 1,0,13707,1.0495946390901465,0.040549694632288004,0.001961258599668341,0.05227460711331679,0.0002427385868415107,0.0038812357399232826,0.07787841930020037,0.041232909333514776,0.03640828651333556,0.05227460711331679,205.51265081710176,37.0,181.63620605048405,0.27205882352941174,4.352941176470588,0.4479266151518516,0.21437499778113317
p3 FM6 flower 1,0,13721,3.0795907481645903,0.01963513847402537,0.002528991526082702,0.1968569065343259,0.03287184872783275,0.00974822798186381,0.11252682399229454,0.16228239944445352,0.21254817201193532,0.1968569065343259,228.24587539951162,59.0,312.5331582094344,0.18153846153846154,4.538461538461538,0.521333436269897,0.12744403000274673
p3 FM6 flower 1,0,13723,3.3054867686541094,0.035432172123633435,0.002285219865108802,0.06178660049627792,0.001022269228621293,0.009492095267379621,0.08667206930844487,0.07921741912755355,0.061858797643854144,0.06178660049627792,206.39564547787344,44.0,219.93953893083673,0.23157894736842108,4.4,0.4858310226062706,0.17581701222213392
p3 FM6 flower 1,0,13726,2.0581792202935354,0.02542808381449864,0.002331059205945967,0.008271298593879239,0.0011022702289691902,0.006810470029534981,0.09336449165516537,0.09573780684378379,0.08218022381633526,0.008271298593879239,198.76250769019885,45.0,227.62943013377236,0.23684210526315788,4.5,0.4760804500626472,0.19523087158958863
p3 FM6 flower 1,0,13731,1.5436061444699163,0.028836766565514888,0.0021413129143800598,0.10165425971877584,0.0035371080365368597,0.005489199333754713,0.0874257104903668,0.059086356086694165,0.0661580713419325,0.10165425971877584,221.1259753534519,44.0,225.33954362982547,0.23157894736842108,4.4,0.4748404588728931,0.1528200814374368
p3 FM6 flower 1,0,13742,1.4736759340641288,0.029525169583780042,0.0021009965128768256,0.0902398676592225,0.0023500264500866384,0.00509680718493456,0.08541121487842121,0.05142781452367565,0.05029987164631982,0.0902398676592225,207.5241900748651,40.0,199.68778859718176,0.26143790849673204,4.444444444444445,0.46451447682486324,0.22757742291426286
p3 FM6 flower 1,0,13743,0.8547381913009517,0.0374457558749212,0.0018118608388656412,0.11571546732837056,0.0019953023714784296,0.003188186852949933,0.0788564717173215,0.026463726563999163,0.033425510626929424,0.11571546732837056,210.20510471158158,39.0,192.40184659864957,0.2549019607843137,4.333333333333333,0.4839076983022039,0.2282829296010891
p3 FM6 flower 1,0,13748,2.181680394531072,0.03559368965633376,0.002263977088114628,0.06137303556658395,0.021482215052068418,0.006815292998953629,0.08665593467360755,0.07174283209368314,0.048061346921947794,0.06137303556658395,199.87386817921933,44.0,221.24062395863848,0.23157894736842108,4.4,0.5155610104632249,0.21050349332506657
p3 FM6 flower 1,1,12708,1.778665390875094,0.03506262584051277,0.0016918271719327702,0.10008336624106007,2.0199125660313854e-05,0.004734986766535052,0.0740511623070587,0.07478747517589092,0.07813907181265012,0.10008336624106007,249.96937344635694,46.0,234.0324039555345,0.21904761904761907,4.380952380952381,0.5188173338569607,0.1790278918864082
p3 FM6 flower 1,1,12711,2.0486912479591153,0.033520559432716174,0.0017261419195286787,0.021762976613575534,0.0008546131494382625,0.0052677960274544085,0.07234524318009722,0.08806802769774455,0.0591133179534633,0.021762976613575534,241.68781951630012,42.0,211.38478399604668,0.2456140350877193,4.421052631578948,0.45542926501719494,0.21005685866924478
p3 FM6 flower 1,1,12716,1.93850169606737,0.03703471097511369,0.0017342872963973565,0.03597911456276601,8.395180024996392e-06,0.004752308724343768,0.07395621656794375,0.08440942762956223,0.07320661549223781,0.03597911456276601,225.20135585311814,47.0,242.21764484047682,0.22380952380952382,4.476190476190476,0.5180459030910887,0.1620197944628755
p3 FM6 flower 1,1,12725,3.77408309476846,0.05607387282779129,0.0016509599847254583,0.0008336624106006757,0.005785380946488247,0.007457509440223029,0.06605320498440409,0.05893533272409441,0.03302567932357884,0.0008336624106006757,210.13455494799283,39.0,193.37224671102172,0.2549019607843137,4.333333333333333,0.48487933497079067,0.18702803190989936
p3 FM6 flower 1,1,12730,1.1642812332910668,0.043108167089155255,0.0015197510806512957,0.09859154929577466,3.6040034959892546e-05,0.0030904360528895077,0.06630075573835756,0.04169430191788868,0.04531406798656379,0.09859154929577466,249.97522773337877,39.0,193.58295236794265,0.2549019607843137,4.333333333333333,0.5017130447932632,0.22795813632043763
p3 FM6 flower 1,1,12732,1.7502087353478588,0.04091035442717789,0.0016092164321275385,0.014260014918169453,0.006205553704552652,0.004081668931230043,0.07134804865450615,0.05448630766803489,0.037828620424169374,0.014260014918169453,213.03825242112163,40.0,199.64137757731626,0.26143790849673204,4.444444444444445,0.5417986720121334,0.22571130366755188
p3 FM6 flower 1,1,12734,1.39638687434616,0.04451135885485954,0.0016055532490774076,0.07156333640472116,0.0021622324221854013,0.0033987997068545134,0.06711047325379883,0.052506932498990175,0.046112148739219844,0.07156333640472116,236.6726393817368,41.0,204.09192918955878,0.23976608187134504,4.315789473684211,0.5075695302381598,0.21632450860312422
p3 FM6 flower 1,1,12740,1.849447348808793,0.038416016617916375,0.0016599115234570032,0.08648150585757536,2.3934922463293954e-05,0.0044708158797793374,0.07228651546067533,0.06370730468063832,0.0565815525676776,0.08648150585757536,240.7218524898292,42.0,210.36406692721,0.2456140350877193,4.421052631578948,0.47836257695729767,0.20444919976543566
p3 FM6 flower 1,1,12843,1.8857018950179834,0.035534664639191346,0.0016624575790825376,0.07388881576060725,1.0887549929978922e-05,0.0052678189592634,0.0736924420240393,0.07580450723001299,0.06828832786694188,0.07388881576060725,247.21512338638848,46.0,234.0324039555355,0.21904761904761907,4.380952380952381,0.5117261860350475,0.1728739181661789
p3 FM6 flower 1,1,12851,2.822273588399381,0.023150728767993786,0.0018217621812299139,0.06603483831336932,7.7858217919787e-05,0.007434422206334995,0.08551117405242184,0.12322880955073302,0.12998403584742324,0.06603483831336932,257.2928525854812,50.0,258.30635904205997,0.21645021645021648,4.545454545454546,0.4792532555263906,0.15826834364503078
p3 FM6 flower 1,1,12858,0.9581578532560404,0.042016692413161104,0.001440471312624966,0.04633407924180598,0.00027961384955403444,0.0027613379321523575,0.06780455169146551,0.0394808843695295,0.0553022914461405,0.04633407924180598,255.22107369952963,43.0,215.83780614602375,0.2263157894736842,4.3,0.46059189176712456,0.16636171330202226
p3 FM6 flower 1,1,12863,1.306350331993774,0.04352519061936562,0.0015388360343110256,0.01926198938177351,1.4824805493619791e-05,0.0036255362064473093,0.0659532088314128,0.04375993420773604,0.03997414827633133,0.01926198938177351,230.37844231599206,37.0,182.91421865833814,0.27205882352941174,4.352941176470588,0.45323038350221234,0.23879484347405106
p3 FM6 flower 1,1,12864,0.8567152334718888,0.03715604539228644,0.001359167447006134,0.11118423939274275,2.023843021095697e-05,0.0026585996243255836,0.06659345108187112,0.0297214371273616,0.04657630031209616,0.11118423939274275,259.84306090528855,39.0,194.60235753903575,0.2549019607843137,4.333333333333333,0.4641494669211382,0.18714010444780826
p3 FM6 flower 1,1,12865,3.7855678135746733,0.04048469578944326,0.0016527498782893308,0.0493615901013558,0.005324492961990814,0.007677582481536511,0.07192639564300933,0.06374113348415933,0.04912685827223766,0.0493615901013558,236.24343542123526,42.0,211.38478399604654,0.2456140350877193,4.421052631578948,0.461568911126498,0.16265464835996457
p3 FM6 flower 1,1,12872,1.467900857680771,0.027728834555869986,0.0016478748431576228,0.01917423544381554,0.00022885904687094496,0.003994134052557591,0.07451268326226804,0.06981921216358936,0.08899495823017702,0.01917423544381554,246.48091201121062,48.0,244.52040574195112,0.20779220779220778,4.363636363636363,0.4848765658620533,0.1566434846988616
p3 FM6 flower 1,1,12878,2.288355078384474,0.04019848250923649,0.0016585569130425574,0.04102496599534904,3.6684579115853633e-06,0.005203539034214468,0.07236385589386475,0.05445129769218859,0.052930577540870445,0.04102496599534904,231.36628703096017,42.0,214.07959864211034,0.2456140350877193,4.421052631578948,0.5087550660974763,0.21976253921866543
p3 FM6 flower 1,1,12881,3.1062219407285236,0.028913687864628574,0.0018659079923603614,0.04102496599534904,0.0020666913194486445,0.0072058593301353585,0.08543760952413702,0.1333200928560362,0.12613919947351132,0.04102496599534904,227.81478582305184,50.0,258.3049286160829,0.21645021645021648,4.545454545454546,0.4969310392357336,0.1614397115179746
p3 FM6 flower 1,1,12882,1.5122548974146617,0.03882738189820194,0.0015284478027592734,0.017331402746698258,0.004284712079237212,0.003888837001360753,0.0710701563322102,0.04791087940299338,0.036956677366079896,0.017331402746698258,222.52696143039205,40.0,198.45127719772555,0.26143790849673204,4.444444444444445,0.5058800382890069,0.23440223758888296
p3 FM6 flower 1,1,12891,2.6456686494789095,0.030931703547919905,0.0018269541084740594,0.020402790575227064,2.273367843168943e-05,0.006170498670513245,0.07902497162295248,0.1077395742678743,0.09128197842215957,0.020402790575227064,231.10371272071927,47.0,239.6336643760799,0.22380952380952382,4.476190476190476,0.499616885072288,0.1897007225400595
p3 FM6 flower 1,1,12892,1.9551443599296314,0.026782831576722958,0.0017285434546915135,0.14189811767803082,8.384230767665908e-05,0.005096101728340038,0.07866372639827555,0.08248805251522295,0.09608513710116318,0.14189811767803082,258.29137264859,45.0,228.85106686776692,0.23684210526315788,4.5,0.48810683377812253,0.19505793299763763
p3 FM6 flower 1,1,12893,1.3813850725976207,0.03196812539421554,0.0015998896612435317,0.1128515642139441,0.0005306475388594389,0.0036215752689845544,0.07387380508966948,0.05748323324942647,0.08397847166535238,0.1128515642139441,253.54603607009312,46.0,231.69348133537633,0.21904761904761907,4.380952380952381,0.5110246434992514,0.14988929308176535
p3 FM6 flower 1,1,12901,3.7381025733943956,0.031588311892816016,0.0018177202650483378,0.09911807292352244,1.745879518527972e-05,0.007866645416767522,0.0794723952707445,0.10848830457737925,0.08661840065835683,0.09911807292352244,246.65429441849858,50.0,258.487147459441,0.21645021645021648,4.545454545454546,0.5244876580177613,0.20119050063203553
p3 FM6 flower 1,1,12908,1.6576896579611478,0.047248367507382885,0.0016110456271015178,0.07810100478258962,5.576091785785351e-05,0.00403346436190924,0.0662970555050471,0.04944557127093608,0.04245649370679414,0.07810100478258962,245.32198626636662,39.0,193.58295236794427,0.2549019607843137,4.333333333333333,0.4838326654002929,0.23626625367824378
p3 FM6 flower 1,1,12910,1.639541925294279,0.033382896362907845,0.001687721659328057,0.019656882102584355,0.00027935797209559157,0.004165940984679541,0.07313589392427022,0.0734490320813389,0.0806245935188849,0.019656882102584355,233.6441016122587,44.0,219.89767135165465,0.23157894736842108,4.4,0.5133895763781297,0.18295974685613314
p3 FM6 flower 1,1,12911,2.3721326867776407,0.0409820035400138,0.0017615480912510295,0.012373305252073186,0.005653608124063669,0.00506685854616908,0.07350725830596905,0.08596503581037489,0.06428639319925869,0.012373305252073186,219.98837887148127,46.0,232.850147987372,0.21904761904761907,4.380952380952381,0.5429162870289939,0.20350648047023637
