Label, Parent Label
13888,12792
14272,12712
14368,12840
14112,16083
14352,12938
14096,12916
14480,12690
14416,12964
14544,12949
13872,12937
14000,12918
14448,16065
13936,12845
14344,12979
14088,12732
14472,12846
13960,12858
14216,12696
13896,12926
14152,12748
14536,12769
14376,12821
13864,12858
14504,16070
13992,16055
14056,16066
14104,12932
13976,16060
14168,12808
16088,12766
14264,12761
14200,12690
14328,12893
14340,12907
14084,16061
13956,12739
14276,16066
13860,16067
14500,16068
13988,12926
14244,12700
14436,13091
14180,12810
14356,12885
14100,12736
14484,12749
13972,13097
14228,12832
14420,12952
13908,12810
14548,16059
14036,12702
13876,12938
14132,12792
14004,12959
14068,12865
14348,12962
13964,12865
14220,12759
14028,12754
14380,16067
13868,12901
13996,12948
13932,13003
14188,12689
14316,12892
13852,12824
13980,12907
13916,12811
14172,12742
14044,12699
14524,13054
14012,12786
14268,12850
14460,13089
13948,12708
14076,12925
14332,12914
14338,12749
14530,13095
14370,12706
14242,12759
14306,12882
14354,12884
14098,12925
14482,12956
13970,16061
14226,12688
14418,12982
13906,12969
14162,12811
14546,16069
14290,12872
14002,12748
14258,13003
14450,12798
14066,12910
14346,12760
14218,12688
14410,13024
13898,12798
14538,16068
14282,12871
13866,12866
14506,13018
14250,12700
13930,12983
14186,12808
14058,13008
13850,12810
14106,12948
14426,12998
13914,12968
14170,12802
14042,16077
16090,12997
13882,12956
14074,12881
14342,13097
14086,12900
14406,12996
13894,12732
14534,13032
14374,12821
13862,12850
14502,16077
13990,12924
14246,12832
14486,12752
13974,12969
14230,12702
14422,12965
14038,12693
14390,13092
14134,12756
14454,13089
13942,12843
14326,12730
14094,12910
14478,12802
14222,13006
14414,13060
13902,12811
13870,12918
14446,16065
13934,12840
14062,12867
14318,12881
14238,12836
14430,13020
13918,12833
14174,12742
14046,12702
14398,12756
13886,12730
14142,12792
14526,12772
14270,12711
14462,12791
13950,16055
14206,12819
14078,12900
14209,12833
14401,12951
14529,13054
14273,12949
14369,12706
14305,12878
14097,12908
14481,12690
14225,12760
14417,12982
14545,16070
14289,12864
13873,12938
14257,13015
14193,12978
14065,16065
14345,12980
13961,12885
14217,12818
14409,13093
13897,12736
14537,16068
14377,12695
13865,12852
14121,12739
14505,13018
13993,12932
14185,12983
14057,16066
14105,12924
14489,13007
14425,12998
13913,12814
16089,12997
14297,12870
13945,13006
13957,12769
14405,12996
14533,13020
14373,12695
13861,12841
14245,13007
14437,13091
13925,12984
14053,12851
14357,12846
14485,12754
14421,12965
14549,16055
14261,12761
14453,12972
14221,12984
13901,12798
14285,12716
14445,16065
14061,16069
14317,12893
14365,12870
14109,12961
14237,12699
14045,12843
14397,13034
14525,13093
14269,12851
14205,12689
14077,12892
14339,12916
13955,12864
13891,12978
14531,13095
14371,12696
14435,13092
13923,12824
14179,12689
14307,13024
14355,12884
14483,13097
14227,12693
14419,12952
13907,12914
14035,12831
14291,12711
14131,12980
14259,12851
13939,12836
14195,12818
14475,12712
13963,12871
14219,12689
14411,12772
14539,16069
14027,12814
14379,16067
13867,12878
13995,16083
14251,12831
14187,12808
13851,12811
14107,12746
14043,12841
14299,12872
14523,13034
14011,12786
14459,12972
14343,12979
13959,12716
14407,13008
14535,13032
14279,13015
13863,12708
13991,12937
14487,12752
14231,12845
16087,12766
13879,12959
13943,12867
14199,12819
14351,12962
14095,16059
14479,12802
14415,12964
14159,12968
14543,12961
14031,12688
13871,12901
14127,12746
14447,16065
14319,12882
14239,12845
13919,12824
14047,12852
14303,16060
14527,13060
14271,12866
14463,12791
14207,12951
14335,12908
