Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
44032,49.7606,49.7606,67.1353,-124.059,-1.00129
43776,30.59,30.59,54.0202,-68.8314,15.3953
43904,57.0234,57.0234,82.0529,-113.073,2.26208
43840,34.2673,34.2673,90.1789,-116.626,-8.14224
43968,43.1751,43.1751,42.9455,-95.2155,11.9763
43808,59.4316,59.4316,16.6137,-108.877,-25.9933
43936,63.4375,63.4375,86.5919,-122.616,-10.4929
43744,24.6432,24.6432,83.7491,-76.5748,6.18004
44000,62.5686,62.5686,54.6857,-108.284,9.74877
44048,49.4336,49.4336,69.9654,-107.839,9.43365
43792,52.593,52.593,108.138,-90.2046,-31.9164
43920,40.1879,40.1879,28.9892,-75.4628,5.99299
43856,42.0588,42.0588,59.7738,-75.2786,16.1572
43728,37.9339,37.9339,9.56925,-87.1448,-22.2699
43984,61.7765,61.7765,103.766,-100.468,-20.6858
44080,25.5383,25.5383,79.5436,-73.7506,8.72151
43824,29.1421,29.1421,108.895,-94.1532,-35.5383
43952,29.3229,29.3229,103.225,-63.2075,-28.7889
43888,37.8645,37.8645,81.77,-82.7786,7.98769
43760,47.1856,47.1856,40.5285,-124.298,-10.6226
44040,26.9504,26.9504,68.3632,-87.412,14.3089
43784,38.8379,38.8379,64.2912,-116.032,6.3453
43912,33.2536,33.2536,28.1733,-110.017,-6.1448
43720,63.0257,63.0257,46.5401,-113.552,4.60382
43976,74.2747,74.2747,44.6526,-63.4599,11.0899
44072,29.1944,29.1944,77.9592,-76.9012,10.1528
43816,64.5625,64.5625,20.4479,-110.759,-17.6333
43944,38.9714,38.9714,85.7476,-94.5924,5.14521
43880,36.8021,36.8021,12.0655,-88.8106,-16.1393
43752,41.0918,41.0918,85.9885,-101.2,4.20933
44008,30.4595,30.4595,93.2187,-66.9072,-4.64867
43800,53.0621,53.0621,77.7612,-45.8635,-13.9202
43928,30.5506,30.5506,29.6499,-63.8629,0.941751
43864,36.172,36.172,73.6245,-113.879,5.91216
44088,97.0493,97.0493,7.91488,-86.9694,-29.8263
43832,68.9421,68.9421,44.5106,-121.829,-3.61169
43960,60.4283,60.4283,41.3113,-131.003,-28.1396
43768,35.7182,35.7182,51.9844,-102.21,11.9863
44024,21.4757,21.4757,94.9925,-103.256,-5.68047
44036,38.1378,38.1378,65.2305,-60.0029,10.0402
43780,41.4426,41.4426,61.4761,-108.404,10.1394
43908,23.1433,23.1433,25.3735,-72.404,1.81098
43844,62.7984,62.7984,52.0429,-125.561,-3.8179
43716,31.8136,31.8136,103.862,-71.3025,-19.6425
43972,79.6657,79.6657,46.1283,-131.264,-22.5969
44068,42.7905,42.7905,75.8587,-132.178,-22.1646
43940,56.1944,56.1944,33.8953,-78.2314,10.0553
43748,46.9366,46.9366,29.5065,-121.139,-19.083
44004,22.1064,22.1064,93.1705,-79.0943,-1.55181
44052,48.9928,48.9928,106.608,-87.5723,-25.2363
43796,63.0338,63.0338,73.227,-62.9904,8.81038
43924,49.0162,49.0162,31.0406,-124.69,-26.5881
43860,31.3017,31.3017,65.0047,-99.0681,13.0853
43732,59.8688,59.8688,17.7249,-104.687,-16.3092
43988,30.1014,30.1014,91.1353,-81.8109,0.660473
44084,22.74,22.74,103.964,-80.269,-16.8055
43828,62.2549,62.2549,37.2552,-67.3108,9.5176
43956,40.5026,40.5026,38.315,-90.1356,11.6294
43892,42.5859,42.5859,19.1288,-81.0124,-3.02071
43764,50.0067,50.0067,45.3603,-76.6808,15.2711
44020,41.7865,41.7865,61.7774,-47.4608,-5.65179
44044,69.6661,69.6661,68.7191,-44.3751,-13.252
43916,30.5966,30.5966,83.6784,-72.1018,5.35906
43852,72.3466,72.3466,56.3003,-130.044,-11.9137
43724,33.4897,33.4897,66.2958,-80.0411,15.1894
43980,52.4284,52.4284,48.7448,-130.118,-16.2199
44076,41.9529,41.9529,77.9519,-117.153,2.03248
43820,32.3555,32.3555,24.8734,-69.0311,-0.494122
43884,45.542,45.542,81.0262,-96.0316,7.86487
44012,56.7493,56.7493,94.617,-52.4581,-22.1339
44060,50.7893,50.7893,99.5802,-55.931,-31.0907
43932,51.0081,51.0081,34.2366,-124.456,-18.7553
43868,39.8402,39.8402,77.2901,-109.214,6.69203
43740,37.9499,37.9499,23.1001,-60.6914,-15.3825
43996,28.9725,28.9725,51.659,-78.82,16.2993
43900,34.6594,34.6594,21.4548,-64.2797,-11.1759
44028,37.4476,37.4476,96.1248,-85.9001,-3.81717
44034,36.0045,36.0045,66.8142,-70.7792,14.4394
43778,34.994,34.994,58.4382,-45.747,-10.4202
43906,49.0967,49.0967,102.355,-95.0065,-14.6591
43842,40.9728,40.9728,90.1754,-97.4108,1.46713
43970,53.4742,53.4742,45.1541,-50.9772,-3.26333
43938,33.0018,33.0018,101.264,-72.8729,-12.765
43746,24.0569,24.0569,84.0001,-66.7978,3.18216
44002,59.2477,59.2477,105.909,-74.6133,-25.0919
44050,21.8499,21.8499,97.2752,-82.7154,-5.23168
43794,21.3972,21.3972,97.9274,-64.3376,-11.705
43730,41.375,41.375,13.3519,-99.7308,-21.8759
43986,62.8608,62.8608,91.0789,-105.664,-1.98112
44082,64.5346,64.5346,78.4777,-52.091,-3.69364
43826,35.3858,35.3858,86.0193,-55.3863,-5.91679
43954,27.3941,27.3941,101.946,-62.7861,-22.2513
43890,94.0073,94.0073,102.505,-108.814,-25.0845
43762,27.5864,27.5864,87.4544,-70.5337,1.9519
44042,44.3675,44.3675,68.5302,-76.2918,14.3892
43786,39.83,39.83,66.2086,-132.861,-20.2039
43914,33.0959,33.0959,27.1952,-105.437,-3.80517
43850,34.2528,34.2528,93.9623,-99.1073,-2.74826
43722,35.3311,35.3311,95.1996,-76.7105,-3.96962
43978,57.5008,57.5008,45.3643,-57.2076,6.43621
44074,55.8377,55.8377,77.9686,-133.132,-30.2995
43818,26.6581,26.6581,21.017,-74.3966,-2.26126
43882,62.9912,62.9912,12.8798,-76.0453,-15.5234
43754,30.1479,30.1479,34.9025,-84.4903,10.8183
44010,21.1489,21.1489,94.0218,-62.9568,-7.7554
44058,56.81,56.81,72.9894,-131.403,-16.8101
43802,63.4025,63.4025,78.3968,-125.309,-7.20985
43738,37.2673,37.2673,21.8408,-89.4736,-0.739219
43994,38.0647,38.0647,52.6623,-116.174,5.4959
44090,55.2368,55.2368,9.84818,-96.0406,-29.517
43834,27.2177,27.2177,87.1439,-83.5764,4.06305
43962,43.5212,43.5212,87.8844,-124.812,-16.411
43898,41.4172,41.4172,23.3553,-83.2926,1.62882
44026,30.2203,30.2203,96.1301,-90.6662,-4.00315
44038,28.2531,28.2531,67.9754,-112.193,7.9685
43782,49.4681,49.4681,60.9756,-63.1478,12.8334
43846,44.901,44.901,53.6721,-55.3303,6.46425
43718,57.1048,57.1048,40.4912,-72.8526,13.0408
43974,36.5966,36.5966,43.2508,-88.4141,13.7203
44070,51.8933,51.8933,107.606,-82.3668,-29.2513
43814,28.3456,28.3456,17.1531,-78.4092,-6.35719
43942,62.3972,62.3972,31.757,-55.7314,-9.10034
43750,28.5313,28.5313,31.9942,-87.3686,8.42951
44006,34.7167,34.7167,57.8672,-101.188,12.9717
44054,65.9148,65.9148,70.2854,-46.5408,-7.89839
43798,38.5713,38.5713,74.9164,-57.0172,3.8794
43862,40.4675,40.4675,73.3322,-129.344,-11.4029
43734,49.5698,49.5698,17.1892,-68.5537,-13.7771
43990,28.8197,28.8197,90.1734,-61.5385,-4.84912
43830,27.574,27.574,39.9945,-100.794,8.15401
43958,40.4176,40.4176,38.9164,-81.6043,13.0119
43766,41.5257,41.5257,48.2695,-84.1367,15.5781
44022,51.9691,51.9691,93.7169,-111.644,-8.94592
44046,38.8823,38.8823,97.9299,-96.5471,-7.31991
43790,36.742,36.742,68.7116,-93.6712,13.5116
43918,41.9886,41.9886,28.241,-83.1111,6.01076
43982,37.5891,37.5891,46.9448,-104.29,9.70065
44078,33.4968,33.4968,100.954,-67.6444,-14.7166
43822,26.3748,26.3748,101.349,-79.3039,-11.3263
43950,50.5717,50.5717,37.9553,-127.896,-21.8541
43886,43.4377,43.4377,14.1358,-97.0199,-16.9877
43758,69.6976,69.6976,38.275,-55.7859,-0.292179
44014,40.6192,40.6192,93.0463,-49.4297,-27.0488
43806,79.3257,79.3257,9.8285,-81.2465,-21.2147
43934,37.1256,37.1256,33.7284,-115.352,-5.11004
43870,65.3072,65.3072,107.314,-73.6402,-31.5881
43742,49.3905,49.3905,26.318,-62.5178,-5.21305
43998,46.2314,46.2314,93.3564,-120.879,-20.2411
43838,50.7488,50.7488,44.5935,-48.6057,-9.42112
43966,13.6324,13.6324,43.7264,-98.9162,10.9768
43902,53.4429,53.4429,26.1488,-117.453,-17.6617
43774,43.996,43.996,55.419,-92.1083,14.85
44033,39.4288,39.4288,64.5609,-103.706,11.7612
43777,44.8199,44.8199,57.1849,-49.2191,-2.5648
43905,35.4348,35.4348,25.7167,-100.876,-2.39273
43841,53.3745,53.3745,46.7565,-53.3755,2.21648
43969,32.0694,32.0694,88.7263,-76.4111,2.20145
44065,28.1145,28.1145,72.6568,-52.7659,0.718612
43809,49.8574,49.8574,16.8871,-97.8836,-11.8698
43937,29.3438,29.3438,34.2726,-101.05,4.48003
43873,53.2123,53.2123,80.5242,-128.054,-13.8791
43745,29.4097,29.4097,28.5562,-97.2654,2.01639
44001,35.5811,35.5811,53.0414,-73.9745,16.1852
44049,42.6757,42.6757,71.8117,-102.002,10.6187
43793,53.1667,53.1667,69.3635,-56.1516,5.52245
43921,25.6163,25.6163,82.5722,-57.7983,-0.807116
43985,44.2435,44.2435,47.9245,-69.4984,14.5706
