label, neighbor, wall area
20644,20699,5.37702
20644,20809,4.94325
20644,20810,1.87872
20644,20831,9.60492
20644,20841,6.33816
20644,20863,1.80064
20647,20693,3.64695
20647,20695,4.22474
20647,20828,3.76359
20647,20867,3.25843
20647,20868,3.86868
20647,20880,3.36024
20648,20855,0.780347
20648,20868,4.36165
20648,20895,3.99905
20648,20907,2.36734
20648,21139,5.07439
20648,21151,4.27802
20649,20701,3.14546
20649,20708,5.69773
20649,20713,2.8506
20649,20714,5.39509
20649,20859,2.41674
20649,20873,3.27843
20649,20910,8.78935
20649,20940,1.31282
20652,20654,7.98498
20652,20716,3.91151
20652,20915,4.92636
20652,20916,2.60607
20652,20925,3.15083
20654,20652,7.98498
20654,20716,2.92123
20654,20726,6.81129
20654,20925,4.58307
20654,20959,1.53181
20654,20971,4.89462
20656,20731,4.69906
20656,20988,2.4648
20656,21009,4.08661
20656,21019,8.22232
20656,21031,3.95373
20656,21041,7.28558
20658,20739,2.75711
20658,21004,3.84745
20658,21023,5.10517
20658,21024,4.9155
20658,21044,7.1337
20658,21060,2.42507
20660,20735,2.02952
20660,21018,5.15358
20660,21036,6.12463
20660,21038,6.98178
20660,21055,5.08861
20660,21063,2.06154
20662,21051,11.4718
20662,21129,4.83176
20662,21130,1.38298
20662,21131,0.254571
20664,21061,4.92031
20664,21062,2.46743
20664,21076,12.4782
20664,21077,6.24093
20664,21091,7.72761
20664,21097,2.99457
20674,20793,8.0696
20674,20802,9.4614
20674,20806,4.21529
20674,43779,5.37849
20680,20685,3.94615
20680,20692,3.60773
20680,20798,6.81645
20680,20799,6.28828
20680,20822,6.53154
20680,20833,2.81706
20681,20685,4.45897
20681,20788,3.667
20681,20799,7.19393
20681,20800,11.238
20681,20834,0.664909
20681,21149,2.00357
20681,21150,3.58337
20681,43759,2.9386
20685,20680,3.94615
20685,20681,4.45897
20685,20799,5.34223
20685,20833,6.31753
20685,20834,4.74439
20692,20680,3.60773
20692,20822,5.52596
20692,20833,5.51697
20692,20843,4.09754
20692,20851,4.33939
20692,20865,5.40396
20693,20647,3.64695
20693,20694,7.19104
20693,20828,4.25072
20693,20866,1.38573
20693,20867,4.66037
20693,21149,1.83032
20693,21150,2.45589
20694,20693,7.19104
20694,20698,3.56917
20694,20834,1.94415
20694,20866,4.90347
20694,21149,3.71714
20695,20647,4.22474
20695,20827,0.692065
20695,20828,4.54403
20695,20837,5.90962
20695,20855,1.48462
20695,20868,2.5332
20696,20815,3.06648
20696,20837,5.27729
20696,20855,3.2694
20696,20856,7.47598
20696,21151,0.663268
20698,20694,3.56917
20698,20833,3.90302
20698,20834,5.10115
20698,20851,3.37806
20698,20866,3.07263
20698,20878,3.11437
20698,20879,1.49227
20699,20644,5.37702
20699,20841,5.11431
20699,20861,2.93507
20699,20863,2.32818
20699,20888,8.13418
20699,20889,4.95976
20701,20649,3.14546
20701,20708,8.15577
20701,20859,5.84328
20701,43767,6.26423
20701,43782,2.62051
20708,20649,5.69773
20708,20701,8.15577
20708,20710,3.63786
20708,20713,3.36598
20708,20938,4.52988
20708,43782,3.2273
20710,20708,3.63786
20710,20899,6.36873
20710,20921,2.6999
20710,20938,5.57053
20710,20950,2.79307
20710,43782,3.6989
20711,20905,5.15354
20711,20930,2.29785
20711,21138,3.37724
20711,21144,3.64981
20711,21146,3.29429
20713,20649,2.8506
20713,20708,3.36598
20713,20714,4.86964
20713,20720,2.46553
20713,20938,8.73946
20713,21148,5.05562
20714,20649,5.39509
20714,20713,4.86964
20714,20720,6.96078
20714,20940,3.49512
20715,20718,6.32905
20715,20912,6.9424
20715,20913,6.33214
20715,20925,0.586849
20715,20941,0.887438
20715,20959,6.21193
20716,20652,3.91151
20716,20654,2.92123
20716,20916,4.62197
20716,20943,6.16896
20716,20962,1.22191
20716,20971,4.84207
20717,20903,5.46838
20717,20928,6.2126
20717,20943,2.57148
20717,20951,1.55694
20717,20962,3.33944
20717,20964,3.7513
20717,20965,3.95408
20718,20715,6.32905
20718,20941,3.82189
20718,20959,4.07398
20718,20970,7.93399
20718,20982,1.81675
20719,20949,5.19423
20719,20957,3.23431
20719,21142,8.83964
20719,43787,3.28783
20719,43788,2.48296
20720,20713,2.46553
20720,20714,6.96078
20720,20721,4.64764
20720,20728,3.98662
20720,20729,4.72884
20720,20940,0.811538
20720,20969,1.06625
20720,21148,2.87139
20721,20720,4.64764
20721,20940,6.49864
20721,20941,4.82723
20721,20969,6.77069
20723,20731,3.21953
20723,20951,5.57075
20723,20965,1.32177
20723,20972,3.04132
20723,20987,5.30973
20723,21143,5.45901
20726,20654,6.81129
20726,20730,8.55074
20726,20959,5.69145
20726,20971,2.87598
20726,20983,2.92532
20728,20720,3.98662
20728,20729,7.12565
20728,20736,1.37618
20728,20994,4.5073
20728,21004,4.3117
20728,21148,2.20212
20729,20720,4.72884
20729,20728,7.12565
20729,20732,3.97285
20729,20736,2.65277
20729,20969,5.69807
20730,20726,8.55074
20730,20959,0.338766
20730,20982,6.13332
20730,20983,3.48239
