Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
20736,0,36.3799,111.837,52.868,-20.0981
43776,1,32.9825,51.4494,80.2763,-33.0777
21120,1,60.8886,123.431,42.9489,-40.6106
20864,0,50.13,77.2795,81.3197,-8.08296
21056,0,46.1332,121.757,94.4363,-20.9556
20800,0,42.5143,59.3799,100.383,-30.5369
20928,0,29.4009,90.9233,101.807,-17.9854
21024,0,25.7524,113.978,49.5763,-23.4349
21152,0,18.92,80.9065,119.572,-43.599
20896,1,48.5263,85.2267,122.24,-48.2554
20752,0,54.0518,133.693,53.5599,-41.1723
21136,1,38.4056,95.502,123.229,-50.8348
20880,0,23.5461,81.6276,110.849,-30.6361
21072,0,74.3377,125.057,107.785,-34.8724
21040,0,41.4592,116.923,101.521,-22.7448
20656,0,48.7717,111.36,110.073,-29.071
20912,0,43.6381,88.6764,63.0019,-8.19018
20720,0,34.8513,99.1519,48.6595,-18.289
43760,0,64.9058,55.1493,85.8445,-26.4873
43784,0,58.4605,57.0073,57.4964,-28.8171
21128,1,56.5448,135.908,102.603,-50.562
20680,0,47.9483,64.6932,90.9355,-17.3548
20648,0,21.2906,83.4324,115.643,-36.5435
20904,0,26.2727,87.3105,104.165,-20.7135
21096,1,46.7329,138.018,58.9353,-43.5193
20840,0,39.0723,73.3848,52.3663,-15.4331
21016,0,55.5293,112.047,61.9656,-15.2883
21144,0,19.3319,93.7925,110.429,-26.9259
20888,0,63.4066,84.1744,57.4625,-10.2645
20696,1,31.9734,72.9355,117.118,-42.9182
20664,0,65.727,129.192,63.0102,-24.9823
20920,1,29.5435,91.1363,31.3854,-37.6524
21112,0,23.4528,106.773,40.4804,-29.8333
20856,1,30.2525,75.554,119.279,-45.9937
20728,0,28.659,104.73,48.1353,-20.7097
43768,1,55.3504,71.6401,44.1364,-26.8704
21124,0,47.6667,142.577,80.3521,-41.2538
20868,0,25.4188,79.2511,113.5,-34.8861
21060,0,51.37,122.858,52.5848,-26.8172
20932,0,48.3772,93.0319,120.828,-42.4373
20644,0,43.0758,72.3794,64.7301,-9.55821
20708,0,43.4749,87.1025,42.2096,-22.1957
20964,0,23.6002,99.5303,97.2257,-14.7474
21076,0,63.3694,127.853,58.1672,-26.6894
20692,0,45.6149,72.1204,91.2311,-13.6692
21044,0,24.695,120.015,46.8694,-30.5602
20788,0,31.4013,56.4665,91.7236,-27.8515
20660,0,42.0825,116.641,82.0733,-14.8381
20916,0,35.1185,88.2832,87.4952,-8.65638
21004,0,42.0961,110.398,46.6126,-24.4153
20748,0,30.4571,128.101,80.6454,-20.6321
43788,1,44.0046,97.4234,28.9653,-43.5586
21132,1,37.9013,107.964,119.024,-44.0837
20876,0,37.1917,81.7057,87.3777,-9.21469
20940,0,28.1596,93.3708,51.9829,-13.926
21036,0,36.9603,115.324,75.6336,-14.3484
20652,0,26.5237,92.5577,82.275,-7.60776
21100,1,42.0143,137.963,95.1776,-39.7891
20716,0,31.0671,94.5146,87.6753,-9.30728
20972,0,40.8873,100.334,111.342,-28.0454
21020,0,47.5788,114.683,35.2272,-43.0713
21148,0,38.4938,101.005,43.0953,-24.2859
21084,0,47.9262,129.722,90.9879,-24.4529
20828,0,35.4199,70.4013,109.253,-31.7178
20796,0,72.3411,61.0256,72.8569,-14.9862
21116,1,30.5488,108.068,32.3449,-42.6384
20732,0,34.6168,109.071,55.4625,-17.0517
20988,0,44.9764,104.226,113.323,-31.4104
20994,0,23.0685,105.12,44.6336,-24.1152
43778,1,69.5371,51.2221,92.3628,-38.3121
21122,1,58.9371,111.512,31.347,-47.9648
20866,0,26.3447,79.2886,104.312,-22.8258
20802,1,46.4482,61.3141,111.886,-44.4753
20674,1,90.5137,57.2806,107.208,-43.2361
20930,0,36.1286,93.0732,113.547,-30.789
21026,0,32.9928,113.295,69.16,-14.0205
21090,0,48.3687,134.956,58.3572,-35.7008
20834,0,24.8183,70.2341,100.394,-21.4405
20962,0,35.5113,98.1696,93.0965,-12.273
21138,0,22.6892,88.312,113.222,-31.6299
20818,0,52.9497,67.8255,51.2191,-19.9718
21042,1,33.8343,118.68,34.7049,-50.0023
20658,0,34.7176,116.712,47.1047,-27.5069
21106,1,57.9072,140.139,90.0004,-39.4839
43762,0,46.5338,55.105,77.5076,-23.2226
20746,0,29.8638,126.76,76.2576,-19.768
43786,0,77.0505,53.8249,67.968,-28.0184
21130,1,75.4547,129.153,109.356,-48.192
20810,0,54.4028,64.7661,68.7263,-12.4075
20938,0,43.0026,93.7464,40.6194,-24.8555
21034,0,34.9664,115.558,58.6599,-18.545
21098,0,63.5023,138.659,72.3537,-32.7286
20842,0,37.8995,73.9717,74.5601,-8.0359
20714,0,22.8373,95.0438,47.587,-18.0085
20970,0,40.3272,101.073,62.24,-10.5757
21018,0,36.6209,110.592,81.8241,-12.3073
21146,0,29.7652,90.5852,106.931,-23.3517
21082,0,35.0959,131.851,74.0516,-23.6369
20698,0,31.3128,75.114,100.211,-19.5246
20954,0,26.1763,95.7263,117.903,-36.6786
20730,0,45.5474,105.557,76.2723,-10.2829
43770,1,60.0547,65.6416,46.331,-32.1706
20986,0,21.3837,103.69,95.9766,-14.9101
43782,1,36.3378,81.9716,38.5998,-27.3223
21062,0,43.0226,123.997,69.7757,-19.4486
20806,0,30.5297,63.7968,109.25,-36.0638
21094,0,57.2131,135.269,85.9665,-28.0413
20710,0,35.1499,89.11,37.9814,-27.1675
20758,1,49.9123,142.648,69.5411,-47.5729
21142,1,47.5488,103.729,33.547,-38.1501
21078,0,46.7543,128.436,96.6654,-26.3971
20822,0,32.5227,67.5767,87.4443,-13.3834
20694,0,25.0415,74.6936,104.134,-23.7626
20950,0,22.2898,95.6413,37.5678,-29.0672
21046,0,37.2499,118.172,66.1665,-17.0959
20662,1,46.4809,119.899,114.233,-43.6563
20918,0,25.4001,88.1744,119.778,-41.1973
20726,0,39.6727,100.942,78.2336,-8.7878
43766,0,46.544,61.5347,55.574,-21.904
20982,0,38.0812,103.501,69.1339,-10.0079
21006,0,39.2038,108.869,92.4725,-14.7912
21134,1,76.9122,104.361,121.599,-50.289
20878,0,26.9959,80.2422,98.6721,-16.5127
21070,0,65.5204,125.431,88.1272,-20.6737
21038,0,52.2854,117.23,88.2068,-16.4797
20654,0,39.2765,96.4548,80.56,-7.96249
20910,0,32.8229,88.1949,50.6312,-14.2419
21102,1,53.9691,140.163,63.9666,-43.1512
20718,0,29.629,97.4609,64.251,-8.97791
20974,0,44.4008,102.054,119.973,-42.3572
21022,0,27.1651,113.773,38.641,-36.2795
21150,0,27.3961,67.4142,104.2,-27.0417
21086,0,72.9813,130.911,103.497,-36.8865
21054,0,26.7593,120.295,56.2606,-22.4654
20798,0,62.5483,60.1946,85.4503,-18.4747
21118,0,26.4765,126.981,48.5836,-36.5261
43774,1,76.9267,52.1568,67.0374,-35.3796
43777,1,56.2297,51.7178,86.1113,-34.1659
21121,1,53.9592,120.819,38.5177,-44.8824
20865,0,35.7493,77.8966,90.0726,-11.2789
21057,0,40.9796,121.027,98.8439,-22.9431
21153,1,33.3737,79.8943,121.279,-48.3968
20833,0,34.555,70.6054,95.9685,-17.5342
21009,0,40.6433,108.482,105.372,-23.1046
20753,0,52.461,135.018,78.9788,-26.5554
21137,1,30.5902,90.38,123.11,-49.3222
21041,0,48.8269,117.611,109.12,-30.4674
20913,0,42.0583,88.2665,70.9385,-6.68319
21105,0,59.6881,139.882,79.4725,-33.7496
20721,0,28.0501,97.5355,53.5528,-13.7462
43761,0,44.6615,53.7581,79.7551,-26.6894
43785,0,62.5524,57.5129,61.6551,-22.9031
21129,0,59.0993,127.146,109.299,-41.9771
20873,0,51.9178,81.4786,50.496,-14.6593
20809,0,69.0545,64.1133,63.3591,-14.4211
20681,0,54.5152,61.3185,98.3375,-26.48
21033,0,26.309,117.377,39.5289,-38.0209
20649,0,51.521,88.329,46.9071,-17.577
20905,0,23.4875,85.8923,109.047,-27.0987
21097,0,54.9765,136.851,63.1839,-34.2623
20841,0,42.4395,72.9089,59.2511,-11.2152
20713,0,37.9957,94.8903,43.8663,-21.5557
20969,0,46.1802,102.11,55.9326,-13.7764
21017,0,35.4829,110.477,75.5696,-12.2403
20889,0,40.2513,83.4483,66.8739,-7.36069
20953,0,23.8885,97.1794,115.051,-32.4705
20793,0,63.3363,58.4427,103.676,-35.2629
20921,1,43.4776,92.1584,34.4304,-32.5003
21113,0,16.9767,106.774,37.7878,-33.8101
20729,0,31.7766,104.484,51.4093,-17.7766
43769,0,37.0619,68.5057,47.7881,-23.6719
20985,0,28.5664,103.947,91.0413,-12.6011
20741,0,51.4655,121.644,105.171,-28.2456
21125,1,50.4522,143.315,82.7322,-45.4177
21061,0,22.8967,122.686,63.5677,-20.3331
21029,0,51.8917,114.44,94.5833,-17.8349
21093,0,53.636,134.041,97.8992,-34.7768
20837,0,34.5352,71.4729,114.311,-38.5864
20965,0,27.1724,99.0829,101.249,-17.553
21013,0,21.2462,110.068,38.4705,-34.367
20757,0,40.4646,140.386,84.5614,-35.8778
21141,0,30.1939,109.126,35.217,-38.648
21077,0,47.5059,129.21,69.4534,-22.5618
20821,0,55.1758,67.8485,81.8689,-11.2801
20693,0,31.4065,74.4987,106.857,-27.2267
20949,0,21.7915,96.1438,33.3047,-35.0848
21045,0,26.5043,120.185,60.5736,-20.1723
20917,0,38.6793,87.5143,92.2646,-11.0375
21005,0,48.0507,108.513,67.6496,-12.2069
20749,0,32.063,131.698,82.5465,-23.4469
20877,0,34.504,82.5275,94.7318,-13.0045
20813,0,45.8632,64.8417,106.044,-30.9043
20685,0,33.7096,66.0568,96.7445,-20.6781
20941,0,37.4179,94.5981,58.5808,-10.319
20717,0,38.8916,94.0435,98.2457,-15.0317
20973,0,47.8831,102.233,117.058,-36.5515
21149,0,24.4199,69.3249,102.868,-24.4342
20893,0,24.8539,83.9603,106.136,-23.8786
20701,0,35.1505,82.0727,43.1321,-21.7486
20957,0,19.9547,99.6404,36.3969,-32.2276
21053,0,36.4848,120.797,44.0508,-35.1305
20797,0,42.0642,59.7766,80.059,-16.8451
20925,0,52.4528,90.6002,75.7452,-6.65141
21117,0,30.516,124.253,48.787,-32.4567
20861,0,36.28,77.5461,54.8771,-12.2068
43773,1,55.2024,56.1922,56.2418,-33.8143
20995,0,35.4458,105.6,60.1923,-13.0368
20739,0,29.7717,117.487,52.7266,-23.0665
43779,1,49.7359,53.5016,100.089,-40.3985
21123,1,69.4073,134.519,51.6741,-49.4536
20867,0,24.8805,79.9721,108.24,-27.5478
20803,0,41.2574,62.9889,58.5661,-17.7147
20931,0,31.332,91.0223,117.312,-36.362
20899,1,26.9146,86.9809,35.5274,-30.8175
21091,0,77.7467,134.893,68.662,-28.2156
21139,0,17.111,87.1024,116.194,-35.8779
21075,0,72.093,129.565,53.5597,-32.9239
20819,0,41.3785,68.6584,56.4385,-14.8371
20915,0,32.6195,87.6197,82.1961,-7.18894
20851,0,34.4074,76.7413,95.4435,-15.0498
20723,0,30.0227,99.4677,106.541,-22.5289
43763,0,82.2602,56.1297,70.8546,-21.5133
20979,0,19.0446,103.3,38.1325,-31.6346
20747,1,44.6057,128.676,45.9635,-45.3886
43787,1,36.3968,94.6298,30.0376,-40.5393
21131,1,46.8514,109.361,116.513,-38.926
20875,0,49.4423,80.869,74.6034,-6.79774
20811,0,61.2692,66.3293,77.1004,-11.2857
20907,0,19.3825,85.1286,119.407,-41.6328
20843,0,37.4653,73.3945,85.012,-10.1119
20715,0,41.7408,93.342,67.2108,-7.64851
20971,0,40.6996,100.319,86.4228,-10.0728
21019,0,43.2664,111.274,113.557,-34.181
21147,0,21.9086,100.197,39.4356,-28.4099
20891,0,36.8495,83.6456,80.2994,-6.97599
20827,0,27.9275,67.0507,111.576,-36.8344
20699,0,46.5906,78.9718,61.9425,-9.00679
21051,0,64.5146,117.667,113.287,-37.6994
20859,0,61.5359,77.0438,47.0321,-19.2457
