plant,time point,dividing parent cell,parent neighbor,dividingCellArea,neighbourCellArea,sharedWall,distance,dividingCellPerimeter,neighbourCellPerimeter
p3 FM6 flower 1,0,13358,13355,41.7649,50.2545,5.61034,7.242765648673164,81602,94546
p3 FM6 flower 1,0,13358,13359,41.7649,65.97,7.20585,7.415462655771112,81602,82113
p3 FM6 flower 1,0,13358,13708,41.7649,39.8538,7.43602,5.785210819702253,81602,67066
p3 FM6 flower 1,0,13358,13709,41.7649,52.2723,2.27315,8.65954526253665,81602,81273
p3 FM6 flower 1,0,13358,13732,41.7649,41.4067,5.02007,6.649782727758859,81602,81318
p3 FM6 flower 1,0,13358,13739,41.7649,48.0027,1.54328,9.11860395192707,81602,81704
p3 FM6 flower 1,0,13266,13656,48.017,56.472,5.40798,7.408206161440158,82012,81316
p3 FM6 flower 1,0,13266,13661,48.017,67.2798,6.27387,7.6652303755399265,82012,81582
p3 FM6 flower 1,0,13266,13662,48.017,41.5857,2.81519,8.792954093050867,82012,67105
p3 FM6 flower 1,0,13266,13673,48.017,50.7572,4.14961,9.410465588375525,82012,80860
p3 FM6 flower 1,0,13266,13679,48.017,56.6185,1.72094,9.666491078648964,82012,108682
p3 FM6 flower 1,0,13266,13681,48.017,43.1604,9.3562,5.05826041125801,82012,81688
p3 FM6 flower 1,0,13793,13670,41.8242,33.1771,7.83665,4.965675124582762,68728,81833
p3 FM6 flower 1,0,13793,13791,41.8242,29.2166,5.03968,5.951952680793085,68728,109994
p3 FM6 flower 1,0,13660,13265,57.7194,49.2493,5.95699,7.300844860509292,81902,82154
p3 FM6 flower 1,0,13660,13649,57.7194,46.6853,4.59018,7.97912139160854,81902,68637
p3 FM6 flower 1,0,13660,13661,57.7194,67.2798,8.46041,7.269989758632744,81902,81582
p3 FM6 flower 1,0,13660,13672,57.7194,40.4727,6.17806,7.229054963217872,81902,94921
p3 FM6 flower 1,0,13660,13827,57.7194,38.3836,3.75775,8.154382737290726,81902,81883
p3 FM6 flower 1,0,13660,13828,57.7194,56.2798,4.19794,9.704621189311052,81902,109892
p3 FM6 flower 1,0,13504,13419,46.542,28.4059,6.57316,5.891839242282498,81730,67965
p3 FM6 flower 1,0,13504,13538,46.542,42.2876,4.41997,8.823188251561902,81730,82366
p3 FM6 flower 1,0,13504,13539,46.542,27.6979,1.52477,7.370530862943321,81730,95444
p3 FM6 flower 1,0,13504,13721,46.542,87.2162,2.33255,10.740220144992376,81730,122258
p3 FM6 flower 1,0,13504,13741,46.542,22.2397,7.98962,4.3558178907755085,81730,67900
p3 FM6 flower 1,0,13504,13772,46.542,78.0961,8.25077,8.950565733538859,81730,108808
p3 FM6 flower 1,0,13330,13693,37.4467,31.4282,7.23875,4.875330262289936,68537,81514
p3 FM6 flower 1,0,13330,13703,37.4467,26.86,4.39718,6.711320189917926,68537,82044
p3 FM6 flower 1,0,13330,13704,37.4467,46.4348,3.76453,7.260423984871683,68537,95154
p3 FM6 flower 1,0,13330,13718,37.4467,36.1362,4.42043,5.9771472421549,68537,67805
p3 FM6 flower 1,0,13330,13719,37.4467,70.8397,5.42925,7.712774180306324,68537,94588
p3 FM6 flower 1,0,13791,13670,29.2166,33.1771,3.33402,6.400655598647692,109994,81833
p3 FM6 flower 1,0,13791,13671,29.2166,30.229,2.41473,8.213558771526268,109994,68076
p3 FM6 flower 1,0,13791,13678,29.2166,32.1198,1.82519,8.813658521045618,109994,81926
p3 FM6 flower 1,0,13791,13792,29.2166,36.0294,7.81798,4.634233144771634,109994,68659
p3 FM6 flower 1,0,13791,13793,29.2166,41.8242,5.03968,5.951952680793085,109994,68728
p3 FM6 flower 1,0,13336,13718,30.9132,36.1362,7.40632,4.892581304383199,68272,67805
p3 FM6 flower 1,0,13336,13719,30.9132,70.8397,3.47882,8.385576961163734,68272,94588
p3 FM6 flower 1,0,13682,13657,48.9191,48.2795,3.91326,7.9671521622785635,82026,81832
p3 FM6 flower 1,0,13682,13730,48.9191,31.8256,2.40809,8.568595258739906,82026,80713
p3 FM6 flower 1,0,13682,13765,48.9191,23.9053,2.82213,7.603981368362233,82026,68532
p3 FM6 flower 1,0,13682,13772,48.9191,78.0961,7.26669,8.180846686016062,82026,108808
p3 FM6 flower 1,0,13682,13773,48.9191,26.13,5.86463,5.419990836717347,82026,54870
p3 FM6 flower 1,0,13264,13246,76.8289,32.8094,4.06054,9.471674351307959,94495,81708
p3 FM6 flower 1,0,13264,13299,76.8289,69.7768,9.10038,7.524261482460652,94495,80569
p3 FM6 flower 1,0,13264,13300,76.8289,55.5868,3.79263,10.528981870629327,94495,108424
p3 FM6 flower 1,0,13264,13651,76.8289,49.0142,6.40216,7.457656477813994,94495,80863
p3 FM6 flower 1,0,13264,13662,76.8289,41.5857,4.18901,9.865906515993403,94495,67105
p3 FM6 flower 1,0,13264,13664,76.8289,62.4681,6.88598,8.505547524664179,94495,80352
p3 FM6 flower 1,0,13264,13673,76.8289,50.7572,3.54379,9.84961286137283,94495,80860
p3 FM6 flower 1,0,13739,13358,48.0027,41.7649,1.54328,9.11860395192707,81704,81602
p3 FM6 flower 1,0,13739,13359,48.0027,65.97,4.33586,8.746958603283538,81704,82113
p3 FM6 flower 1,0,13739,13732,48.0027,41.4067,6.25935,6.2057101057090955,81704,81318
p3 FM6 flower 1,0,13739,13745,48.0027,61.2707,9.52591,5.972811769082967,81704,95905
p3 FM6 flower 1,0,13739,13750,48.0027,38.5683,5.12701,7.6234160292417465,81704,96250
p3 FM6 flower 1,0,13739,13760,48.0027,29.6585,3.5931,7.883293224845819,81704,82392
p3 FM6 flower 1,0,13718,13330,36.1362,37.4467,4.42043,5.9771472421549,67805,68537
p3 FM6 flower 1,0,13718,13336,36.1362,30.9132,7.40632,4.892581304383199,67805,68272
p3 FM6 flower 1,0,13718,13703,36.1362,26.86,2.91408,6.107369872179016,67805,82044
p3 FM6 flower 1,0,13718,13719,36.1362,70.8397,6.80597,6.062201624129636,67805,94588
p3 FM6 flower 1,0,13693,13307,31.4282,33.5831,5.20888,5.551723460908331,81514,68426
p3 FM6 flower 1,0,13693,13330,31.4282,37.4467,7.23875,4.875330262289936,81514,68537
p3 FM6 flower 1,0,13693,13678,31.4282,32.1198,4.79969,5.504689722055187,81514,81926
