plant,time point,dividing parent cell,parent neighbor,mapped daughter,label
p3 FM6 flower 1,0,13358,13355,12732,0
p3 FM6 flower 1,0,13358,13359,12914,2
p3 FM6 flower 1,0,13358,13708,12884,2
p3 FM6 flower 1,0,13358,13709,12886,1
p3 FM6 flower 1,0,13358,13732,12939,0
p3 FM6 flower 1,0,13358,13739,12952,0
p3 FM6 flower 1,0,13266,13656,12810,2
p3 FM6 flower 1,0,13266,13661,12689,0
p3 FM6 flower 1,0,13266,13662,12690,1
p3 FM6 flower 1,0,13266,13673,12836,1
p3 FM6 flower 1,0,13266,13679,12708,0
p3 FM6 flower 1,0,13266,13681,12851,2
p3 FM6 flower 1,0,13793,13670,12696,2
p3 FM6 flower 1,0,13793,13791,12840,0
p3 FM6 flower 1,0,13660,13265,12692,2
p3 FM6 flower 1,0,13660,13649,12802,1
p3 FM6 flower 1,0,13660,13661,12689,2
p3 FM6 flower 1,0,13660,13672,12700,0
p3 FM6 flower 1,0,13660,13827,12806,1
p3 FM6 flower 1,0,13660,13828,12682,1
p3 FM6 flower 1,0,13504,13419,12746,0
p3 FM6 flower 1,0,13504,13538,12754,1
p3 FM6 flower 1,0,13504,13539,12984,0
p3 FM6 flower 1,0,13504,13721,13098,0
p3 FM6 flower 1,0,13504,13741,12956,2
p3 FM6 flower 1,0,13504,13772,12769,2
p3 FM6 flower 1,0,13330,13693,12856,2
p3 FM6 flower 1,0,13330,13703,12871,1
p3 FM6 flower 1,0,13330,13704,12716,0
p3 FM6 flower 1,0,13330,13718,12888,1
p3 FM6 flower 1,0,13330,13719,12900,2
p3 FM6 flower 1,0,13791,13670,12696,0
p3 FM6 flower 1,0,13791,13671,12829,0
p3 FM6 flower 1,0,13791,13678,12841,0
p3 FM6 flower 1,0,13791,13792,12709,2
p3 FM6 flower 1,0,13791,13793,12704,2
p3 FM6 flower 1,0,13336,13718,12888,2
p3 FM6 flower 1,0,13336,13719,12900,0
p3 FM6 flower 1,0,13682,13657,12772,1
p3 FM6 flower 1,0,13682,13730,13060,1
p3 FM6 flower 1,0,13682,13765,12761,0
p3 FM6 flower 1,0,13682,13772,12769,0
p3 FM6 flower 1,0,13682,13773,13024,2
p3 FM6 flower 1,0,13264,13246,12811,0
p3 FM6 flower 1,0,13264,13299,12852,2
p3 FM6 flower 1,0,13264,13300,12846,1
p3 FM6 flower 1,0,13264,13651,12812,2
p3 FM6 flower 1,0,13264,13662,12690,0
p3 FM6 flower 1,0,13264,13664,12815,1
p3 FM6 flower 1,0,13264,13673,12836,0
p3 FM6 flower 1,0,13739,13358,12736,0
p3 FM6 flower 1,0,13739,13359,12914,0
p3 FM6 flower 1,0,13739,13732,12939,2
p3 FM6 flower 1,0,13739,13745,12982,2
p3 FM6 flower 1,0,13739,13750,12981,1
p3 FM6 flower 1,0,13739,13760,12756,1
p3 FM6 flower 1,0,13718,13330,12720,2
p3 FM6 flower 1,0,13718,13336,12904,2
p3 FM6 flower 1,0,13718,13703,12871,1
p3 FM6 flower 1,0,13718,13719,12900,0
p3 FM6 flower 1,0,13693,13307,12850,2
p3 FM6 flower 1,0,13693,13330,12720,2
p3 FM6 flower 1,0,13693,13678,12841,1
p3 FM6 flower 1,0,13693,13703,12871,1
p3 FM6 flower 1,0,13693,13704,12716,0
p3 FM6 flower 1,0,13693,13792,12709,1
p3 FM6 flower 1,0,13390,13719,12900,2
p3 FM6 flower 1,0,13390,13721,13098,0
p3 FM6 flower 1,0,13390,13741,12956,0
p3 FM6 flower 1,0,13390,13747,12748,2
p3 FM6 flower 1,0,13759,13212,13018,1
p3 FM6 flower 1,0,13759,13540,12760,2
p3 FM6 flower 1,0,13759,13749,12980,0
p3 FM6 flower 1,0,13759,13750,12981,0
p3 FM6 flower 1,0,13759,13767,12766,2
p3 FM6 flower 1,0,13673,13264,12824,1
p3 FM6 flower 1,0,13673,13266,12832,0
p3 FM6 flower 1,0,13673,13299,12852,1
p3 FM6 flower 1,0,13673,13662,12690,2
p3 FM6 flower 1,0,13673,13681,12851,0
p3 FM6 flower 1,0,13673,13688,12858,2
p3 FM6 flower 1,0,13829,13634,12790,2
p3 FM6 flower 1,0,13829,13647,12801,2
p3 FM6 flower 1,0,13829,13788,12678,1
p3 FM6 flower 1,0,13829,13827,12806,0
p3 FM6 flower 1,0,13829,13828,12682,0
p3 FM6 flower 1,0,13679,13266,12832,1
p3 FM6 flower 1,0,13679,13307,12850,2
p3 FM6 flower 1,0,13679,13661,12689,1
