plant,time point,cell,area
ktnP1,1,3589,33.4988
ktnP1,1,3591,34.9285
ktnP1,1,3592,25.9022
ktnP1,1,3593,26.7197
ktnP1,1,3594,16.0654
ktnP1,1,3597,32.3752
ktnP1,1,3611,36.8183
ktnP1,1,3616,29.4444
ktnP1,1,3617,25.9526
ktnP1,1,3618,24.0141
ktnP1,1,3624,33.2331
ktnP1,1,3626,23.9038
ktnP1,1,3631,23.1471
ktnP1,1,3634,21.2557
ktnP1,1,3636,35.2007
ktnP1,1,3648,23.2023
ktnP1,1,3657,30.9738
ktnP1,1,3662,22.5812
ktnP1,1,3663,20.8748
ktnP1,1,3664,15.0773
ktnP1,1,3666,35.3106
ktnP1,1,3680,32.2665
ktnP1,1,3681,20.1983
ktnP1,1,3686,21.5819
ktnP1,1,3715,26.627
ktnP1,1,3719,14.7539
ktnP1,1,3723,23.4372
ktnP1,1,3727,28.8351
ktnP1,1,3734,23.4472
ktnP1,1,3737,30.4608
ktnP1,1,3739,28.5207
ktnP1,1,3740,27.7684
ktnP1,1,3745,18.4797
ktnP1,1,3747,23.1642
ktnP1,1,3748,35.6363
ktnP1,1,3754,11.2658
ktnP1,1,3759,24.0628
ktnP1,1,3760,28.8067
ktnP1,1,3768,11.8974
ktnP1,1,3769,16.7875
ktnP1,1,3776,27.8174
ktnP1,1,3784,30.7544
ktnP1,1,3791,39.8445
ktnP1,1,3793,20.9215
ktnP1,1,3795,24.955
ktnP1,1,3797,36.1095
ktnP1,1,3799,18.6832
ktnP1,1,3802,15.8159
ktnP1,1,3813,21.7867
ktnP1,1,3820,22.5271
ktnP1,1,3832,17.0225
ktnP1,1,3833,26.0157
ktnP1,1,3834,23.2743
ktnP1,1,3838,31.1003
ktnP1,1,3839,47.9564
ktnP1,1,3842,21.0382
ktnP1,1,3843,17.9634
ktnP1,1,3844,19.0381
ktnP1,1,3846,37.0763
ktnP1,1,3848,15.9325
ktnP1,1,3849,21.338
ktnP1,1,3850,23.2028
ktnP1,1,3858,20.1783
ktnP1,1,3867,24.555
ktnP1,1,3868,27.2014
ktnP1,1,3869,37.9317
ktnP1,1,3870,24.0644
ktnP1,1,3871,28.2874
ktnP1,1,3875,19.8874
ktnP1,1,3880,24.3527
ktnP1,1,3886,19.7453
ktnP1,1,3887,20.723000000000003
ktnP1,1,3889,30.8012
ktnP1,1,3893,22.6293
ktnP1,1,3894,20.2652
ktnP1,1,3895,30.9575
ktnP1,1,3898,26.991999999999997
ktnP1,1,3899,23.9588
ktnP1,1,3901,33.1546
ktnP1,1,3902,26.8284
ktnP1,1,3903,34.8194
ktnP1,1,3904,20.1059
ktnP1,1,3911,15.2886
ktnP1,1,3917,20.9497
ktnP1,1,3918,25.7309
ktnP1,1,3924,15.6015
ktnP1,1,3925,24.7213
ktnP1,1,3929,27.9802
ktnP1,1,3943,28.8937
ktnP1,1,3945,36.7387
ktnP1,1,3948,13.7488
ktnP1,1,3949,16.0169
ktnP1,1,3955,16.1059
ktnP1,1,3959,21.4318
ktnP1,1,3982,14.2685
ktnP1,1,3983,12.925999999999998
ktnP1,1,4018,19.8386
ktnP1,1,4031,50.8311
ktnP1,1,4032,27.2854
ktnP1,1,4043,25.2736
ktnP1,1,4044,11.9567
ktnP1,1,4045,37.1124
ktnP1,1,4074,12.1217
ktnP1,1,4075,14.4197
ktnP1,1,4093,13.508
ktnP1,1,4117,30.2926
ktnP1,1,4118,12.2441
ktnP1,1,4119,21.2264
ktnP1,1,4120,10.421
ktnP1,1,4135,29.1628
ktnP1,1,4136,13.4965
ktnP1,1,4143,29.721999999999998
ktnP1,1,4144,12.8108
ktnP1,1,4147,23.5971
ktnP1,1,4148,26.6249
ktnP1,1,4151,30.0712
ktnP2,0,2,19.6681
ktnP2,0,10,34.4551
ktnP2,0,23,20.7905
ktnP2,0,80,17.6493
ktnP2,0,89,19.6369
ktnP2,0,98,32.3468
ktnP2,0,101,19.2183
ktnP2,0,102,19.7495
ktnP2,0,104,19.7295
ktnP2,0,105,14.4741
ktnP2,0,109,34.8781
ktnP2,0,114,34.8398
ktnP2,0,117,20.2621
ktnP2,0,118,15.2287
ktnP2,0,135,16.7548
ktnP2,0,140,25.7349
ktnP2,0,146,22.4078
ktnP2,0,147,31.8152
ktnP2,0,149,13.3769
ktnP2,0,150,23.0326
ktnP2,0,152,10.1351
ktnP2,0,153,24.7792
ktnP2,0,167,24.4492
ktnP2,0,170,19.3436
ktnP2,0,171,20.4518
ktnP2,0,177,12.8981
ktnP2,0,180,31.2947
ktnP2,0,192,20.1619
ktnP2,0,193,17.6923
ktnP2,0,194,21.046999999999997
ktnP2,0,197,12.315999999999999
ktnP2,0,198,20.9891
ktnP2,0,199,18.4184
ktnP2,0,200,23.4116
ktnP2,0,202,18.0566
ktnP2,0,205,13.343
ktnP2,0,206,20.6107
ktnP2,0,207,19.6348
ktnP2,0,209,30.2505
ktnP2,0,233,21.1929
ktnP2,0,234,18.4099
ktnP2,0,239,27.6395
ktnP2,0,241,28.1735
ktnP2,0,242,27.101999999999997
ktnP2,0,247,24.0474
ktnP2,0,252,31.8357
ktnP2,0,253,17.4206
ktnP2,0,257,8.95776
ktnP2,0,261,21.9146
ktnP2,0,265,27.8686
ktnP2,0,266,15.7978
ktnP2,0,269,21.8851
ktnP2,0,271,22.0815
ktnP2,0,273,20.1581
ktnP2,0,275,27.3354
ktnP2,0,278,26.3678
ktnP2,0,280,28.8687
ktnP2,0,285,22.9025
ktnP2,0,288,13.7597
ktnP2,0,290,26.218000000000004
ktnP2,0,291,22.21
ktnP2,0,297,28.0195
ktnP2,0,300,21.108
ktnP2,0,301,25.9583
ktnP2,0,311,29.5737
ktnP2,0,317,17.7126
ktnP2,0,319,18.0457
ktnP2,0,324,39.584
ktnP2,0,325,15.1795
ktnP2,0,326,17.4659
ktnP2,0,330,16.4008
ktnP2,0,331,35.9187
ktnP2,0,336,22.9393
