plant,time point,cell,degree,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood
ktnP1,1,3589,7.0,7.0,0.3333333333333333,0.0028115842149333613,0.10776516969165267,0.09016098616702528,0.002530753295269593,0.054770814586536876,0.06833022853144265,0.0998791638705228,0.10856020999313384,75.7778957153958,49.0,254.15004741658942,0.2121212121212121,4.454545454545454,2.4025974025974026,0.6770770377574781
ktnP1,1,3591,7.0,7.0,0.3333333333333333,0.002785526326491046,0.03913707713162597,0.07934529594210743,0.0025942478821019176,0.052410745517984886,0.058979848457271965,0.04438888973121569,0.0423235812295109,73.48952713952735,43.0,208.94507370952013,0.2263157894736842,4.3,2.331578947368421,0.6936210723577698
ktnP1,1,3592,7.0,7.0,0.3333333333333333,0.002757667826271894,0.041880651627287116,0.07450741502036104,0.002564455846465413,0.05282954259512718,0.05502765262549692,0.0414406841786783,0.044520518565447434,73.03911088911114,43.0,222.79652383146714,0.25146198830409355,4.526315789473684,2.2514619883040936,0.872242679775865
ktnP1,1,3593,7.0,7.0,0.3333333333333333,0.0028072430831700044,0.08269659245696648,0.07963168356797307,0.0025303250432755792,0.054848049213969755,0.06974975400962728,0.08047911727409139,0.07861023721119378,73.99682678432696,51.0,258.87879862677755,0.2015810276679842,4.434782608695652,2.4822134387351777,0.6370328898373147
ktnP1,1,3594,5.0,5.0,0.5,0.0025789593298208464,0.010103295287942092,0.0650499874965557,0.001891853613311073,0.04523392989598327,0.03777946403663737,0.02383733388467348,0.01049332846037894,72.0823343323346,40.0,204.1301212409854,0.26143790849673204,4.444444444444445,2.2091503267973858,0.8189727500367824
ktnP1,1,3597,6.0,6.0,0.4,0.002757935121055889,0.026057103173737585,0.07713827245804653,0.00222796902903129,0.04949262730979186,0.053965234590709586,0.04346429126594638,0.025748042262792252,73.31913641913665,43.0,211.30893048788076,0.2263157894736842,4.3,2.363157894736842,0.6305957223803925
ktnP1,1,3611,6.0,6.0,0.4,0.0026302867447600326,0.04791438179561806,0.05157185671942448,0.002220735900752015,0.04997227215104882,0.0491839908644716,0.050003759245849724,0.04560352833330591,70.75958436987881,47.0,244.9964986649849,0.22380952380952382,4.476190476190476,2.3666666666666667,0.7271998296755363
ktnP1,1,3616,7.0,7.0,0.3333333333333333,0.0028183317705496734,0.036352361625899096,0.08348651297438515,0.002547718567845826,0.053857524488594724,0.06192844058472018,0.05709846010617502,0.03469511620385601,74.10361582861599,47.0,243.32795128279145,0.22380952380952382,4.476190476190476,2.3523809523809525,0.7585030054076378
ktnP1,1,3617,6.0,6.0,0.4,0.0027397542823474276,0.034020485375930956,0.07611677241651682,0.002211892866485467,0.04968264635262002,0.05221879768167874,0.0503438225345437,0.03206744572004746,74.23517038517046,45.0,230.54664423672784,0.23684210526315788,4.5,2.3210526315789473,0.8010085558032868
ktnP1,1,3618,6.0,6.0,0.4,0.002669051171616188,0.018033352973783376,0.05703047929884928,0.0022216776763991715,0.04932152861264503,0.05027636308631267,0.03398276227653167,0.019804449623562592,70.89557109557134,42.0,209.17227338057185,0.2456140350877193,4.421052631578948,2.304093567251462,0.794981481988564
