plant,time point,cell,label
ktnP1,1,3589,0
ktnP1,1,3591,1
ktnP1,1,3592,0
ktnP1,1,3593,0
ktnP1,1,3594,0
ktnP1,1,3597,0
ktnP1,1,3611,1
ktnP1,1,3616,1
ktnP1,1,3617,0
ktnP1,1,3618,0
ktnP1,1,3624,0
ktnP1,1,3626,0
ktnP1,1,3631,0
ktnP1,1,3634,0
ktnP1,1,3636,0
ktnP1,1,3648,0
ktnP1,1,3657,1
ktnP1,1,3662,0
ktnP1,1,3663,0
ktnP1,1,3664,0
ktnP1,1,3666,0
ktnP1,1,3680,0
ktnP1,1,3681,0
ktnP1,1,3686,0
ktnP1,1,3715,1
ktnP1,1,3719,0
ktnP1,1,3723,0
ktnP1,1,3727,0
ktnP1,1,3734,0
ktnP1,1,3737,0
ktnP1,1,3739,1
ktnP1,1,3740,0
ktnP1,1,3745,0
ktnP1,1,3747,0
ktnP1,1,3748,0
ktnP1,1,3754,0
ktnP1,1,3759,1
ktnP1,1,3760,0
ktnP1,1,3768,0
ktnP1,1,3769,0
ktnP1,1,3776,1
ktnP1,1,3784,0
ktnP1,1,3791,1
ktnP1,1,3793,0
ktnP1,1,3795,0
ktnP1,1,3797,1
ktnP1,1,3799,0
ktnP1,1,3802,0
ktnP1,1,3813,0
ktnP1,1,3820,0
ktnP1,1,3832,0
ktnP1,1,3833,0
ktnP1,1,3834,0
ktnP1,1,3838,1
ktnP1,1,3839,0
ktnP1,1,3842,1
ktnP1,1,3843,0
ktnP1,1,3844,0
ktnP1,1,3846,1
ktnP1,1,3848,0
ktnP1,1,3849,0
ktnP1,1,3850,0
ktnP1,1,3858,0
ktnP1,1,3867,1
ktnP1,1,3868,0
ktnP1,1,3869,1
ktnP1,1,3870,0
ktnP1,1,3871,0
ktnP1,1,3875,0
ktnP1,1,3880,0
ktnP1,1,3886,0
ktnP1,1,3887,0
ktnP1,1,3889,0
ktnP1,1,3893,0
ktnP1,1,3894,0
ktnP1,1,3895,0
ktnP1,1,3898,0
ktnP1,1,3899,0
ktnP1,1,3901,0
ktnP1,1,3902,0
ktnP1,1,3903,1
ktnP1,1,3904,0
ktnP1,1,3911,0
ktnP1,1,3917,0
ktnP1,1,3918,0
ktnP1,1,3924,0
ktnP1,1,3925,0
ktnP1,1,3929,0
ktnP1,1,3943,0
ktnP1,1,3945,0
ktnP1,1,3948,0
ktnP1,1,3949,0
ktnP1,1,3955,0
ktnP1,1,3959,0
ktnP1,1,3982,0
ktnP1,1,3983,0
ktnP1,1,4018,0
ktnP1,1,4031,1
ktnP1,1,4032,0
ktnP1,1,4043,0
ktnP1,1,4044,0
ktnP1,1,4045,1
ktnP1,1,4074,0
ktnP1,1,4075,0
ktnP1,1,4093,0
ktnP1,1,4117,0
ktnP1,1,4118,0
ktnP1,1,4119,0
ktnP1,1,4120,0
ktnP1,1,4135,1
ktnP1,1,4136,0
ktnP1,1,4143,1
ktnP1,1,4144,0
ktnP1,1,4147,0
ktnP1,1,4148,0
ktnP1,1,4151,1
ktnP2,0,2,0
ktnP2,0,10,1
ktnP2,0,23,0
ktnP2,0,80,0
ktnP2,0,89,0
ktnP2,0,98,0
