Label, Parent Label
512,292
256,213
128,219
384,188
576,548
320,446
448,496
32,435
288,234
416,210
96,222
224,531
480,623
16,495
144,32
80,196
592,692
336,187
208,469
464,152
48,252
176,72
432,109
112,296
368,135
496,101
264,380
136,369
584,424
200,474
456,336
40,319
424,242
616,229
24,74
536,435
280,466
408,546
88,275
600,353
344,245
216,272
56,283
568,189
312,262
184,78
440,352
120,496
248,63
504,254
516,95
580,130
324,662
196,569
452,312
36,18
292,376
420,333
100,205
612,100
228,409
484,311
20,245
276,233
148,35
84,46
596,693
212,198
468,190
52,291
564,484
308,464
180,377
436,414
116,408
500,548
12,328
268,58
140,346
396,355
76,695
332,156
204,98
460,74
556,113
300,221
156,289
412,236
92,221
604,565
348,269
572,255
316,511
188,557
444,193
380,154
258,431
130,603
386,704
66,688
578,209
322,323
194,569
450,3
34,656
290,419
418,443
98,656
610,148
226,50
530,299
402,455
594,370
210,225
50,253
306,462
178,325
434,658
114,498
370,391
242,384
10,171
522,571
266,571
138,494
394,481
586,374
202,180
458,539
42,381
170,170
426,10
106,276
362,133
234,315
490,305
538,73
410,503
90,144
218,657
58,520
314,467
186,425
442,145
122,41
378,7
250,82
506,478
134,475
390,479
326,361
454,202
294,47
166,428
422,2
358,383
230,417
22,300
86,622
598,316
342,201
214,288
54,619
566,556
310,465
182,423
438,516
118,67
502,375
14,141
526,102
270,678
142,397
398,231
78,602
590,128
334,625
462,153
46,239
558,604
302,459
174,261
110,117
366,285
494,703
286,150
414,399
606,494
350,379
222,414
478,309
62,493
574,677
318,137
190,382
446,194
126,337
510,303
513,292
257,138
129,217
385,155
65,10
577,689
449,330
33,530
289,179
417,227
353,29
225,50
17,140
593,454
209,52
465,14
49,547
305,16
177,265
433,545
113,659
241,34
497,58
521,571
265,339
137,80
393,480
73,439
329,352
201,516
457,182
297,188
169,107
425,447
105,209
617,247
361,570
233,315
537,428
281,434
153,33
409,207
89,158
601,343
345,249
217,301
57,213
313,262
121,540
249,694
505,254
517,95
261,339
325,340
197,633
453,273
293,249
165,278
421,46
101,226
357,120
485,350
21,104
533,555
277,23
405,206
85,356
597,211
213,216
469,313
565,483
309,307
181,568
437,324
117,6
373,396
245,244
501,426
13,491
525,89
269,679
397,451
77,156
589,128
333,168
461,371
45,183
557,64
301,20
429,6
109,402
365,105
413,550
605,566
349,266
221,660
477,447
61,676
573,677
317,218
189,538
445,257
125,167
509,173
3,331
515,476
259,154
131,373
387,431
67,52
579,281
195,174
451,200
35,314
547,484
291,371
163,148
99,455
611,572
483,149
19,499
147,37
403,458
83,270
595,690
339,344
211,470
467,520
51,271
307,462
179,326
435,324
371,471
499,383
11,347
523,317
267,112
139,369
395,483
75,632
587,374
331,321
203,290
43,173
299,47
171,367
427,487
107,223
363,571
235,365
491,603
27,15
411,241
347,353
219,401
59,222
571,366
315,509
187,251
443,147
379,48
507,524
263,248
71,443
327,146
199,177
455,327
39,192
295,420
167,255
423,228
103,297
615,707
359,570
231,225
23,126
535,428
151,633
407,499
87,549
343,354
215,311
567,556
311,550
183,331
439,67
119,199
247,620
15,661
271,567
143,411
399,231
79,373
591,691
335,475
463,153
47,241
175,83
431,529
111,114
367,280
495,101
159,422
415,474
607,220
223,48
479,449
63,118
575,409
319,523
191,390
447,197
127,337
383,73
255,110
511,303
