Label,Value,Area (ÂµmÂ²),Center_X,Center_Y,Center_Z
128,0,50.4276,7.93642,69.6644,-3.13167
384,0,26.3243,41.5477,41.283,-6.688339999999999
64,0,14.0011,-30.0388,50.0765,-2.61972
192,0,20.1619,-21.8198,15.6737,-4.79741
704,0,20.9312,-44.7031,37.9855,-7.3063
448,0,7.41569,-9.607330000000001,-6.3276,-11.6302
32,0,16.8033,3.4643699999999997,77.1989,-4.34508
288,0,13.7597,13.6227,45.4758,-0.00816786
160,0,30.0068,-25.8408,66.6234,-4.23447
672,1,3.7335599999999998,-33.1909,0.42379799999999995,-11.4093
96,0,7.28556,41.2632,82.2743,-12.9746
608,1,14.0945,-15.0984,91.8516,-14.0114
352,0,34.3264,25.9647,33.1559,-1.50704
480,0,15.9707,-6.81762,-13.523,-12.8689
16,0,20.4014,3.51836,65.6066,-1.9939099999999998
272,0,20.1892,12.2554,60.2124,-1.8232400000000002
144,0,22.8605,-21.6259,55.5735,-1.8124
656,0,31.8844,3.5208800000000005,-17.8217,-11.9884
80,0,17.6493,-2.0748599999999997,32.8724,-1.47627
336,0,22.9393,-19.4429,51.7978,-1.50338
208,0,24.5555,-19.8705,66.7297,-2.82743
464,0,27.7985,-9.158760000000001,50.9389,-0.945738
48,0,21.9927,21.403000000000002,75.6982,-5.8360199999999995
688,0,21.6802,3.20324,56.5452,-1.4044299999999998
432,0,35.3276,-12.139000000000001,85.4722,-9.31121
112,0,24.8957,-31.5784,28.0551,-4.5146
240,1,17.2469,13.46,-21.6469,-13.2236
496,0,30.8687,37.5098,35.5718,-5.50455
520,0,29.4872,-33.8937,12.3305,-7.78268
264,0,17.6139,-38.6349,53.1425,-5.93622
136,0,15.5585,-28.2011,69.0702,-5.94959
648,0,26.6668,-55.8746,19.241,-14.8189
72,0,18.8323,9.56328,-15.3496,-11.1093
584,1,37.9976,-8.98541,-27.2934,-21.2433
328,0,19.8421,31.8195,42.0527,-2.58089
200,0,23.4116,-21.9146,39.8415,-2.07943
456,1,25.3435,-62.1637,21.7878,-19.6746
40,0,20.9029,-36.4229,75.3663,-5.302309999999999
552,1,12.886,-51.26,15.2167,-13.4566
296,0,18.5741,12.0491,64.3944,-2.4828200000000002
