Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
640,2.7755,2.7755,-42.3001,-29.6053,-7.90955
320,39.8565,39.8565,-9.92478,-8.19105,-13.5023
448,30.1619,30.1619,-41.0982,28.0959,-18.2199
544,21.8862,21.8862,-3.64243,-25.1839,-17.131
352,25.0281,25.0281,11.5966,8.32101,-26.3038
528,26.4684,26.4684,-37.7507,20.1287,-15.1404
656,6.48118,6.48118,-24.452,-43.4238,-3.67297
400,30.9007,30.9007,-34.6655,26.1287,-17.7408
336,22.2857,22.2857,-61.571,20.6276,-17.7531
464,31.2915,31.2915,-29.4696,43.0338,-31.3217
304,22.8291,22.8291,-7.72813,19.6637,-22.0351
496,21.6663,21.6663,-34.4949,5.97569,-11.785
520,32.0138,32.0138,-14.2821,-5.02096,-12.4961
648,7.96177,7.96177,-30.0048,-40.86,-4.44934
392,12.6856,12.6856,-39.4129,5.36513,-11.4797
328,34.5044,34.5044,-11.2808,5.34127,-15.4664
456,23.2988,23.2988,-19.5657,-2.92909,-11.4676
552,20.5536,20.5536,-34.8434,-12.9178,-7.57456
424,23.7493,23.7493,-29.9023,28.8244,-19.8896
360,37.6117,37.6117,-10.5317,38.9882,-36.9807
488,34.3961,34.3961,-40.058,-0.0532847,-10.1719
536,19.4451,19.4451,-26.1988,47.6841,-39.4736
664,31.6679,31.6679,-21.6343,45.8838,-38.6613
408,35.7717,35.7717,-33.6498,16.7355,-14.7079
344,31.797,31.797,-56.1948,-9.75934,-8.62611
472,16.8968,16.8968,-14.0801,40.0143,-34.9454
568,20.0221,20.0221,-1.24317,2.93557,-18.5578
440,32.1188,32.1188,-24.1465,43.9151,-34.561
376,25.4364,25.4364,-46.7223,43.5142,-25.0109
504,16.1543,16.1543,-3.58503,0.135993,-17.0698
548,16.3144,16.3144,-25.4794,-29.4501,-7.35827
420,35.4309,35.4309,10.4232,-1.64912,-23.136
356,34.4373,34.4373,14.1198,18.1816,-35.585
484,35.4373,35.4373,-9.01187,-27.2554,-14.1934
660,8.71272,8.71272,-64.679,-15.1582,-11.5097
596,14.7209,14.7209,-49.8438,-24.2947,-8.18095
468,19.3059,19.3059,-0.214206,-7.74328,-17.2483
564,17.0947,17.0947,7.50227,-8.36519,-21.1698
308,21.0584,21.0584,15.309,15.0334,-33.6946
436,37.6319,37.6319,-16.0136,-24.2577,-10.9211
628,31.0546,31.0546,0.416015,20.631,-26.9958
372,19.7076,19.7076,-45.8008,35.1314,-20.8268
500,20.2711,20.2711,-37.4575,30.5257,-19.7665
524,22.9656,22.9656,5.3557,-3.55679,-20.4029
396,28.6958,28.6958,-4.35741,-21.1707,-15.9756
332,34.8883,34.8883,10.5162,-7.55268,-23.1784
460,29.5972,29.5972,-15.1388,19.6791,-19.2355
556,21.5866,21.5866,-50.6969,27.2922,-17.7237
684,27.6491,27.6491,-54.009,9.27236,-12.8993
364,23.6541,23.6541,3.93311,22.6956,-31.3517
492,37.2463,37.2463,-27.8106,-17.9966,-7.80181
412,18.3812,18.3812,-32.2945,-26.1705,-6.74256
348,32.3347,32.3347,-27.7608,-27.2439,-7.17368
316,28.0632,28.0632,-50.5644,44.319,-24.7138
444,36.945,36.945,-20.4193,23.1681,-19.164
636,6.88471,6.88471,23.9461,2.80088,-36.6126
380,36.2289,36.2289,-19.161,12.5791,-15.6364
508,45.0243,45.0243,-53.1356,0.917203,-10.5643
642,16.5588,16.5588,-33.4274,-35.9945,-6.03247
386,24.8476,24.8476,-40.419,36.8906,-22.9575
450,22.2706,22.2706,-34.2618,-16.4141,-7.10819
546,7.80125,7.80125,-6.49693,-36.5758,-15.5276
674,31.3711,31.3711,23.8389,11.0269,-41.0306
418,21.6504,21.6504,-12.0834,29.9266,-26.3956
610,42.9292,42.9292,5.8222,14.1286,-25.8045
354,29.535,29.535,-53.692,-5.26649,-9.0659
482,11.5694,11.5694,-39.0269,-31.7459,-7.47877
530,25.8577,25.8577,-9.67585,-34.1657,-13.3722
658,1.82043,1.82043,-20.892,-44.2344,-4.09429
402,21.6946,21.6946,-44.9583,11.8118,-12.7347
594,40.7956,40.7956,-50.1295,-20.0607,-7.69878
338,18.8091,18.8091,-49.5871,32.2542,-19.2847
466,36.2883,36.2883,-16.1059,33.9171,-27.4926
562,14.5677,14.5677,-56.6688,22.8705,-17.1663
306,24.0887,24.0887,-20.4732,19.0489,-17.4367
434,37.5891,37.5891,-40.2778,-20.9726,-6.85413
370,32.2107,32.2107,-50.9161,22.7501,-16.1702
498,59.945,59.945,-6.62054,11.0935,-18.696
522,29.6497,29.6497,3.44055,5.0747,-21.1335
394,19.6305,19.6305,-38.7917,45.0847,-29.5072
586,51.8635,51.8635,1.21627,-20.3632,-19.2684
330,39.876,39.876,-33.734,37.7305,-25.0392
458,43.4054,43.4054,-18.196,40.5878,-33.1297
554,7.54807,7.54807,-42.8118,5.24113,-11.3808
426,32.4272,32.4272,-32.0024,1.82832,-10.8194
362,20.0069,20.0069,-52.425,-13.2234,-7.71238
490,21.4477,21.4477,0.543164,30.4704,-36.1965
538,22.2407,22.2407,-3.38002,-29.0582,-18.2646
602,29.455,29.455,-59.5308,9.53993,-14.4306
346,27.0844,27.0844,10.9873,3.97346,-24.4594
474,32.4583,32.4583,-52.0326,37.2588,-20.841
570,31.1727,31.1727,-37.158,-28.8344,-7.11939
314,25.3467,25.3467,13.3131,20.7916,-37.5505
442,31.8613,31.8613,-4.88463,32.3662,-33.5758
634,12.7601,12.7601,7.6752,25.46,-36.7461
378,27.29,27.29,-46.6906,3.78947,-11.0079
506,26.3067,26.3067,-34.4083,11.4107,-13.2553
518,32.571,32.571,-31.9983,31.9219,-21.4078
390,36.6878,36.6878,-1.44725,26.1385,-30.3086
326,23.6786,23.6786,-60.5075,4.14089,-13.2164
454,32.711,32.711,-42.3913,40.2388,-24.5526
678,10.5041,10.5041,25.4835,6.48626,-41.057
422,16.5758,16.5758,-16.1386,-37.4811,-8.276
358,34.2422,34.2422,-6.16045,-13.9299,-14.5666
486,12.4784,12.4784,-7.94376,0.944404,-15.5863
534,28.746,28.746,6.95451,2.70522,-22.2061
662,4.9379,4.9379,-56.4239,37.6177,-21.0488
406,28.8865,28.8865,-45.2857,23.264,-16.0607
470,15.4458,15.4458,-32.1673,45.3485,-32.9274
566,27.3437,27.3437,-64.7114,23.7699,-19.3932
310,32.0097,32.0097,-11.87,-14.7423,-12.4072
438,22.8176,22.8176,-23.0296,8.21755,-13.4764
630,23.222,23.222,-6.8186,22.8781,-24.3202
526,19.7086,19.7086,-14.7789,8.11264,-15.2546
398,35.3319,35.3319,-61.0312,-1.16463,-11.883
590,16.9228,16.9228,-58.8748,29.8591,-19.0157
334,29.3908,29.3908,-62.1184,16.4106,-17.2427
462,22.4719,22.4719,-12.8205,-30.3504,-12.0999
558,18.1744,18.1744,-35.3082,34.4154,-22.3814
302,33.0826,33.0826,-10.2611,-23.2513,-13.1951
686,60.3746,60.3746,-55.5451,17.2251,-15.3888
430,43.8315,43.8315,-29.5444,-9.66907,-8.54168
366,20.6681,20.6681,-8.23911,27.6768,-26.912
494,34.0972,34.0972,-22.709,2.22654,-11.9608
542,20.2812,20.2812,3.02906,-14.1228,-19.0219
670,40.0997,40.0997,19.8439,13.2312,-37.377
414,27.3974,27.3974,-32.4114,22.332,-16.4621
350,35.7983,35.7983,-35.8521,42.087,-28.0394
478,28.9636,28.9636,-10.8474,17.2772,-19.6829
574,38.7438,38.7438,-36.417,-23.0301,-6.92122
318,27.2887,27.2887,-57.0089,-19.7402,-8.68951
446,27.3201,27.3201,-40.2296,23.4554,-16.1832
638,22.5125,22.5125,-49.7863,6.87888,-11.8009
510,22.0385,22.0385,-1.13872,-12.0729,-16.6503
641,3.07414,3.07414,-36.9337,-34.3854,-7.08005
385,26.9737,26.9737,-26.9639,2.42788,-11.3775
321,21.1606,21.1606,20.1482,8.36875,-34.0749
449,14.7612,14.7612,-16.1208,-1.81758,-12.5198
545,12.2645,12.2645,-5.07364,-33.582,-17.1479
417,27.7926,27.7926,-55.7318,34.0128,-19.8264
609,20.8192,20.8192,10.8606,16.1083,-30.5542
353,26.0425,26.0425,-55.9011,-15.9455,-8.03296
481,37.5896,37.5896,-11.7871,36.3262,-32.2828
529,42.8181,42.8181,-13.7476,13.0347,-17.1536
657,37.4422,37.4422,-22.233,-41.0499,-4.57016
401,23.5695,23.5695,-45.263,8.74932,-12.1057
465,18.3343,18.3343,-16.5577,43.4859,-37.8622
561,14.1074,14.1074,-18.9445,-33.3128,-8.59189
369,22.043,22.043,-18.3918,-9.33391,-10.7678
497,21.3295,21.3295,15.2639,6.79522,-28.2721
521,31.4203,31.4203,3.98965,-9.65454,-19.231
649,0.758445,0.758445,-12.8454,-42.6142,-8.43167
393,27.9123,27.9123,-39.84,14.9544,-13.6855
329,18.8045,18.8045,-11.7686,-36.9306,-11.0766
457,30.0302,30.0302,-21.1727,28.7008,-21.8613
553,17.2333,17.2333,-37.6276,2.35715,-10.733
425,36.0311,36.0311,-27.0128,19.8008,-16.5163
361,27.794,27.794,8.15683,19.1105,-31.1658
489,32.9527,32.9527,-33.8243,-3.3135,-9.47956
537,14.0969,14.0969,-37.033,48.6065,-34.1028
665,3.69184,3.69184,-21.629,47.789,-41.9412
409,33.1846,33.1846,-44.7772,47.7195,-29.1581
345,27.0943,27.0943,-26.4181,-33.549,-6.45278
473,45.1919,45.1919,-26.3278,25.8001,-19.0676
313,44.6612,44.6612,-8.95937,31.7665,-29.859
441,19.168,19.168,-17.4734,-13.8457,-10.6088
633,38.687,38.687,6.28994,24.1721,-34.4389
377,31.2091,31.2091,-48.3671,-4.47964,-8.9282
645,28.3419,28.3419,-16.3849,-41.8658,-6.48635
389,34.4769,34.4769,-59.0118,-4.73077,-10.1496
453,33.0253,33.0253,-19.4002,-28.4893,-9.40905
485,24.961,24.961,-37.541,-9.46368,-8.0498
533,18.8645,18.8645,8.0473,-12.6528,-22.2505
661,10.4402,10.4402,-53.7863,41.5804,-22.9111
405,22.1946,22.1946,-2.57081,-3.94606,-16.7863
597,11.8332,11.8332,-45.562,-22.7247,-7.57822
341,27.4933,27.4933,3.3093,17.9031,-26.7263
469,32.7369,32.7369,7.30365,9.95677,-24.5518
309,8.95086,8.95086,-65.562,19.8806,-19.0633
437,25.9464,25.9464,-22.8886,-4.22503,-10.5263
629,41.1323,41.1323,-3.50944,15.7349,-21.7989
373,25.351,25.351,-7.94924,-2.39524,-14.9976
501,32.3505,32.3505,-28.1466,40.3134,-28.8188
525,27.765,27.765,-5.15205,-7.73344,-15.2325
397,36.7403,36.7403,-44.1309,-10.0622,-7.84703
461,53.5087,53.5087,16.8824,-3.28716,-27.5759
557,17.6386,17.6386,-45.3399,31.2723,-19.2794
685,47.9835,47.9835,-50.3812,15.3118,-13.8658
429,48.4034,48.4034,-28.3462,-22.3976,-7.31939
365,41.2616,41.2616,-19.2619,-17.1673,-9.93368
493,7.16552,7.16552,13.7222,-8.1486,-25.7091
541,17.4938,17.4938,-13.8127,-10.2467,-11.9982
413,17.9807,17.9807,-30.3176,6.94907,-12.2888
349,7.50082,7.50082,-48.7299,47.844,-27.8627
477,21.035,21.035,-11.9777,-40.2145,-9.74837
317,17.6244,17.6244,-32.962,47.8772,-35.9048
445,36.2293,36.2293,-21.3652,38.8575,-29.7405
509,27.1982,27.1982,-2.65897,-17.0169,-16.3372
515,39.632,39.632,0.640217,9.16707,-20.9502
