label, neighbor, wall area
299,328,5.01767
299,486,3.97454
299,498,5.70809
299,504,2.60941
299,515,4.00832
299,568,5.68813
302,307,6.42268
302,396,3.13541
302,436,5.11184
302,484,8.03543
302,544,1.55394
303,345,9.04666
303,453,3.44157
303,548,9.04956
303,561,2.95755
304,478,5.80848
304,479,3.16888
304,498,0.870321
304,629,5.38125
304,630,6.24754
306,380,2.7559
306,425,3.17328
306,444,7.40735
306,460,3.94393
306,507,4.07396
306,529,0.537134
307,302,6.42268
307,310,8.93194
307,358,2.10542
307,365,3.17543
307,396,2.96702
307,436,1.77362
308,356,7.82558
308,495,3.35561
308,539,2.82228
308,609,3.73921
308,670,3.58579
309,334,2.42949
309,336,3.40028
309,566,3.17927
310,307,8.93194
310,320,3.33731
310,358,4.16371
310,365,1.24438
310,441,4.30788
310,541,3.66449
311,427,3.5072
311,445,2.50693
311,457,4.12088
311,463,2.11242
311,466,6.64412
311,511,2.64316
313,366,6.26243
313,390,3.5074
313,418,5.24819
313,442,6.58596
313,466,2.58663
313,481,8.26318
313,627,0.432507
314,356,12.3547
314,633,3.28842
314,634,2.05171
314,671,1.25188
316,349,3.30359
316,376,7.47126
316,379,3.16263
316,661,4.46905
317,470,3.80927
317,531,4.49073
317,535,1.34619
317,537,3.01829
318,353,7.11374
318,594,2.35692
318,596,2.34988
318,659,4.62619
319,389,5.38594
319,398,2.69693
319,659,6.93931
320,310,3.33731
320,358,4.21564
320,373,3.93897
320,520,5.13719
320,525,5.32657
320,541,6.07505
321,371,3.72615
321,495,5.66242
321,635,1.66764
321,670,4.24256
321,679,5.41631
323,341,3.66548
323,515,3.93949
323,610,2.87223
323,628,2.09548
323,629,8.04806
326,398,5.62679
326,508,0.938888
326,527,5.15469
326,602,4.66128
327,360,5.13937
327,442,6.67535
327,490,2.06368
328,299,5.01767
328,455,1.46668
328,486,2.27626
328,498,3.70873
328,523,5.64721
328,526,6.22245
328,529,1.57626
329,422,2.34653
329,431,2.79382
329,443,3.75292
329,477,6.456
329,530,4.64599
330,350,8.23326
330,386,3.49408
330,464,0
330,501,5.04632
330,511,3.49506
330,518,2.5177
330,558,6.51522
331,334,5.25706
331,602,6.05193
331,686,3.01657
332,420,6.17394
332,461,2.15339
332,493,4.34669
332,524,1.64452
332,533,2.90589
332,564,7.68745
334,309,2.42949
334,331,5.25706
334,336,5.48013
334,686,4.98275
336,309,3.40028
336,334,5.48013
336,467,1.41901
336,562,2.70651
336,566,5.16179
336,686,2.56816
338,363,3.88452
338,372,3.55967
338,417,0.69286
338,474,3.58562
338,556,2.37444
338,557,3.61001
341,323,3.66548
341,361,3.38111
341,364,1.75198
341,610,6.99994
341,628,7.27472
344,353,2.85662
344,354,6.66905
344,362,3.82925
344,389,3.80678
344,435,1.57042
344,659,5.51282
345,303,9.04666
345,387,4.02727
345,519,1.62767
345,561,1.42178
345,642,0.96675
345,655,9.51665
346,352,6.01114
346,420,4.0801
346,469,0.902485
346,487,4.34309
346,497,1.1357
346,534,7.06146
348,375,1.0095
348,387,3.43083
348,412,7.08631
348,429,5.88709
348,453,3.07024
348,548,7.66239
348,570,1.1462
349,316,3.30359
349,376,0.729986
349,409,4.05897
350,330,8.23326
350,386,1.19067
350,394,4.66895
350,454,3.95099
350,464,4.40351
350,470,3.19136
350,501,0
350,535,3.88171
352,346,6.01114
352,469,5.35896
352,497,5.51196
352,539,5.27342
353,318,7.11374
353,344,2.85662
353,362,4.60303
353,594,3.31303
353,659,4.40376
354,344,6.66905
354,377,3.63589
354,389,4.85266
354,435,3.33003
354,508,4.24074
355,365,2.92591
355,430,6.42905
355,450,1.01
355,492,7.58828
355,503,2.91471
355,552,0.505801
356,308,7.82558
356,314,12.3547
356,361,4.04879
356,609,1.85577
356,633,1.14833
356,670,2.69034
356,671,2.62081
358,307,2.10542
358,310,4.16371
358,320,4.21564
358,396,1.30098
358,509,6.38657
358,510,3.00672
358,525,3.98899
359,362,2.12624
359,397,4.65493
359,435,3.11299
359,483,6.60269
359,594,8.9852
360,327,5.13937
360,442,1.49613
360,465,1.44248
360,471,2.4334
360,472,6.62282
360,481,6.05837
361,341,3.38111
361,356,4.04879
361,364,3.42131
361,609,5.10303
361,610,2.62177
361,633,4.79456
362,344,3.82925
362,353,4.60303
362,359,2.12624
362,435,5.72956
362,594,3.10934
363,338,3.88452
363,417,5.11736
363,467,4.92604
363,556,4.19846
363,590,3.82739
364,341,1.75198
364,361,3.42131
364,390,4.90529
364,407,0.429657
364,628,4.74126
364,633,7.91828
365,307,3.17543
365,310,1.24438
365,355,2.92591
365,375,6.16501
365,436,3.32192
365,441,7.09875
365,492,3.00506
365,503,2.70197
366,313,6.26243
366,418,4.32859
366,479,3.15764
366,627,4.22836
366,630,1.91997
367,391,5.58892
367,408,5.6468
367,413,2.72697
367,425,3.52206
367,506,5.24726
367,507,4.58113
369,437,2.07217
369,441,4.13101
369,456,1.79673
369,503,6.01713
369,520,3.33948
369,541,2.89067
370,406,5.7267
370,555,1.26823
370,556,5.27862
370,562,4.23156
370,685,3.37328
370,686,5.32701
371,321,3.72615
371,461,3.25234
371,487,7.09375
371,495,1.38043
371,497,4.70144
371,635,6.81034
372,338,3.55967
372,379,6.02109
372,386,4.32001
372,451,0
372,454,0.979211
372,474,1.18689
372,557,3.85293
373,320,3.93897
373,405,2.35257
373,486,5.7827
373,504,2.49514
373,520,1.89599
373,523,2.65292
373,525,2.15625
375,348,1.0095
375,365,6.16501
375,429,4.57335
375,436,7.95323
375,453,3.76431
375,492,2.76243
376,316,7.47126
376,349,0.729986
376,379,2.86392
376,409,4.54831
376,454,2.63885
376,563,4.17347
377,354,3.63589
377,397,3.48343
377,399,6.55414
377,435,4.10552
377,439,2.26256
377,508,3.70171
378,399,4.39372
378,401,2.9047
378,488,1.81571
378,508,3.87729
378,554,3.03887
378,638,6.24701
379,316,3.16263
379,372,6.02109
379,376,2.86392
379,454,4.57929
379,474,8.11489
379,661,0.412625
380,306,2.7559
380,438,3.88635
380,459,3.14909
380,507,7.7158
380,526,2.24873
380,529,7.159
383,393,3.51731
383,403,5.66702
383,406,4.14112
383,446,1.99444
383,528,2.35171
383,685,2.30553
385,391,2.88436
385,413,2.86098
385,423,3.28631
385,426,5.69848
385,438,0.728094
385,494,7.84026
386,330,3.49408
386,350,1.19067
386,372,4.32001
386,451,7.36871
386,454,6.82022
386,557,0
386,558,0.846993
387,345,4.02727
387,348,3.43083
387,482,2.01341
387,548,1.0916
387,570,4.72948
387,641,2.62048
387,642,5.21966
389,319,5.38594
389,344,3.80678
389,354,4.85266
389,398,8.51902
389,508,2.82617
389,659,2.77214
390,313,3.5074
390,364,4.90529
390,407,5.61871
390,442,2.21786
390,627,8.02481
390,628,3.69499
391,367,5.58892
391,385,2.88436
391,413,4.02934
391,438,6.74757
391,507,1.54755
392,488,1.0171
392,491,5.25961
392,496,1.64015
392,553,5.19021
392,554,3.54967
393,383,3.51731
393,402,2.73944
393,403,2.77684
393,408,3.74442
393,491,4.61475
393,506,1.61501
393,528,3.50583
394,350,4.66895
394,395,5.33384
394,454,1.43628
394,535,5.05002
394,537,1.3907
394,563,4.08465
395,394,5.33384
395,409,6.51234
395,537,3.43879
395,563,1.60566
396,302,3.13541
396,307,2.96702
396,358,1.30098
396,509,6.59415
396,544,5.97214
396,586,4.31475
397,359,4.65493
397,377,3.48343
397,435,5.27727
397,439,6.33107
397,483,6.13117
397,485,3.27548
398,319,2.69693
398,326,5.62679
398,389,8.51902
398,508,3.35166
399,377,6.55414
399,378,4.39372
399,439,4.37214
399,488,5.30906
399,508,2.31743
400,414,6.54704
400,424,4.27123
400,446,4.07654
400,448,2.34134
400,500,3.13402
400,518,2.58115
400,528,1.75142
401,378,2.9047
401,402,8.29435
401,491,3.53856
401,554,2.78899
401,638,4.58138
401,685,1.22701
402,393,2.73944
402,401,8.29435
402,403,5.17114
402,491,2.88766
402,685,2.92723
403,383,5.66702
403,393,2.77684
403,402,5.17114
403,685,4.45558
405,373,2.35257
405,468,4.42316
405,504,4.41893
405,525,5.44797
405,567,3.43456
406,370,5.7267
406,383,4.14112
406,446,4.50839
406,448,2.63788
406,555,4.30079
406,685,0.963452
407,364,0.429657
407,390,5.61871
407,442,3.65839
407,490,8.16275
407,633,3.47889
408,367,5.6468
408,393,3.74442
408,414,3.88484
408,425,2.885
408,506,5.21019
408,528,4.09712
409,349,4.05897
409,376,4.54831
409,395,6.51234
409,563,3.49787
412,348,7.08631
412,429,6.05064
412,570,3.11807
412,574,2.8612
413,367,2.72697
413,385,2.86098
413,391,4.02934
413,426,2.91248
413,496,4.22418
413,506,1.84715
414,400,6.54704
414,408,3.88484
414,424,0.665344
414,425,2.80558
414,473,3.81654
414,528,4.1876
417,338,0.69286
417,363,5.11736
417,474,6.25394
417,590,3.01826
417,662,4.02206
417,663,4.10557
418,313,5.24819
418,366,4.32859
418,463,3.42374
418,466,4.19808
418,479,4.01125
420,332,6.17394
420,346,4.0801
420,461,6.24307
420,487,3.69848
420,524,3.79895
420,534,4.71745
422,329,2.34653
422,431,2.90771
422,477,2.42502
422,519,4.48664
422,561,1.81496
422,645,4.00433
423,385,3.28631
423,426,1.4193
423,430,7.78668
423,437,5.9989
423,489,5.78189
423,494,0.862479
423,503,2.01943
424,400,4.27123
424,414,0.665344
424,427,2.74584
424,473,6.61446
424,518,7.14196
425,306,3.17328
425,367,3.52206
425,408,2.885
425,414,2.80558
425,444,1.8922
425,473,6.64539
425,507,5.0733
426,385,5.69848
426,413,2.91248
426,423,1.4193
426,488,1.18952
426,489,5.47076
426,496,5.50084
426,553,2.36556
427,311,3.5072
427,424,2.74584
427,457,4.7712
427,473,3.04313
427,511,8.4283
427,518,3.76766
429,348,5.88709
429,375,4.57335
429,412,6.05064
429,492,9.13297
429,574,5.03906
430,355,6.42905
430,423,7.78668
430,485,1.96659
430,489,2.37465
430,503,4.33155
430,551,2.12496
430,552,3.7338
431,329,2.79382
431,422,2.90771
431,453,2.97913
431,462,3.99302
431,530,2.34254
431,561,4.62396
434,450,2.26813
434,483,9.55443
434,574,10.8295
434,597,4.40421
434,639,2.61038
435,344,1.57042
435,354,3.33003
435,359,3.11299
435,362,5.72956
435,377,4.10552
435,397,5.27727
436,302,5.11184
436,307,1.77362
436,365,3.32192
436,375,7.95323
436,453,4.88216
436,462,2.69304
436,484,2.83283
437,369,2.07217
437,423,5.9989
437,456,7.79225
437,494,4.45603
437,503,3.9156
438,380,3.88635
438,385,0.728094
438,391,6.74757
438,459,3.35763
438,494,3.9637
438,507,2.37797
439,377,2.26256
439,397,6.33107
439,399,4.37214
439,485,2.29135
439,488,5.22531
439,551,2.90955
440,445,3.00384
440,458,2.83034
440,464,5.06202
440,501,2.30534
440,531,2.02039
440,536,2.7921
440,664,6.49069
441,310,4.30788
441,365,7.09875
441,369,4.13101
441,503,2.50174
441,541,1.31515
442,313,6.58596
442,327,6.67535
442,360,1.49613
442,390,2.21786
442,407,3.65839
442,481,2.8868
442,490,2.60628
443,329,3.75292
443,477,1.64154
443,530,2.9491
443,546,2.60449
444,306,7.40735
444,425,1.8922
444,457,4.35176
444,460,4.14605
444,463,3.88819
444,473,5.63913
445,311,2.50693
445,440,3.00384
445,458,8.64863
445,466,2.8497
445,501,2.57461
445,511,7.09965
446,383,1.99444
446,400,4.07654
