Label, Parent Label
320,356
448,398
544,235
352,214
528,426
400,181
336,132
464,293
304,140
496,160
520,207
392,571
328,300
456,40
552,303
424,372
360,371
664,226
408,176
344,283
472,371
568,67
440,226
504,67
548,390
356,233
468,417
564,281
308,233
628,278
372,329
500,398
524,276
396,235
332,281
460,365
556,357
412,394
348,394
444,52
508,141
386,427
450,303
674,326
418,366
610,335
354,283
402,382
594,502
338,329
466,225
562,430
306,52
434,499
370,355
522,76
394,3
330,476
554,571
426,160
362,323
602,137
346,299
474,296
378,352
506,176
518,372
454,169
422,220
358,251
486,359
534,299
406,355
470,234
566,132
310,353
438,28
630,140
398,130
590,215
558,476
366,366
494,43
542,66
670,326
414,181
478,365
574,499
318,242
446,426
638,352
510,417
385,43
321,298
449,207
609,402
353,242
657,105
401,382
561,110
369,224
497,214
521,66
329,188
457,222
361,402
537,179
377,350
645,105
389,130
485,144
533,143
405,259
597,502
341,278
469,335
437,40
629,269
373,359
501,293
525,259
461,393
541,356
477,188
317,234
509,251
515,76
323,269
451,427
403,386
467,430
563,169
307,353
435,323
371,135
523,300
395,179
331,137
459,128
555,357
539,227
635,135
379,296
519,220
391,28
455,128
551,144
679,298
487,393
535,3
567,276
311,225
503,224
527,141
399,350
591,215
463,222
303,390
431,110
495,227
543,143
383,386
