Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
256,0,27.7241,4.24241,-35.5789,-2.57253
128,0,25.3881,-1.58812,22.1644,3.8704300000000003
640,0,12.280999999999999,-10.1551,49.2117,-1.78288
384,0,23.3652,70.3714,-5.98476,-3.6537900000000003
64,0,23.2338,-5.48152,-2.9203900000000003,2.6499
320,0,26.8074,62.4993,3.70191,-1.6495
192,0,15.9723,-23.6289,20.1902,0.45716999999999997
448,0,14.9837,22.5946,44.1316,0.700259
32,0,21.2916,-6.69117,40.3318,0.959852
288,0,31.1941,65.453,-19.089000000000002,0.577666
416,1,36.3615,52.0635,56.7525,-15.3388
224,0,27.3933,-23.9445,31.7197,-2.8242
480,1,19.7255,22.3214,-53.065,-15.0205
16,0,17.6656,-15.542,17.0288,2.1949099999999997
528,0,9.738710000000001,6.984089999999999,-17.5054,3.5383400000000003
272,0,10.9148,43.7995,33.6054,1.63049
144,0,30.1354,67.9796,-26.3757,-0.533087
656,1,8.721739999999999,-15.8201,65.0982,-1.9836900000000002
400,0,25.0001,52.7083,52.8142,-10.8428
80,0,30.0352,-18.077,-6.23999,1.41275
592,0,17.6164,30.7393,61.8037,-7.67948
336,0,22.5039,6.791460000000001,56.4807,0.534423
208,0,14.562000000000001,23.7813,26.2492,4.551819999999999
464,0,25.8584,18.5112,26.9999,4.478269999999999
48,0,30.7829,55.1928,15.0825,1.41536
560,0,13.2323,73.2067,13.3773,-9.49996
304,0,20.8535,52.1662,42.5703,-3.26953
176,0,19.5679,37.0373,40.1212,0.800072
432,0,18.1097,16.0423,2.162,4.75966
112,1,28.0819,-1.63132,-34.1526,-3.86962
624,0,27.4367,37.4279,-6.19499,4.35545
240,0,22.0328,32.9878,1.4722600000000001,4.7415
496,1,13.3484,59.5046,-43.7283,-9.1157
8,0,17.8971,-26.2913,-1.40049,0.366668
520,0,17.2725,22.0667,52.8382,-2.12272
264,0,23.2936,39.9035,31.4347,2.68237
136,0,26.7173,-0.440154,7.10245,2.86786
648,0,31.2156,-27.6833,19.5158,-0.9077959999999999
392,0,25.3377,22.9242,22.9044,4.78293
72,0,25.6671,-19.4026,17.6672,1.7016099999999998
328,0,25.4783,8.75836,23.2053,4.77267
200,0,29.5143,20.8752,13.3939,4.67984
456,0,38.8018,19.0853,-44.3999,-5.57094
40,0,29.1302,75.2599,-9.59634,-4.8539699999999995
296,0,26.5115,49.9678,26.5389,1.7575599999999998
168,0,20.1881,13.8731,-28.8913,2.7045
424,0,16.1553,25.8789,44.9515,0.20092100000000002
616,0,28.749000000000002,27.0192,-34.99,0.2013
488,1,19.8021,20.0702,-49.8736,-11.3442
536,0,21.8339,-23.7958,-17.6263,-2.66053
280,0,28.1813,46.5914,48.1105,-4.4812199999999995
152,0,30.4864,24.9844,-50.6759,-11.815999999999999
408,0,33.1348,85.117,-20.4731,-10.9225
88,0,17.0087,-15.7306,-11.0364,0.965989
344,0,39.7248,59.1449,31.5895,-4.13114
216,0,20.7622,26.4636,-22.3441,4.09336
472,1,21.9173,74.1704,-42.7569,-12.821
56,0,21.9963,48.2591,55.4591,-11.5476
568,0,14.9725,5.06316,46.5593,0.243784
312,0,13.2354,58.3881,3.9128199999999995,0.261293
184,0,24.4344,59.2096,11.5807,-0.260825
440,0,19.4982,45.3733,0.45041499999999995,3.52564
120,0,51.0935,70.2335,-37.0505,-4.76066
632,1,6.05699,35.9397,62.0613,-10.5416
376,0,21.6684,42.308,-26.1506,1.2452299999999998
248,0,27.1803,39.0442,23.351,4.30169
504,0,15.6968,2.6454,22.1954,4.405869999999999
4,0,34.2037,20.182000000000002,-15.8455,5.09697
516,0,14.4476,11.3374,45.2022,0.611004
260,0,33.6331,42.2792,7.211539999999999,4.26423
132,0,28.5678,-1.74301,33.6943,3.02936
644,0,15.797,-25.3669,37.4385,-7.8902600000000005
68,0,19.4596,-3.54432,3.41855,2.77218
324,0,16.8852,63.9193,-1.31054,-1.96023
196,0,24.4095,21.1346,-1.56435,5.12165
452,0,20.5044,23.713,48.4401,-0.828398
36,0,26.5888,79.1699,-12.0947,-6.69084
292,0,33.3784,51.8686,-3.97574,2.1150599999999997
164,0,22.8193,36.5764,18.7428,4.8853800000000005
420,0,21.64,-16.1003,49.0726,-4.43388
100,0,33.7019,-12.3829,60.2147,-1.15965
612,0,15.1469,1.4116,-2.18371,3.3016300000000003
228,0,25.0046,27.5699,-5.62732,5.05661
484,0,27.0519,21.5065,-23.3452,4.28951
276,0,18.6568,-12.0001,11.3043,2.46545
148,0,31.525,6.574839999999999,10.0747,3.62545
404,1,29.5745,-40.9303,8.864510000000001,-7.80514
