plant,time point,dividing parent cell,parent neighbor,dividingCellArea,neighbourCellArea,sharedWall,distance,dividingCellPerimeter,neighbourCellPerimeter
ktnP1,1,3759,3568,24.0628,30.83,3.71004,5.588520067066056,18681,31283
ktnP1,1,3759,3631,24.0628,23.1471,5.09892,4.564917336600964,18681,23208
ktnP1,1,3759,3776,24.0628,27.8174,4.10436,5.333832951077488,18681,27576
ktnP1,1,3759,3848,24.0628,15.9325,3.66766,4.750563590775312,18681,22967
ktnP1,1,3759,3858,24.0628,20.1783,3.9494,4.5870295235587895,18681,23237
ktnP1,1,4070,3613,28.0722,27.5672,0.645971,7.4410844243295635,30987,23210
ktnP1,1,4070,3630,28.0722,30.7176,4.60204,6.019951131030882,30987,26664
ktnP1,1,4070,3663,28.0722,20.8748,3.52585,5.08881926678478,30987,22879
ktnP1,1,4070,3894,28.0722,20.2652,2.07886,6.129396216594257,30987,27583
ktnP1,1,4070,3970,28.0722,16.9714,2.3525,5.55299501530481,30987,19469
ktnP1,1,4070,4072,28.0722,16.9091,2.45742,5.3906235270142915,30987,24439
ktnP1,1,4070,4074,28.0722,12.1217,3.23967,5.013435413965158,30987,20231
ktnP1,1,3660,3653,33.3169,24.8425,2.57078,6.233173813908934,18771,18745
ktnP1,1,3660,3674,33.3169,42.3481,8.58872,4.796300024352107,18771,26407
ktnP1,1,3660,3676,33.3169,41.89,3.58508,7.789406391510202,18771,33895
ktnP1,1,3660,3877,33.3169,24.0199,2.70895,6.793357683362476,18771,26496
ktnP1,1,3660,3891,33.3169,36.0732,8.44198,4.236095741658821,18771,22879
ktnP1,1,3657,3875,30.9738,19.8874,2.67268,5.294632621259006,23295,19394
ktnP1,1,3657,3880,30.9738,24.3527,1.41074,7.560171549826103,23295,22772
ktnP1,1,3657,3948,30.9738,13.7488,3.31691,5.050371609109573,23295,18992
ktnP1,1,3657,4043,30.9738,25.2736,5.81902,4.430444650100032,23295,22907
ktnP1,1,4031,3666,50.8311,35.3106,1.444,9.166226227297686,30885,27907
ktnP1,1,4031,3723,50.8311,23.4372,5.85514,5.248520333389212,30885,19252
ktnP1,1,4031,3727,50.8311,28.8351,4.22837,6.906109933240274,30885,26465
ktnP1,1,4031,3791,50.8311,39.8445,2.97243,9.003873741340444,30885,26606
ktnP1,1,4031,3839,50.8311,47.9564,2.90004,8.021523533026626,30885,23507
ktnP1,1,4031,3959,50.8311,21.4318,3.62177,6.366717039173328,30885,19336
ktnP1,1,4031,4032,50.8311,27.2854,3.74156,6.528423866447402,30885,23269
ktnP1,1,4031,4148,50.8311,26.6249,5.28651,6.848402305530832,30885,19660
ktnP1,1,3881,3568,30.1234,30.83,4.73637,5.757288491989959,27181,31283
ktnP1,1,3881,3758,30.1234,24.531,3.20106,6.197985906728086,27181,19546
ktnP1,1,3881,3884,30.1234,21.9447,3.03406,5.398720094615018,27181,19360
ktnP1,1,3881,4078,30.1234,31.0106,3.94163,6.351946206478765,27181,22964
ktnP1,1,3881,4138,30.1234,13.8494,2.08009,6.010022351871917,27181,23333
ktnP1,1,3591,3747,34.9285,23.1642,5.789,4.623078936001416,27258,18785
ktnP1,1,3591,3748,34.9285,35.6363,2.82297,7.641291465145144,27258,22818
ktnP1,1,3591,4043,34.9285,25.2736,2.90673,6.335656826099407,27258,22907
ktnP1,1,3591,4044,34.9285,11.9567,3.01718,4.913331248155372,27258,15423
ktnP1,1,3846,3797,37.0763,36.1095,2.9313,7.087443680917754,27146,26598
ktnP1,1,3846,3799,37.0763,18.6832,3.02443,5.6923766381187395,27146,18922
ktnP1,1,3846,3802,37.0763,15.8159,3.20314,5.840149127565152,27146,19036
ktnP1,1,3846,3844,37.0763,19.0381,2.43544,6.116835546391614,27146,19532
ktnP1,1,3846,3850,37.0763,23.2028,5.24762,5.53626565414811,27146,23127
ktnP1,1,3846,3911,37.0763,15.2886,3.13685,5.520085486992026,27146,23584
ktnP1,1,3846,4143,37.0763,29.722,5.9315,5.468077681585092,27146,27501
ktnP1,1,4076,3627,31.9502,29.5364,2.68595,7.280307950904274,35111,23204
ktnP1,1,4076,3758,31.9502,24.531,3.03588,5.906864774142032,35111,19546
ktnP1,1,4076,3762,31.9502,17.9391,4.45095,4.6747655021401835,35111,15786
ktnP1,1,4076,3783,31.9502,25.3717,0.903676,7.440252874062812,35111,22959
ktnP1,1,4076,3884,31.9502,21.9447,2.73704,5.9037374924703405,35111,19360
ktnP1,1,4076,4072,31.9502,16.9091,1.46422,5.883981348542839,35111,24439
ktnP1,1,4076,4075,31.9502,14.4197,3.39242,5.4880982507604585,35111,24195
ktnP1,1,4076,4077,31.9502,15.9378,2.44739,5.698064749544361,35111,19379
ktnP1,1,3736,3593,21.958,26.7197,4.26348,5.221824929370957,23301,27075
ktnP1,1,3736,3756,21.958,30.1098,5.74727,4.9149786331682055,23301,26882
ktnP1,1,3736,3817,21.958,17.7094,7.31099,3.0926651743478466,23301,19610
ktnP1,1,3736,3892,21.958,19.7822,2.72463,5.439357993476803,23301,22739
ktnP1,1,3736,4121,21.958,11.6191,1.44986,5.453253397303301,23301,19312
ktnP1,1,3736,4122,21.958,25.3947,0.76029,7.508573003713821,23301,26903
ktnP1,1,3756,3584,30.1098,22.0389,4.66295,4.848036721662077,26882,19516
ktnP1,1,3756,3593,30.1098,26.7197,3.36787,5.551315019425578,26882,27075
ktnP1,1,3756,3736,30.1098,21.958,5.74727,4.9149786331682055,26882,23301
ktnP1,1,3756,3880,30.1098,24.3527,4.95984,5.13388518010483,26882,22772
ktnP1,1,3756,3948,30.1098,13.7488,1.67073,5.973963540414353,26882,18992
ktnP1,1,3756,4019,30.1098,18.4782,1.73255,5.785242618845729,26882,22286
