plant,time point,dividing parent cell,parent neighbor,mapped daughter,label
ktnP1,1,3759,3568,844,0
ktnP1,1,3759,3631,960,2
ktnP1,1,3759,3776,1154,2
ktnP1,1,3759,3848,1208,1
ktnP1,1,3759,3858,1155,1
ktnP1,1,4070,3613,834,1
ktnP1,1,4070,3630,888,2
ktnP1,1,4070,3663,1043,0
ktnP1,1,4070,3894,854,0
ktnP1,1,4070,3970,1026,1
ktnP1,1,4070,4072,1023,1
ktnP1,1,4070,4074,885,2
ktnP1,1,3660,3653,833,1
ktnP1,1,3660,3674,862,2
ktnP1,1,3660,3676,913,0
ktnP1,1,3660,3877,1061,1
ktnP1,1,3660,3891,806,2
ktnP1,1,3657,3875,912,1
ktnP1,1,3657,3880,1188,1
ktnP1,1,3657,3948,979,1
ktnP1,1,3657,4043,1186,2
ktnP1,1,4031,3666,956,0
ktnP1,1,4031,3723,874,2
ktnP1,1,4031,3727,875,1
ktnP1,1,4031,3791,1081,1
ktnP1,1,4031,3839,831,1
ktnP1,1,4031,3959,1040,2
ktnP1,1,4031,4032,988,0
ktnP1,1,4031,4148,1199,0
ktnP1,1,3881,3568,844,2
ktnP1,1,3881,3758,804,1
ktnP1,1,3881,3884,983,1
ktnP1,1,3881,4078,807,1
ktnP1,1,3881,4138,1227,0
ktnP1,1,3591,3747,899,2
ktnP1,1,3591,3748,949,0
ktnP1,1,3591,4043,1186,1
ktnP1,1,3591,4044,1187,2
ktnP1,1,3846,3797,1100,0
ktnP1,1,3846,3799,943,0
ktnP1,1,3846,3802,1003,0
ktnP1,1,3846,3844,1101,0
ktnP1,1,3846,3850,924,2
ktnP1,1,3846,3911,1204,1
ktnP1,1,3846,4143,1202,2
ktnP1,1,4076,3627,1157,0
ktnP1,1,4076,3758,804,0
ktnP1,1,4076,3762,1225,2
ktnP1,1,4076,3783,1072,0
ktnP1,1,4076,3884,983,0
ktnP1,1,4076,4072,1023,1
ktnP1,1,4076,4075,1139,1
ktnP1,1,4076,4077,1052,2
ktnP1,1,3736,3593,985,0
ktnP1,1,3736,3756,980,2
ktnP1,1,3736,3817,1221,2
ktnP1,1,3736,3892,1096,0
ktnP1,1,3736,4121,1222,1
ktnP1,1,3736,4122,1063,1
ktnP1,1,3756,3584,859,2
ktnP1,1,3756,3593,985,2
ktnP1,1,3756,3736,1220,1
ktnP1,1,3756,3880,1188,0
ktnP1,1,3756,3948,979,0
ktnP1,1,3756,4019,1055,0
ktnP1,1,3756,4122,1063,1
ktnP1,1,3797,3734,1059,0
ktnP1,1,3797,3737,824,2
ktnP1,1,3797,3795,939,0
ktnP1,1,3797,3799,943,1
ktnP1,1,3797,3843,827,0
ktnP1,1,3797,3844,1101,2
ktnP1,1,3797,3846,872,1
ktnP1,1,3568,3631,960,1
ktnP1,1,3568,3759,1152,1
ktnP1,1,3568,3776,1154,1
ktnP1,1,3568,3881,880,0
ktnP1,1,3568,3884,983,0
ktnP1,1,3568,4077,1052,2
ktnP1,1,3568,4137,816,2
ktnP1,1,3568,4138,1227,0
ktnP1,1,3867,3592,845,2
ktnP1,1,3867,3594,906,0
ktnP1,1,3867,3768,1102,1
ktnP1,1,3867,3858,1155,2
ktnP1,1,3867,3868,1138,0
ktnP1,1,3867,4119,1206,1
ktnP1,1,3643,3590,898,0
ktnP1,1,3643,3635,1078,2
ktnP1,1,3643,3702,1074,1
ktnP1,1,3643,3810,1083,0
ktnP1,1,3643,4015,1173,0
ktnP1,1,3643,4139,1131,2
ktnP1,1,3776,3568,844,1
ktnP1,1,3776,3759,1152,2
ktnP1,1,3776,3858,1155,0
ktnP1,1,3776,4075,1139,1
ktnP1,1,3776,4077,1052,1
ktnP1,1,3776,4119,1206,2
ktnP1,1,3776,4120,1053,1
ktnP1,1,3616,3617,803,2
ktnP1,1,3616,3727,875,0
ktnP1,1,3616,3745,1009,1
ktnP1,1,3616,3791,1081,0
ktnP1,1,3616,3949,1106,1
ktnP1,1,3616,4117,999,1
ktnP1,1,3616,4118,799,2
ktnP1,1,3715,3589,846,0
ktnP1,1,3715,3784,987,2
ktnP1,1,3715,3848,1208,2
ktnP1,1,3715,3868,1138,1
ktnP1,1,3715,4032,988,1
ktnP1,1,3715,4135,929,0
ktnP1,1,3715,4136,951,0
ktnP1,1,4143,3844,1101,0
ktnP1,1,4143,3846,872,2
ktnP1,1,4143,3903,1194,0
ktnP1,1,4143,3911,1204,1
ktnP1,1,4143,3924,840,2
ktnP1,1,4143,3929,1004,1
ktnP1,1,4143,4144,1203,1
ktnP1,1,3903,3842,977,0
ktnP1,1,3903,3843,827,0
ktnP1,1,3903,3844,1101,0
ktnP1,1,3903,3904,1195,2
ktnP1,1,3903,3924,840,1
ktnP1,1,3903,3925,1197,1
ktnP1,1,3903,3945,1196,1
ktnP1,1,3903,4143,1202,2
ktnP1,1,3739,3624,936,0
ktnP1,1,3739,3747,899,1
ktnP1,1,3739,3748,949,2
ktnP1,1,3739,3820,1058,0
ktnP1,1,3739,3838,830,1
ktnP1,1,3739,4018,942,0
ktnP1,1,3739,4093,882,2
ktnP1,1,3569,3673,876,1
ktnP1,1,3569,3675,881,1
ktnP1,1,3569,3691,1161,2
ktnP1,1,3569,3831,1162,0
ktnP1,1,3569,3989,903,1
ktnP1,1,3569,3990,1209,2
ktnP1,1,4155,3702,1074,0
ktnP1,1,4155,3794,900,1
ktnP1,1,4155,3820,1058,0
ktnP1,1,4155,4139,1131,0
ktnP1,1,4155,4140,1085,0
ktnP1,1,4155,4141,1130,2
ktnP1,1,4155,4151,1086,2
ktnP1,1,4155,4153,907,1
ktnP1,1,4155,4154,856,1
ktnP1,1,3744,3611,877,0
ktnP1,1,3744,3731,1110,2
ktnP1,1,3744,3732,817,1
ktnP1,1,3744,3740,944,0
ktnP1,1,3744,3742,946,2
ktnP1,1,3891,3660,800,2
ktnP1,1,3891,3676,913,0
ktnP1,1,3891,3877,1061,1
ktnP1,1,3891,4020,914,0
ktnP1,1,3731,3611,877,0
ktnP1,1,3731,3732,817,2
ktnP1,1,3731,3744,1062,0
ktnP1,1,3731,4046,1020,0
ktnP1,1,3731,4047,1021,2
ktnP1,1,3731,4048,1077,1
ktnP1,1,3731,4051,1111,1
ktnP1,1,3800,3674,862,2
ktnP1,1,3800,3676,913,1
ktnP1,1,3800,3849,1088,2
ktnP1,1,3800,3937,1184,1
ktnP1,1,3800,4153,907,0
ktnP1,1,3800,4154,856,0
ktnP1,1,3674,3653,833,1
ktnP1,1,3674,3660,800,2
ktnP1,1,3674,3671,826,1
ktnP1,1,3674,3676,913,0
ktnP1,1,3674,3794,900,2
ktnP1,1,3674,3800,910,0
ktnP1,1,3674,4153,907,0
ktnP1,1,4151,3820,1058,0
ktnP1,1,4151,3838,830,1
ktnP1,1,4151,4093,882,2
ktnP1,1,4151,4154,856,1
ktnP1,1,4151,4155,954,2
ktnP1,1,3838,3739,1050,0
ktnP1,1,3838,3747,899,2
ktnP1,1,3838,3849,1088,1
ktnP1,1,3838,4093,882,0
ktnP1,1,3838,4151,1086,2
ktnP1,1,3838,4154,856,1
ktnP1,1,4135,3589,846,1
ktnP1,1,4135,3634,925,2
ktnP1,1,4135,3703,1228,0
ktnP1,1,4135,3715,930,1
ktnP1,1,4135,3760,938,0
ktnP1,1,4135,4136,951,2
ktnP1,1,3676,3601,1182,1
ktnP1,1,3676,3640,1183,1
ktnP1,1,3676,3660,800,0
ktnP1,1,3676,3672,1180,1
ktnP1,1,3676,3674,862,0
ktnP1,1,3676,3800,910,0
ktnP1,1,3676,3891,806,0
ktnP1,1,3676,3937,1184,2
ktnP1,1,3676,4020,914,2
ktnP1,1,3842,3793,822,1
ktnP1,1,3842,3839,831,0
ktnP1,1,3842,3843,827,1
ktnP1,1,3842,3901,871,0
ktnP1,1,3842,3903,1194,1
ktnP1,1,3842,3904,1195,2
ktnP1,1,3842,3983,1124,2
ktnP1,1,3668,3567,1099,0
ktnP1,1,3668,3596,1174,0
ktnP1,1,3668,3654,842,0
ktnP1,1,3668,3724,1175,0
ktnP1,1,3668,3923,869,2
ktnP1,1,3668,3988,1039,0
ktnP1,1,3668,3989,903,1
ktnP1,1,3668,3990,1209,1
ktnP1,1,3791,3616,802,2
ktnP1,1,3791,3617,803,1
ktnP1,1,3791,3727,875,0
ktnP1,1,3791,3793,822,1
ktnP1,1,3791,3839,831,2
ktnP1,1,3791,3983,1124,1
ktnP1,1,3791,4031,1200,0
ktnP1,1,3869,3591,808,2
ktnP1,1,3869,3747,899,0
ktnP1,1,3869,3838,830,0
ktnP1,1,3869,3849,1088,0
ktnP1,1,3869,4043,1186,1
ktnP1,1,3852,3582,948,2
ktnP1,1,3852,3801,857,0
ktnP1,1,3852,3803,947,0
ktnP1,1,3852,3850,924,2
ktnP1,1,3852,3915,961,1
ktnP1,1,3852,4039,1127,1
ktnP1,1,3611,3731,1110,0
ktnP1,1,3611,3737,824,2
ktnP1,1,3611,3740,944,1
ktnP1,1,3611,3744,1062,2
ktnP1,1,3611,4045,1019,0
ktnP1,1,3611,4046,1020,0
ktnP1,1,4045,3611,877,2
ktnP1,1,4045,3734,1059,0
ktnP1,1,4045,3737,824,0
ktnP1,1,4045,3870,809,2
ktnP1,1,4045,3955,966,0
ktnP1,1,4045,4046,1020,1
ktnP2,0,292,272,216,2
ktnP2,0,292,291,52,1
ktnP2,0,292,296,112,0
ktnP2,0,292,303,510,1
ktnP2,0,292,531,224,2
ktnP2,0,292,548,576,0
ktnP2,0,292,657,218,0
ktnP2,0,213,83,175,0
ktnP2,0,213,107,169,2
ktnP2,0,213,110,255,1
ktnP2,0,213,154,380,2
ktnP2,0,213,231,398,0
ktnP2,0,213,480,393,1
ktnP2,0,213,656,34,1
ktnP2,0,188,52,209,2
ktnP2,0,188,73,538,0
ktnP2,0,188,74,24,0
ktnP2,0,188,221,300,0
ktnP2,0,548,187,336,1
ktnP2,0,548,292,512,1
ktnP2,0,548,409,228,2
ktnP2,0,548,476,515,0
ktnP2,0,548,531,224,1
ktnP2,0,548,657,218,2
ktnP2,0,496,41,122,0
ktnP2,0,496,365,235,1
ktnP2,0,496,374,586,2
ktnP2,0,496,375,502,0
ktnP2,0,496,384,242,0
ktnP2,0,496,439,73,1
ktnP2,0,496,446,320,2
ktnP2,0,435,14,465,0
ktnP2,0,435,95,516,0
ktnP2,0,435,155,385,1
ktnP2,0,435,219,128,2
ktnP2,0,435,428,166,1
ktnP2,0,435,530,33,2
ktnP2,0,435,676,61,0
ktnP2,0,222,154,380,1
ktnP2,0,222,223,107,2
ktnP2,0,222,226,101,0
ktnP2,0,222,229,616,0
ktnP2,0,222,231,398,2
ktnP2,0,101,58,268,0
ktnP2,0,101,133,362,2
ktnP2,0,101,192,39,1
ktnP2,0,101,193,444,1
ktnP2,0,101,194,446,2
ktnP2,0,101,571,522,0
ktnP2,0,369,353,600,2
ktnP2,0,369,354,343,0
ktnP2,0,369,356,85,0
ktnP2,0,474,177,199,1
ktnP2,0,474,180,202,2
ktnP2,0,474,241,411,2
ktnP2,0,474,252,48,0
ktnP2,0,474,266,349,1
ktnP2,0,474,399,414,0
ktnP2,0,74,73,538,1
ktnP2,0,74,155,385,0
ktnP2,0,74,188,384,2
