plant,time point,dividing parent cell,parent neighbor,weighted node degree_neighbour,clustering coefficient_neighbour,information centrality_neighbour,betweenness centrality_neighbour,eigenvector centrality_neighbour,page rank_neighbour,katz centrality_neighbour,current flow betweenness centrality_neighbour,communicability betweenness centrality_neighbour,load centrality_neighbour,harmonic centrality_neighbour,size on 2 neighborhood_neighbour,estrada index on 2 neighborhood_neighbour,abs graph density on 2 neighborhood_neighbour,rel graph density on 2 neighborhood_neighbour,avg path length on 2 neighborhood_neighbour,algebraic connectivity on 2 neighborhood_neighbour,weighted node degree_div_cell,clustering coefficient_div_cell,information centrality_div_cell,betweenness centrality_div_cell,eigenvector centrality_div_cell,page rank_div_cell,katz centrality_div_cell,current flow betweenness centrality_div_cell,communicability betweenness centrality_div_cell,load centrality_div_cell,harmonic centrality_div_cell,size on 2 neighborhood_div_cell,estrada index on 2 neighborhood_div_cell,abs graph density on 2 neighborhood_div_cell,rel graph density on 2 neighborhood_div_cell,avg path length on 2 neighborhood_div_cell,algebraic connectivity on 2 neighborhood_div_cell,weighted node degree_difference,clustering coefficient_difference,information centrality_difference,betweenness centrality_difference,eigenvector centrality_difference,page rank_difference,katz centrality_difference,current flow betweenness centrality_difference,communicability betweenness centrality_difference,load centrality_difference,harmonic centrality_difference,size on 2 neighborhood_difference,estrada index on 2 neighborhood_difference,abs graph density on 2 neighborhood_difference,rel graph density on 2 neighborhood_difference,avg path length on 2 neighborhood_difference,algebraic connectivity on 2 neighborhood_difference
P2,0,27,11,0.18117345322721143,0.20152649879694212,0.00017889831626367083,0.10444512464714484,0.05943180128786771,0.003908068653336856,0.06934463596503582,0.07048858463164477,0.08001769766466103,0.10444512464714484,1937.7246106960301,46.0,232.7616054209791,0.21904761904761907,4.380952380952381,0.0686233655720843,0.020557673197588132,0.20463000922025756,0.13720855086149533,0.0001845552381575337,0.16552732714348875,0.06049634163193838,0.004422790959114849,0.08059289761703838,0.08586604946208284,0.11644766872588057,0.16552732714348875,1996.0243129023136,52.0,274.11732497996695,0.20553359683794464,4.521739130434782,0.06936964678363246,0.019719317105477877,-0.023456555993046135,0.06431794793544679,-5.656921893862859e-06,-0.06108220249634391,-0.0010645403440706705,-0.0005147223057779936,-0.011248261652002559,-0.015377464830438073,-0.036429971061219535,-0.06108220249634391,-58.29970220628343,-6.0,-41.35571955898786,0.013514022209674431,-0.14078674948240089,-0.0007462812115481554,0.0008383560921102554
P2,0,27,42,0.15812471663232633,0.2680134421479198,0.00016782563865722064,0.040948202564364176,0.026714621386873232,0.0035288749040749716,0.062885780405751,0.05195809180866494,0.043640875174246835,0.040948202564364176,1806.4708514177462,42.0,214.78518295805344,0.2456140350877193,4.421052631578948,0.06459208412192426,0.022557717392585476,0.20463000922025756,0.13720855086149533,0.0001845552381575337,0.16552732714348875,0.06049634163193838,0.004422790959114849,0.08059289761703838,0.08586604946208284,0.11644766872588057,0.16552732714348875,1996.0243129023136,52.0,274.11732497996695,0.20553359683794464,4.521739130434782,0.06936964678363246,0.019719317105477877,-0.046505292587931235,0.13080489128642445,-1.672959950031305e-05,-0.12457912457912457,-0.03378172024506515,-0.0008939160550398778,-0.01770711721128737,-0.033907957653417906,-0.07280679355163373,-0.12457912457912457,-189.55346148456738,-10.0,-59.33214202191351,0.04008043824977467,-0.10068649885583447,-0.004777562661708201,0.0028384002871075995
P2,0,27,128,0.1902041560367241,0.16116559710590014,0.0001828810353186454,0.12665374281535896,0.07058766956099054,0.004075053747568795,0.07634354922511156,0.08548377938602159,0.11630961806903783,0.12665374281535896,1929.3234209337681,54.0,281.5234262460463,0.1956521739130435,4.5,0.07175003463958157,0.01836458512014087,0.20463000922025756,0.13720855086149533,0.0001845552381575337,0.16552732714348875,0.06049634163193838,0.004422790959114849,0.08059289761703838,0.08586604946208284,0.11644766872588057,0.16552732714348875,1996.0243129023136,52.0,274.11732497996695,0.20553359683794464,4.521739130434782,0.06936964678363246,0.019719317105477877,-0.014425853183533455,0.02395704624440481,-1.6742028388883024e-06,-0.03887358432812979,0.010091327929052159,-0.000347737211546054,-0.0042493483919268105,-0.0003822700760612585,-0.00013805065684273365,-0.03887358432812979,-66.70089196854542,2.0,7.406101266079361,-0.009881422924901156,-0.02173913043478226,0.002380387855949115,-0.0013547319853370078
P2,0,27,180,0.23328130600081481,0.19657461574168134,0.00018808282191374153,0.017481209400401317,0.18367894586317776,0.004630022784261191,0.07406738047111126,0.07604041800367466,0.0648753785760788,0.017481209400401317,1780.530584409324,47.0,245.5205366586734,0.22380952380952382,4.476190476190476,0.07260699612051834,0.021888322861426154,0.20463000922025756,0.13720855086149533,0.0001845552381575337,0.16552732714348875,0.06049634163193838,0.004422790959114849,0.08059289761703838,0.08586604946208284,0.11644766872588057,0.16552732714348875,1996.0243129023136,52.0,274.11732497996695,0.20553359683794464,4.521739130434782,0.06936964678363246,0.019719317105477877,0.02865129678055725,0.059366064880186004,3.527583756207837e-06,-0.14804611774308743,0.12318260423123939,0.00020723182514634144,-0.006525517145927112,-0.009825631458408188,-0.051572290149801775,-0.14804611774308743,-215.49372849298948,-5.0,-28.59678832129356,0.018275926971579176,-0.045548654244305986,0.0032373493368858808,0.002169005755948278
P2,0,27,262,0.13382661799815632,0.3530243732789426,0.0001530051260281042,0.0,0.01789456341620015,0.0031606711141303487,0.05524152395709593,0.03422612620780596,0.014294297147748287,0.0,1631.7606748372987,32.0,159.00329911390781,0.30476190476190473,4.266666666666667,0.05508837408095868,0.02858945769204469,0.20463000922025756,0.13720855086149533,0.0001845552381575337,0.16552732714348875,0.06049634163193838,0.004422790959114849,0.08059289761703838,0.08586604946208284,0.11644766872588057,0.16552732714348875,1996.0243129023136,52.0,274.11732497996695,0.20553359683794464,4.521739130434782,0.06936964678363246,0.019719317105477877,-0.07080339122210125,0.21581582241744726,-3.15501121294295e-05,-0.16552732714348875,-0.042601778215738226,-0.0012621198449845007,-0.025351373659942444,-0.05163992325427688,-0.10215337157813228,-0.16552732714348875,-364.2636380650149,-20.0,-115.11402586605914,0.09922830792396009,-0.25507246376811565,-0.014281272702673778,0.008870140586566815
P2,0,27,264,0.17464690239203867,0.1974701651031241,0.00017082352108695748,0.04805632078359351,0.02544775644908586,0.003937735154413282,0.06925277700450802,0.06346703118099803,0.06300220323554184,0.04805632078359351,1844.176173221728,46.0,236.7313626516295,0.21904761904761907,4.380952380952381,0.06495304521668888,0.019671822173003707,0.20463000922025756,0.13720855086149533,0.0001845552381575337,0.16552732714348875,0.06049634163193838,0.004422790959114849,0.08059289761703838,0.08586604946208284,0.11644766872588057,0.16552732714348875,1996.0243129023136,52.0,274.11732497996695,0.20553359683794464,4.521739130434782,0.06936964678363246,0.019719317105477877,-0.02998310682821889,0.060261614241628764,-1.373171707057621e-05,-0.11747100635989524,-0.03504858518285252,-0.0004850558047015674,-0.011340120612530355,-0.022399018281084815,-0.053445465490338726,-0.11747100635989524,-151.84813968058552,-6.0,-37.385962328337456,0.013514022209674431,-0.14078674948240089,-0.0044166015669435815,-4.7494932474169416e-05
P2,0,27,313,0.15750023702682195,0.2702806352477137,0.00017143124063457863,0.009522837805666087,0.10675099923590343,0.0033507861864275398,0.06333854981393873,0.051836842010588205,0.041640386343793544,0.009522837805666087,1803.6674303122757,44.0,225.4470642579363,0.23157894736842108,4.4,0.0708620714011255,0.022248995754687004,0.20463000922025756,0.13720855086149533,0.0001845552381575337,0.16552732714348875,0.06049634163193838,0.004422790959114849,0.08059289761703838,0.08586604946208284,0.11644766872588057,0.16552732714348875,1996.0243129023136,52.0,274.11732497996695,0.20553359683794464,4.521739130434782,0.06936964678363246,0.019719317105477877,-0.047129772193435615,0.13307208438621834,-1.3123997522955055e-05,-0.15600448933782265,0.046254657603965056,-0.0010720047726873096,-0.017254347803099646,-0.03402920745149464,-0.07480728238208703,-0.15600448933782265,-192.3568825900379,-8.0,-48.67026072203066,0.026045350530476435,-0.1217391304347819,0.0014924246174930489,0.002529678649209128
P2,0,27,341,0.19099497948145816,0.2179719005976465,0.00017108012618248758,0.0047614189028330435,0.02046255807102801,0.004260582339952563,0.06698449565830855,0.05744277507270906,0.03904697575649972,0.0047614189028330435,1778.428293439192,40.0,205.44024846298703,0.26143790849673204,4.444444444444445,0.06268866530104372,0.024015158375890053,0.20463000922025756,0.13720855086149533,0.0001845552381575337,0.16552732714348875,0.06049634163193838,0.004422790959114849,0.08059289761703838,0.08586604946208284,0.11644766872588057,0.16552732714348875,1996.0243129023136,52.0,274.11732497996695,0.20553359683794464,4.521739130434782,0.06936964678363246,0.019719317105477877,-0.013635029738799403,0.08076334973615118,-1.3475111975046113e-05,-0.1607659082406557,-0.04003378356091037,-0.00016220861916228617,-0.013608401958729824,-0.02842327438937378,-0.07740069296938085,-0.1607659082406557,-217.5960194631216,-12.0,-68.67707651697992,0.0559043116587874,-0.07729468599033762,-0.006680981482588735,0.004295841270412177
P2,0,63,40,0.14935120963895515,0.24964219646411756,0.00015730998878970515,0.0,0.01858979260517953,0.0033064332999358033,0.06513978391331557,0.04780470905312901,0.04372406483306942,0.0,1758.6887070181117,47.0,243.7210704615986,0.20346320346320346,4.2727272727272725,0.06881267850525422,0.016777316625411934,0.24564591453251208,0.10571400315151322,0.00018731548670872952,0.18729381355643981,0.04339440407614199,0.0052246415573924485,0.09309082976680572,0.1032056536258192,0.14287586271497288,0.18729381355643981,2055.2124732316433,56.0,312.62923043888895,0.2028985507246377,4.666666666666667,0.06585236656157419,0.020422004180636978,-0.09629470489355693,0.14392819331260434,-3.0005497919024366e-05,-0.18729381355643981,-0.024804611470962464,-0.0019182082574566452,-0.027951045853490147,-0.05540094457269019,-0.09915179788190345,-0.18729381355643981,-296.52376621353164,-9.0,-68.90815997729035,0.0005646527385657629,-0.3939393939393945,0.00296031194368003,-0.0036446875552250436
P2,0,63,71,0.16204657761826444,0.2650895990535825,0.0001667320229463741,0.0,0.049755539849143035,0.0035763283753366,0.06382648287403342,0.047862766020897556,0.03662065297119181,0.0,1794.4999688154699,45.0,243.67993302709795,0.23684210526315788,4.5,0.06112247788165665,0.02146698407087686,0.24564591453251208,0.10571400315151322,0.00018731548670872952,0.18729381355643981,0.04339440407614199,0.0052246415573924485,0.09309082976680572,0.1032056536258192,0.14287586271497288,0.18729381355643981,2055.2124732316433,56.0,312.62923043888895,0.2028985507246377,4.666666666666667,0.06585236656157419,0.020422004180636978,-0.08359933691424765,0.15937559590206926,-2.058346376235541e-05,-0.18729381355643981,0.006361135773001042,-0.0016483131820558485,-0.029264346892772297,-0.05534288760492164,-0.10625520974378107,-0.18729381355643981,-260.7125044161735,-11.0,-68.94929741179101,0.03394355453852019,-0.16666666666666696,-0.0047298886799175335,0.0010449798902398832
