plant,time point,dividing parent cell,parent neighbor,dividingCellArea,neighbourCellArea,sharedWall,distance,dividingCellPerimeter,neighbourCellPerimeter
P9,0,574,542,44.7938,29.6731,4.20767,7.049102100948743,6441,4491
P9,0,574,695,44.7938,21.1987,3.53081,6.1168360826574375,6441,3944
P9,0,574,778,44.7938,27.9509,4.92721,5.926150607476998,6441,4551
P9,0,574,784,44.7938,25.9477,2.22631,7.943017143378202,6441,4406
P9,0,574,835,44.7938,36.9012,6.83936,5.836146964230769,6441,5058
P9,0,574,902,44.7938,47.1568,3.85533,8.737732599599282,6441,5257
P9,0,574,904,44.7938,28.8101,3.04265,6.900332724325691,6441,3945
P9,0,574,1001,44.7938,33.9974,2.1973,8.236710117789745,6441,3126
P9,0,611,617,40.6501,25.1268,6.5267,5.589836177271745,5043,3335
P9,0,611,866,40.6501,28.7746,7.74004,5.052299271175844,5043,4039
P9,0,611,867,40.6501,32.0417,4.21738,6.638406725648558,5043,4690
P9,0,611,877,40.6501,33.7113,2.31111,8.04237812196094,5043,6504
P9,0,611,892,40.6501,39.8503,5.15431,6.746212345215351,5043,5128
P9,0,611,924,40.6501,39.3332,4.42298,6.769574920057834,5043,5884
P9,0,646,664,37.6522,31.0786,4.10921,6.174914358920291,5450,4946
P9,0,646,926,37.6522,37.5195,4.0351,7.1082150769373875,5450,4329
P9,0,646,927,37.6522,43.5708,7.302,6.011753492950287,5450,5861
P9,0,646,953,37.6522,39.729,2.84853,7.926384467712882,5450,4741
P9,0,646,974,37.6522,47.3154,4.59406,7.764760311175095,5450,6201
P9,0,646,1006,37.6522,44.9602,3.82655,7.156188653389458,5450,4682
P9,0,653,650,44.7586,28.0437,4.15935,6.477715399692162,5266,4486
P9,0,653,779,44.7586,44.4218,3.04685,8.12437544734172,5266,6782
P9,0,653,902,44.7586,47.1568,4.4488,7.4056653235188135,5266,5257
P9,0,653,904,44.7586,28.8101,5.60728,5.894129530650732,5266,3945
P9,0,653,981,44.7586,36.6664,6.17175,6.095778549990887,5266,6181
P9,0,653,1050,44.7586,42.2579,6.03521,6.4529995582588535,5266,4798
P9,0,667,542,34.2472,29.6731,6.26971,5.296222318993038,3432,4491
P9,0,667,701,34.2472,31.3541,3.63051,6.514089941511401,3432,4598
P9,0,667,721,34.2472,40.3595,4.58701,7.299929076641773,3432,6308
P9,0,667,724,34.2472,42.4358,6.85659,6.117431617312939,3432,5059
P9,0,667,744,34.2472,24.754,4.65175,5.497494280133449,3432,3533
P9,0,670,685,40.8615,43.4308,7.4845,5.811681056913223,6793,6130
P9,0,670,983,40.8615,48.4375,7.97571,5.832633678228045,6793,5224
P9,0,670,984,40.8615,25.9523,4.20772,6.722366668654797,6793,4251
P9,0,670,1003,40.8615,35.4801,0.720428,9.60607761147077,6793,5624
P9,0,670,1026,40.8615,47.2807,3.7268,7.654183255795486,6793,6086
P9,0,670,1044,40.8615,35.9912,3.61141,8.066753240925497,6793,4424
P9,0,670,1068,40.8615,41.0987,2.46358,8.782006773084385,6793,4583
P9,0,675,556,39.884,27.1938,3.354,6.920293525429394,5032,4612
P9,0,675,709,39.884,37.6204,3.70948,7.576400332486401,5032,4381
P9,0,675,751,39.884,42.6745,7.46345,5.90363755697282,5032,5326
P9,0,675,873,39.884,37.5277,5.29289,6.711148342541683,5032,4970
P9,0,675,1070,39.884,29.9614,2.20106,7.356513883246601,5032,4357
P9,0,675,1073,39.884,32.32,6.38579,5.474968329552236,5032,4954
P9,0,681,664,35.5077,31.0786,3.0505,6.962321992237935,5121,4946
P9,0,681,687,35.5077,34.417,7.00086,4.936531109078519,5121,5949
P9,0,681,688,35.5077,26.9353,4.47714,7.023583097144932,5121,4529
P9,0,681,1005,35.5077,30.8003,2.8992,7.52828659210713,5121,4752
P9,0,681,1006,35.5077,44.9602,8.45657,5.201810576606958,5121,4682
P9,0,681,1071,35.5077,31.3241,2.02099,7.339859300940311,5121,3871
P9,0,685,594,43.4308,31.2829,3.16818,8.200645786195377,6130,5167
P9,0,685,670,43.4308,40.8615,7.4845,5.811681056913223,6130,6793
P9,0,685,721,43.4308,40.3595,4.12285,7.771490077331631,6130,6308
P9,0,685,1003,43.4308,35.4801,3.60967,8.010644878165802,6130,5624
P9,0,685,1027,43.4308,33.6082,4.19755,7.4571180551862,6130,5770
P9,0,685,1047,43.4308,19.6972,1.47238,6.911452978276565,6130,3481
P9,0,685,1068,43.4308,41.0987,3.97781,7.413317836946153,6130,4583
P9,0,709,544,37.6204,50.381,5.22483,7.492879647371891,4381,3606
P9,0,709,556,37.6204,27.1938,6.94897,4.839518622755783,4381,4612
P9,0,709,675,37.6204,39.884,3.70948,7.576400332486401,4381,5032
P9,0,709,742,37.6204,54.5634,4.3721,7.768360794942522,4381,6775
P9,0,709,791,37.6204,48.8927,2.14786,8.171523045919896,4381,6110
P9,0,709,1073,37.6204,32.32,4.48575,6.421978724077184,4381,4954
P9,0,721,542,40.3595,29.6731,2.02271,7.345572892062266,6308,4491
P9,0,721,594,40.3595,31.2829,2.83336,7.752852960588121,6308,5167
P9,0,721,667,40.3595,34.2472,4.58701,7.299929076641773,6308,3432
P9,0,721,685,40.3595,43.4308,4.12285,7.771490077331631,6308,6130
P9,0,721,724,40.3595,42.4358,0.705918,9.221316093730872,6308,5059
P9,0,721,1001,40.3595,33.9974,4.83273,5.967169595151456,6308,3126
P9,0,721,1047,40.3595,19.6972,5.4048,4.9165116076405235,6308,3481
P9,0,721,1048,40.3595,38.0761,3.12526,7.568736421685193,6308,5584
P9,0,724,667,42.4358,34.2472,6.85659,6.117431617312939,5059,3432
P9,0,724,701,42.4358,31.3541,2.65469,7.318516166655643,5059,4598
P9,0,724,721,42.4358,40.3595,0.705918,9.221316093730872,5059,6308
P9,0,724,873,42.4358,37.5277,5.51978,6.176241133416021,5059,4970
P9,0,724,1048,42.4358,38.0761,8.07254,5.500664661322666,5059,5584
P9,0,724,1049,42.4358,41.8446,5.35365,7.249175710961901,5059,6423
P9,0,751,556,42.6745,27.1938,1.83204,8.053913508971894,5326,4612
P9,0,751,675,42.6745,39.884,7.46345,5.90363755697282,5326,5032
P9,0,751,701,42.6745,31.3541,5.86064,6.337355920255702,5326,4598
P9,0,751,839,42.6745,29.0994,3.0341,7.706344602987853,5326,5328
P9,0,751,840,42.6745,27.273,3.40171,6.450832351720203,5326,3978
P9,0,751,842,42.6745,28.1418,6.28643,5.427800985666295,5326,3901
P9,0,751,873,42.6745,37.5277,1.455,8.176796484106719,5326,4970
P9,0,868,650,43.9722,28.0437,2.34043,8.040625513136398,5894,4486
P9,0,868,736,43.9722,27.5949,2.4458,7.9375263275153936,5894,5095
P9,0,868,825,43.9722,38.4284,4.0266,7.794467045282826,5894,5984
P9,0,868,830,43.9722,30.071,7.59905,5.146934077254149,5894,3837
P9,0,868,902,43.9722,47.1568,4.46193,7.258364755067079,5894,5257
P9,0,868,938,43.9722,27.6574,6.16142,5.247717169398518,5894,4219
P9,0,868,1013,43.9722,41.4235,2.48314,8.790755017630737,5894,5817
P9,0,892,611,39.8503,40.6501,5.15431,6.746212345215351,5128,5043
P9,0,892,867,39.8503,32.0417,4.02058,6.834488419040594,5128,4690
P9,0,892,879,39.8503,25.8148,5.05703,5.8727850590328945,5128,4146
P9,0,892,908,39.8503,36.2843,3.37437,6.941587574726692,5128,6084
P9,0,892,924,39.8503,39.3332,3.20964,8.094696905437536,5128,5884
P9,0,892,939,39.8503,32.6477,8.69606,4.8219957071839055,5128,4963
P9,0,902,574,47.1568,44.7938,3.85533,8.737732599599282,5257,6441
P9,0,902,650,47.1568,28.0437,5.49947,6.372925196336451,5257,4486
P9,0,902,653,47.1568,44.7586,4.4488,7.4056653235188135,5257,5266
P9,0,902,778,47.1568,27.9509,2.71937,7.454142841373514,5257,4551
P9,0,902,830,47.1568,30.071,4.87762,6.499311726359955,5257,3837
P9,0,902,868,47.1568,43.9722,4.46193,7.258364755067079,5257,5894
P9,0,902,904,47.1568,28.8101,4.40272,6.4825034886916955,5257,3945
P9,0,908,644,36.2843,30.3831,2.59047,7.530087421033039,6084,5405
P9,0,908,879,36.2843,25.8148,3.27081,6.6827044001661475,6084,4146
P9,0,908,880,36.2843,35.9887,3.41175,7.5091738487000015,6084,5034
P9,0,908,892,36.2843,39.8503,3.37437,6.941587574726692,6084,5128
P9,0,908,909,36.2843,36.2005,3.47677,6.597340947684907,6084,6383
P9,0,908,939,36.2843,32.6477,4.80491,6.512443523171621,6084,4963
P9,0,908,941,36.2843,24.4766,6.41505,5.052466771785837,6084,5040
