,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.1059,50.021300000000004,2.4787,0.5895870000000002,0.0464,50.003099999999996,1.4546000000000001,0.5007379999999998
split 1,0.1789,50.038500000000006,7.947000000000002,0.5845110000000001,0.3319,50.0192,4.179100000000001,0.504869
split 2,0.1603,50.0312,3.2234000000000003,0.5891399999999997,0.0,50.0,0.0,0.4952990000000002
split 3,0.21760000000000002,50.04429999999999,5.7917000000000005,0.5881200000000001,0.043100000000000006,49.9875,1.39,0.5030640000000001
split 4,0.1618,50.032799999999995,4.2249,0.583392,0.0,50.0,0.0,0.49870600000000015
split 5,0.122,50.024499999999996,4.2058,0.5840940000000002,0.08199999999999999,49.9955,1.4311,0.4978999999999999
mean,0.15779999999999997,50.0322,4.645200000000002,0.586477,0.0839,50.001000000000005,1.4091,0.5001009999999999
std,0.16870000000000002,0.0341,5.415899999999999,0.009159999999999998,0.13779999999999998,0.04650000000000001,2.0404999999999998,0.034463000000000014
test mean,0.6655463692274466,0.13494904253692452,18.61399981805992,0.015067302928215526,0.6123456691864724,0.13981382008125762,9.483195284925898,0.03971833226326995
test std,0.2676523650454451,0.07245950741300264,1.9465622147842365,0.07207491842436935,0.1852530471419798,0.05345027891388542,1.19449928125952,0.06728294536771742
std testing,1.1704460032300874,0.3175693611472115,8.539188763986054,0.013457150253666698,1.0099618859315875,0.29497517125915174,5.956291652092614,0.01985157818104286
