,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.5551,0.0,50.0,0.0,0.5072
split 1,0.0,50.0,0.0,0.5341,0.0,50.0,0.0,0.5925
split 2,0.0,50.0,0.0,0.5458,0.0,50.0,0.0,0.4892
split 3,0.0,50.0,0.0,0.538,0.0,50.0,0.0,0.5401
split 4,0.0,50.0,0.0,0.5499,0.0,50.0,0.0,0.5248
split 5,0.0,50.0,0.0,0.543,0.0,50.0,0.0,0.5522
mean,0.0,50.0,0.0,0.5443,0.0,50.0,0.0,0.5343
std,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0332
test mean,0.0,50.0,0.0,0.5299116657017544,0.0,49.99999999999999,0.0,0.4902587668671069
test std,0.0,1.5888218580782548e-14,0.0,0.06568994773486367,0.0,1.8115356374411762e-14,0.0,0.04780749579909343
