,F1,Acc,precision,Auc
train tissue 0,0.0,50.000000000000014,0.0,0.5528273809523809
train tissue 1,0.0,50.0,0.0,0.6086956521739131
train tissue 2,0.0,50.000000000000014,0.0,0.48166666666666647
train tissue 3,0.0,50.0,0.0,0.5145067698259187
train tissue 4,0.0,49.99999999999997,0.0,0.5764411027568924
train tissue 5,0.0,49.99999999999999,0.0,0.5606060606060603
train tissue 6,0.0,50.000000000000014,0.0,0.5859247135842883
train tissue 7,0.0,50.00000000000002,0.0,0.6370588235294121
train tissue 8,0.0,50.000000000000014,0.0,0.4875816993464055
train tissue 9,0.0,49.999999999999986,0.0,0.5003389830508475
train tissue 10,0.0,49.999999999999986,0.0,0.3973634651600754
train tissue 11,0.0,50.000000000000014,0.0,0.5193650793650791
train tissue 12,0.0,50.0,0.0,0.6232
train tissue 13,0.0,49.999999999999986,0.0,0.637770897832817
train tissue 14,0.0,50.0,0.0,0.6217948717948716
train tissue 15,0.0,50.000000000000014,0.0,0.6285714285714286
train tissue 16,0.0,50.000000000000036,0.0,0.5617021276595748
train tissue 17,0.0,49.999999999999986,0.0,0.4969211822660098
train tissue 18,0.0,50.0,0.0,0.5090909090909085
train mean,0.0,50.0,0.0,0.5527067270649235
train std,0.0,1.5550132698718232e-14,0.0,0.06429418390012781
test tissue 0,0.0,50.00000000000004,0.0,0.4338461538461542
test tissue 1,0.0,50.00000000000002,0.0,0.5047619047619053
test tissue 2,0.0,50.0,0.0,0.5893939393939397
test tissue 3,0.0,50.000000000000014,0.0,0.6027777777777777
test tissue 4,0.0,50.0,0.0,0.4407692307692307
test tissue 5,0.0,49.99999999999999,0.0,0.4855072463768115
test tissue 6,0.0,50.0,0.0,0.47513440860215095
test tissue 7,0.0,50.000000000000014,0.0,0.566924066924067
test mean,0.0,50.00000000000001,0.0,0.5123893410565047
test std,0.0,1.5485919901226005e-14,0.0,0.06178697398033377
