,F1,Acc,precision,Auc
train tissue 0,88.98876404494382,89.52991452991454,93.8388625592417,0.9594017094017094
train tissue 1,39.8921832884097,58.90663390663391,74.24749163879599,0.8427518427518425
train tissue 2,75.36231884057973,73.84615384615385,71.2328767123288,0.8820512820512821
train tissue 3,95.89041095890411,96.05263157894737,100.0,0.9864176570458404
train tissue 4,80.91603053435111,76.4150943396227,67.94871794871791,0.8483018867924529
train tissue 5,93.45794392523364,93.0,87.71929824561403,0.9533333333333334
train tissue 6,85.53459119496857,83.08823529411764,74.72527472527474,0.961764705882353
train tissue 7,75.25423728813558,74.65277777777779,73.50993377483442,0.7824074074074074
train tissue 8,71.35135135135133,71.65775401069519,72.13114754098359,0.7540106951871657
train tissue 9,89.45041061276058,88.6779661016949,83.73743347131875,0.9389830508474576
train tissue 10,79.19463087248322,81.02636534839924,87.65714285714284,0.9143126177024483
train tissue 11,84.7058823529412,84.52380952380953,83.72093023255816,0.9196428571428573
train tissue 12,84.61538461538464,81.81818181818184,73.33333333333336,0.9276094276094276
train tissue 13,91.60305343511449,90.83333333333336,84.5070422535211,0.9892857142857143
train tissue 14,72.72727272727273,74.99999999999999,80.00000000000001,0.905349794238683
train tissue 15,84.72775564409032,85.83743842364531,91.9308357348703,0.9224137931034483
train tissue 16,80.59701492537314,78.33333333333334,72.97297297297301,0.9369047619047619
train tissue 17,87.24832214765101,85.38461538461539,77.38095238095238,0.9776923076923077
train tissue 18,86.57074340527579,86.60287081339713,86.77884615384617,0.9132775119617226
train mean,81.47833169290656,81.85195312443543,80.91437329138458,0.9113638082285376
train std,11.857005594663738,8.607382421377764,8.638973732102375,0.06306443920559203
test tissue 0,64.70405949798577,73.46225535880707,96.57724329324698,0.9221808014911465
test tissue 1,87.40359897172236,87.99019607843135,91.89189189189189,0.9754901960784313
test tissue 2,65.60000000000001,73.78048780487805,95.34883720930233,0.9430894308943089
test tissue 3,32.535885167464116,58.52941176470593,87.17948717948718,0.9058823529411766
test tissue 4,72.00000000000001,74.72222222222223,80.6896551724138,0.8355555555555554
test tissue 5,75.96899224806207,71.53061224489795,65.72280178837559,0.860714285714286
test tissue 6,91.66666666666666,90.90909090909092,84.61538461538461,0.9826839826839826
test tissue 7,73.44632768361585,76.7582417582418,85.65153733528552,0.9000000000000001
test mean,70.41569127943961,75.96031476765941,85.95960481067348,0.9156995756698609
test std,16.857565944706973,9.386187347957206,9.197652378771128,0.0482743981567056
