,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,78.51,78.54,78.63,0.8679,74.55,73.85,72.6,0.8239
split 1,77.45,77.66,78.18,0.8651,77.64,73.82,67.75,0.8327
split 2,73.82,67.93,62.37,0.7703,70.13,66.41,63.13,0.7152
split 3,65.05,67.96,71.56,0.7435,76.05,72.71,67.75,0.7838
split 4,79.57,79.24,78.33,0.8711,78.62,79.04,80.23,0.8527
split 5,81.58,81.31,80.42,0.8873,79.76,78.6,75.63,0.8647
mean,76.0,75.44,74.92,0.8342,76.13,74.07,71.18,0.8122
std,5.43,5.41,6.26,0.0556,3.17,4.2,5.66,0.0503
test mean,81.13116124415856,80.91530621007144,79.70366955089767,0.9018513033777227,75.40113691110412,78.76799351112095,86.63868661688655,0.9061191373712798
test std,7.545403147646039,6.571868585588046,7.420232796706327,0.05822269020003194,9.21468744190574,6.370543995617594,5.774463460819228,0.03839128144467674
