,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.4950280000000001,0.0,50.0,0.0,0.49944799999999995
split 1,0.0,50.0,0.0,0.49403999999999987,0.0,50.0,0.0,0.493326
split 2,0.0,50.0,0.0,0.49335700000000016,0.0,50.0,0.0,0.499401
split 3,0.0,50.0,0.0,0.4905970000000003,0.0,50.0,0.0,0.5058770000000001
split 4,0.0,50.0,0.0,0.4946470000000003,0.0,50.0,0.0,0.5024200000000001
split 5,0.0,50.0,0.0,0.4942420000000001,0.0,50.0,0.0,0.505531
mean,0.0,50.0,0.0,0.49365199999999987,0.0,50.0,0.0,0.5009999999999999
std,0.0,0.0,0.0,0.010928999999999998,0.0,0.0,0.0,0.03341199999999999
test mean,0.0,50.0,0.0,0.4944400285790047,0.0,50.0,0.0,0.5024328493341821
test std,0.0,1.5433975380245567e-14,0.0,0.07113232328123999,0.0,1.616671533638435e-14,0.0,0.07264078189080601
