,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,0.0,50.0,0.0,0.487,0.0,50.0,0.0,0.4743
split 1,0.0,50.0,0.0,0.5165,0.0,50.0,0.0,0.5234
split 2,0.0,50.0,0.0,0.5266,0.0,50.0,0.0,0.4863
split 3,0.0,50.0,0.0,0.5186,0.0,50.0,0.0,0.5192
split 4,0.0,50.0,0.0,0.5149,0.0,50.0,0.0,0.5396
split 5,0.0,50.0,0.0,0.4868,0.0,50.0,0.0,0.4663
mean,0.0,50.0,0.0,0.5084,0.0,50.0,0.0,0.5015
std,0.0,0.0,0.0,0.0156,0.0,0.0,0.0,0.0272
test mean,0.0,50.00000000000001,0.0,0.5223953668375475,0.0,50.000000000000014,0.0,0.542261299075237
test std,0.0,1.7328167009932818e-14,0.0,0.062323120948085335,0.0,1.758503553725828e-14,0.0,0.0680328295391679
