,F1,Acc,precision,Auc
train tissue 0,0.0,50.000000000000014,0.0,0.5027322404371581
train tissue 1,0.0,49.999999999999986,0.0,0.47199453551912524
train tissue 2,0.0,50.0,0.0,0.5573770491803276
train tissue 3,0.0,50.00000000000002,0.0,0.31900452488687797
train tissue 4,0.0,50.000000000000014,0.0,0.47428571428571437
train tissue 5,0.0,50.000000000000014,0.0,0.5850439882697951
train tissue 6,0.0,50.0,0.0,0.6594202898550723
train tissue 7,0.0,49.999999999999964,0.0,0.5566286215978925
train tissue 8,0.0,49.99999999999999,0.0,0.3775252525252523
train tissue 9,0.0,50.000000000000014,0.0,0.5965787598004275
train tissue 10,0.0,49.999999999999986,0.0,0.4854227405247811
train tissue 11,0.0,49.99999999999999,0.0,0.4754464285714284
train tissue 12,0.0,50.0,0.0,0.48800000000000004
train tissue 13,0.0,50.000000000000014,0.0,0.5961722488038278
train tissue 14,0.0,49.99999999999998,0.0,0.4481481481481481
train tissue 15,0.0,50.000000000000014,0.0,0.41752933057280905
train tissue 16,0.0,50.0,0.0,0.6109253065774805
train tissue 17,0.0,50.000000000000014,0.0,0.4227994227994234
train tissue 18,0.0,49.999999999999986,0.0,0.6721311475409835
train mean,0.0,50.0,0.0,0.5114297763103434
train std,0.0,1.5028750209624192e-14,0.0,0.0925646130059724
test tissue 0,0.0,50.0,0.0,0.4024520255863535
test tissue 1,0.0,50.000000000000014,0.0,0.39743589743589774
test tissue 2,0.0,50.000000000000014,0.0,0.44360902255639106
test tissue 3,0.0,50.00000000000002,0.0,0.5620689655172413
test tissue 4,0.0,50.00000000000002,0.0,0.5692640692640697
test tissue 5,0.0,49.999999999999986,0.0,0.4540023894862607
test tissue 6,0.0,50.0,0.0,0.4505494505494507
test tissue 7,0.0,50.00000000000004,0.0,0.42881355932203413
test mean,0.0,50.000000000000014,0.0,0.46352442246471237
test std,0.0,1.6280579355608324e-14,0.0,0.06209862805801273
