,F1,Acc,precision,Auc
train tissue 0,90.75630252100841,90.5982905982906,89.25619834710743,0.9615384615384616
train tissue 1,83.77358490566034,84.15233415233413,85.82474226804122,0.8894348894348891
train tissue 2,86.25592417061611,85.12820512820512,80.1762114537445,0.9076923076923078
train tissue 3,91.33448873483538,91.51103565365023,93.27433628318586,0.9524617996604416
train tissue 4,71.33808392715756,72.6792452830189,75.02081598667777,0.8490566037735849
train tissue 5,86.20689655172413,84.0,75.75757575757574,0.92
train tissue 6,84.472049689441,81.61764705882354,73.11827956989248,0.9852941176470588
train tissue 7,41.584158415841586,59.02777777777779,72.41379310344827,0.8373842592592592
train tissue 8,40.20887728459527,59.180035650623886,75.1219512195122,0.7843137254901958
train tissue 9,70.26797107613781,76.3050847457627,94.29223744292237,0.9471186440677966
train tissue 10,78.51711026615969,78.71939736346516,79.27063339731285,0.9171374764595104
train tissue 11,68.28528072837634,75.11904761904763,94.14225941422593,0.9107142857142859
train tissue 12,89.79591836734696,88.63636363636364,81.48148148148151,0.9090909090909091
train tissue 13,92.3076923076923,91.66666666666667,85.7142857142857,0.986904761904762
train tissue 14,73.46938775510203,75.92592592592592,81.81818181818183,0.882716049382716
train tissue 15,76.65198237885464,80.41871921182265,94.9090909090909,0.9304187192118226
train tissue 16,81.4139110604333,80.5952380952381,78.11816192560178,0.913095238095238
train tissue 17,86.66666666666667,87.6923076923077,94.54545454545456,0.97
train tissue 18,54.699407281964426,68.0023923444976,93.62318840579708,0.9120813397129188
train mean,76.21082600471652,79.52503761072747,84.09888837071263,0.9140238730597977
train std,15.2857297992404,9.458087474650872,7.993623904030383,0.04986976782804942
test tissue 0,35.55555555555558,60.8108108108108,100.0,0.9342963653308481
test tissue 1,81.77613320999077,83.90522875816994,94.24307036247335,0.9517973856209152
test tissue 2,76.63551401869158,79.67479674796746,90.1098901098901,0.9214092140921408
test tissue 3,85.0,82.35294117647062,73.91304347826086,0.8941176470588236
test tissue 4,60.223048327137555,70.27777777777777,91.01123595505618,0.8755555555555555
test tissue 5,66.66666666666671,75.0,100.0,0.928061224489796
test tissue 6,89.210716871832,89.24963924963926,89.53488372093022,0.9451659451659451
test tissue 7,85.24590163934428,85.1648351648352,84.78260869565219,0.943956043956044
test mean,72.53919203615231,78.30450371070887,90.44934154028286,0.9242949226587585
test std,16.7732532542039,8.644891373362176,7.934503236210071,0.02496817926716699
