,train F1,train Acc,train precision,train Auc,val F1,val Acc,val precision,val Auc
split 0,70.37,73.07,78.19,0.8155,87.14,86.39,82.6,0.9347
split 1,73.35,75.84,81.77,0.8489,78.2,76.34,72.51,0.8272
split 2,79.2,79.6,80.8,0.8728,59.79,67.33,77.71,0.7903
split 3,70.32,72.98,78.0,0.8192,81.03,81.67,83.93,0.8911
split 4,73.32,74.55,77.04,0.8241,80.71,81.08,82.32,0.9052
split 5,68.23,72.58,81.1,0.828,62.59,71.98,94.15,0.9028
mean,72.46,74.77,79.48,0.8347,74.91,77.47,82.2,0.8752
std,3.51,2.43,1.8,0.0201,10.1,6.38,6.58,0.05
test mean,76.21082600471652,79.52503761072747,84.09888837071263,0.9140238730597977,72.53919203615231,78.30450371070887,90.44934154028286,0.9242949226587585
test std,15.2857297992404,9.458087474650872,7.993623904030383,0.04986976782804942,16.7732532542039,8.644891373362176,7.934503236210071,0.02496817926716699
