tissue name,counts of label 0,counts of label 1,percentage of label 1,plant name,time point
P1_0,72,13,15.294117647058824,P1,0
P1_1,74,11,12.941176470588236,P1,1
P1_2,65,15,18.75,P1,2
P1_3,31,38,55.072463768115945,P1,3
P2_0,58,37,38.94736842105263,P2,0
P2_1,68,18,20.930232558139537,P2,1
P2_2,41,18,30.508474576271187,P2,2
P2_3,34,5,12.820512820512821,P2,3
P5_0,60,28,31.818181818181817,P5,0
P5_1,66,9,12.0,P5,1
P5_2,60,14,18.91891891891892,P5,2
P5_3,54,9,14.285714285714286,P5,3
P6_0,58,28,32.55813953488372,P6,0
P6_3,42,20,32.25806451612903,P6,3
P8_0,65,20,23.529411764705884,P8,0
P8_1,38,44,53.65853658536585,P8,1
P9_0,45,40,47.05882352941177,P9,0
P9_1,49,40,44.943820224719104,P9,1
P9_2,77,9,10.465116279069768,P9,2
P9_3,65,14,17.72151898734177,P9,3
P10_0,53,25,32.05128205128205,P10,0
P10_1,50,3,5.660377358490566,P10,1
P10_3,68,5,6.8493150684931505,P10,3
P11_0,36,48,57.142857142857146,P11,0
P11_1,11,51,82.25806451612904,P11,1
P11_2,59,25,29.761904761904763,P11,2
P11_3,59,18,23.376623376623378,P11,3
mean and std of percentage label 1,1458,605,28.94744507340597+-17.9416399305025,,
