,F1,Acc,precision,Auc
train tissue 0,72.45283018867924,76.6025641025641,88.07339449541283,0.9380341880341881
train tissue 1,51.793525809273845,66.15479115479116,89.9696048632219,0.904176904176904
train tissue 2,81.61434977578477,78.97435897435898,72.50996015936258,0.8584615384615386
train tissue 3,89.85507246376814,90.49235993208826,96.31067961165049,0.9753820033955859
train tissue 4,80.30303030303028,75.47169811320758,67.08860759493666,0.8188679245283019
train tissue 5,92.5925925925926,92.0,86.20689655172413,0.9400000000000001
train tissue 6,86.62420382165608,84.55882352941177,76.4044943820225,0.9558823529411764
train tissue 7,73.92550143266476,68.40277777777779,62.92682926829269,0.7482638888888888
train tissue 8,75.06561679790026,74.59893048128342,73.71134020618555,0.7825311942959001
train tissue 9,88.05970149253731,86.98305084745763,81.3325674899483,0.9477966101694915
train tissue 10,73.54107648725214,78.01318267419963,92.31863442389758,0.8954802259887007
train tissue 11,85.5018587360595,86.07142857142858,89.14728682170545,0.9226190476190477
train tissue 12,88.00000000000001,86.36363636363637,78.5714285714286,0.9242424242424242
train tissue 13,89.55223880597013,88.33333333333336,81.08108108108105,0.9773809523809524
train tissue 14,72.72727272727273,74.99999999999999,80.00000000000001,0.9115226337448559
train tissue 15,84.59099556119214,85.03694581280786,87.18954248366013,0.9310344827586207
train tissue 16,84.98402555910543,83.21428571428572,76.87861271676303,0.9345238095238095
train tissue 17,87.83783783783785,86.15384615384616,78.31325301204821,0.9746153846153846
train tissue 18,81.44519289650954,81.87799043062199,83.43789209535764,0.910287081339713
train mean,81.07720648889931,81.2791581035316,81.13011083308943,0.9079527709002886
train std,9.31485003106033,7.010716992763751,8.36077056039183,0.06204897305317248
test tissue 0,57.69230769230771,70.27027027027026,100.0,0.9040074557315938
test tissue 1,91.60063391442156,91.33986928104575,88.92307692307692,0.9705882352941178
test tissue 2,60.51660516605166,71.00271002710028,94.79768786127168,0.9525745257452575
test tissue 3,31.775700934579444,57.058823529411804,77.27272727272727,0.8647058823529412
test tissue 4,78.8165680473373,75.13888888888889,68.65979381443302,0.831111111111111
test tissue 5,75.96899224806205,70.73979591836734,64.45076430856741,0.8566326530612247
test tissue 6,95.06172839506172,94.8051948051948,90.58823529411764,0.9783549783549784
test tissue 7,79.07542579075427,81.09890109890114,88.55585831062672,0.876923076923077
test mean,71.31349527357197,76.43180672739753,84.15601797310258,0.9043622398217878
test std,19.2973788939634,11.502370475817836,11.850862026640186,0.0526245354797318
